date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-09-28,regular,Jacksonville Jumbo Shrimp,Las Vegas Aviators,8,7,1.80,,1.95
2025-09-25,play_off,Las Vegas Aviators,Tacoma Rainiers,7,3,1.85,,1.86
2025-09-24,play_off,Las Vegas Aviators,Tacoma Rainiers,7,1,1.96,,1.77
2025-09-21,regular,Tacoma Rainiers,Oklahoma City Dodgers,3,1,1.76,,1.97
2025-09-21,regular,Sacramento River Cats,Round Rock Express,2,4,1.57,,2.29
2025-09-21,regular,Albuquerque Isotopes,Reno Aces,2,3,1.69,,2.04
2025-09-21,regular,Sugar Land,El Paso Chihuahuas,12,6,1.76,,1.98
2025-09-21,regular,Las Vegas Aviators,Salt Lake Bees,4,8,1.52,,2.40
2025-09-21,regular,Las Vegas Aviators,Salt Lake Bees,6,4,1.51,,2.43
2025-09-21,regular,Sacramento River Cats,Round Rock Express,4,2,1.86,,1.86
2025-09-21,regular,Tacoma Rainiers,Oklahoma City Dodgers,8,7,1.68,,2.06
2025-09-21,regular,Albuquerque Isotopes,Reno Aces,10,5,1.85,,1.86
2025-09-21,regular,Sugar Land,El Paso Chihuahuas,3,5,1.81,,1.92
2025-09-20,regular,Las Vegas Aviators,Salt Lake Bees,3,2,1.67,,2.10
2025-09-20,regular,Tacoma Rainiers,Oklahoma City Dodgers,2,5,1.64,,2.17
2025-09-20,regular,Sacramento River Cats,Round Rock Express,2,5,1.65,,2.10
2025-09-20,regular,Albuquerque Isotopes,Reno Aces,8,4,1.90,,1.82
2025-09-20,regular,Sugar Land,El Paso Chihuahuas,8,5,1.84,,1.88
2025-09-19,regular,Las Vegas Aviators,Salt Lake Bees,4,8,1.51,,2.41
2025-09-19,regular,Tacoma Rainiers,Oklahoma City Dodgers,10,12,1.86,,1.86
2025-09-19,regular,Sacramento River Cats,Round Rock Express,17,9,1.86,,1.86
2025-09-19,regular,Sugar Land,El Paso Chihuahuas,1,5,1.85,,1.87
2025-09-18,regular,Albuquerque Isotopes,Reno Aces,1,7,1.72,,2.03
2025-09-18,regular,Sacramento River Cats,Round Rock Express,5,2,1.95,,1.79
2025-09-18,regular,Las Vegas Aviators,Salt Lake Bees,6,11,1.50,,2.45
2025-09-18,regular,Tacoma Rainiers,Oklahoma City Dodgers,6,1,1.80,,1.94
2025-09-18,regular,Albuquerque Isotopes,Reno Aces,9,7,1.95,,1.77
2025-09-18,regular,Sugar Land,El Paso Chihuahuas,2,13,1.86,,1.85
2025-09-17,regular,Sacramento River Cats,Round Rock Express,3,8,1.76,,1.96
2025-09-17,regular,Las Vegas Aviators,Salt Lake Bees,4,3,1.62,,2.17
2025-09-17,regular,Albuquerque Isotopes,Reno Aces,7,8,1.87,,1.87
2025-09-17,regular,Sugar Land,El Paso Chihuahuas,3,5,1.94,,1.76
2025-09-16,regular,Tacoma Rainiers,Oklahoma City Dodgers,5,7,1.80,,1.92
2025-09-14,regular,Reno Aces,Las Vegas Aviators,8,0,2.87,,1.40
2025-09-14,regular,Oklahoma City Dodgers,Sacramento River Cats,12,2,1.34,,3.15
2025-09-14,regular,El Paso Chihuahuas,Albuquerque Isotopes,13,8,1.39,,2.87
2025-09-14,regular,Round Rock Express,Sugar Land,2,10,1.73,,2.05
2025-09-14,regular,Salt Lake Bees,Tacoma Rainiers,8,15,2.56,,1.45
2025-09-14,regular,Reno Aces,Las Vegas Aviators,9,1,2.02,,1.75
2025-09-14,regular,Salt Lake Bees,Tacoma Rainiers,5,9,2.14,,1.64
2025-09-14,regular,El Paso Chihuahuas,Albuquerque Isotopes,16,3,1.69,,2.11
2025-09-14,regular,Round Rock Express,Sugar Land,5,4,,,
2025-09-14,regular,Oklahoma City Dodgers,Sacramento River Cats,6,1,1.76,,1.98
2025-09-14,regular,Round Rock Express,Sugar Land,3,1,1.73,,2.04
2025-09-13,regular,Reno Aces,Las Vegas Aviators,3,10,2.24,,1.61
2025-09-13,regular,Salt Lake Bees,Tacoma Rainiers,5,10,2.18,,1.64
2025-09-13,regular,El Paso Chihuahuas,Albuquerque Isotopes,0,9,1.63,,2.20
2025-09-13,regular,Round Rock Express,Sugar Land,2,0,1.73,,2.04
2025-09-13,regular,Oklahoma City Dodgers,Sacramento River Cats,8,2,1.78,,1.93
2025-09-12,regular,Reno Aces,Las Vegas Aviators,6,5,2.18,,1.64
2025-09-12,regular,Salt Lake Bees,Tacoma Rainiers,4,7,1.97,,1.78
2025-09-12,regular,El Paso Chihuahuas,Albuquerque Isotopes,4,2,1.63,,2.20
2025-09-12,regular,Oklahoma City Dodgers,Sacramento River Cats,1,8,1.96,,1.79
2025-09-12,regular,Round Rock Express,Sugar Land,10,2,1.87,,1.87
2025-09-11,regular,Reno Aces,Las Vegas Aviators,0,3,2.11,,1.68
2025-09-11,regular,Salt Lake Bees,Tacoma Rainiers,8,4,2.43,,1.50
2025-09-11,regular,Round Rock Express,Sugar Land,4,7,1.87,,1.87
2025-09-11,regular,Round Rock Express,Sugar Land,5,3,1.85,,1.85
2025-09-10,regular,El Paso Chihuahuas,Albuquerque Isotopes,10,21,1.54,,2.38
2025-09-10,regular,Oklahoma City Dodgers,Sacramento River Cats,5,1,1.72,,2.01
2025-09-10,regular,Reno Aces,Las Vegas Aviators,10,6,2.14,,1.66
2025-09-10,regular,Salt Lake Bees,Tacoma Rainiers,6,1,2.17,,1.64
2025-09-10,regular,El Paso Chihuahuas,Albuquerque Isotopes,15,7,1.63,,2.21
2025-09-10,regular,Round Rock Express,Sugar Land,4,3,1.85,,1.90
2025-09-10,regular,Oklahoma City Dodgers,Sacramento River Cats,4,6,1.75,,1.98
2025-09-08,regular,Sugar Land,Oklahoma City Dodgers,1,7,1.84,,1.88
2025-09-07,regular,Tacoma Rainiers,Reno Aces,1,8,1.59,,2.21
2025-09-07,regular,Sacramento River Cats,Las Vegas Aviators,3,1,1.71,,2.03
2025-09-07,regular,Albuquerque Isotopes,Round Rock Express,3,8,1.74,,1.98
2025-09-07,regular,Salt Lake Bees,El Paso Chihuahuas,6,10,2.10,,1.67
2025-09-07,regular,Sacramento River Cats,Las Vegas Aviators,0,12,2.15,,1.65
2025-09-07,regular,Salt Lake Bees,El Paso Chihuahuas,6,5,2.09,,1.69
2025-09-07,regular,Tacoma Rainiers,Reno Aces,10,0,1.57,,2.31
2025-09-07,regular,Albuquerque Isotopes,Round Rock Express,5,3,1.71,,2.02
2025-09-07,regular,Sugar Land,Oklahoma City Dodgers,2,0,2.26,,1.59
2025-09-06,regular,Tacoma Rainiers,Reno Aces,9,6,1.59,,2.22
2025-09-06,regular,Sacramento River Cats,Las Vegas Aviators,1,2,1.95,,1.80
2025-09-06,regular,Salt Lake Bees,El Paso Chihuahuas,8,7,2.10,,1.67
2025-09-06,regular,Albuquerque Isotopes,Round Rock Express,6,9,1.91,,1.81
2025-09-06,regular,Sugar Land,Oklahoma City Dodgers,5,2,1.84,,1.90
2025-09-05,regular,Tacoma Rainiers,Reno Aces,9,6,1.60,,2.25
2025-09-05,regular,Sacramento River Cats,Las Vegas Aviators,8,4,1.95,,1.80
2025-09-05,regular,Salt Lake Bees,El Paso Chihuahuas,5,6,2.14,,1.64
2025-09-05,regular,Albuquerque Isotopes,Round Rock Express,10,6,1.90,,1.84
2025-09-05,regular,Sugar Land,Oklahoma City Dodgers,7,3,2.03,,1.73
2025-09-04,regular,Sacramento River Cats,Las Vegas Aviators,2,3,2.03,,1.73
2025-09-04,regular,Salt Lake Bees,El Paso Chihuahuas,7,3,2.06,,1.69
2025-09-04,regular,Tacoma Rainiers,Reno Aces,7,2,1.58,,2.24
2025-09-04,regular,Albuquerque Isotopes,Round Rock Express,0,3,1.96,,1.77
2025-09-04,regular,Sugar Land,Oklahoma City Dodgers,9,7,2.06,,1.68
2025-09-03,regular,Sacramento River Cats,Las Vegas Aviators,2,3,2.14,,1.66
2025-09-03,regular,Salt Lake Bees,El Paso Chihuahuas,9,11,2.10,,1.67
2025-09-03,regular,Tacoma Rainiers,Reno Aces,1,11,1.58,,2.28
2025-09-03,regular,Albuquerque Isotopes,Round Rock Express,8,6,1.88,,1.83
2025-09-03,regular,Sugar Land,Oklahoma City Dodgers,5,1,2.20,,1.64
2025-09-01,regular,Sugar Land,Albuquerque Isotopes,1,8,1.59,,2.23
2025-08-31,regular,Reno Aces,Sacramento River Cats,7,9,2.13,,1.67
2025-08-31,regular,El Paso Chihuahuas,Tacoma Rainiers,1,2,1.84,,1.91
2025-08-31,regular,Round Rock Express,Salt Lake Bees,2,4,1.72,,2.06
2025-08-31,regular,Reno Aces,Sacramento River Cats,5,0,1.96,,1.79
2025-08-31,regular,El Paso Chihuahuas,Tacoma Rainiers,6,10,1.94,,1.81
2025-08-31,regular,Round Rock Express,Salt Lake Bees,3,2,1.70,,2.04
2025-08-31,regular,Sugar Land,Albuquerque Isotopes,3,8,1.64,,2.17
2025-08-30,regular,Reno Aces,Sacramento River Cats,15,2,1.92,,1.83
2025-08-30,regular,El Paso Chihuahuas,Tacoma Rainiers,9,11,1.87,,1.87
2025-08-30,regular,Round Rock Express,Salt Lake Bees,3,5,1.68,,2.05
2025-08-30,regular,Sugar Land,Albuquerque Isotopes,3,2,1.67,,2.11
2025-08-29,regular,Reno Aces,Sacramento River Cats,7,21,2.04,,1.73
2025-08-29,regular,El Paso Chihuahuas,Tacoma Rainiers,5,9,1.90,,1.84
2025-08-29,regular,Sugar Land,Albuquerque Isotopes,9,8,1.83,,1.91
2025-08-29,regular,Round Rock Express,Salt Lake Bees,7,3,1.70,,2.07
2025-08-28,regular,Reno Aces,Sacramento River Cats,5,11,1.97,,1.78
2025-08-28,regular,Sugar Land,Albuquerque Isotopes,4,3,1.70,,2.07
2025-08-28,regular,Round Rock Express,Salt Lake Bees,5,7,1.70,,2.07
2025-08-27,regular,El Paso Chihuahuas,Tacoma Rainiers,6,3,1.95,,1.80
2025-08-27,regular,Reno Aces,Sacramento River Cats,1,17,2.06,,1.72
2025-08-27,regular,El Paso Chihuahuas,Tacoma Rainiers,10,13,2.02,,1.74
2025-08-27,regular,Sugar Land,Albuquerque Isotopes,6,4,1.69,,2.04
2025-08-27,regular,Round Rock Express,Salt Lake Bees,2,7,1.65,,2.16
2025-08-24,regular,Tacoma Rainiers,Oklahoma City Dodgers,3,6,1.61,,2.25
2025-08-24,regular,Sacramento River Cats,El Paso Chihuahuas,5,16,1.58,,2.24
2025-08-24,regular,Albuquerque Isotopes,Las Vegas Aviators,2,3,1.90,,1.84
2025-08-24,regular,Salt Lake Bees,Reno Aces,8,10,1.67,,2.08
2025-08-24,regular,Sacramento River Cats,El Paso Chihuahuas,5,4,1.95,,1.80
2025-08-24,regular,Tacoma Rainiers,Oklahoma City Dodgers,9,7,1.57,,2.25
2025-08-24,regular,Salt Lake Bees,Reno Aces,6,4,1.70,,2.03
2025-08-24,regular,Albuquerque Isotopes,Las Vegas Aviators,10,6,1.70,,2.07
2025-08-23,regular,Tacoma Rainiers,Oklahoma City Dodgers,9,3,1.68,,2.06
2025-08-23,regular,Sacramento River Cats,El Paso Chihuahuas,1,12,1.86,,1.85
2025-08-23,regular,Salt Lake Bees,Reno Aces,3,2,1.77,,1.99
