date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-25,play_off,Valencia,Real Madrid,70,81,1.71,,2.19
2025-06-22,play_off,Real Madrid,Valencia,102,96,1.34,,3.38
2025-06-20,play_off,Real Madrid,Valencia,89,75,1.32,,3.50
2025-06-17,play_off,Unicaja,Real Madrid,79,86,2.00,,1.83
2025-06-15,play_off,Unicaja,Real Madrid,86,84,1.87,,1.95
2025-06-14,play_off,Tenerife,Valencia,87,94,2.28,,1.65
2025-06-13,play_off,Real Madrid,Unicaja,90,75,1.34,,3.40
2025-06-12,play_off,Valencia,Tenerife,105,74,1.28,,3.85
2025-06-11,play_off,Real Madrid,Unicaja,99,81,1.40,,3.00
2025-06-10,play_off,Valencia,Tenerife,83,65,1.31,,3.60
2025-06-08,play_off,Unicaja,Barcelona,97,95,1.41,,3.00
2025-06-06,play_off,Baskonia,Real Madrid,103,112,2.68,,1.50
2025-06-06,play_off,Barcelona,Unicaja,59,81,1.50,,2.63
2025-06-04,play_off,Gran Canaria,Valencia,94,102,2.68,,1.49
2025-06-04,play_off,Joventut Badalona,Tenerife,60,80,1.53,,2.57
2025-06-03,play_off,Unicaja,Barcelona,97,101,1.59,,2.40
2025-06-03,play_off,Real Madrid,Baskonia,82,76,1.19,,4.70
2025-06-02,play_off,Tenerife,Joventut Badalona,96,81,1.44,,2.88
2025-06-02,play_off,Valencia,Gran Canaria,98,74,1.19,,5.05
2025-05-30,regular,Gran Canaria,Murcia,69,76,1.39,,3.05
2025-05-30,regular,Unicaja,Joventut Badalona,78,83,1.27,,3.83
2025-05-30,regular,Manresa,Tenerife,86,83,2.33,,1.63
2025-05-30,regular,Valencia,Breogan,108,61,1.10,,7.50
2025-05-30,regular,Bilbao,Barcelona,68,85,2.78,,1.46
2025-05-30,regular,Granada,MoraBanc Andorra,77,89,1.93,,1.89
2025-05-30,regular,Leyma Coruna,Baskonia,101,105,4.08,,1.25
2025-05-30,regular,Basket Zaragoza,Real Madrid,89,104,3.55,,1.31
2025-05-29,regular,Basquet Girona,Forca Lleida,95,83,1.58,,2.45
2025-05-25,regular,Barcelona,Basquet Girona,97,74,1.08,,8.50
2025-05-25,regular,Real Madrid,Granada,79,67,1.07,,9.63
2025-05-25,regular,Breogan,Gran Canaria,74,82,2.85,,1.44
2025-05-25,regular,Tenerife,Valencia,99,102,1.91,,1.90
2025-05-25,regular,Forca Lleida,Unicaja,69,98,4.20,,1.24
2025-05-24,regular,Murcia,Leyma Coruna,105,93,1.13,,6.50
2025-05-24,regular,Baskonia,Bilbao,100,97,1.18,,5.13
2025-05-24,regular,Joventut Badalona,Basket Zaragoza,89,79,1.42,,2.93
2025-05-24,regular,MoraBanc Andorra,Manresa,83,81,1.90,,1.91
2025-05-18,regular,Baskonia,Barcelona,110,98,1.76,,2.08
2025-05-18,regular,Bilbao,Basket Zaragoza,104,111,1.54,,2.48
2025-05-18,regular,Forca Lleida,Tenerife,72,84,3.10,,1.37
2025-05-18,regular,Manresa,Real Madrid,65,67,3.55,,1.31
2025-05-18,regular,Unicaja,Murcia,104,93,1.23,,4.33
2025-05-17,regular,Basquet Girona,Valencia,85,91,4.43,,1.22
2025-05-17,regular,Gran Canaria,Joventut Badalona,79,68,1.34,,3.30
2025-05-17,regular,Leyma Coruna,MoraBanc Andorra,91,104,2.59,,1.52
2025-05-17,regular,Granada,Breogan,91,82,1.55,,2.50
2025-05-14,regular,Gran Canaria,Forca Lleida,94,90,1.19,,4.95
2025-05-11,regular,Murcia,Manresa,81,71,1.62,,2.35
2025-05-11,regular,Breogan,Real Madrid,69,79,5.00,,1.19
2025-05-11,regular,Bilbao,Leyma Coruna,79,67,1.37,,3.20
2025-05-11,regular,Barcelona,Forca Lleida,98,72,1.09,,7.75
2025-05-11,regular,Basket Zaragoza,Granada,88,95,1.28,,3.90
2025-05-10,regular,Valencia,Gran Canaria,86,79,1.26,,4.00
2025-05-10,regular,MoraBanc Andorra,Basquet Girona,97,106,1.35,,3.20
2025-05-10,regular,Joventut Badalona,Baskonia,90,71,1.84,,2.01
2025-05-08,regular,Leyma Coruna,Barcelona,93,92,5.25,,1.17
