date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-14,play_off,Split,Zadar,65,67,1.90,,1.78
2025-06-11,play_off,Split,Zadar,74,73,1.72,,1.95
2025-06-08,play_off,Zadar,Split,79,65,1.34,,2.90
2025-06-05,play_off,Zadar,Split,65,46,1.40,,2.65
2025-05-31,play_off,Split,Dinamo Zagreb,89,69,1.10,,5.50
2025-05-28,play_off,Dinamo Zagreb,Split,55,88,2.80,,1.36
2025-05-26,play_off,Cibona,Zadar,70,80,3.10,,1.30
2025-05-25,play_off,Split,Dinamo Zagreb,82,86,1.14,,4.75
2025-05-23,play_off,Zadar,Cibona,81,76,1.14,,4.75
2025-05-21,play_off,Split,Alkar,96,81,1.03,,8.25
2025-05-20,play_off,Cibona,Kvarner,99,63,1.45,,2.50
2025-05-18,play_off,Dinamo Zagreb,Cedevita Junior,95,82,1.78,,1.90
2025-05-18,play_off,Alkar,Split,83,72,3.80,,1.21
2025-05-17,play_off,Kvarner,Cibona,88,68,2.20,,1.57
2025-05-17,play_off,Zabok,Zadar,65,87,6.25,,1.07
2025-05-15,play_off,Cedevita Junior,Dinamo Zagreb,79,88,1.36,,2.80
2025-05-15,play_off,Split,Alkar,97,71,1.03,,8.75
2025-05-14,play_off,Cibona,Kvarner,84,73,1.57,,2.20
2025-05-14,play_off,Zadar,Zabok,81,55,1.01,,11.00
2025-05-10,regular,Cibona,Alkar,85,90,1.24,,3.50
2025-05-09,regular,Cedevita Junior,GKK Sibenka,126,83,1.11,,5.25
2025-05-09,regular,Kvarner,Dubrava,96,70,1.09,,5.75
2025-05-09,regular,Zadar,Dubrovnik,91,61,1.01,,12.50
2025-05-08,regular,Dinamo Zagreb,Zabok,98,89,1.25,,3.40
2025-05-04,regular,GKK Sibenka,Cibona,87,72,2.70,,1.40
2025-05-04,regular,Zadar,Split,87,65,1.30,,3.10
2025-05-04,regular,Dubrovnik,Dubrava,96,86,1.53,,2.30
2025-05-03,regular,Zabok,Kvarner,105,111,1.75,,1.91
2025-05-02,regular,Alkar,Dinamo Zagreb,63,62,2.15,,1.60
2025-04-27,regular,Dinamo Zagreb,GKK Sibenka,86,71,1.14,,4.75
2025-04-26,regular,Dubrava,Zabok,100,105,1.83,,1.85
2025-04-26,regular,Split,Dubrovnik,93,89,1.02,,9.00
2025-04-25,regular,Cedevita Junior,Zadar,81,95,3.20,,1.28
2025-04-25,regular,Kvarner,Alkar,98,92,1.35,,2.85
2025-04-19,regular,GKK Sibenka,Kvarner,74,69,1.95,,1.72
2025-04-19,regular,Alkar,Dubrava,85,71,1.67,,2.05
2025-04-19,regular,Dubrovnik,Zabok,75,91,1.40,,2.65
2025-04-18,regular,Zadar,Cibona,85,71,1.07,,6.25
2025-04-17,regular,Split,Cedevita Junior,87,67,1.19,,4.00
2025-04-13,regular,Dubrava,GKK Sibenka,69,71,1.48,,2.40
2025-04-13,regular,Zabok,Alkar,62,71,1.30,,3.10
2025-04-13,regular,Dinamo Zagreb,Zadar,78,100,3.70,,1.22
2025-04-13,regular,Kvarner,Osijek,92,71,1.26,,3.40
2025-04-12,regular,Cedevita Junior,Dubrovnik,70,90,1.14,,4.75
2025-04-11,regular,Cibona,Split,74,87,2.80,,1.36
2025-04-09,regular,Osijek,Dubrava,91,100,1.90,,1.78
2025-04-09,regular,Cedevita Junior,Cibona,103,87,1.50,,2.35
2025-04-09,regular,Split,Dinamo Zagreb,94,86,1.12,,5.00
2025-04-09,regular,GKK Sibenka,Zabok,80,92,1.53,,2.30
2025-04-09,regular,Zadar,Kvarner,92,72,1.03,,8.25
2025-04-08,regular,Dubrovnik,Alkar,95,78,1.62,,2.10
2025-04-05,regular,Dinamo Zagreb,Cedevita Junior,80,107,1.91,,1.75
2025-04-05,regular,Zabok,Osijek,88,80,1.33,,3.00
2025-04-04,regular,Kvarner,Split,65,70,3.10,,1.30
2025-04-04,regular,Alkar,GKK Sibenka,69,60,1.48,,2.40
2025-04-04,regular,Cibona,Dubrovnik,103,89,1.11,,5.25
2025-04-03,regular,Dubrava,Zadar,69,95,5.00,,1.12
2025-03-29,regular,Osijek,Alkar,60,73,1.85,,1.83
