date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-26,play_off,Bayern,Ulm,81,77,1.26,,4.05
2025-06-24,play_off,Ulm,Bayern,53,67,2.33,,1.63
2025-06-21,play_off,Bayern,Ulm,79,81,1.30,,3.58
2025-06-18,play_off,Ulm,Bayern,79,64,2.10,,1.76
2025-06-15,play_off,Bayern,Ulm,82,66,1.30,,3.58
2025-06-12,play_off,Ulm,Wurzburg,91,84,1.29,,3.70
2025-06-10,play_off,Heidelberg,Bayern,82,94,4.23,,1.24
2025-06-10,play_off,Wurzburg,Ulm,78,77,2.25,,1.66
2025-06-07,play_off,Bayern,Heidelberg,98,68,1.10,,7.38
2025-06-07,play_off,Ulm,Wurzburg,99,86,1.29,,3.70
2025-06-04,play_off,Heidelberg,Bayern,61,90,3.38,,1.34
2025-06-04,play_off,Wurzburg,Ulm,87,77,2.10,,1.76
2025-06-01,play_off,Ulm,Wurzburg,91,87,1.27,,3.85
2025-06-01,play_off,Bayern,Heidelberg,90,95,1.14,,5.88
2025-05-29,play_off,Basketball Braunschweig,Wurzburg,88,97,1.60,,2.40
2025-05-27,play_off,Wurzburg,Basketball Braunschweig,79,72,1.49,,2.65
2025-05-27,play_off,Heidelberg,Chemnitz,92,64,1.78,,2.08
2025-05-25,play_off,Chemnitz,Heidelberg,97,88,1.35,,3.28
2025-05-25,play_off,Basketball Braunschweig,Wurzburg,80,75,1.59,,2.43
2025-05-24,play_off,Ulm,Alba Berlin,93,84,1.55,,2.52
2025-05-24,play_off,Bayern,Syntainics MBC,80,69,1.09,,8.25
2025-05-21,play_off,Alba Berlin,Ulm,62,74,1.45,,2.72
2025-05-21,play_off,Wurzburg,Basketball Braunschweig,94,90,1.55,,2.50
2025-05-20,play_off,Heidelberg,Chemnitz,74,70,1.69,,2.20
2025-05-20,play_off,Syntainics MBC,Bayern,65,80,3.38,,1.34
2025-05-18,play_off,Basketball Braunschweig,Wurzburg,92,79,1.64,,2.30
2025-05-17,play_off,Bayern,Syntainics MBC,78,60,1.17,,5.38
2025-05-17,play_off,Ulm,Alba Berlin,94,83,1.68,,2.23
2025-05-17,play_off,Chemnitz,Heidelberg,90,93,1.37,,3.20
2025-05-15,play_off,Syntainics MBC,Oldenburg,110,95,1.48,,2.70
2025-05-13,play_off,Alba Berlin,Syntainics MBC,81,78,1.10,,7.00
2025-05-13,play_off,Oldenburg,Rostock,95,83,1.30,,3.68
2025-05-11,regular,Bamberg,Vechta,86,73,2.75,,1.46
2025-05-11,regular,Bayern,Ludwigsburg,73,72,1.15,,5.63
2025-05-11,regular,Syntainics MBC,Bonn,100,94,1.40,,3.05
2025-05-11,regular,Basketball Braunschweig,Wurzburg,86,72,1.72,,2.17
2025-05-11,regular,Oldenburg,Chemnitz,104,94,1.78,,2.08
2025-05-11,regular,Heidelberg,Frankfurt,84,75,1.22,,4.43
2025-05-11,regular,Gottingen,Rostock,88,85,3.90,,1.28
2025-05-11,regular,Hamburg,Ulm,64,79,2.83,,1.44
2025-05-08,regular,Bonn,Bayern,86,90,3.43,,1.33
2025-05-08,regular,Alba Berlin,Gottingen,101,69,1.02,,20.50
2025-05-08,regular,Ulm,Bamberg,92,77,1.07,,9.50
2025-05-08,regular,Rostock,Basketball Braunschweig,48,67,1.58,,2.43
2025-05-07,regular,Ludwigsburg,Syntainics MBC,85,76,1.75,,2.13
2025-05-07,regular,Hamburg,Chemnitz,88,93,1.79,,2.08
2025-05-07,regular,Wurzburg,Heidelberg,85,102,1.26,,4.00
2025-05-04,regular,Basketball Braunschweig,Frankfurt,79,72,1.16,,5.50
2025-05-04,regular,Chemnitz,Rostock,108,102,1.52,,2.58
2025-05-04,regular,Bayern,Gottingen,94,86,1.01,,23.00
