date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-20,regular,Beijing,Zhejiang Guangsha,118,125,2.15,,1.67
2025-05-17,regular,Zhejiang Guangsha,Beijing,92,94,1.35,,3.13
2025-05-14,regular,Beijing,Zhejiang Guangsha,73,106,1.57,,2.38
2025-05-12,regular,Beijing,Zhejiang Guangsha,103,114,1.59,,2.33
2025-05-09,regular,Zhejiang Guangsha,Beijing,103,96,1.53,,2.48
2025-05-07,regular,Zhejiang Guangsha,Beijing,87,101,1.45,,2.72
2025-05-02,regular,Beijing,Shanxi Zhongyu,121,103,2.04,,1.75
2025-05-01,regular,Liaoning,Zhejiang Guangsha,98,109,2.33,,1.60
2025-04-29,regular,Shanxi Zhongyu,Beijing,99,106,1.44,,2.77
2025-04-28,regular,Zhejiang Guangsha,Liaoning,110,84,1.41,,2.83
2025-04-27,regular,Shanxi Zhongyu,Beijing,94,102,1.45,,2.65
2025-04-26,regular,Zhejiang Guangsha,Liaoning,109,90,1.76,,2.00
2025-04-23,regular,Zhejiang Guangsha,Qingdao,101,96,1.26,,3.80
2025-04-21,regular,Beijing Royal Fighters,Beijing,95,112,2.18,,1.66
2025-04-20,regular,Qingdao,Zhejiang Guangsha,108,110,2.62,,1.46
2025-04-19,regular,Beijing Royal Fighters,Beijing,102,105,2.00,,1.76
2025-04-19,regular,Guangdong,Shanxi Zhongyu,106,124,1.99,,1.78
2025-04-18,regular,Xinjiang,Liaoning,79,101,2.10,,1.69
2025-04-18,regular,Qingdao,Zhejiang Guangsha,85,83,2.57,,1.49
2025-04-16,regular,Beijing,Beijing Royal Fighters,106,100,1.38,,2.93
2025-04-16,regular,Shanxi Zhongyu,Guangdong,116,101,1.42,,2.83
2025-04-15,regular,Liaoning,Xinjiang,105,96,1.08,,7.88
2025-04-15,regular,Zhejiang Guangsha,Qingdao,96,116,1.11,,6.25
2025-04-14,regular,Beijing,Beijing Royal Fighters,98,105,1.44,,2.68
2025-04-14,regular,Shanxi Zhongyu,Guangdong,123,81,1.67,,2.15
2025-04-13,regular,Liaoning,Xinjiang,123,116,1.15,,5.13
2025-04-13,regular,Zhejiang Guangsha,Qingdao,110,93,1.28,,3.50
2025-04-11,regular,Guangdong,Shanghai,115,92,1.57,,2.38
2025-04-10,regular,Qingdao,Zhejiang Chouzhou,103,91,1.65,,2.20
2025-04-08,regular,Beijing Royal Fighters,Shandong,93,84,2.15,,1.69
2025-04-08,regular,Shanghai,Guangdong,104,103,1.52,,2.50
2025-04-07,regular,Nanjing Tongxi,Xinjiang,108,113,1.56,,2.40
2025-04-07,regular,Zhejiang Chouzhou,Qingdao,104,81,1.40,,2.93
2025-04-05,regular,Shandong,Beijing Royal Fighters,99,104,1.28,,3.65
2025-04-05,regular,Guangdong,Shanghai,102,98,1.42,,2.83
2025-04-04,regular,Xinjiang,Nanjing Tongxi,118,111,1.23,,4.05
2025-04-04,regular,Qingdao,Zhejiang Chouzhou,112,96,1.61,,2.30
2025-03-31,regular,Tianjin,Beijing,92,110,6.00,,1.11
2025-03-31,regular,Xinjiang,Beijing Royal Fighters,85,81,1.03,,10.88
2025-03-31,regular,Fujian,Qingdao,101,124,5.13,,1.14
2025-03-31,regular,Sichuan,Guangdong,90,119,8.25,,1.06
2025-03-31,regular,Guangzhou,Jilin,102,103,2.03,,1.73
2025-03-31,regular,Jiangsu Dragons,Zhejiang Guangsha,93,109,7.13,,1.08
2025-03-31,regular,Liaoning,Shandong,116,90,1.34,,3.08
2025-03-31,regular,Shanxi Zhongyu,Nanjing Tongxi,118,108,1.12,,5.63
2025-03-31,regular,Zhejiang Chouzhou,Ningbo Rockets,125,111,1.02,,13.25
2025-03-31,regular,Shanghai,Shenzhen,115,93,1.02,,13.50
2025-03-29,regular,Beijing Royal Fighters,Fujian,114,110,1.24,,3.80
2025-03-29,regular,Shanghai,Xinjiang,98,104,2.15,,1.65
2025-03-27,regular,Jiangsu Dragons,Shenzhen,83,106,1.56,,2.40
