date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-25,play_off,Monaco,Fenerbahce,70,81,2.18,,1.79
2025-05-25,play_off,Olympiacos,Panathinaikos,97,93,1.96,,1.96
2025-05-23,play_off,Olympiacos,Monaco,68,78,1.40,,3.00
2025-05-23,play_off,Fenerbahce,Panathinaikos,82,76,2.20,,1.69
2025-05-06,play_off,Panathinaikos,Anadolu Efes,75,67,1.31,,3.53
2025-05-06,play_off,Monaco,Barcelona,85,84,1.48,,2.73
2025-05-02,play_off,Barcelona,Monaco,79,72,1.75,,2.10
2025-05-02,play_off,Anadolu Efes,Panathinaikos,85,82,1.80,,2.03
2025-05-01,play_off,Real Madrid,Olympiacos,84,86,2.00,,1.84
2025-04-30,play_off,Anadolu Efes,Panathinaikos,77,81,1.90,,1.91
2025-04-30,play_off,Barcelona,Monaco,100,89,1.79,,2.05
2025-04-29,play_off,Real Madrid,Olympiacos,80,72,1.55,,2.50
2025-04-29,play_off,Paris,Fenerbahce,88,98,1.85,,1.96
2025-04-25,play_off,Olympiacos,Real Madrid,77,71,1.37,,3.20
2025-04-25,play_off,Monaco,Barcelona,92,79,1.46,,2.75
2025-04-24,play_off,Panathinaikos,Anadolu Efes,76,79,1.42,,2.93
2025-04-24,play_off,Fenerbahce,Paris,89,72,1.40,,3.00
2025-04-23,play_off,Olympiacos,Real Madrid,84,72,1.40,,2.97
2025-04-23,play_off,Monaco,Barcelona,97,80,1.46,,2.75
2025-04-22,play_off,Panathinaikos,Anadolu Efes,87,83,1.39,,3.10
2025-04-22,play_off,Fenerbahce,Paris,83,78,1.39,,3.10
2025-04-18,play_off,Real Madrid,Bayern,93,71,1.12,,6.38
2025-04-15,play_off,Real Madrid,Paris,73,81,1.29,,3.70
2025-04-15,play_off,Bayern,Crvena Zvezda Meridianbet,97,93,1.58,,2.45
2025-04-11,regular,Barcelona,Virtus Bologna,91,87,1.18,,5.13
