date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-06,regular,Karhu Basket,Helsinki Seagulls,56,68,2.18,,1.59
2025-05-03,regular,Helsinki Seagulls,Karhu Basket,82,79,1.22,,3.70
2025-04-29,regular,Karhu Basket,Helsinki Seagulls,80,89,2.05,,1.67
2025-04-26,regular,Helsinki Seagulls,Karhu Basket,89,56,1.30,,3.10
2025-04-19,regular,Kataja,Salon Vilpas,99,100,1.48,,2.40
2025-04-15,regular,Kataja,Karhu Basket,87,99,1.80,,1.87
2025-04-14,regular,Salon Vilpas,Helsinki Seagulls,76,90,2.90,,1.34
2025-04-12,regular,Karhu Basket,Kataja,87,79,1.40,,2.65
2025-04-11,regular,Helsinki Seagulls,Salon Vilpas,92,73,1.10,,5.50
2025-04-09,regular,Kataja,Karhu Basket,82,96,1.62,,2.10
2025-04-08,regular,Salon Vilpas,Helsinki Seagulls,84,97,2.85,,1.36
2025-04-05,regular,Helsinki Seagulls,Salon Vilpas,98,76,1.12,,5.00
2025-04-02,regular,Salon Vilpas,UU-Korihait Uusikaupunki,75,68,,,
2025-03-31,regular,Kouvot Kouvola,Helsinki Seagulls,60,77,5.50,,1.10
2025-03-31,regular,UU-Korihait Uusikaupunki,Salon Vilpas,71,58,1.67,,2.05
2025-03-29,regular,Kataja,Bisons Loimaa,93,81,1.09,,5.75
2025-03-28,regular,Helsinki Seagulls,Kouvot Kouvola,101,64,1.08,,6.00
2025-03-28,regular,Karhu Basket,Pyrinto Tampere,107,78,1.22,,3.75
2025-03-28,regular,Salon Vilpas,UU-Korihait Uusikaupunki,92,91,1.36,,2.80
2025-03-26,regular,Bisons Loimaa,Kataja,76,94,2.80,,1.36
2025-03-26,regular,Kouvot Kouvola,Helsinki Seagulls,93,87,3.40,,1.26
2025-03-26,regular,Pyrinto Tampere,Karhu Basket,98,103,2.25,,1.55
2025-03-25,regular,UU-Korihait Uusikaupunki,Salon Vilpas,76,73,1.78,,1.90
2025-03-23,regular,Karhu Basket,Pyrinto Tampere,87,81,1.22,,3.70
2025-03-22,regular,Kataja,Bisons Loimaa,109,69,1.25,,3.40
2025-03-22,regular,Helsinki Seagulls,Kouvot Kouvola,105,80,1.08,,6.00
2025-03-22,regular,Salon Vilpas,UU-Korihait Uusikaupunki,87,84,1.33,,3.00
2025-03-19,regular,UU-Korihait Uusikaupunki,Bisons Loimaa,93,92,1.18,,4.20
2025-03-19,regular,Helsinki Seagulls,Kataja,107,101,1.17,,4.25
2025-03-19,regular,Karhu Basket,Salon Vilpas,85,83,,,
2025-03-19,regular,Honka,BC Nokia,88,89,4.75,,1.14
2025-03-19,regular,KTP Kotka Basket,Kobrat,90,85,1.25,,3.40
2025-03-19,regular,Pyrinto Tampere,Kouvot Kouvola,88,100,2.30,,1.53
2025-03-15,regular,BC Nokia,Pyrinto Tampere,85,98,1.20,,3.90
2025-03-15,regular,Salon Vilpas,Helsinki Seagulls,86,70,2.25,,1.55
2025-03-15,regular,Kouvot Kouvola,KTP Kotka Basket,108,84,1.06,,6.75
2025-03-14,regular,Bisons Loimaa,Karhu Basket,73,85,2.65,,1.40
2025-03-14,regular,Kobrat,Honka,79,73,4.50,,1.15
2025-03-12,regular,Bisons Loimaa,Salon Vilpas,55,88,1.91,,1.75
2025-03-12,regular,Kataja,UU-Korihait Uusikaupunki,94,101,1.26,,3.40
2025-03-12,regular,Pyrinto Tampere,KTP Kotka Basket,100,82,1.07,,6.50
2025-03-08,regular,Salon Vilpas,Bisons Loimaa,102,64,1.45,,2.50
2025-03-08,regular,Kataja,Karhu Basket,82,75,1.83,,1.85
2025-03-08,regular,Helsinki Seagulls,UU-Korihait Uusikaupunki,85,81,1.10,,5.50
2025-03-08,regular,Kouvot Kouvola,Honka,94,78,1.34,,2.90
2025-03-07,regular,BC Nokia,Kobrat,101,69,1.07,,6.25
2025-03-05,regular,Bisons Loimaa,Kataja,82,71,2.65,,1.40
2025-03-05,regular,Karhu Basket,Helsinki Seagulls,90,71,2.60,,1.42
2025-03-05,regular,UU-Korihait Uusikaupunki,Salon Vilpas,75,82,1.48,,2.40
2025-03-05,regular,Kobrat,Kouvot Kouvola,84,76,2.65,,1.40
