date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-12,play_off,Partizan Mozzart Bet,Buducnost,90,75,1.21,,3.94
2025-06-10,play_off,Partizan Mozzart Bet,Buducnost,83,67,1.22,,3.91
2025-06-07,play_off,Buducnost,Partizan Mozzart Bet,84,73,2.08,,1.69
2025-06-05,play_off,Buducnost,Partizan Mozzart Bet,88,94,2.05,,1.70
2025-06-04,regular,Perspektiva Ilirija,Cibona,83,66,1.47,,2.48
2025-06-01,play_off,Buducnost,Crvena Zvezda Meridianbet,81,78,1.87,,1.86
2025-06-01,play_off,Partizan Mozzart Bet,Dubai,114,97,1.13,,5.35
2025-05-29,play_off,Crvena Zvezda Meridianbet,Buducnost,100,81,1.32,,3.15
2025-05-29,regular,Cibona,Perspektiva Ilirija,88,93,1.38,,2.88
2025-05-29,play_off,Dubai,Partizan Mozzart Bet,100,95,2.42,,1.52
2025-05-26,play_off,Buducnost,Crvena Zvezda Meridianbet,104,70,1.71,,2.05
2025-05-26,play_off,Partizan Mozzart Bet,Dubai,102,72,1.24,,3.76
2025-05-20,play_off,Dubai,Cedevita Olimpija,85,76,1.39,,2.83
2025-05-16,play_off,Spartak Subotica,Partizan Mozzart Bet,75,82,4.68,,1.16
2025-05-16,play_off,Mega Basket,Buducnost,87,92,3.16,,1.32
2025-05-16,play_off,Cedevita Olimpija,Dubai,94,89,1.62,,2.16
2025-05-15,play_off,Igokea,Crvena Zvezda Meridianbet,90,95,3.79,,1.24
2025-05-11,play_off,Buducnost,Mega Basket,96,80,1.10,,6.10
2025-05-11,play_off,Dubai,Cedevita Olimpija,86,85,1.25,,3.66
2025-05-10,play_off,Crvena Zvezda Meridianbet,Igokea,87,77,1.06,,8.04
2025-05-09,play_off,Partizan Mozzart Bet,Spartak Subotica,100,75,1.06,,7.54
2025-05-05,regular,Studentski Centar,Borac Mozzart,90,80,1.24,,3.74
2025-05-04,regular,Partizan Mozzart Bet,Mega Basket,89,82,1.05,,8.55
2025-05-04,regular,FMP Beograd,Crvena Zvezda Meridianbet,93,94,7.99,,1.05
2025-05-04,regular,Dubai,Buducnost,79,75,1.53,,2.36
2025-05-03,regular,KK Krka Novo mesto,Cedevita Olimpija,87,91,3.93,,1.22
2025-05-03,regular,Mornar Bar,Igokea,79,114,5.34,,1.13
2025-05-02,regular,Cibona,Spartak Subotica,72,108,3.18,,1.31
2025-05-02,regular,Zadar,Split,81,80,1.27,,3.53
2025-05-01,regular,Crvena Zvezda Meridianbet,Studentski Centar,105,77,1.03,,10.29
2025-04-28,regular,Mega Basket,Studentski Centar,83,81,1.31,,3.24
2025-04-28,regular,Spartak Subotica,Zadar,87,71,1.36,,2.94
2025-04-28,regular,Mornar Bar,Split,76,86,3.19,,1.31
2025-04-28,regular,Buducnost,FMP Beograd,78,69,1.03,,9.96
2025-04-27,regular,Crvena Zvezda Meridianbet,KK Krka Novo mesto,81,69,1.01,,12.50
2025-04-27,regular,Cedevita Olimpija,Partizan Mozzart Bet,71,81,2.80,,1.39
2025-04-26,regular,Igokea,Dubai,88,97,2.89,,1.38
2025-04-25,regular,Borac Mozzart,Cibona,72,66,1.33,,3.06
2025-04-22,regular,Zadar,Mornar Bar,100,69,1.06,,7.75
2025-04-21,regular,Cibona,Mega Basket,83,88,4.13,,1.20
2025-04-21,regular,Partizan Mozzart Bet,Crvena Zvezda Meridianbet,85,77,1.67,,2.11
2025-04-21,regular,Spartak Subotica,Borac Mozzart,89,80,1.13,,5.40
2025-04-20,regular,Dubai,Split,87,82,1.03,,9.45
2025-04-19,regular,KK Krka Novo mesto,Buducnost,91,99,5.48,,1.12
2025-04-19,regular,FMP Beograd,Igokea,82,102,2.01,,1.72
2025-04-17,regular,Studentski Centar,Cedevita Olimpija,84,107,2.85,,1.38
2025-04-15,regular,Mega Basket,Spartak Subotica,97,90,2.42,,1.51
2025-04-14,regular,Buducnost,Partizan Mozzart Bet,81,77,2.06,,1.69
2025-04-14,regular,Split,FMP Beograd,72,85,1.49,,2.49
2025-04-13,regular,Cedevita Olimpija,Cibona,96,81,1.02,,11.25
