date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-19,regular,Franca,Minas,86,73,1.37,,2.93
2025-06-14,regular,Minas,Franca,73,83,1.57,,2.25
2025-06-13,regular,Minas,Franca,78,94,1.60,,2.23
2025-06-07,regular,Franca,Minas,65,69,1.53,,2.35
2025-06-04,regular,Flamengo,Franca,95,98,1.38,,2.83
2025-06-01,regular,Franca,Flamengo,102,86,1.53,,2.35
2025-05-30,regular,Flamengo,Franca,86,75,1.46,,2.58
2025-05-29,regular,Minas,Bauru,70,65,1.19,,4.25
2025-05-28,regular,Flamengo,Franca,78,85,1.49,,2.48
2025-05-27,regular,Minas,Bauru,73,69,1.17,,4.42
2025-05-24,regular,Franca,Flamengo,93,107,1.56,,2.30
2025-05-24,regular,Bauru,Minas,59,74,2.43,,1.52
2025-05-22,regular,Franca,Pinheiros,83,58,1.15,,4.88
2025-05-18,regular,Pinheiros,Franca,72,66,2.55,,1.46
2025-05-18,regular,Corinthians Paulista,Flamengo,78,80,2.43,,1.52
2025-05-16,regular,Franca,Pinheiros,92,69,1.14,,4.70
2025-05-16,regular,Flamengo,Corinthians Paulista,85,82,1.15,,4.80
2025-05-15,regular,Bauru,Sao Paulo,89,85,1.30,,3.25
2025-05-15,regular,Minas,Vasco,83,63,1.17,,4.42
2025-05-14,regular,Flamengo,Corinthians Paulista,73,90,1.12,,5.88
2025-05-14,regular,Franca,Pinheiros,70,71,1.17,,4.42
2025-05-13,regular,Bauru,Sao Paulo,84,67,1.31,,3.20
2025-05-13,regular,Minas,Vasco,86,76,1.14,,5.00
2025-05-10,regular,Pinheiros,Franca,76,89,2.58,,1.45
2025-05-10,regular,Corinthians Paulista,Flamengo,88,94,3.48,,1.27
2025-05-10,regular,Sao Paulo,Bauru,85,96,1.71,,2.00
2025-05-10,regular,Vasco,Minas,86,90,2.58,,1.45
2025-05-04,regular,Pinheiros,Unifacisa,72,58,1.45,,2.55
2025-05-04,regular,Sao Paulo,Brasilia,78,77,1.63,,2.18
2025-05-04,regular,Bauru,Paulistano,85,80,1.46,,2.58
2025-05-03,regular,Corinthians Paulista,Uniao Corinthians,79,72,1.32,,3.20
2025-05-03,regular,Caxias do Sul,Flamengo,63,86,7.88,,1.06
2025-05-03,regular,Sao Jose,Vasco,83,88,1.56,,2.30
2025-05-02,regular,Unifacisa,Pinheiros,86,79,1.63,,2.18
2025-05-02,regular,Franca,Pato,101,82,1.06,,7.75
2025-05-02,regular,Minas,Mogi,76,57,1.04,,9.25
2025-05-01,regular,Brasilia,Sao Paulo,86,81,1.48,,2.48
2025-05-01,regular,Paulistano,Bauru,54,84,1.41,,2.70
2025-05-01,regular,Uniao Corinthians,Corinthians Paulista,80,92,1.83,,1.85
2025-04-30,regular,Flamengo,Caxias do Sul,80,77,1.01,,14.25
2025-04-30,regular,Franca,Pato,84,65,1.07,,7.38
2025-04-30,regular,Minas,Mogi,88,65,1.04,,9.38
2025-04-29,regular,Brasilia,Sao Paulo,54,69,1.42,,2.68
2025-04-29,regular,Uniao Corinthians,Corinthians Paulista,93,71,1.78,,1.92
2025-04-29,regular,Vasco,Sao Jose,78,81,1.55,,2.30
2025-04-28,regular,Bauru,Paulistano,60,62,1.61,,2.20
2025-04-27,regular,Flamengo,Caxias do Sul,76,78,1.01,,13.50
2025-04-27,regular,Pinheiros,Unifacisa,77,76,1.44,,2.65
2025-04-27,regular,Mogi,Minas,72,85,5.00,,1.14
2025-04-26,regular,Vasco,Sao Jose,89,83,1.59,,2.20
