date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-11,play_off,Ironi Eilat,Maccabi Rishon,75,89,1.45,,2.48
2025-06-08,play_off,Maccabi Rishon,Ironi Eilat,92,87,1.73,,1.97
2025-06-04,play_off,Ironi Eilat,Maccabi Rishon,89,76,1.53,,2.31
2025-05-29,play_off,Maccabi Rishon,Ironi Eilat,74,77,1.67,,2.05
2025-05-26,play_off,Ironi Eilat,Maccabi Rishon,92,94,1.44,,2.55
2025-05-20,play_off,Maccabi Rishon,Elitzur Ashkelon,96,72,1.17,,4.34
2025-05-18,play_off,Ironi Nahariya,Ironi Eilat,72,99,2.06,,1.66
2025-05-16,play_off,Elitzur Ashkelon,Maccabi Rishon,69,86,1.91,,1.77
2025-05-14,play_off,Ironi Eilat,Ironi Nahariya,100,86,1.53,,2.37
2025-05-13,play_off,Maccabi Rishon,Elitzur Ashkelon,69,75,1.31,,3.08
2025-05-06,play_off,Ramat Hasharon,Elitzur Ashkelon,87,90,1.60,,2.18
2025-05-05,play_off,Migdal Haemek,Ironi Eilat,75,98,3.74,,1.22
2025-05-04,play_off,Elitzur Yavne,Ironi Nahariya,84,97,1.87,,1.81
2025-05-02,play_off,Elitzur Ashkelon,Ramat Hasharon,94,84,1.61,,2.13
2025-05-02,play_off,Maccabi Rehovot,Maccabi Rishon,85,96,2.14,,1.61
2025-04-28,play_off,Ironi Nahariya,Elitzur Yavne,88,84,1.38,,2.76
2025-04-28,play_off,Ironi Eilat,Migdal Haemek,104,79,1.15,,4.71
2025-04-27,play_off,Maccabi Rishon,Maccabi Rehovot,73,70,1.22,,3.71
2025-04-27,play_off,Ramat Hasharon,Elitzur Ashkelon,107,105,1.46,,2.48
2025-04-22,regular,Hapoel Kfar Saba,Elitzur Ashkelon,69,98,2.32,,1.52
2025-04-22,regular,Elitzur Shomron,Safed,93,79,2.16,,1.59
2025-04-22,regular,Hapoel Bnei Kfar Kasem,Maccabi Rehovot,71,95,2.86,,1.35
2025-04-22,regular,Migdal Haemek,Otef Darom,87,79,1.11,,5.35
2025-04-22,regular,Ironi Eilat,Elitzur Yavne,95,83,1.16,,4.48
2025-04-22,regular,Ironi Nahariya,Maccabi Raanana,102,89,1.63,,2.08
2025-04-22,regular,Ramat Hasharon,Maccabi Rishon,75,84,2.24,,1.56
2025-04-18,regular,Elitzur Ashkelon,Elitzur Shomron,94,82,1.18,,4.03
2025-04-18,regular,Safed,Hapoel Bnei Kfar Kasem,98,87,1.33,,2.94
2025-04-18,regular,Otef Darom,Hapoel Kfar Saba,87,91,2.53,,1.43
2025-04-18,regular,Maccabi Rehovot,Migdal Haemek,92,100,1.32,,2.97
2025-04-15,regular,Elitzur Yavne,Ironi Nahariya,90,81,2.50,,1.45
2025-04-15,regular,Hapoel Bnei Kfar Kasem,Elitzur Ashkelon,80,62,2.38,,1.50
2025-04-15,regular,Elitzur Shomron,Hapoel Kfar Saba,99,93,1.54,,2.27
2025-04-15,regular,Maccabi Rishon,Ironi Eilat,70,74,1.56,,2.23
2025-04-15,regular,Maccabi Raanana,Ramat Hasharon,92,69,1.35,,2.90
2025-04-15,regular,Migdal Haemek,Safed,110,93,1.56,,2.24
2025-04-15,regular,Maccabi Rehovot,Otef Darom,79,70,1.07,,6.38
2025-04-11,regular,Otef Darom,Elitzur Shomron,75,83,3.25,,1.26
2025-04-11,regular,Safed,Maccabi Rehovot,85,77,2.21,,1.57
2025-04-11,regular,Ramat Hasharon,Ironi Nahariya,69,70,1.44,,2.54
2025-04-11,regular,Maccabi Rishon,Elitzur Yavne,102,77,1.19,,3.96
2025-04-11,regular,Ironi Eilat,Maccabi Raanana,91,64,1.34,,2.93
2025-04-11,regular,Hapoel Kfar Saba,Hapoel Bnei Kfar Kasem,74,63,1.87,,1.78
2025-04-11,regular,Elitzur Ashkelon,Migdal Haemek,99,86,1.28,,3.20
2025-04-08,regular,Elitzur Yavne,Ramat Hasharon,96,98,1.93,,1.76
2025-04-08,regular,Hapoel Bnei Kfar Kasem,Elitzur Shomron,94,82,1.45,,2.51
2025-04-08,regular,Migdal Haemek,Hapoel Kfar Saba,95,75,1.46,,2.52
2025-04-08,regular,Safed,Otef Darom,81,75,1.09,,6.00
2025-04-08,regular,Maccabi Raanana,Maccabi Rishon,91,76,1.55,,2.28
2025-04-08,regular,Ironi Nahariya,Ironi Eilat,78,97,1.98,,1.72
2025-04-08,regular,Maccabi Rehovot,Elitzur Ashkelon,106,71,1.71,,1.97
2025-04-04,regular,Elitzur Shomron,Migdal Haemek,75,87,1.46,,2.46
2025-04-04,regular,Hapoel Kfar Saba,Maccabi Rehovot,86,103,1.86,,1.83
2025-04-04,regular,Otef Darom,Hapoel Bnei Kfar Kasem,85,81,4.81,,1.14
2025-04-04,regular,Elitzur Ashkelon,Safed,101,88,1.26,,3.34
2025-04-01,regular,Elitzur Ashkelon,Otef Darom,83,68,1.03,,8.95
2025-04-01,regular,Safed,Hapoel Kfar Saba,76,97,1.35,,2.90
2025-04-01,regular,Ironi Eilat,Ramat Hasharon,80,83,1.21,,3.79
