date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-15,regular,FC Porto,Benfica,71,93,1.72,,1.95
2025-06-13,regular,FC Porto,Benfica,82,75,1.62,,2.10
2025-06-10,regular,Benfica,FC Porto,89,81,1.36,,2.85
2025-06-08,regular,Benfica,FC Porto,95,94,1.22,,3.70
2025-05-30,regular,Sporting CP,FC Porto,74,78,2.30,,1.53
2025-05-29,regular,Ovarense,Benfica,80,89,3.40,,1.26
2025-05-25,regular,FC Porto,Sporting CP,83,64,1.24,,3.50
2025-05-24,regular,Benfica,Ovarense,103,71,1.09,,5.75
2025-05-23,regular,FC Porto,Sporting CP,91,81,1.15,,4.50
2025-05-22,regular,Benfica,Ovarense,85,66,1.19,,4.00
2025-05-17,regular,Oliveirense,Ovarense,82,83,1.34,,2.90
2025-05-15,regular,Galitos Barreiro,Sporting CP,83,88,2.40,,1.48
2025-05-15,regular,Imortal,FC Porto,84,95,3.50,,1.25
2025-05-14,regular,Ovarense,Oliveirense,92,77,1.59,,2.18
2025-05-14,regular,Vitoria,Benfica,68,88,3.20,,1.28
2025-05-11,regular,FC Porto,Imortal,88,74,1.22,,3.75
2025-05-10,regular,Oliveirense,Ovarense,87,74,1.30,,3.10
2025-05-10,regular,Sporting CP,Galitos Barreiro,90,79,1.14,,4.75
2025-05-09,regular,Benfica,Vitoria,99,87,1.08,,6.25
2025-04-26,regular,Benfica,Vitoria,91,81,1.04,,7.75
2025-04-26,regular,Galomar,CA Queluz,106,78,2.35,,1.50
2025-04-26,regular,Imortal,CD Povoa,85,81,1.24,,3.50
2025-04-26,regular,Esgueira,Ovarense,84,85,3.10,,1.30
2025-04-26,regular,FC Porto,Galitos Barreiro,87,82,1.30,,3.10
2025-04-26,regular,Oliveirense,Sporting CP,75,86,1.98,,1.70
2025-04-19,regular,CA Queluz,Esgueira,86,73,1.30,,3.10
2025-04-19,regular,CD Povoa,Oliveirense,61,68,3.50,,1.25
2025-04-19,regular,Ovarense,FC Porto,66,94,2.90,,1.34
2025-04-19,regular,Galitos Barreiro,Imortal,90,88,1.78,,1.90
2025-04-19,regular,Sporting CP,Benfica,85,87,2.60,,1.42
2025-04-19,regular,Vitoria,Galomar,85,74,1.40,,2.65
2025-04-13,regular,FC Porto,CA Queluz,93,80,1.02,,9.00
2025-04-13,regular,Imortal,Ovarense,71,88,1.80,,1.87
2025-04-13,regular,Oliveirense,Galitos Barreiro,92,80,1.35,,2.85
2025-04-12,regular,Benfica,CD Povoa,94,77,-,,11.50
2025-04-12,regular,Esgueira,Galomar,85,82,1.18,,4.10
2025-04-12,regular,Vitoria,Sporting CP,89,97,2.60,,1.42
2025-04-05,regular,CA Queluz,Imortal,72,79,1.98,,1.72
2025-04-05,regular,Galitos Barreiro,Benfica,90,95,4.60,,1.14
2025-04-05,regular,CD Povoa,Vitoria,81,71,2.25,,1.55
2025-04-05,regular,Ovarense,Oliveirense,87,92,1.62,,2.10
2025-04-05,regular,Esgueira,FC Porto,81,96,4.20,,1.17
2025-04-05,regular,Galomar,Sporting CP,82,94,5.00,,1.12
2025-03-30,regular,Oliveirense,CA Queluz,88,69,1.11,,5.25
2025-03-29,regular,Sporting CP,CD Povoa,84,57,1.06,,7.00
2025-03-29,regular,Benfica,Ovarense,93,59,1.09,,5.75
2025-03-29,regular,Imortal,Esgueira,90,87,1.48,,2.40
2025-03-29,regular,FC Porto,Galomar,82,78,1.01,,10.50
2025-03-29,regular,Vitoria,Galitos Barreiro,103,93,1.55,,2.25
2025-03-22,regular,Galomar,Vitoria,75,82,2.60,,1.42
