date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-02,play_off,Nacional,Aguada,79,77,1.96,,1.75
2025-05-31,play_off,Aguada,Nacional,96,97,1.54,,2.33
2025-05-28,play_off,Nacional,Aguada,103,98,1.88,,1.81
2025-05-26,play_off,Aguada,Nacional,80,72,1.75,,1.96
2025-05-23,play_off,Nacional,Aguada,73,82,1.78,,1.92
2025-05-20,play_off,Aguada,Nacional,84,75,1.79,,1.91
2025-05-17,play_off,Nacional,Aguada,102,77,1.32,,3.05
2025-05-13,play_off,Aguada,Malvin,111,99,1.26,,3.46
2025-05-10,play_off,Defensor,Nacional,80,85,3.04,,1.33
2025-05-09,play_off,Malvin,Aguada,76,83,2.46,,1.48
2025-05-07,play_off,Nacional,Defensor,90,82,1.09,,6.16
2025-05-06,play_off,Aguada,Malvin,93,80,1.13,,4.99
2025-05-03,play_off,Defensor,Nacional,87,77,4.01,,1.20
2025-04-30,play_off,Malvin,Aguada,87,83,2.31,,1.53
2025-04-29,play_off,Nacional,Defensor,97,61,1.15,,4.63
2025-04-26,play_off,Aguada,Malvin,96,99,1.26,,3.43
2025-04-25,play_off,Penarol,Defensor,78,84,1.33,,3.00
2025-04-22,play_off,Malvin,Cordon,105,76,1.19,,4.03
2025-04-22,play_off,Defensor,Penarol,96,93,2.27,,1.55
2025-04-21,play_off,Nacional,Hebraica y Macabi,96,72,,,
2025-04-19,play_off,Nacional,Hebraica y Macabi,115,64,-,,13.50
2025-04-17,play_off,Penarol,Defensor,76,95,1.27,,3.34
2025-04-17,play_off,Cordon,Malvin,79,75,2.90,,1.35
2025-04-15,play_off,Nacional,Hebraica y Macabi,94,52,1.03,,9.32
2025-04-14,play_off,Malvin,Cordon,90,75,1.27,,3.35
2025-04-14,play_off,Defensor,Penarol,73,78,2.00,,1.71
2025-04-12,play_off,Remeros Mercedes,Hebraica y Macabi,76,87,1.61,,2.16
2025-04-11,play_off,Aguada,Bigua,99,82,1.16,,4.49
2025-04-09,play_off,Hebraica y Macabi,Remeros Mercedes,82,77,2.42,,1.50
2025-04-09,play_off,Cordon,Malvin,63,78,2.50,,1.46
2025-04-08,play_off,Penarol,Defensor,76,71,1.24,,3.59
2025-04-08,play_off,Bigua,Aguada,90,95,2.87,,1.36
2025-04-07,play_off,Urupan,Welcome,87,88,1.44,,2.58
2025-04-06,play_off,Remeros Mercedes,Hebraica y Macabi,93,70,2.84,,1.34
2025-04-05,play_off,Malvin,Cordon,81,88,1.24,,3.56
2025-04-04,play_off,Aguada,Bigua,89,77,1.16,,4.51
2025-04-02,regular,Hebraica y Macabi,Urupan,102,97,,,
2025-04-01,regular,Penarol,Cordon,95,88,1.27,,3.43
2025-04-01,regular,Nacional,Malvin,82,85,1.25,,3.51
2025-03-31,regular,Aguada,Defensor,83,75,1.28,,3.28
2025-03-30,play_off,Bigua,Ferro Carril,88,70,1.01,,11.38
2025-03-28,regular,Penarol,Malvin,82,73,1.32,,3.01
2025-03-28,regular,Aguada,Cordon,109,94,1.12,,5.28
2025-03-28,regular,Nacional,Defensor,81,69,1.26,,3.44
2025-03-23,regular,Bigua,Welcome,124,90,1.15,,4.74
2025-03-23,regular,Trouville,Urunday,,,4.68,,1.15
2025-03-19,regular,Bigua,Urupan,86,88,1.27,,3.34
2025-03-19,regular,Hebraica y Macabi,Urunday,74,78,1.61,,2.18
2025-03-19,regular,Trouville,Welcome,81,106,2.50,,1.45
2025-03-18,regular,Malvin,Defensor,71,55,1.54,,2.29
2025-03-18,regular,Penarol,Aguada,78,85,1.90,,1.80
2025-03-18,regular,Nacional,Cordon,85,80,1.03,,8.44
2025-03-16,regular,Urunday,Bigua,78,77,2.01,,1.70
2025-03-16,regular,Hebraica y Macabi,Trouville,98,88,1.14,,4.84
2025-03-16,regular,Welcome,Urupan,85,77,2.95,,1.34
2025-03-14,regular,Aguada,Nacional,99,81,1.82,,1.90
2025-03-14,regular,Malvin,Cordon,75,82,1.16,,4.49
2025-03-14,regular,Penarol,Defensor,80,74,1.30,,3.16
2025-03-13,regular,Bigua,Hebraica y Macabi,82,77,1.34,,2.94
2025-03-13,regular,Welcome,Urunday,97,90,3.41,,1.26
2025-03-12,regular,Aguada,Malvin,85,90,,,
2025-03-12,regular,Urupan,Trouville,85,79,1.67,,2.06
2025-03-11,regular,Defensor,Cordon,88,78,1.35,,2.93
2025-03-11,regular,Nacional,Penarol,90,72,1.44,,2.55
2025-03-10,regular,Hebraica y Macabi,Welcome,87,81,1.19,,4.02
2025-03-09,regular,Bigua,Trouville,91,80,1.20,,3.83
2025-03-09,regular,Urupan,Urunday,83,78,1.99,,1.71
2025-03-06,regular,Bigua,Nacional,96,102,2.76,,1.40
2025-03-06,regular,Cordon,Trouville,74,69,1.36,,2.88
2025-03-06,regular,Penarol,Hebraica y Macabi,82,68,1.11,,5.32
2025-03-05,regular,Aguada,Welcome,101,72,1.02,,10.00
2025-03-05,regular,Urupan,Defensor,94,92,3.41,,1.27
2025-03-05,regular,Urunday,Malvin,93,87,4.03,,1.20
2025-03-03,regular,Hebraica y Macabi,Bigua,87,95,1.86,,1.86
2025-03-01,regular,Defensor,Penarol,84,85,2.26,,1.57
2025-03-01,regular,Malvin,Cordon,82,60,1.28,,3.31
2025-02-28,regular,Trouville,Aguada,75,77,4.44,,1.16
2025-02-28,regular,Bigua,Urunday,85,92,1.31,,3.13
2025-02-28,regular,Welcome,Urupan,99,88,2.99,,1.34
2025-02-15,regular,Bigua,Penarol,72,83,3.11,,1.32
2025-02-14,regular,Nacional,Aguada,91,94,1.51,,2.41
2025-02-14,regular,Malvin,Urupan,91,72,1.20,,4.05
2025-02-13,regular,Trouville,Defensor,84,93,3.89,,1.22
2025-02-12,regular,Penarol,Welcome,88,59,1.02,,9.75
2025-02-11,regular,Hebraica y Macabi,Cordon,94,98,1.68,,2.07
2025-02-11,regular,Nacional,Urunday,99,79,1.03,,9.48
2025-02-08,regular,Defensor,Welcome,112,77,1.05,,7.65
2025-02-08,regular,Aguada,Malvin,71,70,1.27,,3.42
2025-02-08,regular,Urunday,Hebraica y Macabi,77,89,1.70,,2.05
2025-02-08,regular,Cordon,Nacional,79,86,6.27,,1.08
2025-02-07,regular,Urupan,Trouville,97,90,1.46,,2.56
2025-02-05,regular,Aguada,Hebraica y Macabi,95,86,1.08,,6.41
2025-02-05,regular,Cordon,Bigua,82,80,1.98,,1.74
2025-02-05,regular,Defensor,Malvin,87,80,1.75,,1.97
2025-02-04,regular,Welcome,Trouville,71,66,2.46,,1.49
2025-02-04,regular,Urupan,Nacional,65,121,7.10,,1.07
2025-02-04,regular,Urunday,Penarol,80,83,5.74,,1.10
2025-02-01,regular,Aguada,Urunday,98,86,1.06,,7.39
2025-02-01,regular,Urupan,Bigua,89,93,1.91,,1.80
2025-02-01,regular,Defensor,Hebraica y Macabi,86,90,1.28,,3.39
