date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-21,play_off,Zalgiris Kaunas,Rytas,76,69,1.26,,3.40
2025-06-19,play_off,Rytas,Zalgiris Kaunas,83,84,2.30,,1.53
2025-06-18,play_off,Jonava,Lietkabelis,73,81,1.80,,1.87
2025-06-17,play_off,Zalgiris Kaunas,Rytas,80,86,1.22,,3.70
2025-06-16,play_off,Lietkabelis,Jonava,92,78,1.30,,3.10
2025-06-14,play_off,Rytas,Zalgiris Kaunas,79,83,2.65,,1.40
2025-06-13,play_off,Jonava,Lietkabelis,85,104,1.62,,2.10
2025-06-12,play_off,Zalgiris Kaunas,Rytas,89,97,1.19,,4.00
2025-06-11,play_off,Lietkabelis,Jonava,83,90,1.42,,2.60
2025-06-08,play_off,Rytas,Lietkabelis,94,70,1.22,,3.70
2025-06-06,play_off,Lietkabelis,Rytas,87,76,2.40,,1.48
2025-06-04,play_off,Rytas,Lietkabelis,87,86,1.18,,4.10
2025-06-03,play_off,Zalgiris Kaunas,Jonava,86,78,1.03,,8.25
2025-06-01,play_off,Lietkabelis,Rytas,76,73,,,
2025-05-31,play_off,Jonava,Zalgiris Kaunas,74,98,5.50,,1.10
2025-05-30,play_off,Rytas,Lietkabelis,86,82,1.19,,4.00
2025-05-29,play_off,Zalgiris Kaunas,Jonava,73,61,1.04,,7.75
2025-05-27,play_off,Juventus,Lietkabelis,90,93,2.00,,1.70
2025-05-27,play_off,Siauliai,Rytas,84,110,4.25,,1.17
2025-05-26,play_off,Neptunas,Zalgiris Kaunas,70,98,5.25,,1.11
2025-05-26,play_off,Jonava,BC Wolves,102,98,2.20,,1.57
2025-05-25,play_off,Rytas,Siauliai,127,81,1.07,,6.50
2025-05-25,play_off,Lietkabelis,Juventus,83,77,1.30,,3.10
2025-05-24,play_off,BC Wolves,Jonava,102,103,1.26,,3.40
2025-05-24,play_off,Zalgiris Kaunas,Neptunas,88,75,1.01,,13.00
2025-05-21,regular,BC Wolves,Mazeikiai,109,85,-,,17.00
2025-05-21,regular,Siauliai,Zalgiris Kaunas,66,71,7.50,,1.04
2025-05-21,regular,Nevezis,Rytas,101,105,5.50,,1.10
2025-05-20,regular,Jonava,Neptunas,93,98,1.28,,3.25
2025-05-20,regular,Lietkabelis,Juventus,94,89,1.12,,5.00
2025-05-18,regular,BC Wolves,Jonava,91,87,1.42,,2.60
2025-05-18,regular,Zalgiris Kaunas,Rytas,97,79,1.35,,2.85
2025-05-17,regular,Mazeikiai,Lietkabelis,65,96,13.50,,1.01
2025-05-17,regular,Neptunas,Juventus,100,88,1.75,,1.91
2025-05-17,regular,Nevezis,Siauliai,92,104,1.80,,1.87
2025-05-14,regular,Neptunas,Mazeikiai,85,79,-,,12.50
2025-05-14,regular,Zalgiris Kaunas,BC Wolves,89,75,1.10,,5.50
2025-05-14,regular,Juventus,Nevezis,101,91,1.55,,2.25
2025-05-13,regular,Rytas,Siauliai,103,96,1.06,,6.75
2025-05-13,regular,Lietkabelis,Jonava,72,68,1.33,,2.95
2025-05-11,regular,Jonava,Zalgiris Kaunas,81,91,4.40,,1.16
2025-05-11,regular,BC Wolves,Neptunas,96,84,1.30,,3.10
2025-05-11,regular,Nevezis,Mazeikiai,109,80,-,,13.00
2025-05-10,regular,Juventus,Siauliai,102,79,1.59,,2.18
2025-05-10,regular,Rytas,Lietkabelis,90,72,1.30,,3.10
2025-05-07,regular,Nevezis,BC Wolves,106,107,2.65,,1.40
