date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-24,regular,Paris,Monaco,99,93,1.41,,2.90
2025-06-22,regular,Monaco,Paris,80,74,1.90,,1.88
2025-06-20,regular,Monaco,Paris,81,78,1.70,,2.15
2025-06-17,regular,Paris,Monaco,92,67,1.37,,3.03
2025-06-15,regular,Paris,Monaco,94,82,1.51,,2.57
2025-06-10,regular,Monaco,Lyon-Villeurbanne,91,86,1.36,,3.18
2025-06-08,regular,JL Bourg,Paris,93,103,2.01,,1.79
2025-06-08,regular,Monaco,Lyon-Villeurbanne,74,64,1.37,,3.10
2025-06-06,regular,Paris,JL Bourg,117,103,1.24,,4.05
2025-06-05,regular,Lyon-Villeurbanne,Monaco,77,94,1.63,,2.28
2025-06-04,regular,Paris,JL Bourg,100,89,1.28,,3.70
2025-06-03,regular,Lyon-Villeurbanne,Monaco,94,74,1.96,,1.79
2025-06-01,regular,Monaco,Le Mans,85,76,1.21,,4.38
2025-05-31,regular,Lyon-Villeurbanne,Chalon/Saone,99,75,1.25,,3.93
2025-05-31,regular,Paris,Dijon,114,88,1.13,,6.00
2025-05-30,regular,Le Mans,Monaco,88,87,2.38,,1.58
2025-05-29,regular,Dijon,Paris,80,79,2.93,,1.40
2025-05-29,regular,Chalon/Saone,Lyon-Villeurbanne,76,69,2.25,,1.64
2025-05-28,regular,Monaco,Le Mans,76,69,1.19,,4.35
2025-05-28,regular,JL Bourg,Cholet,94,89,1.36,,3.15
2025-05-27,regular,Paris,Dijon,100,87,1.15,,5.50
2025-05-27,regular,Lyon-Villeurbanne,Chalon/Saone,100,96,1.19,,4.85
2025-05-26,regular,Cholet,JL Bourg,71,95,1.85,,1.93
2025-05-23,regular,Dijon,Saint Quentin,92,79,1.43,,2.80
2025-05-20,regular,Nancy,Saint Quentin,81,88,1.60,,2.33
2025-05-20,regular,Chalon/Saone,Dijon,106,85,1.61,,2.30
2025-05-17,regular,Chalon/Saone,Monaco,90,65,2.83,,1.42
2025-05-17,regular,JL Bourg,Cholet,86,89,1.37,,3.03
2025-05-17,regular,Lyon-Villeurbanne,Dijon,84,83,1.17,,5.13
2025-05-17,regular,Strasbourg,Gravelines-Dunkerque,91,88,2.18,,1.68
2025-05-17,regular,La Rochelle,Le Mans,98,100,5.25,,1.16
2025-05-17,regular,Le Portel,Nanterre,90,70,1.68,,2.18
2025-05-17,regular,Limoges,Saint Quentin,74,70,2.80,,1.43
2025-05-17,regular,Nancy,Paris,86,105,3.28,,1.33
2025-05-13,regular,Paris,Dijon,95,96,1.11,,6.50
2025-05-13,regular,La Rochelle,Monaco,48,86,13.38,,1.02
2025-05-12,regular,Le Mans,Lyon-Villeurbanne,97,80,3.65,,1.28
2025-05-11,regular,Monaco,JL Bourg,73,100,1.23,,4.15
2025-05-11,regular,Nanterre,Strasbourg,76,75,1.68,,2.18
2025-05-10,regular,Gravelines-Dunkerque,Chalon/Saone,78,71,1.84,,1.95
2025-05-10,regular,Paris,Le Portel,109,65,1.04,,12.50
2025-05-10,regular,Cholet,Nancy,95,74,1.35,,3.15
2025-05-10,regular,Dijon,Limoges,89,83,1.24,,4.05
2025-05-09,regular,Saint Quentin,La Rochelle,75,59,1.09,,6.75
2025-05-04,regular,Cholet,Lyon-Villeurbanne,75,94,2.38,,1.58
2025-05-04,regular,Limoges,Paris,71,78,3.90,,1.25
2025-05-03,regular,Dijon,Gravelines-Dunkerque,93,77,1.40,,2.90
2025-05-03,regular,JL Bourg,Le Portel,98,69,1.14,,5.63
2025-05-03,regular,Chalon/Saone,Strasbourg,86,78,1.37,,3.03
2025-05-03,regular,Saint Quentin,Le Mans,89,91,1.46,,2.70
