date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-23,play_off,Oklahoma City Thunder,Indiana Pacers,103,91,1.38,,3.15
2025-06-20,play_off,Indiana Pacers,Oklahoma City Thunder,108,91,2.80,,1.46
2025-06-17,play_off,Oklahoma City Thunder,Indiana Pacers,120,109,1.25,,4.06
2025-06-14,play_off,Indiana Pacers,Oklahoma City Thunder,104,111,2.90,,1.43
2025-06-12,play_off,Indiana Pacers,Oklahoma City Thunder,116,107,2.77,,1.46
2025-06-09,play_off,Oklahoma City Thunder,Indiana Pacers,123,107,1.17,,5.21
2025-06-06,play_off,Oklahoma City Thunder,Indiana Pacers,110,111,1.21,,4.58
2025-06-01,play_off,Indiana Pacers,New York Knicks,125,108,1.56,,2.47
2025-05-30,play_off,New York Knicks,Indiana Pacers,111,94,1.54,,2.52
2025-05-29,play_off,Oklahoma City Thunder,Minnesota Timberwolves,124,94,1.26,,3.97
2025-05-28,play_off,Indiana Pacers,New York Knicks,130,121,1.65,,2.28
2025-05-27,play_off,Minnesota Timberwolves,Oklahoma City Thunder,126,128,2.27,,1.66
2025-05-26,play_off,Indiana Pacers,New York Knicks,100,106,1.78,,2.23
2025-05-25,play_off,Minnesota Timberwolves,Oklahoma City Thunder,143,101,2.24,,1.68
2025-05-24,play_off,New York Knicks,Indiana Pacers,109,114,1.41,,3.02
2025-05-23,play_off,Oklahoma City Thunder,Minnesota Timberwolves,118,103,1.30,,3.64
2025-05-22,play_off,New York Knicks,Indiana Pacers,135,138,1.53,,2.56
2025-05-21,play_off,Oklahoma City Thunder,Minnesota Timberwolves,114,88,1.34,,3.29
2025-05-18,play_off,Oklahoma City Thunder,Denver Nuggets,125,93,1.30,,3.61
2025-05-17,play_off,New York Knicks,Boston Celtics,119,81,1.68,,2.23
2025-05-16,play_off,Denver Nuggets,Oklahoma City Thunder,119,107,2.62,,1.51
2025-05-15,play_off,Minnesota Timberwolves,Golden State Warriors,121,110,1.22,,4.38
2025-05-15,play_off,Boston Celtics,New York Knicks,127,102,1.51,,2.61
2025-05-14,play_off,Oklahoma City Thunder,Denver Nuggets,112,105,1.23,,4.34
2025-05-14,play_off,Cleveland Cavaliers,Indiana Pacers,105,114,1.29,,3.69
2025-05-13,play_off,Golden State Warriors,Minnesota Timberwolves,110,117,2.63,,1.51
2025-05-13,play_off,New York Knicks,Boston Celtics,121,113,2.93,,1.42
2025-05-12,play_off,Indiana Pacers,Cleveland Cavaliers,129,109,2.81,,1.45
2025-05-11,play_off,Denver Nuggets,Oklahoma City Thunder,87,92,3.18,,1.37
2025-05-11,play_off,Golden State Warriors,Minnesota Timberwolves,97,102,2.93,,1.42
2025-05-10,play_off,New York Knicks,Boston Celtics,93,115,3.03,,1.40
2025-05-10,play_off,Denver Nuggets,Oklahoma City Thunder,113,104,3.01,,1.40
2025-05-10,play_off,Indiana Pacers,Cleveland Cavaliers,104,126,2.70,,1.48
2025-05-09,play_off,Minnesota Timberwolves,Golden State Warriors,117,93,1.19,,4.91
2025-05-08,play_off,Oklahoma City Thunder,Denver Nuggets,149,106,1.20,,4.67
2025-05-08,play_off,Boston Celtics,New York Knicks,90,91,1.19,,4.82
2025-05-07,play_off,Minnesota Timberwolves,Golden State Warriors,88,99,1.42,,2.98
2025-05-07,play_off,Cleveland Cavaliers,Indiana Pacers,119,120,1.40,,3.06
2025-05-06,play_off,Oklahoma City Thunder,Denver Nuggets,119,121,1.21,,4.59
2025-05-06,play_off,Boston Celtics,New York Knicks,105,108,1.25,,4.08
2025-05-05,play_off,Houston Rockets,Golden State Warriors,89,103,1.73,,2.15
2025-05-05,play_off,Cleveland Cavaliers,Indiana Pacers,112,121,1.26,,3.95
2025-05-04,play_off,Denver Nuggets,Los Angeles Clippers,120,101,1.81,,2.03
2025-05-03,play_off,Golden State Warriors,Houston Rockets,107,115,1.42,,2.94
2025-05-02,play_off,Los Angeles Clippers,Denver Nuggets,111,105,1.39,,3.05
2025-05-02,play_off,Detroit Pistons,New York Knicks,113,116,1.83,,2.01
2025-05-01,play_off,Los Angeles Lakers,Minnesota Timberwolves,96,103,1.40,,3.04
2025-05-01,play_off,Houston Rockets,Golden State Warriors,131,116,1.54,,2.52
2025-04-30,play_off,Denver Nuggets,Los Angeles Clippers,131,115,2.11,,1.76
2025-04-30,play_off,Boston Celtics,Orlando Magic,120,89,1.14,,5.70
2025-04-30,play_off,New York Knicks,Detroit Pistons,103,106,1.44,,2.81
2025-04-30,play_off,Indiana Pacers,Milwaukee Bucks,119,118,1.27,,3.89
2025-04-29,play_off,Golden State Warriors,Houston Rockets,109,106,1.59,,2.41
2025-04-29,play_off,Miami Heat,Cleveland Cavaliers,83,138,3.86,,1.27
2025-04-28,play_off,Milwaukee Bucks,Indiana Pacers,103,129,1.56,,2.48
2025-04-28,play_off,Orlando Magic,Boston Celtics,98,107,3.70,,1.29
2025-04-27,play_off,Minnesota Timberwolves,Los Angeles Lakers,116,113,1.70,,2.19
2025-04-27,play_off,Detroit Pistons,New York Knicks,93,94,1.71,,2.19
2025-04-27,play_off,Golden State Warriors,Houston Rockets,104,93,1.75,,2.12
2025-04-27,play_off,Los Angeles Clippers,Denver Nuggets,99,101,1.36,,3.19
2025-04-26,play_off,Memphis Grizzlies,Oklahoma City Thunder,115,117,8.28,,1.08
2025-04-26,play_off,Miami Heat,Cleveland Cavaliers,87,124,2.70,,1.48
2025-04-26,play_off,Minnesota Timberwolves,Los Angeles Lakers,116,104,1.58,,2.43
2025-04-26,play_off,Milwaukee Bucks,Indiana Pacers,117,101,1.49,,2.67
2025-04-26,play_off,Orlando Magic,Boston Celtics,95,93,2.90,,1.42
2025-04-25,play_off,Los Angeles Clippers,Denver Nuggets,117,83,1.43,,2.88
2025-04-25,play_off,Memphis Grizzlies,Oklahoma City Thunder,108,114,4.35,,1.22
2025-04-25,play_off,Detroit Pistons,New York Knicks,116,118,2.06,,1.79
2025-04-24,play_off,Houston Rockets,Golden State Warriors,109,94,1.57,,2.47
2025-04-24,play_off,Cleveland Cavaliers,Miami Heat,121,112,1.15,,5.63
2025-04-24,play_off,Boston Celtics,Orlando Magic,109,100,1.19,,4.77
2025-04-23,play_off,Los Angeles Lakers,Minnesota Timberwolves,94,85,1.40,,3.03
2025-04-23,play_off,Oklahoma City Thunder,Memphis Grizzlies,118,99,1.08,,7.78
2025-04-23,play_off,Indiana Pacers,Milwaukee Bucks,123,115,1.55,,2.49
2025-04-22,play_off,Denver Nuggets,Los Angeles Clippers,102,105,1.92,,1.92
2025-04-22,play_off,New York Knicks,Detroit Pistons,94,100,1.36,,3.18
2025-04-21,play_off,Houston Rockets,Golden State Warriors,85,95,1.82,,2.04
2025-04-21,play_off,Cleveland Cavaliers,Miami Heat,121,100,1.12,,6.26
2025-04-20,play_off,Boston Celtics,Orlando Magic,103,86,1.12,,6.45
2025-04-20,play_off,Oklahoma City Thunder,Memphis Grizzlies,131,80,1.11,,6.97
2025-04-20,play_off,Los Angeles Lakers,Minnesota Timberwolves,95,117,1.49,,2.68
2025-04-20,play_off,New York Knicks,Detroit Pistons,123,112,1.34,,3.34
2025-04-19,play_off,Denver Nuggets,Los Angeles Clippers,112,110,1.68,,2.24
2025-04-19,play_off,Indiana Pacers,Milwaukee Bucks,117,98,1.42,,2.95
2025-04-19,play_off,Memphis Grizzlies,Dallas Mavericks,120,106,1.42,,2.94
2025-04-19,play_off,Atlanta Hawks,Miami Heat,114,123,2.13,,1.75
2025-04-17,play_off,Sacramento Kings,Dallas Mavericks,106,120,1.42,,2.97
2025-04-17,play_off,Chicago Bulls,Miami Heat,90,109,1.77,,2.08
2025-04-16,play_off,Golden State Warriors,Memphis Grizzlies,121,116,1.35,,3.26
2025-04-16,play_off,Orlando Magic,Atlanta Hawks,120,95,1.42,,2.95
