date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-03-23,regular,Illawarra Hawks,Melbourne United,114,104,1.62,,2.30
2025-03-19,regular,Melbourne United,Illawarra Hawks,71,80,1.55,,2.45
2025-03-16,regular,Illawarra Hawks,Melbourne United,77,83,1.36,,3.00
2025-03-12,regular,Melbourne United,Illawarra Hawks,100,102,1.90,,1.91
2025-03-08,regular,Illawarra Hawks,Melbourne United,88,96,1.36,,3.10
2025-03-05,regular,Illawarra Hawks,South East Melbourne,126,96,1.44,,2.85
2025-03-04,regular,Melbourne United,Perth,113,112,1.57,,2.40
2025-03-02,regular,South East Melbourne,Illawarra Hawks,101,94,2.05,,1.78
2025-03-01,regular,Perth,Melbourne United,96,89,1.53,,2.50
2025-02-28,regular,Illawarra Hawks,South East Melbourne,101,94,1.40,,3.00
2025-02-27,regular,Melbourne United,Perth,105,93,1.55,,2.45
2025-02-16,regular,South East Melbourne,Adelaide,85,75,1.62,,2.30
2025-02-13,regular,Sydney,Adelaide,88,95,2.35,,1.60
2025-02-11,regular,Perth,South East Melbourne,122,105,1.50,,2.60
2025-02-08,regular,Melbourne United,South East Melbourne,103,93,1.78,,2.05
2025-02-08,regular,Tasmania JackJumpers,Cairns Taipans,90,83,1.60,,2.35
2025-02-07,regular,Perth,Adelaide,112,104,1.44,,2.85
2025-02-07,regular,Illawarra Hawks,Sydney,95,75,1.53,,2.50
2025-02-06,regular,Cairns Taipans,Brisbane Bullets,100,88,1.87,,1.95
2025-02-05,regular,New Zealand Breakers,Illawarra Hawks,82,96,3.90,,1.26
2025-02-02,regular,South East Melbourne,Adelaide,105,99,1.50,,2.60
2025-02-02,regular,Sydney,Perth,97,104,1.50,,2.60
2025-02-01,regular,Melbourne United,Tasmania JackJumpers,94,92,1.16,,5.25
2025-02-01,regular,New Zealand Breakers,Cairns Taipans,99,92,2.30,,1.62
2025-01-31,regular,Perth,South East Melbourne,100,99,1.59,,2.40
2025-01-31,regular,Adelaide,Brisbane Bullets,89,92,1.16,,5.25
2025-01-30,regular,Tasmania JackJumpers,Illawarra Hawks,78,102,3.90,,1.26
2025-01-26,regular,Adelaide,New Zealand Breakers,94,78,1.18,,5.00
2025-01-26,regular,Brisbane Bullets,Melbourne United,88,115,,,
2025-01-25,regular,Perth,Cairns Taipans,116,125,1.15,,5.50
2025-01-25,regular,South East Melbourne,Tasmania JackJumpers,116,80,1.30,,3.50
2025-01-24,regular,Sydney,Adelaide,96,105,1.57,,2.40
2025-01-24,regular,New Zealand Breakers,Brisbane Bullets,87,93,1.33,,3.40
2025-01-23,regular,Cairns Taipans,Illawarra Hawks,100,94,5.25,,1.16
2025-01-22,regular,Perth,Melbourne United,93,99,1.57,,2.40
2025-01-22,regular,South East Melbourne,Sydney,92,103,1.83,,2.00
2025-01-20,regular,Illawarra Hawks,Brisbane Bullets,121,87,1.06,,9.75
2025-01-19,regular,Cairns Taipans,Adelaide,75,99,2.30,,1.62
2025-01-19,regular,Sydney,Tasmania JackJumpers,88,77,1.28,,3.75
2025-01-18,regular,Illawarra Hawks,Melbourne United,117,95,1.55,,2.50
2025-01-18,regular,South East Melbourne,New Zealand Breakers,102,89,1.40,,3.00
2025-01-17,regular,Perth,Adelaide,110,103,1.35,,3.25
2025-01-17,regular,Brisbane Bullets,Cairns Taipans,80,111,1.78,,2.05
2025-01-16,regular,New Zealand Breakers,Tasmania JackJumpers,85,75,1.78,,2.05
2025-01-15,regular,Brisbane Bullets,Perth,85,112,3.95,,1.25
2025-01-14,regular,Cairns Taipans,South East Melbourne,102,113,3.20,,1.36
2025-01-13,regular,Adelaide,Illawarra Hawks,91,88,2.20,,1.67
2025-01-13,regular,New Zealand Breakers,Melbourne United,89,91,3.25,,1.28
2025-01-12,regular,Sydney,Cairns Taipans,91,87,1.25,,4.00
2025-01-12,regular,Tasmania JackJumpers,Perth,73,105,,,
