date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-26,play_off,Zalakeramia,Atomeromu Paks,79,89,3.11,,1.31
2025-05-24,play_off,Budapesti Honved Se,NKA Pecs,83,77,1.65,,2.11
2025-05-24,play_off,Szedeak,Kecskemeti TE,68,64,1.03,,7.97
2025-05-24,play_off,Pecsi VSK,OSE Lions,85,89,2.99,,1.34
2025-05-23,play_off,Szombathely,Szolnoki Olaj,79,98,1.11,,5.48
2025-05-23,play_off,Atomeromu Paks,Zalakeramia,82,66,1.06,,6.87
2025-05-21,play_off,OSE Lions,Budapesti Honved Se,82,72,1.47,,2.51
2025-05-21,play_off,NKA Pecs,Kecskemeti TE,90,51,1.03,,9.04
2025-05-21,play_off,Pecsi VSK,Szedeak,108,84,1.84,,1.87
2025-05-20,play_off,Zalakeramia,Atomeromu Paks,79,73,3.67,,1.23
2025-05-20,play_off,Szolnoki Olaj,Szombathely,81,79,4.10,,1.20
2025-05-20,regular,Soproni KC,Alba Fehervar,100,88,1.50,,2.42
2025-05-18,regular,Alba Fehervar,Soproni KC,111,109,1.57,,2.26
2025-05-18,regular,Kormend,DEAC,76,97,1.87,,1.84
2025-05-17,play_off,Atomeromu Paks,Zalakeramia,94,73,1.12,,5.14
2025-05-17,play_off,Budapesti Honved Se,Szedeak,80,84,1.55,,2.32
2025-05-17,play_off,Kecskemeti TE,Pecsi VSK,99,82,2.01,,1.70
2025-05-17,play_off,OSE Lions,NKA Pecs,85,75,1.92,,1.80
2025-05-17,play_off,Szombathely,Szolnoki Olaj,73,93,1.02,,9.67
2025-05-14,play_off,Kecskemeti TE,Budapesti Honved Se,83,79,1.71,,2.02
2025-05-14,play_off,NKA Pecs,Pecsi VSK,90,80,1.18,,4.26
2025-05-14,play_off,Szedeak,OSE Lions,84,67,1.67,,2.10
2025-05-14,regular,Soproni KC,Alba Fehervar,103,86,1.61,,2.18
2025-05-14,regular,DEAC,Kormend,106,78,1.44,,2.58
2025-05-12,play_off,Szolnoki Olaj,Atomeromu Paks,90,86,1.96,,1.76
2025-05-10,play_off,Pecsi VSK,Budapesti Honved Se,72,79,1.96,,1.76
2025-05-10,play_off,OSE Lions,Kecskemeti TE,86,68,1.92,,1.82
2025-05-10,play_off,Szedeak,NKA Pecs,65,48,2.44,,1.49
2025-05-10,regular,Kormend,Soproni KC,107,106,2.16,,1.63
2025-05-09,play_off,Atomeromu Paks,Szolnoki Olaj,100,82,1.49,,2.48
2025-05-09,play_off,Szombathely,Zalakeramia,85,64,1.02,,10.55
2025-05-07,regular,Alba Fehervar,DEAC,98,102,1.41,,2.71
2025-05-07,regular,Soproni KC,Kormend,84,75,1.27,,3.39
2025-05-06,play_off,Zalakeramia,Szombathely,77,97,7.86,,1.05
2025-05-06,play_off,Szolnoki Olaj,Atomeromu Paks,94,91,1.63,,2.17
2025-05-03,play_off,Atomeromu Paks,Szolnoki Olaj,88,96,1.46,,2.54
2025-05-03,play_off,Szombathely,Zalakeramia,94,62,1.02,,9.92
2025-05-03,play_off,NKA Pecs,Budapesti Honved Se,84,72,1.26,,3.48
2025-05-03,play_off,Kecskemeti TE,Szedeak,76,67,1.45,,2.58
2025-05-03,play_off,OSE Lions,Pecsi VSK,87,88,1.31,,3.15
2025-05-02,regular,DEAC,Alba Fehervar,97,84,1.99,,1.74
2025-05-02,regular,Kormend,Soproni KC,79,72,2.81,,1.40
2025-04-30,play_off,Kecskemeti TE,NKA Pecs,83,91,2.20,,1.61
2025-04-30,play_off,Szedeak,Pecsi VSK,79,73,1.38,,2.81
2025-04-29,play_off,Budapesti Honved Se,OSE Lions,77,73,1.23,,3.72
2025-04-28,play_off,Alba Fehervar,Szombathely,95,102,8.26,,1.04
2025-04-28,play_off,Soproni KC,Atomeromu Paks,85,87,2.39,,1.52
2025-04-28,play_off,Zalakeramia,DEAC,80,72,1.23,,3.72
2025-04-26,play_off,Pecsi VSK,Kecskemeti TE,83,89,1.72,,2.03
2025-04-26,play_off,NKA Pecs,OSE Lions,89,74,1.12,,5.14
2025-04-26,play_off,Szedeak,Budapesti Honved Se,84,83,1.60,,2.20
2025-04-25,play_off,DEAC,Zalakeramia,78,77,1.82,,1.90
2025-04-25,play_off,Szombathely,Alba Fehervar,110,74,1.02,,9.96
2025-04-25,play_off,Atomeromu Paks,Soproni KC,74,64,1.14,,4.83
2025-04-25,play_off,Szolnoki Olaj,Kormend,116,77,1.08,,6.40
2025-04-23,play_off,Budapesti Honved Se,Kecskemeti TE,72,71,1.66,,2.11
2025-04-23,play_off,Pecsi VSK,NKA Pecs,86,98,3.40,,1.27
2025-04-23,play_off,OSE Lions,Szedeak,70,81,1.34,,2.99
2025-04-22,play_off,Alba Fehervar,Szombathely,120,112,7.46,,1.05
2025-04-22,play_off,Zalakeramia,DEAC,91,86,1.25,,3.54
2025-04-22,play_off,Kormend,Szolnoki Olaj,73,86,2.10,,1.66
2025-04-21,play_off,Soproni KC,Atomeromu Paks,78,73,2.57,,1.45
2025-04-19,play_off,Budapesti Honved Se,Pecsi VSK,78,76,1.14,,4.85
2025-04-19,play_off,Szombathely,Alba Fehervar,101,76,1.02,,9.74
2025-04-19,play_off,Atomeromu Paks,Soproni KC,94,66,1.15,,4.62
2025-04-19,play_off,DEAC,Zalakeramia,54,82,1.55,,2.31
2025-04-19,play_off,Szolnoki Olaj,Kormend,93,78,1.23,,3.69
2025-04-19,play_off,Kecskemeti TE,OSE Lions,94,92,1.28,,3.31
2025-04-19,play_off,NKA Pecs,Szedeak,78,52,1.19,,4.07
2025-04-12,regular,Pecsi VSK,Alba Fehervar,88,97,9.49,,1.02
2025-04-12,regular,Atomeromu Paks,Soproni KC,97,92,1.22,,3.73
2025-04-12,regular,Kormend,Budapesti Honved Se,93,87,1.25,,3.47
2025-04-12,regular,OSE Lions,DEAC,76,83,2.68,,1.41
2025-04-12,regular,Kecskemeti TE,Zalakeramia,92,86,2.27,,1.56
2025-04-12,regular,Szedeak,NKA Pecs,73,65,3.36,,1.27
2025-04-12,regular,Szolnoki Olaj,Szombathely,77,99,5.55,,1.10
2025-04-09,regular,Pecsi VSK,Szombathely,73,122,22.00,,-
2025-04-06,regular,NKA Pecs,Kecskemeti TE,82,64,1.30,,3.14
2025-04-05,regular,Szombathely,Alba Fehervar,103,83,1.05,,7.66
2025-04-05,regular,OSE Lions,Atomeromu Paks,74,95,5.24,,1.12
2025-04-05,regular,Budapesti Honved Se,Pecsi VSK,89,72,1.22,,3.80
2025-04-05,regular,Soproni KC,Kormend,92,84,1.48,,2.50
2025-04-05,regular,Zalakeramia,Szolnoki Olaj,86,83,1.75,,1.97
2025-04-05,regular,DEAC,Szedeak,73,51,1.10,,5.53
2025-04-02,regular,Szombathely,NKA Pecs,91,81,1.01,,9.72
2025-03-30,regular,Kecskemeti TE,DEAC,78,80,2.05,,1.69
2025-03-29,regular,Szedeak,Atomeromu Paks,75,89,6.76,,1.05
2025-03-29,regular,Kormend,OSE Lions,103,71,1.19,,4.02
2025-03-29,regular,Szolnoki Olaj,NKA Pecs,91,92,1.21,,3.78
2025-03-29,regular,Pecsi VSK,Soproni KC,91,85,2.85,,1.36
2025-03-29,regular,Zalakeramia,Szombathely,68,91,4.21,,1.18
2025-03-28,regular,Alba Fehervar,Budapesti Honved Se,97,88,1.17,,4.35
2025-03-26,regular,Kormend,Atomeromu Paks,81,95,2.35,,1.53
2025-03-23,regular,Soproni KC,Alba Fehervar,86,70,1.71,,2.03
