date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-25,regular,Fenerbahce,Besiktas,84,68,1.16,,4.33
2025-06-23,regular,Besiktas,Fenerbahce,87,91,2.25,,1.55
2025-06-21,regular,Besiktas,Fenerbahce,98,77,2.18,,1.59
2025-06-19,regular,Fenerbahce,Besiktas,84,76,1.12,,5.00
2025-06-17,regular,Fenerbahce,Besiktas,94,76,1.22,,3.70
2025-06-14,regular,Besiktas,Anadolu Efes,82,75,1.48,,2.40
2025-06-12,regular,Anadolu Efes,Besiktas,64,75,1.33,,2.95
2025-06-10,regular,Anadolu Efes,Besiktas,94,87,1.33,,2.95
2025-06-09,regular,Bahcesehir Kol.,Fenerbahce,84,93,2.54,,1.44
2025-06-08,regular,Besiktas,Anadolu Efes,97,70,1.91,,1.75
2025-06-07,regular,Fenerbahce,Bahcesehir Kol.,91,89,1.14,,4.75
2025-06-06,regular,Besiktas,Anadolu Efes,87,90,2.15,,1.60
2025-06-05,regular,Fenerbahce,Bahcesehir Kol.,93,76,1.17,,4.25
2025-06-02,regular,Fenerbahce,Turk Telekom,101,94,1.11,,5.25
2025-06-02,regular,Tofas,Bahcesehir Kol.,92,96,1.90,,1.78
2025-06-01,regular,Galatasaray,Besiktas,85,107,2.65,,1.40
2025-06-01,regular,Mersin SK,Anadolu Efes,81,84,5.00,,1.12
2025-05-31,regular,Turk Telekom,Fenerbahce,85,77,3.90,,1.20
2025-05-31,regular,Bahcesehir Kol.,Tofas,75,65,1.26,,3.40
2025-05-30,regular,Besiktas,Galatasaray,91,75,1.30,,3.10
2025-05-30,regular,Anadolu Efes,Mersin SK,92,71,1.05,,7.25
2025-05-29,regular,Fenerbahce,Turk Telekom,89,68,1.17,,4.33
2025-05-29,regular,Tofas,Bahcesehir Kol.,94,80,2.15,,1.60
2025-05-26,regular,Buyukcekmece,Turk Telekom,73,84,2.85,,1.35
2025-05-24,regular,Anadolu Efes,Besiktas,90,87,1.25,,3.40
2025-05-24,regular,Bursaspor,Turk Telekom,70,74,2.05,,1.67
2025-05-24,regular,Galatasaray,Buyukcekmece,94,90,1.12,,5.00
2025-05-20,regular,Galatasaray,Anadolu Efes,53,87,3.10,,1.30
2025-05-19,regular,Bahcesehir Kol.,Denizli Basket,112,76,1.03,,8.25
2025-05-18,regular,Mersin SK,Darussafaka,105,89,1.30,,3.10
2025-05-18,regular,Glint Korfez,Yalovaspor,107,89,-,,13.50
2025-05-17,regular,Anadolu Efes,Buyukcekmece,76,65,1.01,,17.00
2025-05-17,regular,Fenerbahce,Galatasaray,94,70,1.20,,3.90
2025-05-17,regular,Petkim Spor,Bursaspor,86,95,1.48,,2.40
2025-05-17,regular,Tofas,Karsiyaka,90,76,1.03,,8.50
2025-05-16,regular,Turk Telekom,Besiktas,93,75,2.50,,1.45
2025-05-14,regular,Karsiyaka,Anadolu Efes,77,95,5.50,,1.10
2025-05-11,regular,Karsiyaka,Turk Telekom,76,73,3.10,,1.30
2025-05-11,regular,Denizli Basket,Tofas,92,94,1.87,,1.80
2025-05-11,regular,Yalovaspor,Petkim Spor,78,87,3.70,,1.22
2025-05-10,regular,Bursaspor,Darussafaka,98,82,1.14,,4.75
2025-05-10,regular,Besiktas,Fenerbahce,72,62,1.80,,1.87
2025-05-10,regular,Buyukcekmece,Glint Korfez,84,107,4.75,,1.14
2025-05-09,regular,Bahcesehir Kol.,Mersin SK,59,60,1.24,,3.50
2025-05-06,regular,Fenerbahce,Karsiyaka,78,67,-,,11.50
2025-05-05,regular,Turk Telekom,Denizli Basket,64,78,1.25,,3.40
2025-05-04,regular,Darussafaka,Yalovaspor,77,84,1.03,,8.25
2025-05-03,regular,Tofas,Bahcesehir Kol.,75,86,1.72,,1.95
2025-05-03,regular,Petkim Spor,Buyukcekmece,83,82,1.53,,2.30
2025-05-03,regular,Mersin SK,Bursaspor,89,82,1.36,,2.80
