date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-03,play_off,Al Ahli SC (Sau),Kawasaki Frontale (Jpn),2,0,1.38,5.21,6.92
2025-04-30,play_off,Al Nassr (Sau),Kawasaki Frontale (Jpn),2,3,1.32,5.72,8.41
2025-04-29,play_off,Al Hilal (Sau),Al Ahli SC (Sau),1,3,2.50,3.78,2.59
2025-04-27,play_off,Kawasaki Frontale (Jpn),Al-Sadd (Qat),3,2,2.63,3.48,2.56
2025-04-26,play_off,Yokohama F. Marinos (Jpn),Al Nassr (Sau),1,4,6.81,5.24,1.39
2025-04-26,play_off,Al Ahli SC (Sau),Buriram (Tha),3,0,1.10,9.74,20.37
2025-04-25,play_off,Al Hilal (Sau),Gwangju FC (Kor),7,0,1.15,8.51,14.50
2025-03-12,play_off,Gwangju FC (Kor),Vissel Kobe (Jpn),3,0,3.49,3.27,2.14
2025-03-12,play_off,Kawasaki Frontale (Jpn),Shanghai Shenhua (Chn),4,0,1.42,4.88,6.49
2025-03-11,play_off,Al Ahli SC (Sau),Al Rayyan (Qat),2,0,1.33,5.52,7.72
2025-03-11,play_off,Al Hilal (Sau),Pakhtakor (Uzb),4,0,1.17,7.38,14.36
2025-03-11,play_off,Johor DT (Mys),Buriram (Tha),0,1,1.86,3.56,4.25
2025-03-11,play_off,Yokohama F. Marinos (Jpn),Shanghai Port (Chn),4,1,1.39,5.18,6.96
2025-03-10,play_off,Al Nassr (Sau),Esteghlal F.C. (Irn),3,0,1.32,5.17,9.36
2025-03-10,play_off,Al-Sadd (Qat),Al Wasl (Uae),3,1,2.23,3.34,3.26
2025-03-05,play_off,Shanghai Shenhua (Chn),Kawasaki Frontale (Jpn),1,0,3.83,3.32,2.03
2025-03-05,play_off,Vissel Kobe (Jpn),Gwangju FC (Kor),2,0,1.56,3.75,6.57
2025-03-04,play_off,Al Rayyan (Qat),Al Ahli SC (Sau),1,3,6.76,4.60,1.44
2025-03-04,play_off,Pakhtakor (Uzb),Al Hilal (Sau),1,0,8.31,4.88,1.36
2025-03-04,play_off,Buriram (Tha),Johor DT (Mys),0,0,2.81,3.26,2.50
2025-03-04,play_off,Shanghai Port (Chn),Yokohama F. Marinos (Jpn),0,1,4.55,4.03,1.70
2025-03-03,play_off,Al Wasl (Uae),Al-Sadd (Qat),1,1,2.50,3.32,2.79
2025-03-03,play_off,Esteghlal F.C. (Irn),Al Nassr (Sau),0,0,4.44,3.17,1.93
2025-02-19,regular,Shanghai Port (Chn),Yokohama F. Marinos (Jpn),0,2,2.44,4.16,2.41
2025-02-19,regular,Ulsan HD (Kor),Shandong Taishan (Chn),,,2.98,3.41,2.30
2025-02-18,regular,Al Wasl (Uae),Al Hilal (Sau),0,2,4.30,4.30,1.67
2025-02-18,regular,Al Rayyan (Qat),Esteghlal F.C. (Irn),0,2,2.23,2.88,3.72
2025-02-18,regular,Johor DT (Mys),Pohang (Kor),5,2,1.56,4.81,4.68
2025-02-18,regular,Shanghai Shenhua (Chn),Vissel Kobe (Jpn),4,2,1.42,4.78,6.58
2025-02-18,regular,Gwangju FC (Kor),Buriram (Tha),2,2,3.26,3.05,2.33
2025-02-18,regular,Kawasaki Frontale (Jpn),Central Coast Mariners (Aus),2,0,1.16,7.90,13.03
2025-02-17,regular,Al Ahli SC (Sau),Al-Gharafa (Qat),4,2,1.21,7.26,10.38
2025-02-17,regular,Al Shorta (Irq),Al Ain (Uae),2,0,2.16,3.40,3.30
2025-02-17,regular,Persepolis (Irn),Al Nassr (Sau),0,0,2.00,3.49,3.65
2025-02-17,regular,Pakhtakor (Uzb),Al-Sadd (Qat),2,1,1.91,3.69,3.69
2025-02-12,regular,Buriram (Tha),Ulsan HD (Kor),2,1,1.84,3.82,3.84
2025-02-12,regular,Yokohama F. Marinos (Jpn),Shanghai Shenhua (Chn),1,0,1.64,4.26,4.46
2025-02-11,regular,Shandong Taishan (Chn),Gwangju FC (Kor),3,1,2.32,3.44,2.93
2025-02-11,regular,Pohang (Kor),Kawasaki Frontale (Jpn),0,4,3.09,3.55,2.15
2025-02-11,regular,Vissel Kobe (Jpn),Shanghai Port (Chn),4,0,1.49,4.43,5.79
2025-02-11,regular,Central Coast Mariners (Aus),Johor DT (Mys),1,2,5.19,4.36,1.54
2025-02-04,regular,Al Hilal (Sau),Persepolis (Irn),4,1,1.19,6.93,12.31
2025-02-04,regular,Al-Gharafa (Qat),Pakhtakor (Uzb),1,0,1.97,3.70,3.51
2025-02-03,regular,Al Nassr (Sau),Al Wasl (Uae),4,0,1.36,5.30,7.03
2025-02-03,regular,Al-Sadd (Qat),Al Ahli SC (Sau),1,3,3.68,3.80,1.88
2025-02-03,regular,Esteghlal F.C. (Irn),Al Shorta (Irq),1,1,1.46,4.22,6.86
2025-02-03,regular,Al Ain (Uae),Al Rayyan (Qat),1,2,1.57,4.67,4.61
2024-12-04,regular,Shanghai Shenhua (Chn),Ulsan HD (Kor),1,2,2.03,3.72,3.29
2024-12-04,regular,Kawasaki Frontale (Jpn),Shandong Taishan (Chn),4,0,1.30,5.91,7.94
2024-12-03,regular,Al Hilal (Sau),Al-Gharafa (Qat),3,0,1.30,5.97,7.65
2024-12-03,regular,Pakhtakor (Uzb),Al Ain (Uae),1,1,4.17,3.70,1.80
2024-12-03,regular,Johor DT (Mys),Buriram (Tha),0,0,1.43,4.56,6.91
2024-12-03,regular,Shanghai Port (Chn),Gwangju FC (Kor),1,1,1.78,3.62,4.43
2024-12-03,regular,Pohang (Kor),Vissel Kobe (Jpn),3,1,2.43,3.23,2.96
2024-12-03,regular,Central Coast Mariners (Aus),Yokohama F. Marinos (Jpn),0,4,4.67,4.36,1.61
2024-12-02,regular,Al Nassr (Sau),Al-Sadd (Qat),1,2,1.64,4.15,4.68
2024-12-02,regular,Al Ahli SC (Sau),Esteghlal F.C. (Irn),2,2,1.42,4.70,6.88
2024-12-02,regular,Al Wasl (Uae),Al Rayyan (Qat),1,1,1.79,4.04,3.83
2024-12-02,regular,Persepolis (Irn),Al Shorta (Irq),2,1,1.59,3.89,5.70
