date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-12-08,play_off,Gimnasia Mendoza,San Martin S.J.,0,2,2.59,2.60,3.40
2024-12-02,play_off,San Martin S.J.,Nueva Chicago,1,0,1.86,2.88,5.60
2024-12-02,play_off,San Martin T.,Gimnasia Mendoza,0,1,2.34,2.77,3.64
2024-11-26,play_off,Gimnasia Mendoza,San Martin T.,0,0,2.64,2.73,3.08
2024-11-24,play_off,Nueva Chicago,San Martin S.J.,2,1,2.33,2.71,3.67
2024-11-18,play_off,San Martin T.,San Telmo,2,0,1.78,3.00,5.73
2024-11-18,play_off,San Martin S.J.,All Boys,2,2,1.94,2.88,4.97
2024-11-17,play_off,Deportivo Madryn,Gimnasia Mendoza,1,0,1.71,3.18,5.86
2024-11-16,play_off,Nueva Chicago,Quilmes,1,0,2.56,2.66,3.40
2024-11-13,play_off,Talleres (R.E),Atl. Rafaela,2,1,3.50,2.64,2.50
2024-11-11,play_off,Quilmes,Nueva Chicago,0,0,2.25,2.72,3.93
2024-11-10,play_off,All Boys,San Martin S.J.,0,1,2.38,2.72,3.64
2024-11-09,play_off,Gimnasia Mendoza,Deportivo Madryn,3,1,2.21,2.75,3.89
2024-11-09,play_off,San Telmo,San Martin T.,1,2,2.51,2.77,3.29
2024-11-05,play_off,All Boys,Colon Santa Fe,1,1,3.04,2.62,2.83
2024-11-04,play_off,San Martin S.J.,Gimnasia y Tiro,2,1,1.84,3.09,5.08
2024-11-03,play_off,Deportivo Madryn,San Miguel,0,0,1.85,3.02,4.96
2024-11-03,play_off,Aldosivi,San Martin T.,2,0,3.59,2.89,2.27
2024-11-03,play_off,Nueva Chicago,Racing Cordoba,1,1,2.13,2.90,3.97
2024-11-03,play_off,Quilmes,Def. de Belgrano,2,0,2.10,2.74,4.48
2024-11-02,play_off,Gimnasia Mendoza,CA Estudiantes,1,1,1.97,2.96,4.51
2024-11-02,regular,Brown Adrogue,Atl. Rafaela,1,2,3.96,2.82,2.19
2024-11-02,play_off,San Telmo,Gimnasia Jujuy,1,0,2.15,2.90,3.91
2024-10-31,regular,Deportivo Moron,Temperley,0,0,3.87,3.04,2.09
2024-10-27,regular,Agropecuario,Tristan Suarez,0,2,1.51,3.95,6.63
2024-10-27,regular,Atletico Atlanta,All Boys,0,1,2.91,2.68,2.82
2024-10-27,regular,Arsenal Sarandi,Alvarado,1,0,1.54,3.77,6.62
2024-10-27,regular,CA Estudiantes,Deportivo Maipu,2,1,1.77,3.50,5.00
2024-10-27,regular,Chacarita Juniors,Gimnasia Jujuy,0,0,3.24,2.66,2.62
2024-10-27,regular,Talleres (R.E),Ferro,0,0,2.94,2.92,2.54
2024-10-27,regular,Guillermo Brown,Patronato,1,3,3.54,2.88,2.31
2024-10-27,regular,Quilmes,San Miguel,1,1,6.91,2.71,1.78
2024-10-27,regular,San Martin S.J.,Racing Cordoba,1,2,3.34,2.96,2.33
2024-10-27,regular,Almirante Brown,Defensores Unidos,1,1,1.34,4.71,9.15
2024-10-27,regular,San Martin T.,Club A. Guemes,2,2,1.61,3.32,6.80
2024-10-26,regular,Aldosivi,San Telmo,2,0,2.08,3.03,3.93
2024-10-26,regular,Gimnasia Mendoza,Almagro,3,1,1.36,4.27,10.26
2024-10-26,regular,Estudiantes Rio Cuarto,Atl. Rafaela,0,0,7.34,3.71,1.51
2024-10-26,regular,Nueva Chicago,Brown Adrogue,1,1,1.52,3.88,6.37
2024-10-26,regular,CA Mitre,Chaco For Ever,1,0,1.37,3.87,12.87
2024-10-26,regular,Colon Santa Fe,Deportivo Madryn,1,1,2.85,2.73,2.81
2024-10-26,regular,Gimnasia y Tiro,Def. de Belgrano,1,0,1.83,2.97,5.39
2024-10-22,regular,Brown Adrogue,Gimnasia Mendoza,0,0,4.05,3.15,2.01
2024-10-22,regular,All Boys,Agropecuario,3,0,1.99,2.90,4.64
2024-10-21,regular,Tristan Suarez,Guillermo Brown,3,2,1.70,3.63,4.97
2024-10-21,regular,Temperley,Nueva Chicago,0,0,2.27,2.93,3.56
2024-10-21,regular,Patronato,San Martin S.J.,0,3,1.95,3.22,4.12
2024-10-20,regular,Atl. Rafaela,Colon Santa Fe,0,0,2.76,2.70,2.96
2024-10-20,regular,Deportivo Maipu,Talleres (R.E),0,0,1.94,3.12,4.27
2024-10-20,regular,Gimnasia Jujuy,CA Estudiantes,2,1,2.11,2.82,4.33
2024-11-17,regular,San Martin S.J.,All Boys,2,2,1.94,2.88,4.97
2024-11-03,regular,San Martin S.J.,Gimnasia y Tiro,2,1,1.84,3.09,5.08
2024-10-20,regular,Deportivo Madryn,Almirante Brown,5,1,1.27,4.71,13.65
2024-10-20,regular,San Telmo,Estudiantes Rio Cuarto,2,0,2.46,2.77,3.37
2024-10-19,regular,Chaco For Ever,Aldosivi,1,1,2.80,2.87,2.78
2024-10-19,regular,Racing Cordoba,Arsenal Sarandi,3,1,1.55,3.99,6.02
2024-10-19,regular,Alvarado,San Martin T.,0,2,2.21,2.88,3.76
2024-10-19,regular,Almagro,Gimnasia y Tiro,0,3,3.23,2.88,2.45
2024-10-19,regular,Defensores Unidos,Atletico Atlanta,0,1,2.32,3.02,3.29
2024-10-19,regular,Def. de Belgrano,CA Mitre,0,0,2.18,2.88,3.85
2024-10-19,regular,San Miguel,Deportivo Moron,0,1,1.65,3.28,6.55
2024-10-19,regular,Ferro,Quilmes,0,2,2.01,3.09,4.03
2024-10-19,regular,Club A. Guemes,Chacarita Juniors,2,1,1.76,3.13,5.59
2024-10-15,regular,Atletico Atlanta,Deportivo Madryn,1,1,4.72,2.90,1.95
2024-10-14,regular,Almirante Brown,Atl. Rafaela,1,2,5.66,3.31,1.70
2024-10-14,regular,San Martin T.,Racing Cordoba,2,2,2.09,2.82,4.29
2024-10-14,regular,Gimnasia Mendoza,Temperley,1,2,1.73,3.21,5.74
2024-10-14,regular,Estudiantes Rio Cuarto,Chaco For Ever,0,0,1.62,3.26,7.36
2024-10-13,regular,CA Mitre,Almagro,2,1,1.47,3.85,7.98
2024-10-13,regular,Gimnasia y Tiro,Brown Adrogue,0,1,1.57,3.53,6.77
2024-10-13,regular,Chacarita Juniors,Alvarado,2,1,2.46,2.90,3.19
2024-10-13,regular,Defensores Unidos,Agropecuario,3,3,3.23,2.89,2.42
2024-10-13,regular,Nueva Chicago,Deportivo Moron,1,1,1.61,3.42,6.68
2024-10-13,regular,Guillermo Brown,All Boys,0,0,3.16,2.83,2.54
2024-10-13,regular,Quilmes,Deportivo Maipu,3,0,1.87,3.11,4.75
2024-10-13,regular,Talleres (R.E),Gimnasia Jujuy,0,1,2.85,2.52,3.09
2024-10-12,regular,Colon Santa Fe,San Telmo,0,1,1.64,3.56,5.65
2024-10-12,regular,San Martin S.J.,Tristan Suarez,3,2,1.82,3.11,5.11
2024-10-12,regular,CA Estudiantes,Club A. Guemes,2,0,1.98,2.87,4.68
2024-10-12,regular,Aldosivi,Def. de Belgrano,0,1,1.89,3.22,4.44
2024-10-12,regular,Arsenal Sarandi,Patronato,2,0,2.77,2.66,3.04
2024-10-12,regular,San Miguel,Ferro,0,0,2.52,2.91,3.06
2024-10-08,regular,Deportivo Moron,Gimnasia Mendoza,0,1,3.83,2.89,2.18
2024-10-08,regular,Ferro,Nueva Chicago,1,2,2.21,2.93,3.69
2024-10-07,regular,Atl. Rafaela,Atletico Atlanta,2,0,2.25,3.00,3.47
2024-10-06,regular,Deportivo Maipu,San Miguel,1,1,1.82,3.22,4.84
2024-10-06,regular,Patronato,San Martin T.,0,1,2.77,2.79,2.92
2024-10-06,regular,Gimnasia Jujuy,Quilmes,0,2,2.04,2.72,4.88
2024-10-06,regular,Tristan Suarez,Arsenal Sarandi,2,0,1.92,3.17,4.35
2024-10-06,regular,Deportivo Madryn,Defensores Unidos,3,0,1.45,3.85,8.58
2024-10-06,regular,Brown Adrogue,CA Mitre,2,2,3.14,2.88,2.53
