date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-25,regular,A. Lustenau,ASK Voitsberg,3,0,2.74,3.30,2.46
2025-05-25,regular,Admira,Horn,1,3,1.46,4.44,5.92
2025-05-25,regular,Ried,First Vienna,1,1,1.35,5.13,7.08
2025-05-25,regular,Lafnitz,St. Polten,2,2,10.33,7.39,1.18
2025-05-25,regular,SK Rapid II,Stripfing,2,3,3.85,4.47,1.69
2025-05-25,regular,Amstetten,Liefering,3,1,2.12,3.73,2.99
2025-05-24,regular,Floridsdorfer AC,Sturm Graz II,,,2.19,3.68,2.91
2025-05-24,regular,Kapfenberg,Bregenz,5,3,1.72,4.46,3.66
2025-05-16,regular,Liefering,Admira,1,0,3.90,4.04,1.75
2025-05-16,regular,Bregenz,Ried,1,4,8.90,5.84,1.26
2025-05-16,regular,Stripfing,A. Lustenau,2,0,2.94,3.37,2.29
2025-05-16,regular,First Vienna,Amstetten,1,3,2.32,3.52,2.79
2025-05-16,regular,ASK Voitsberg,Floridsdorfer AC,0,0,1.60,3.92,5.11
2025-05-16,regular,Horn,Kapfenberg,3,1,2.98,3.75,2.12
2025-05-16,regular,Sturm Graz II,Lafnitz,2,1,1.64,4.37,4.17
2025-05-16,regular,St. Polten,SK Rapid II,3,1,1.37,5.28,6.13
2025-05-11,regular,Ried,Sturm Graz II,2,1,1.20,6.72,11.33
2025-05-10,regular,Lafnitz,Amstetten,1,5,4.94,4.37,1.57
2025-05-10,regular,Kapfenberg,Stripfing,3,2,2.71,3.72,2.32
2025-05-09,regular,Admira,ASK Voitsberg,1,0,2.14,3.34,3.31
2025-05-09,regular,A. Lustenau,First Vienna,0,0,2.18,3.42,3.13
2025-05-09,regular,SK Rapid II,Liefering,1,4,2.64,4.07,2.26
2025-05-09,regular,Floridsdorfer AC,Horn,1,1,2.08,3.50,3.30
2025-05-09,regular,St. Polten,Bregenz,3,1,1.24,6.67,8.92
2025-05-06,regular,Stripfing,Liefering,2,1,1.90,3.85,3.49
2025-05-04,regular,First Vienna,Kapfenberg,0,2,1.69,4.09,4.30
2025-05-03,regular,Sturm Graz II,St. Polten,2,4,6.54,5.17,1.37
2025-05-02,regular,Ried,Admira,2,0,1.84,3.56,4.07
2025-05-02,regular,Amstetten,A. Lustenau,0,1,2.38,3.58,2.70
2025-05-02,regular,Liefering,ASK Voitsberg,1,2,2.63,3.85,2.32
2025-05-02,regular,Stripfing,Floridsdorfer AC,1,2,2.50,3.18,2.82
2025-05-02,regular,Horn,Lafnitz,4,1,2.02,3.83,3.22
2025-05-02,regular,Bregenz,SK Rapid II,1,5,2.77,4.15,2.13
2025-04-29,regular,Sturm Graz II,First Vienna,4,1,4.36,4.05,1.68
2025-04-27,regular,Kapfenberg,Ried,2,1,5.81,4.34,1.49
2025-04-26,regular,Floridsdorfer AC,Amstetten,1,0,2.17,3.37,3.22
2025-04-25,regular,A. Lustenau,Bregenz,2,1,1.69,4.24,4.12
2025-04-25,regular,Admira,Sturm Graz II,2,3,1.32,5.19,8.33
2025-04-25,regular,ASK Voitsberg,First Vienna,0,2,2.18,3.67,2.96
2025-04-25,regular,St. Polten,Horn,4,1,1.42,5.01,5.93
2025-04-25,regular,Lafnitz,SK Rapid II,3,1,2.77,4.24,2.12
2025-04-21,regular,Sturm Graz II,Horn,1,3,2.48,3.53,2.61
2025-04-21,regular,Amstetten,Admira,3,2,3.71,3.65,1.91
2025-04-21,regular,ASK Voitsberg,Stripfing,1,1,1.95,3.73,3.49
2025-04-21,regular,First Vienna,Lafnitz,2,1,1.46,4.82,5.59
2025-04-21,regular,Ried,A. Lustenau,1,1,1.36,4.75,8.16
2025-04-21,regular,Liefering,St. Polten,2,4,4.20,4.10,1.71
2025-04-21,regular,SK Rapid II,Kapfenberg,0,2,2.67,3.74,2.34
2025-04-21,regular,Bregenz,Floridsdorfer AC,0,1,3.84,3.83,1.83
2025-04-18,regular,Admira,Stripfing,2,2,1.69,3.53,5.15
2025-04-18,regular,A. Lustenau,Liefering,1,2,2.22,3.41,3.10
2025-04-18,regular,Kapfenberg,Amstetten,3,2,2.60,3.56,2.49
2025-04-18,regular,Lafnitz,ASK Voitsberg,1,3,4.02,4.09,1.73
2025-04-18,regular,Floridsdorfer AC,SK Rapid II,2,0,1.86,3.67,3.88
2025-04-18,regular,Horn,Bregenz,3,2,2.22,3.60,2.94
2025-04-18,regular,St. Polten,Ried,1,2,3.02,3.24,2.33
2025-04-13,regular,Amstetten,Horn,0,0,1.67,3.93,4.62
2025-04-11,regular,A. Lustenau,Admira,0,1,4.18,3.44,1.84
2025-04-11,regular,ASK Voitsberg,Sturm Graz II,1,1,1.76,3.81,4.18
2025-04-11,regular,Liefering,Kapfenberg,2,0,2.19,3.51,3.03
2025-04-11,regular,First Vienna,Bregenz,2,1,1.57,4.30,4.92
2025-04-11,regular,Lafnitz,Floridsdorfer AC,2,2,3.55,3.56,1.97
2025-04-11,regular,SK Rapid II,Ried,0,5,6.04,4.39,1.47
2025-04-11,regular,Stripfing,St. Polten,2,1,4.42,3.57,1.76
2025-04-06,regular,St. Polten,ASK Voitsberg,3,0,1.83,3.45,4.27
2025-04-05,regular,Floridsdorfer AC,Admira,1,2,4.00,3.29,1.94
2025-04-05,regular,Sturm Graz II,A. Lustenau,0,1,2.48,3.44,2.65
2025-04-05,regular,Horn,Liefering,0,1,3.82,3.76,1.84
2025-04-04,regular,Ried,Amstetten,1,1,1.33,5.02,8.04
2025-04-04,regular,SK Rapid II,First Vienna,1,0,2.74,3.88,2.23
2025-04-04,regular,Kapfenberg,Lafnitz,6,4,1.82,4.07,3.64
2025-04-04,regular,Bregenz,Stripfing,1,3,2.67,3.56,2.41
2025-03-30,regular,First Vienna,Horn,1,0,1.47,4.53,5.79
2025-03-28,regular,Admira,St. Polten,1,1,2.15,3.33,3.29
2025-03-28,regular,A. Lustenau,Kapfenberg,1,2,2.17,3.30,3.25
2025-03-28,regular,Amstetten,SK Rapid II,2,2,2.14,3.65,3.01
2025-03-28,regular,ASK Voitsberg,Ried,0,1,3.81,3.64,1.87
2025-03-28,regular,Liefering,Floridsdorfer AC,3,0,2.19,3.33,3.14
2025-03-28,regular,Lafnitz,Bregenz,1,4,2.27,3.77,2.73
2025-03-28,regular,Stripfing,Sturm Graz II,2,1,2.32,3.39,2.91
2025-03-16,regular,Kapfenberg,ASK Voitsberg,3,0,3.42,3.39,2.07
2025-03-15,regular,Ried,Lafnitz,4,0,1.23,5.89,11.07
2025-03-14,regular,St. Polten,First Vienna,3,3,1.82,3.64,4.07
2025-03-14,regular,Floridsdorfer AC,A. Lustenau,0,0,2.43,2.91,3.16
2025-03-14,regular,SK Rapid II,Admira,0,3,4.06,3.73,1.80
2025-03-14,regular,Bregenz,Amstetten,2,1,2.60,3.59,2.46
2025-03-14,regular,Sturm Graz II,Liefering,1,0,2.82,3.50,2.33
2025-03-14,regular,Horn,Stripfing,1,1,3.83,3.39,1.95
2025-03-09,regular,Liefering,Ried,3,1,5.66,4.61,1.47
2025-03-09,regular,Floridsdorfer AC,First Vienna,2,1,3.33,3.27,2.15
2025-03-08,regular,Sturm Graz II,Amstetten,2,1,2.54,3.46,2.57
2025-03-07,regular,Admira,Bregenz,3,2,1.52,4.03,6.00
2025-03-07,regular,A. Lustenau,Horn,1,0,1.63,3.81,5.13
2025-03-07,regular,ASK Voitsberg,SK Rapid II,3,0,2.25,3.58,2.88
2025-03-07,regular,St. Polten,Kapfenberg,3,1,1.69,3.84,4.56
2025-03-07,regular,Stripfing,Lafnitz,1,1,1.89,3.64,3.76
2025-03-01,regular,Bregenz,Liefering,,,2.64,3.65,2.37
2025-03-01,regular,Kapfenberg,Sturm Graz II,1,1,2.59,3.65,2.42
2025-02-28,regular,Ried,Floridsdorfer AC,2,0,1.36,4.37,8.87
2025-02-28,regular,Lafnitz,Admira,1,1,5.87,4.16,1.50
2025-02-28,regular,SK Rapid II,A. Lustenau,2,0,2.15,3.50,3.09
2025-02-28,regular,Amstetten,St. Polten,0,0,4.14,3.66,1.79
2025-02-28,regular,Horn,ASK Voitsberg,2,1,4.21,3.89,1.72
2025-02-28,regular,First Vienna,Stripfing,3,1,2.26,3.25,3.07
2025-02-25,regular,ASK Voitsberg,Bregenz,2,1,1.99,3.61,3.40
2025-02-23,regular,Horn,Ried,0,1,10.03,5.56,1.25
2025-02-22,regular,Sturm Graz II,SK Rapid II,1,0,2.33,3.66,2.67
2025-02-22,regular,Liefering,Lafnitz,4,1,1.87,3.98,3.53
2025-02-21,regular,Admira,First Vienna,3,1,1.86,3.47,4.04
2025-02-21,regular,A. Lustenau,St. Polten,0,1,3.21,3.24,2.19
2025-02-21,regular,Stripfing,Amstetten,2,0,2.49,3.18,2.80
2025-02-21,regular,Floridsdorfer AC,Kapfenberg,1,1,2.32,3.10,3.13
2024-12-08,regular,SK Rapid II,Horn,5,1,1.48,4.65,5.69
2024-12-07,regular,Lafnitz,A. Lustenau,2,2,2.84,3.55,2.33
2024-12-07,regular,Bregenz,Sturm Graz II,3,2,2.15,3.74,3.03
2024-12-06,regular,Kapfenberg,Admira,3,4,3.53,3.28,2.11
2024-12-06,regular,Amstetten,ASK Voitsberg,0,3,2.57,3.34,2.65
2024-12-06,regular,First Vienna,Liefering,3,1,2.27,3.47,2.98
2024-12-06,regular,St. Polten,Floridsdorfer AC,3,2,1.81,3.47,4.47
2024-12-06,regular,Ried,Stripfing,2,1,1.24,6.11,10.77
2024-12-01,regular,Bregenz,Kapfenberg,4,0,2.30,3.53,2.89
2024-11-30,regular,Sturm Graz II,Floridsdorfer AC,0,0,1.96,3.59,3.62
2024-11-30,regular,Liefering,Amstetten,1,3,2.00,3.89,3.25
2024-11-29,regular,First Vienna,Ried,0,1,3.60,3.81,1.91
2024-11-29,regular,ASK Voitsberg,A. Lustenau,1,0,2.31,3.26,3.07
2024-11-29,regular,Horn,Admira,0,0,6.37,4.30,1.48
2024-11-29,regular,St. Polten,Lafnitz,3,0,1.38,5.62,6.00
2024-11-29,regular,Stripfing,SK Rapid II,2,3,3.11,3.69,2.12
2024-11-26,regular,A. Lustenau,Stripfing,1,1,1.86,3.43,4.31
2024-11-23,regular,Admira,Liefering,4,0,2.24,3.35,3.15
2024-11-23,regular,Kapfenberg,Horn,2,0,1.77,3.68,4.37
