date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-01,play_off,SK Rapid,LASK,3,0,2.02,3.72,3.49
2025-05-29,play_off,LASK,SK Rapid,3,1,2.29,3.42,3.09
2025-05-26,play_off,LASK,Hartberg,2,0,1.61,3.96,5.55
2025-05-24,regular,Austria Vienna,BW Linz,2,2,1.31,5.39,9.62
2025-05-24,regular,Salzburg,SK Rapid,4,2,1.47,4.83,5.89
2025-05-24,regular,Sturm Graz,Wolfsberger AC,1,1,1.89,3.53,4.14
2025-05-23,regular,A. Klagenfurt,Hartberg,0,1,2.27,3.58,2.97
2025-05-23,regular,LASK,Altach,0,0,2.86,3.54,2.36
2025-05-23,regular,Tirol,Grazer AK,1,1,3.17,2.85,2.52
2025-05-18,regular,Wolfsberger AC,Austria Vienna,1,2,2.49,3.27,2.85
2025-05-18,regular,BW Linz,Salzburg,1,2,5.79,4.55,1.50
2025-05-18,regular,SK Rapid,Sturm Graz,3,1,3.22,3.60,2.12
2025-05-17,regular,Altach,A. Klagenfurt,0,0,1.62,3.96,5.36
2025-05-17,regular,Grazer AK,LASK,1,0,3.47,3.57,2.04
2025-05-17,regular,Hartberg,Tirol,3,2,1.79,3.69,4.33
2025-05-11,regular,Austria Vienna,SK Rapid,1,2,2.07,3.57,3.45
2025-05-11,regular,Wolfsberger AC,BW Linz,2,0,1.62,3.93,5.56
2025-05-10,regular,A. Klagenfurt,Tirol,1,4,2.82,3.34,2.51
2025-05-10,regular,Altach,Grazer AK,2,2,2.14,3.27,3.61
2025-05-10,regular,LASK,Hartberg,0,0,1.75,3.84,4.47
2025-05-09,regular,Sturm Graz,Salzburg,4,2,2.69,3.38,2.61
2025-05-04,regular,Salzburg,Austria Vienna,2,0,1.79,3.86,4.31
2025-05-04,regular,BW Linz,Sturm Graz,0,1,3.89,3.44,1.99
2025-05-04,regular,SK Rapid,Wolfsberger AC,0,1,2.42,3.66,2.75
2025-05-04,regular,Hartberg,Altach,2,0,2.93,3.11,2.56
2025-05-03,regular,Tirol,LASK,1,3,4.24,3.88,1.78
2025-05-02,regular,Grazer AK,A. Klagenfurt,1,1,1.83,3.56,4.45
2025-04-27,regular,Sturm Graz,Austria Vienna,0,1,2.31,3.24,3.27
