date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-12-07,regular,Dynamo Brest,Din. Minsk,1,1,2.55,3.48,2.47
2024-12-07,regular,Naftan,Niva Dolbizno,2,0,1.36,5.20,7.67
2024-12-04,regular,Niva Dolbizno,Naftan,1,3,6.18,4.15,1.54
2024-12-02,regular,Smorgon,Din. Minsk,1,0,4.31,3.78,1.78
2024-12-01,regular,Isloch,Vitebsk,1,0,2.61,3.33,2.66
2024-12-01,regular,Shakhtyor Soligorsk,Dnepr Mogilev,1,2,2.34,3.34,2.81
2024-12-01,regular,Neman,FC Minsk,4,0,1.42,4.38,8.01
2024-12-01,regular,Slavia Mozyr,Zhodino,0,2,4.52,3.45,1.83
2024-11-30,regular,Arsenal Dzerzhinsk,FC Gomel,1,0,2.94,3.39,2.38
2024-11-30,regular,Slutsk,Naftan,0,1,1.83,3.64,4.28
2024-11-28,regular,BATE,Smorgon,7,4,1.55,4.19,5.79
2024-11-26,regular,Zhodino,Shakhtyor Soligorsk,1,0,1.24,5.72,13.08
2024-11-25,regular,Din. Minsk,BATE,1,0,1.42,4.28,8.45
2024-11-24,regular,FC Gomel,Slavia Mozyr,0,0,2.16,3.25,3.20
2024-11-24,regular,Vitebsk,Dynamo Brest,2,0,2.93,3.24,2.30
2024-11-24,regular,Naftan,Arsenal Dzerzhinsk,0,0,2.63,3.30,2.66
2024-11-23,regular,Dnepr Mogilev,Isloch,1,3,4.58,4.03,1.69
2024-11-23,regular,FC Minsk,Slutsk,0,1,2.29,3.19,3.28
2024-11-23,regular,Smorgon,Neman,0,0,6.68,4.42,1.46
2024-11-11,regular,Neman,Din. Minsk,0,0,3.49,3.20,2.25
2024-11-10,regular,Shakhtyor Soligorsk,FC Gomel,1,2,4.72,3.75,1.73
2024-11-10,regular,Isloch,Zhodino,0,1,4.31,3.44,1.87
2024-11-09,regular,Dynamo Brest,BATE,2,0,1.89,4.09,3.57
2024-11-09,regular,Arsenal Dzerzhinsk,FC Minsk,0,0,3.03,3.23,2.25
2024-11-09,regular,Slutsk,Smorgon,0,0,2.04,3.42,3.65
2024-11-08,regular,Slavia Mozyr,Naftan,1,0,1.73,3.70,4.86
