date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-11-24,regular,America MG,Brusque,3,0,1.45,4.28,7.16
2024-11-24,regular,Guarani,Ceara,0,0,6.52,4.18,1.49
2024-11-24,regular,Mirassol,Chapecoense-SC,1,0,1.17,6.18,21.61
2024-11-24,regular,Goias,Novorizontino,1,0,2.75,3.06,2.69
2024-11-24,regular,Sport Recife,Santos,2,1,1.41,4.19,8.88
2024-11-24,regular,CRB,Operario-PR,1,1,2.07,3.20,3.75
2024-11-24,regular,Paysandu PA,Vila Nova FC,2,1,1.28,5.13,11.24
2024-11-23,regular,Ituano,Amazonas,0,1,2.56,3.26,2.74
2024-11-23,regular,Avai,Ponte Preta,2,1,1.48,3.92,7.33
2024-11-23,regular,Coritiba,Botafogo SP,1,3,1.61,3.68,5.93
2024-11-19,regular,Ceara,America MG,1,0,1.46,4.41,6.91
2024-11-19,regular,Botafogo SP,Avai,1,3,2.64,2.82,3.01
2024-11-17,regular,Chapecoense-SC,Coritiba,2,1,2.07,3.13,3.92
2024-11-17,regular,Santos,CRB,0,2,1.56,3.68,6.68
2024-11-17,regular,Brusque,Guarani,2,1,2.25,2.93,3.65
2024-11-17,regular,Ponte Preta,Sport Recife,0,4,4.23,3.20,1.98
2024-11-17,regular,Vila Nova FC,Ituano,3,4,1.75,3.59,4.80
2024-11-17,regular,Amazonas,Goias,0,4,3.20,3.23,2.29
2024-11-16,regular,Novorizontino,Paysandu PA,1,1,1.50,3.89,7.47
2024-11-15,regular,Operario-PR,Mirassol,1,1,2.73,2.71,3.07
2024-11-13,regular,Botafogo SP,Ceara,1,4,4.51,3.03,1.97
2024-11-13,regular,Guarani,Amazonas,0,0,1.93,3.19,4.34
2024-11-13,regular,America MG,Ituano,3,2,1.49,4.23,6.44
2024-11-12,regular,Paysandu PA,Brusque,1,0,1.53,3.94,6.43
2024-11-12,regular,Coritiba,Santos,0,2,3.83,2.97,2.17
2024-11-11,regular,Vila Nova FC,Ponte Preta,2,1,1.98,3.23,4.13
2024-11-11,regular,Avai,Mirassol,0,0,3.45,2.82,2.41
2024-11-10,regular,Sport Recife,Chapecoense-SC,1,1,1.37,4.52,8.87
2024-11-09,regular,CRB,Goias,0,1,2.29,2.95,3.52
2024-11-09,regular,Novorizontino,Operario-PR,0,1,1.72,3.25,5.94
2024-11-06,regular,Mirassol,Coritiba,4,1,1.79,3.40,4.91
2024-11-06,regular,Brusque,Botafogo SP,0,1,2.08,3.03,4.05
2024-11-06,regular,Amazonas,America MG,1,0,3.30,3.12,2.29
2024-11-05,regular,Ituano,CRB,1,2,2.25,3.03,3.52
2024-11-05,regular,Ponte Preta,Paysandu PA,1,2,2.41,3.11,3.10
2024-11-05,regular,Operario-PR,Sport Recife,2,1,3.59,2.98,2.24
2024-11-03,regular,Ceara,Avai,2,0,1.40,4.28,8.67
2024-11-02,regular,Chapecoense-SC,Novorizontino,0,2,3.17,2.78,2.62
2024-11-02,regular,Goias,Guarani,1,0,1.50,3.88,7.26
2024-11-02,regular,Santos,Vila Nova FC,3,0,1.38,4.39,9.56
2024-10-30,regular,Amazonas,Botafogo SP,0,1,2.02,3.14,4.11
2024-10-30,regular,Guarani,Novorizontino,0,2,3.03,2.74,2.76
2024-10-30,regular,Brusque,Chapecoense-SC,0,1,2.26,2.84,3.79
2024-10-30,regular,Goias,Operario-PR,3,0,1.79,3.24,5.27
2024-10-29,regular,America MG,Sport Recife,2,1,2.30,3.15,3.27
2024-10-29,regular,Ituano,Santos,0,2,4.20,3.37,1.91
2024-10-28,regular,Coritiba,CRB,2,1,1.81,3.34,4.86
2024-10-26,regular,Ceara,Paysandu PA,2,1,1.47,4.14,7.08
2024-10-26,regular,Mirassol,Ponte Preta,3,0,1.48,3.91,7.59
2024-10-26,regular,Goias,Amazonas,1,0,1.63,3.51,6.22
