date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-31,play_off,PSG,Inter,5,0,2.12,3.50,3.60
2025-05-07,play_off,PSG,Arsenal,2,1,2.34,3.52,3.14
2025-05-06,play_off,Inter,Barcelona,4,3,2.66,3.77,2.56
2025-04-30,play_off,Barcelona,Inter,3,3,1.72,4.13,4.86
2025-04-29,play_off,Arsenal,PSG,0,1,2.17,3.50,3.50
2025-04-16,play_off,Real Madrid,Arsenal,1,2,1.79,4.13,4.33
2025-04-16,play_off,Inter,Bayern Munich,2,2,2.66,3.81,2.55
2025-04-15,play_off,Aston Villa,PSG,3,2,3.33,3.82,2.12
2025-04-15,play_off,Dortmund,Barcelona,3,1,3.49,4.15,1.99
2025-04-09,play_off,PSG,Aston Villa,3,1,1.53,4.51,6.31
2025-04-09,play_off,Barcelona,Dortmund,4,0,1.35,5.77,8.05
2025-04-08,play_off,Arsenal,Real Madrid,3,0,2.19,3.51,3.39
2025-04-08,play_off,Bayern Munich,Inter,1,2,1.91,3.67,4.22
2025-03-12,play_off,Arsenal,PSV,2,2,1.51,4.40,6.69
2025-03-12,play_off,Aston Villa,Club Brugge KV,3,0,1.75,3.99,4.59
2025-03-12,play_off,Atl. Madrid,Real Madrid,1,1,2.78,3.51,2.54
2025-03-12,play_off,Lille,Dortmund,1,2,2.72,3.31,2.71
2025-03-11,play_off,Bayer Leverkusen,Bayern Munich,0,2,2.91,3.70,2.36
2025-03-11,play_off,Inter,Feyenoord,2,1,1.36,5.22,9.15
2025-03-11,play_off,Liverpool,PSG,0,2,2.30,3.96,2.85
2025-03-11,play_off,Barcelona,Benfica,3,1,1.44,5.33,6.22
2025-03-05,play_off,Benfica,Barcelona,0,1,3.94,4.29,1.81
2025-03-05,play_off,Bayern Munich,Bayer Leverkusen,3,0,1.74,3.92,4.85
2025-03-05,play_off,PSG,Liverpool,0,1,2.48,3.53,2.87
2025-03-05,play_off,Feyenoord,Inter,0,2,6.00,4.06,1.60
2025-03-04,play_off,PSV,Arsenal,1,7,4.18,3.49,1.96
2025-03-04,play_off,Real Madrid,Atl. Madrid,2,1,1.88,3.72,4.24
2025-03-04,play_off,Dortmund,Lille,1,1,1.61,4.06,5.90
2025-03-04,play_off,Club Brugge KV,Aston Villa,1,3,3.17,3.28,2.40
2025-02-19,play_off,PSG,Brest,7,0,1.14,9.46,19.27
2025-02-19,play_off,PSV,Juventus,3,1,2.25,3.68,3.14
2025-02-19,play_off,Real Madrid,Manchester City,3,1,1.87,4.33,3.74
2025-02-19,play_off,Dortmund,Sporting CP,0,0,1.73,4.15,4.68
2025-02-18,play_off,Atalanta,Club Brugge KV,1,3,1.48,4.67,6.81
2025-02-18,play_off,Bayern Munich,Celtic,1,1,1.19,7.87,15.49
2025-02-18,play_off,Benfica,Monaco,3,3,1.87,4.16,3.84
2025-02-18,play_off,AC Milan,Feyenoord,1,1,1.28,6.32,10.59
2025-02-12,play_off,Feyenoord,AC Milan,1,0,4.29,3.95,1.81
2025-02-12,play_off,Celtic,Bayern Munich,1,2,7.61,5.44,1.39
2025-02-12,play_off,Monaco,Benfica,0,1,2.53,3.57,2.76
2025-02-12,play_off,Club Brugge KV,Atalanta,2,1,3.43,3.31,2.26
2025-02-11,play_off,Sporting CP,Dortmund,0,3,2.65,3.29,2.82
2025-02-11,play_off,Juventus,PSV,2,1,1.88,3.70,4.24
2025-02-11,play_off,Manchester City,Real Madrid,2,3,2.01,4.01,3.47
2025-02-11,play_off,Brest,PSG,0,3,10.48,5.78,1.30
2025-01-29,regular,Bayern Munich,Slovan Bratislava,3,1,1.03,25.60,42.51
2025-01-29,regular,Manchester City,Club Brugge KV,3,1,1.22,7.10,12.64
2025-01-29,regular,Dortmund,Shakhtar Donetsk,3,1,1.39,5.69,7.22
2025-01-29,regular,Inter,Monaco,3,0,1.62,4.34,5.24
2025-01-29,regular,Sturm Graz,RB Leipzig,1,0,4.14,3.88,1.86
2025-01-29,regular,Din. Zagreb,AC Milan,2,1,6.00,4.75,1.52
2025-01-29,regular,Girona,Arsenal,1,2,6.51,4.24,1.55
2025-01-29,regular,Aston Villa,Celtic,4,2,1.58,4.57,5.43
2025-01-29,regular,Barcelona,Atalanta,2,2,1.69,4.51,4.59
2025-01-29,regular,Salzburg,Atl. Madrid,1,4,6.97,4.58,1.48
2025-01-29,regular,Bayer Leverkusen,Sparta Prague,2,0,1.13,9.86,18.25
2025-01-29,regular,Juventus,Benfica,0,2,2.29,3.28,3.45
