date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-12-08,play_off,Rangers,Limache,3,2,1.77,3.40,4.15
2024-12-04,play_off,Limache,Rangers,3,1,2.47,2.98,2.81
2024-12-01,play_off,Rangers,Recoleta,0,0,1.88,3.32,3.75
2024-11-30,play_off,Magallanes,Limache,1,2,1.73,3.56,4.18
2024-11-27,play_off,Limache,Magallanes,1,1,3.04,2.95,2.33
2024-11-27,play_off,Recoleta,Rangers,0,1,2.93,3.07,2.31
2024-11-18,play_off,Rangers,CD Santa Cruz,2,2,1.89,3.43,3.63
2024-11-17,play_off,Antofagasta,Limache,0,4,1.60,3.63,5.18
2024-11-16,play_off,Recoleta,S. Morning,2,1,1.98,3.02,3.84
2024-11-14,play_off,Limache,Antofagasta,2,1,2.20,3.31,2.92
2024-11-13,play_off,CD Santa Cruz,Rangers,1,2,2.52,2.96,2.71
2024-11-13,play_off,S. Morning,Recoleta,1,1,2.75,2.80,2.66
2024-11-10,regular,Copiapo,Colo Colo,1,1,11.10,5.76,1.23
2024-11-10,regular,U. De Chile,Everton,1,1,1.46,4.20,6.56
2024-11-10,regular,Palestino,A. Italiano,2,0,1.55,3.82,5.74
2024-11-10,regular,O'Higgins,Cobreloa,0,3,1.76,3.59,4.30
2024-11-10,regular,Union La Calera,Cobresal,3,0,2.02,3.40,3.47
2024-11-10,regular,Huachipato,Nublense,1,0,1.90,3.64,3.63
2024-11-10,regular,U. Catolica,Coquimbo,1,2,1.94,3.37,3.76
2024-11-10,regular,Deportes Iquique,U. Espanola,2,0,1.84,3.93,3.58
2024-11-04,regular,Colo Colo,Deportes Iquique,3,0,1.54,4.06,5.40
2024-11-04,regular,Nublense,U. De Chile,1,4,3.40,3.51,2.01
2024-11-03,regular,A. Italiano,Copiapo,4,1,1.59,3.92,5.11
2024-11-03,regular,Cobreloa,U. Catolica,2,2,2.62,3.21,2.60
2024-11-03,regular,Cobresal,O'Higgins,3,1,1.84,3.39,4.21
2024-11-03,regular,Coquimbo,Union La Calera,0,0,1.61,3.55,5.76
2024-11-03,regular,Everton,Huachipato,1,0,1.61,4.12,4.69
