date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-11-02,regular,Beijing Guoan,Henan Songshan Longmen,1,1,1.60,4.19,4.97
2024-11-02,regular,Qingdao Hainiu,Cangzhou,1,0,1.55,4.01,5.79
2024-11-02,regular,Changchun Yatai,Zhejiang Professional,2,2,2.28,3.94,2.72
2024-11-02,regular,Chengdu Rongcheng,Shanghai Shenhua,1,2,2.84,3.40,2.42
2024-11-02,regular,Shandong Taishan,Meizhou Hakka,2,1,2.02,3.75,3.36
2024-11-02,regular,Shenzhen Xinpengcheng,Nantong Zhiyun,2,1,1.37,4.83,7.94
2024-11-02,regular,Wuhan Three Towns,Qingdao West Coast,1,3,3.22,3.61,2.10
2024-11-02,regular,Shanghai Port,Tianjin Jinmen Tiger,5,0,1.14,8.69,14.63
2024-10-27,regular,Nantong Zhiyun,Beijing Guoan,1,3,3.15,3.64,2.11
2024-10-27,regular,Cangzhou,Shanghai Port,0,1,21.25,9.98,1.08
2024-10-27,regular,Henan Songshan Longmen,Changchun Yatai,0,0,2.21,3.42,3.07
2024-10-27,regular,Qingdao West Coast,Chengdu Rongcheng,1,1,7.15,4.77,1.39
2024-10-27,regular,Meizhou Hakka,Wuhan Three Towns,1,0,1.62,4.02,4.92
2024-10-27,regular,Tianjin Jinmen Tiger,Qingdao Hainiu,1,0,1.74,3.94,4.16
2024-10-27,regular,Zhejiang Professional,Shandong Taishan,3,3,1.97,3.95,3.26
2024-10-27,regular,Shanghai Shenhua,Shenzhen Xinpengcheng,2,2,1.22,5.97,12.47
2024-10-20,regular,Shenzhen Xinpengcheng,Meizhou Hakka,0,0,1.96,3.47,3.75
2024-10-20,regular,Cangzhou,Nantong Zhiyun,0,0,3.37,3.34,2.11
2024-10-19,regular,Beijing Guoan,Qingdao Hainiu,6,0,1.39,4.69,7.10
2024-10-19,regular,Changchun Yatai,Qingdao West Coast,4,0,1.63,3.95,4.93
2024-10-18,regular,Chengdu Rongcheng,Shanghai Port,3,1,3.07,3.55,2.19
2024-10-18,regular,Shanghai Shenhua,Henan Songshan Longmen,2,1,1.21,6.20,12.66
2024-10-18,regular,Shandong Taishan,Tianjin Jinmen Tiger,4,1,1.95,3.80,3.44
2024-10-18,regular,Wuhan Three Towns,Zhejiang Professional,0,2,2.04,3.72,3.25
2024-09-29,regular,Wuhan Three Towns,Henan Songshan Longmen,1,0,1.90,3.43,4.01
2024-09-29,regular,Tianjin Jinmen Tiger,Cangzhou,3,2,1.56,4.12,5.36
2024-09-29,regular,Chengdu Rongcheng,Meizhou Hakka,2,0,1.22,6.78,10.06
2024-09-28,regular,Shenzhen Xinpengcheng,Shandong Taishan,1,4,2.03,3.45,3.50
2024-09-28,regular,Beijing Guoan,Changchun Yatai,8,1,1.59,4.09,5.17
2024-09-28,regular,Nantong Zhiyun,Zhejiang Professional,3,2,3.19,3.86,2.01
2024-09-28,regular,Shanghai Port,Qingdao West Coast,2,1,1.13,9.26,13.14
2024-09-28,regular,Qingdao Hainiu,Shanghai Shenhua,0,1,8.20,5.82,1.29
2024-09-22,regular,Zhejiang Professional,Cangzhou,2,2,1.47,4.75,5.64
2024-09-22,regular,Nantong Zhiyun,Qingdao Hainiu,2,1,2.19,3.37,3.17
