date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-12-23,play_off,Atl. Nacional,Deportes Tolima,2,0,1.82,3.26,5.17
2024-12-19,play_off,Deportes Tolima,Atl. Nacional,1,1,2.35,2.93,3.46
2024-12-09,regular,Santa Fe,Atl. Nacional,0,3,3.31,2.98,2.39
2024-12-09,regular,Dep. Pasto,Millonarios,0,0,5.28,3.33,1.76
2024-12-09,regular,America De Cali,Junior,1,0,2.46,3.33,2.87
2024-12-09,regular,Deportes Tolima,Once Caldas,1,0,1.63,3.86,5.49
2024-12-06,regular,Millonarios,Santa Fe,1,1,2.09,2.89,4.38
2024-12-06,regular,Atl. Nacional,Dep. Pasto,2,1,1.58,3.80,6.15
2024-12-05,regular,Junior,Deportes Tolima,3,2,2.58,3.08,2.93
2024-12-05,regular,Once Caldas,America De Cali,3,0,2.57,2.88,3.14
2024-12-03,regular,Atl. Nacional,Millonarios,1,1,2.11,3.09,3.86
2024-12-03,regular,Santa Fe,Dep. Pasto,1,2,1.96,3.20,4.31
2024-12-02,regular,Junior,Once Caldas,1,2,1.63,3.74,5.70
2024-12-02,regular,America De Cali,Deportes Tolima,4,2,2.62,2.76,3.22
2024-11-30,regular,Millonarios,Atl. Nacional,2,1,2.18,3.09,3.68
2024-11-30,regular,Dep. Pasto,Santa Fe,1,0,2.38,2.91,3.42
2024-11-28,regular,Once Caldas,Junior,2,2,2.01,3.08,4.32
2024-11-28,regular,Deportes Tolima,America De Cali,1,0,2.20,2.93,3.83
2024-11-27,regular,Santa Fe,Millonarios,0,1,3.14,2.87,2.57
2024-11-25,regular,Deportes Tolima,Junior,1,0,1.85,3.41,4.55
2024-11-25,regular,America De Cali,Once Caldas,1,1,1.68,3.35,5.95
2024-11-24,regular,Dep. Pasto,Atl. Nacional,0,1,2.76,3.19,2.63
2024-11-22,regular,Junior,America De Cali,1,0,2.27,3.02,3.52
2024-11-22,regular,Once Caldas,Deportes Tolima,0,0,2.71,2.81,3.05
2024-11-21,regular,Atl. Nacional,Santa Fe,5,0,1.99,3.10,4.36
2024-11-21,regular,Millonarios,Dep. Pasto,2,1,1.74,3.27,5.68
2024-11-15,regular,Fortaleza,Aguilas,0,1,1.31,4.62,11.65
2024-11-15,regular,Alianza,Bucaramanga,0,4,2.90,2.96,2.67
2024-11-15,regular,America De Cali,Once Caldas,3,0,2.20,2.99,3.75
2024-11-15,regular,Deportes Tolima,Atl. Nacional,1,0,1.49,4.09,6.87
2024-11-15,regular,Chico,Millonarios,1,5,4.26,3.00,2.03
2024-11-15,regular,Junior,Dep. Cali,3,0,1.38,4.50,8.64
2024-11-15,regular,Dep. Pasto,Patriotas,3,2,1.30,4.94,11.74
2024-11-15,regular,Pereira,Inter Bogotá,4,3,1.71,3.49,5.35
2024-11-15,regular,Ind. Medellin,Envigado,1,0,1.41,4.38,8.23
2024-11-15,regular,Santa Fe,Jaguares de Cordoba,3,0,1.66,3.70,5.42
2024-11-12,regular,America De Cali,Santa Fe,0,0,1.89,3.16,4.78
2024-11-12,regular,Once Caldas,Junior,0,0,1.98,3.18,4.14
2024-11-12,regular,Atl. Nacional,Ind. Medellin,1,1,2.43,3.34,2.90
2024-11-11,regular,Inter Bogotá,Dep. Pasto,2,2,3.21,2.94,2.46
2024-11-11,regular,Millonarios,Pereira,0,0,1.52,3.79,7.26
2024-11-11,regular,Aguilas,Chico,0,1,1.89,3.28,4.51
2024-11-11,regular,Jaguares de Cordoba,Alianza,0,0,1.80,3.35,5.04
2024-11-11,regular,Envigado,Dep. Cali,1,0,2.52,3.11,2.95
2024-11-10,regular,Patriotas,Deportes Tolima,2,1,3.60,2.98,2.26
2024-11-10,regular,Bucaramanga,Fortaleza,1,0,2.11,3.14,3.81
2024-11-09,regular,Santa Fe,Once Caldas,2,1,2.03,3.12,4.16
2024-11-08,regular,Pereira,Atl. Nacional,1,1,2.75,2.97,2.77
2024-11-08,regular,Dep. Pasto,America De Cali,3,1,1.86,3.20,4.90
2024-11-08,regular,Junior,Millonarios,0,0,2.15,3.09,3.78
2024-12-08,regular,America De Cali,Junior,1,0,2.46,3.33,2.87
2024-12-08,regular,Deportes Tolima,Once Caldas,1,0,1.63,3.86,5.49
2024-12-01,regular,America De Cali,Deportes Tolima,4,2,2.62,2.76,3.22
2024-11-11,regular,Atl. Nacional,Ind. Medellin,1,1,2.43,3.34,2.90
2024-11-10,regular,Jaguares de Cordoba,Alianza,0,0,1.80,3.35,5.04
2024-11-10,regular,Envigado,Dep. Cali,1,0,2.52,3.11,2.95
2024-11-07,regular,Junior,Millonarios,0,0,2.15,3.09,3.78
2024-11-07,regular,Dep. Cali,Jaguares de Cordoba,1,2,1.67,3.66,5.38
2024-11-07,regular,Ind. Medellin,Patriotas,3,0,1.30,5.02,10.97
2024-11-07,regular,Deportes Tolima,Envigado,3,0,1.35,4.63,10.46
2024-11-07,regular,Alianza,Aguilas,3,0,2.73,3.04,2.78
2024-11-06,regular,Chico,Bucaramanga,1,1,2.53,2.85,3.23
2024-11-06,regular,Fortaleza,Inter Bogotá,2,1,2.38,3.03,3.28
2024-11-05,regular,Atl. Nacional,Santa Fe,1,1,1.90,3.24,4.59
2024-11-04,regular,Bucaramanga,Ind. Medellin,2,3,2.41,2.89,3.41
2024-11-04,regular,Millonarios,Dep. Pasto,1,0,1.75,3.28,5.70
2024-11-04,regular,America De Cali,Dep. Cali,0,1,1.64,3.43,6.52
2024-11-03,regular,Patriotas,Chico,3,0,2.27,3.03,3.51
2024-11-03,regular,Aguilas,Deportes Tolima,0,1,3.06,2.90,2.60
2024-11-03,regular,Envigado,Junior,0,0,3.71,3.43,2.03
2024-11-02,regular,Inter Bogotá,Alianza,3,2,1.77,3.50,4.94
2024-11-02,regular,Once Caldas,Fortaleza,0,2,1.74,3.41,5.33
2024-11-02,regular,Jaguares de Cordoba,Pereira,1,2,2.82,2.91,2.80
2024-10-30,regular,Pereira,Envigado,2,0,1.56,3.75,6.75
2024-10-30,regular,Dep. Pasto,Aguilas,3,1,1.70,3.44,5.64
2024-10-30,regular,Chico,Inter Bogotá,1,0,3.10,2.90,2.54
2024-10-29,regular,Ind. Medellin,Jaguares de Cordoba,4,1,1.60,3.63,6.47
2024-10-28,regular,Junior,America De Cali,3,1,2.64,2.90,3.00
2024-10-28,regular,Dep. Cali,Bucaramanga,1,0,2.22,3.04,3.62
2024-10-27,regular,Fortaleza,Atl. Nacional,0,1,3.41,3.06,2.28
2024-10-27,regular,Santa Fe,Millonarios,0,1,3.11,2.80,2.62
2024-10-27,regular,Alianza,Patriotas,1,1,1.81,3.44,4.89
2024-10-26,regular,Deportes Tolima,Once Caldas,1,1,1.79,3.37,4.91
2024-10-25,regular,Envigado,Aguilas,3,0,4.28,3.10,2.01
2024-10-21,regular,Aguilas,Bucaramanga,1,3,2.28,2.82,3.82
2024-10-21,regular,Junior,Pereira,3,1,1.78,3.24,5.46
2024-10-20,regular,Inter Bogotá,America De Cali,2,2,3.89,2.97,2.17
2024-10-20,regular,Deportes Tolima,Alianza,2,0,1.53,3.85,6.83
2024-10-19,regular,Santa Fe,Ind. Medellin,1,1,1.83,3.28,4.90
2024-10-17,regular,Millonarios,Fortaleza,2,1,1.78,3.41,5.14
2024-10-16,regular,Jaguares de Cordoba,Chico,1,0,1.78,3.26,5.40
2024-10-15,regular,Atl. Nacional,Envigado,2,1,1.44,4.32,7.85
2024-10-15,regular,America De Cali,Ind. Medellin,1,0,2.18,3.17,3.63
2024-10-15,regular,Once Caldas,Dep. Pasto,2,1,2.11,3.18,3.80
2024-10-14,regular,Patriotas,Santa Fe,1,2,4.26,3.10,2.02
2024-10-14,regular,Aguilas,Dep. Cali,1,1,2.03,3.01,4.44
2024-10-13,regular,Bucaramanga,Pereira,1,1,2.17,2.82,4.17
2024-10-13,regular,Inter Bogotá,Junior,1,0,2.41,2.77,3.49
2024-10-12,regular,America De Cali,Millonarios,2,1,1.81,3.18,5.42
2024-10-11,regular,Santa Fe,Chico,3,1,1.47,4.06,7.62
2024-10-11,regular,Ind. Medellin,Alianza,2,0,1.45,4.25,7.36
2024-10-10,regular,Atl. Nacional,Dep. Cali,1,1,1.78,3.55,4.66
2024-10-10,regular,Envigado,Dep. Pasto,0,1,4.34,2.97,2.04
2024-10-08,regular,Pereira,Deportes Tolima,1,0,3.13,2.79,2.62
2024-10-08,regular,Fortaleza,Jaguares de Cordoba,3,1,1.55,3.67,6.75
2024-10-07,regular,Junior,Patriotas,2,1,1.51,3.97,6.70
2024-10-07,regular,Santa Fe,Aguilas,0,0,1.99,2.91,4.64
2024-10-06,regular,Ind. Medellin,Inter Bogotá,0,0,1.55,3.75,6.53
2024-10-06,regular,Alianza,Once Caldas,1,0,2.78,3.01,2.72
2024-10-06,regular,Dep. Pasto,Atl. Nacional,1,2,2.43,2.99,3.15
2024-10-06,regular,Chico,America De Cali,0,2,3.91,3.21,2.03
2024-10-05,regular,Envigado,Bucaramanga,0,0,3.40,2.92,2.35
