date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-06-02,regular,Pachuca,Columbus Crew,3,0,1.70,4.00,4.33
2024-05-02,regular,Monterrey,Columbus Crew,1,3,1.53,4.50,5.75
2024-05-01,regular,Pachuca,Club America,2,1,3.25,3.60,2.15
2024-04-25,regular,Columbus Crew,Monterrey,2,1,2.38,3.30,2.80
2024-04-24,regular,Club America,Pachuca,1,1,1.62,3.80,5.00
2024-04-11,regular,Monterrey,Inter Miami,3,1,2.50,4.20,2.38
2024-04-11,regular,Pachuca,Herediano,2,1,1.22,6.50,10.00
2024-04-10,regular,Club America,New England Revolution,5,2,1.20,7.00,11.00
2024-04-10,regular,Tigres UANL,Columbus Crew,1,2,1.75,3.75,4.75
2024-04-04,regular,Herediano,Pachuca,0,5,4.00,3.60,1.80
2024-04-04,regular,Inter Miami,Monterrey,1,2,2.60,3.40,2.55
2024-04-03,regular,New England Revolution,Club America,0,4,3.00,3.30,2.15
2024-04-03,regular,Columbus Crew,Tigres UANL,1,1,2.20,3.30,3.00
2024-03-15,regular,Monterrey,FC Cincinnati,2,1,1.62,3.80,5.50
2024-03-15,regular,Alajuelense,New England Revolution,1,1,2.15,3.75,3.00
2024-03-14,regular,Club America,Guadalajara Chivas,2,3,1.44,4.50,7.00
2024-03-14,regular,Inter Miami,Nashville SC,3,1,1.36,5.00,8.00
2024-03-14,regular,Robinhood,Herediano,1,1,6.00,5.25,1.40
2024-03-13,regular,Tigres UANL,Orlando City,4,2,1.57,4.00,5.50
2024-03-13,regular,Pachuca,Philadelphia Union,6,0,1.57,4.00,5.75
2024-03-13,regular,Columbus Crew,Houston Dynamo,1,1,1.91,3.80,3.75
2024-03-08,regular,Nashville SC,Inter Miami,2,2,3.20,3.30,2.20
2024-03-08,regular,FC Cincinnati,Monterrey,0,1,2.50,3.00,2.70
2024-03-07,regular,Guadalajara Chivas,Club America,0,3,3.60,2.90,2.05
2024-03-07,regular,Houston Dynamo,Columbus Crew,0,1,2.38,3.10,2.75
2024-03-07,regular,New England Revolution,Alajuelense,4,0,1.62,4.00,4.33
2024-03-06,regular,Orlando City,Tigres UANL,0,0,2.38,3.10,2.80
2024-03-06,regular,Philadelphia Union,Pachuca,0,0,1.75,3.75,3.75
2024-03-06,regular,Herediano,Robinhood,2,0,1.11,8.00,19.00
2024-03-01,regular,New England Revolution,Independiente,3,0,1.18,6.50,11.00
2024-02-29,regular,Nashville SC,Moca,4,0,1.02,21.00,51.00
2024-02-29,regular,FC Cincinnati,Cavalier,4,0,1.08,9.50,21.00
2024-02-28,regular,Houston Dynamo,St. Louis City,1,0,1.73,3.80,4.00
2024-02-28,regular,Philadelphia Union,Saprissa,3,3,1.50,4.20,5.00
2024-02-28,regular,Orlando City,Cavalry,3,1,1.18,6.50,11.00
2024-02-23,regular,Cavalier,FC Cincinnati,0,2,6.50,5.00,1.40
2024-02-23,regular,Moca,Nashville SC,0,3,13.00,7.50,1.17
2024-02-22,regular,Cavalry,Orlando City,0,3,5.25,4.00,1.57
2024-02-22,regular,Independiente,New England Revolution,0,1,3.20,3.50,2.05
2024-02-21,regular,Saprissa,Philadelphia Union,2,3,2.45,3.30,2.70
2024-02-21,regular,St. Louis City,Houston Dynamo,2,1,2.15,3.30,3.20
2024-02-16,regular,Monterrey,Comunicaciones,3,0,1.22,6.50,10.00
2024-02-16,regular,Toluca,Herediano,2,3,1.40,4.75,6.50
2024-02-15,regular,Club America,Esteli,2,0,1.06,13.00,21.00
2024-02-15,regular,Tigres UANL,Vancouver Whitecaps,3,0,1.40,4.75,7.00
2024-02-14,regular,Guadalajara Chivas,Forge,2,1,1.20,7.00,12.00
2024-02-08,regular,Vancouver Whitecaps,Tigres UANL,1,1,2.90,3.25,2.45
2024-02-08,regular,Forge,Guadalajara Chivas,1,3,5.00,3.75,1.53
2024-02-08,regular,Herediano,Toluca,1,2,2.40,3.25,2.63
2024-02-07,regular,Esteli,Club America,2,1,6.50,4.75,1.36
2024-02-07,regular,Comunicaciones,Monterrey,1,4,4.20,3.50,1.75
