date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-11-30,play_off,Atletico-MG (Bra),Botafogo RJ (Bra),1,3,4.39,3.21,1.95
2024-10-31,play_off,Penarol (Uru),Botafogo RJ (Bra),3,1,2.44,3.19,3.03
2024-10-30,play_off,River Plate (Arg),Atletico-MG (Bra),0,0,1.56,4.09,5.85
2024-10-24,play_off,Botafogo RJ (Bra),Penarol (Uru),5,0,1.37,4.53,9.26
2024-10-23,play_off,Atletico-MG (Bra),River Plate (Arg),3,0,2.37,2.79,3.63
2024-09-27,play_off,Penarol (Uru),Flamengo RJ (Bra),0,0,3.73,3.13,2.13
2024-09-26,play_off,Sao Paulo (Bra),Botafogo RJ (Bra),1,2,2.99,2.85,2.73
2024-09-26,play_off,Atletico-MG (Bra),Fluminense (Bra),2,0,1.69,3.57,5.41
2024-09-25,play_off,River Plate (Arg),Colo Colo (Chi),1,0,1.46,3.99,8.12
2024-09-20,play_off,Flamengo RJ (Bra),Penarol (Uru),0,1,1.42,4.08,9.54
2024-09-19,play_off,Botafogo RJ (Bra),Sao Paulo (Bra),0,0,1.70,3.49,5.60
2024-09-19,play_off,Fluminense (Bra),Atletico-MG (Bra),1,0,2.40,2.81,3.54
2024-09-18,play_off,Colo Colo (Chi),River Plate (Arg),1,1,3.35,2.93,2.42
2024-08-23,play_off,Bolivar (Bol),Flamengo RJ (Bra),1,0,2.03,3.39,3.69
2024-08-23,play_off,Sao Paulo (Bra),Nacional (Uru),2,0,1.64,3.45,6.25
2024-08-22,play_off,Palmeiras (Bra),Botafogo RJ (Bra),2,2,1.71,3.74,4.90
2024-08-22,play_off,River Plate (Arg),Talleres Cordoba (Arg),2,1,1.60,3.68,6.22
2024-08-22,play_off,The Strongest (Bol),Penarol (Uru),1,0,1.75,3.97,4.34
2024-08-21,play_off,Atletico-MG (Bra),San Lorenzo (Arg),1,0,1.49,3.82,8.18
2024-08-21,play_off,Junior (Col),Colo Colo (Chi),1,2,2.16,3.03,3.83
2024-08-21,play_off,Fluminense (Bra),Gremio (Bra),3,1,1.93,3.27,4.36
2024-08-16,play_off,Flamengo RJ (Bra),Bolivar (Bol),2,0,1.17,7.60,13.67
2024-08-16,play_off,Nacional (Uru),Sao Paulo (Bra),0,0,2.82,2.81,2.92
2024-08-15,play_off,Botafogo RJ (Bra),Palmeiras (Bra),2,1,2.29,3.16,3.32
2024-08-15,play_off,Talleres Cordoba (Arg),River Plate (Arg),0,1,3.55,2.77,2.43
2024-08-15,play_off,Penarol (Uru),The Strongest (Bol),4,0,1.38,4.60,8.72
2024-08-14,play_off,San Lorenzo (Arg),Atletico-MG (Bra),1,1,3.06,2.77,2.73
2024-08-14,play_off,Colo Colo (Chi),Junior (Col),1,0,1.85,3.22,4.84
2024-08-14,play_off,Gremio (Bra),Fluminense (Bra),2,1,1.99,2.92,4.74
2024-06-09,regular,Gremio (Bra),Estudiantes L.P. (Arg),1,1,1.54,4.10,6.11
2024-06-05,regular,Huachipato (Chi),Gremio (Bra),0,1,3.36,3.20,2.25
2024-05-31,regular,Libertad Asuncion (Par),Nacional (Uru),2,1,2.91,3.25,2.47
2024-05-31,regular,River Plate (Arg),Dep. Tachira (Ven),2,0,1.10,10.10,20.36
2024-05-31,regular,Ind. del Valle (Ecu),Liverpool M. (Uru),2,1,1.18,7.22,14.14
2024-05-31,regular,Palmeiras (Bra),San Lorenzo (Arg),0,0,1.45,4.14,8.03
2024-05-30,regular,Fluminense (Bra),Alianza Lima (Per),3,2,1.54,4.18,6.08
2024-05-30,regular,Barcelona SC (Ecu),Cobresal (Chi),2,1,1.36,4.78,8.95
2024-05-30,regular,Cerro Porteno (Par),Colo Colo (Chi),1,1,2.18,3.19,3.55
2024-05-30,regular,Sao Paulo (Bra),Talleres Cordoba (Arg),2,0,1.61,3.81,5.82
2024-05-30,regular,Estudiantes L.P. (Arg),Huachipato (Chi),3,4,1.29,5.05,11.92
2024-05-30,regular,Gremio (Bra),The Strongest (Bol),4,0,1.33,5.14,9.00
2024-05-29,regular,Bolivar (Bol),Palestino (Chi),3,1,1.36,4.91,8.52
2024-05-29,regular,Flamengo RJ (Bra),Millonarios (Col),3,0,1.16,7.49,17.09
2024-05-29,regular,Atletico-MG (Bra),Caracas (Ven),4,0,1.07,11.35,28.32
2024-05-29,regular,Junior (Col),Botafogo RJ (Bra),0,0,2.47,3.19,2.97
2024-05-29,regular,LDU Quito (Ecu),U. de Deportes (Per),2,0,1.43,4.44,7.46
2024-05-29,regular,Penarol (Uru),Rosario Central (Arg),2,1,1.95,3.15,4.39
2024-05-17,regular,Sao Paulo (Bra),Barcelona SC (Ecu),0,0,1.40,4.48,8.46
2024-05-17,regular,San Lorenzo (Arg),Liverpool M. (Uru),3,2,1.61,3.59,6.44
2024-05-17,regular,Fluminense (Bra),Cerro Porteno (Par),2,1,1.67,3.50,5.79
2024-05-17,regular,U. de Deportes (Per),Botafogo RJ (Bra),0,1,2.72,3.11,2.72
2024-05-17,regular,Rosario Central (Arg),Caracas (Ven),4,1,1.24,5.66,13.15
2024-05-16,regular,Flamengo RJ (Bra),Bolivar (Bol),4,0,1.13,8.66,17.48
2024-05-16,regular,Palmeiras (Bra),Ind. del Valle (Ecu),2,1,1.38,4.82,7.91
2024-05-16,regular,Alianza Lima (Per),Colo Colo (Chi),1,1,2.88,3.06,2.62
2024-05-16,regular,Dep. Tachira (Ven),Nacional (Uru),0,1,4.02,3.42,1.94
2024-05-16,regular,The Strongest (Bol),Huachipato (Chi),4,0,1.32,5.27,9.57
2024-05-15,regular,Millonarios (Col),Palestino (Chi),1,1,1.62,3.73,5.84
2024-05-15,regular,River Plate (Arg),Libertad Asuncion (Par),2,0,1.28,5.77,9.84
2024-05-15,regular,Penarol (Uru),Atletico-MG (Bra),2,0,3.30,2.94,2.41
2024-05-15,regular,Talleres Cordoba (Arg),Cobresal (Chi),1,0,1.22,6.49,11.10
2024-05-15,regular,LDU Quito (Ecu),Junior (Col),0,1,1.51,4.12,6.50
2024-05-10,regular,Colo Colo (Chi),Fluminense (Bra),0,1,2.42,3.12,3.09
2024-05-10,regular,The Strongest (Bol),Estudiantes L.P. (Arg),1,0,1.61,3.91,5.46
