date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-11-23,play_off,Racing Club (Arg),Cruzeiro (Bra),3,1,2.39,3.01,3.35
2024-11-01,play_off,Racing Club (Arg),Corinthians (Bra),2,1,2.05,3.14,4.09
2024-10-31,play_off,Lanus (Arg),Cruzeiro (Bra),0,1,2.38,2.88,3.50
2024-10-25,play_off,Corinthians (Bra),Racing Club (Arg),2,2,1.75,3.50,5.17
2024-10-24,play_off,Cruzeiro (Bra),Lanus (Arg),1,1,1.62,3.63,6.32
2024-09-27,play_off,Racing Club (Arg),Athletico-PR (Bra),4,1,1.51,4.15,6.46
2024-09-27,play_off,Cruzeiro (Bra),Libertad Asuncion (Par),1,1,1.55,3.97,6.21
2024-09-26,play_off,Ind. Medellin (Col),Lanus (Arg),1,2,2.52,2.95,3.14
2024-09-25,play_off,Corinthians (Bra),Fortaleza (Bra),3,0,1.97,3.45,3.92
2024-09-20,play_off,Athletico-PR (Bra),Racing Club (Arg),1,0,2.04,3.35,3.79
2024-09-20,play_off,Libertad Asuncion (Par),Cruzeiro (Bra),0,2,2.89,2.86,2.80
2024-09-19,play_off,Lanus (Arg),Ind. Medellin (Col),0,0,1.69,3.60,5.51
2024-09-18,play_off,Fortaleza (Bra),Corinthians (Bra),0,2,2.00,3.04,4.46
2024-08-23,play_off,Cruzeiro (Bra),Boca Juniors (Arg),3,1,1.96,3.19,4.36
2024-08-23,play_off,Belgrano (Arg),Athletico-PR (Bra),0,2,2.44,3.10,3.10
2024-08-23,play_off,Ameliano (Par),Libertad Asuncion (Par),0,1,4.30,3.09,2.00
2024-08-22,play_off,Ind. Medellin (Col),Palestino (Chi),4,0,1.91,3.17,4.65
2024-08-22,play_off,Lanus (Arg),LDU Quito (Ecu),3,1,1.92,3.48,4.09
2024-08-22,play_off,Fortaleza (Bra),Rosario Central (Arg),3,1,1.65,3.49,6.17
2024-08-21,play_off,Corinthians (Bra),Bragantino (Bra),2,2,2.44,3.07,3.14
2024-08-21,play_off,Racing Club (Arg),Huachipato (Chi),6,1,1.26,5.64,9.97
2024-08-16,play_off,Boca Juniors (Arg),Cruzeiro (Bra),1,0,2.23,2.97,3.75
2024-08-16,play_off,Athletico-PR (Bra),Belgrano (Arg),2,1,1.55,3.80,6.79
2024-08-16,play_off,Libertad Asuncion (Par),Ameliano (Par),1,1,1.69,3.55,5.54
2024-08-15,play_off,Palestino (Chi),Ind. Medellin (Col),2,2,2.59,2.82,3.16
2024-08-15,play_off,LDU Quito (Ecu),Lanus (Arg),1,2,1.52,4.14,6.47
2024-08-15,play_off,Rosario Central (Arg),Fortaleza (Bra),1,1,2.67,2.82,3.10
2024-08-14,play_off,Bragantino (Bra),Corinthians (Bra),1,2,2.46,2.91,3.32
2024-08-14,play_off,Huachipato (Chi),Racing Club (Arg),0,2,4.79,3.48,1.79
2024-07-26,play_off,Always Ready (Bol),LDU Quito (Ecu),3,1,2.41,3.49,2.83
