date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-01,regular,Chrudim,FK Pardubice,1,0,3.72,3.61,1.91
2025-06-01,regular,Dukla Prague,Vyskov,2,1,1.43,4.30,7.37
2025-05-28,regular,FK Pardubice,Chrudim,2,0,1.42,4.56,6.60
2025-05-28,regular,Vyskov,Dukla Prague,0,0,3.99,3.38,1.90
2025-05-25,regular,Dukla Prague,Ceske Budejovice,2,1,1.54,4.22,5.50
2025-05-25,regular,Teplice,FK Pardubice,3,0,1.36,5.03,7.96
2025-05-25,regular,Mlada Boleslav,Slovacko,2,2,1.89,3.72,3.70
2025-05-25,regular,Hradec Kralove,Bohemians,2,0,1.77,3.45,4.65
2025-05-24,regular,Plzen,Jablonec,4,1,1.34,5.05,8.06
2025-05-24,regular,Slavia Prague,Ostrava,3,0,1.54,4.48,5.34
2025-05-24,regular,Sparta Prague,Sigma Olomouc,1,1,1.26,5.79,9.69
2025-05-18,regular,Jablonec,Slavia Prague,3,2,2.28,3.44,2.95
2025-05-18,regular,Ostrava,Sparta Prague,3,2,2.43,3.53,2.66
2025-05-18,regular,Sigma Olomouc,Plzen,1,2,13.23,6.87,1.18
2025-05-18,regular,Bohemians,Hradec Kralove,1,0,2.64,3.05,2.79
2025-05-17,regular,Ceske Budejovice,Teplice,0,3,2.97,3.49,2.26
2025-05-17,regular,Slovacko,Dukla Prague,3,2,2.80,3.15,2.54
2025-05-17,regular,FK Pardubice,Mlada Boleslav,2,1,2.08,3.60,3.22
2025-05-11,regular,Plzen,Ostrava,1,2,1.45,4.63,6.33
2025-05-11,regular,Mlada Boleslav,Dukla Prague,2,3,2.70,3.49,2.47
2025-05-11,regular,Liberec,Bohemians,1,0,1.82,3.89,3.94
2025-05-11,regular,Teplice,Slovacko,1,0,1.77,3.51,4.76
2025-05-10,regular,Slavia Prague,Sparta Prague,2,1,1.53,4.20,5.94
2025-05-10,regular,Jablonec,Sigma Olomouc,4,0,1.33,4.98,9.33
2025-05-10,regular,Karvina,Hradec Kralove,0,4,2.37,3.45,2.88
2025-05-10,regular,FK Pardubice,Ceske Budejovice,1,0,1.69,3.78,4.86
2025-05-04,regular,Sparta Prague,Jablonec,1,3,1.52,4.14,6.12
2025-05-04,regular,Mlada Boleslav,Teplice,1,0,2.16,3.42,3.25
2025-05-04,regular,Bohemians,Liberec,4,1,2.34,3.25,3.03
2025-05-04,regular,Slovacko,Ceske Budejovice,0,0,1.47,4.24,6.81
2025-05-03,regular,Ostrava,Sigma Olomouc,0,0,1.45,4.69,6.30
2025-05-03,regular,Slavia Prague,Plzen,4,3,1.91,3.43,4.10
2025-05-03,regular,Dukla Prague,FK Pardubice,2,0,1.73,3.77,4.54
2025-05-03,regular,Hradec Kralove,Karvina,1,0,1.66,3.85,4.87
2025-04-27,regular,Plzen,Sparta Prague,2,0,2.22,3.43,3.16
2025-04-27,regular,Ostrava,Jablonec,1,2,1.77,3.75,4.41
2025-04-27,regular,Teplice,Dukla Prague,2,2,2.22,3.19,3.36
2025-04-26,regular,Sigma Olomouc,Slavia Prague,0,5,8.91,4.92,1.34
2025-04-26,regular,Slovacko,FK Pardubice,1,0,2.02,3.27,3.81
2025-04-26,regular,Ceske Budejovice,Mlada Boleslav,1,2,4.01,3.92,1.80
2025-04-19,regular,Ostrava,Bohemians,1,0,1.43,4.77,6.29
2025-04-19,regular,Sigma Olomouc,Ceske Budejovice,3,0,1.28,5.42,10.14
2025-04-19,regular,Plzen,Dukla Prague,4,2,1.21,6.47,11.30
2025-04-19,regular,FK Pardubice,Sparta Prague,1,2,8.84,5.12,1.32
2025-04-19,regular,Teplice,Hradec Kralove,1,0,2.72,3.14,2.63
2025-04-19,regular,Mlada Boleslav,Jablonec,0,1,2.91,3.52,2.29
2025-04-19,regular,Liberec,Karvina,2,3,1.58,4.04,5.34
2025-04-19,regular,Slavia Prague,Slovacko,2,0,1.07,11.31,26.12
2025-04-13,regular,Bohemians,Plzen,1,2,4.55,3.90,1.69
2025-04-13,regular,Hradec Kralove,Liberec,0,2,2.40,3.19,2.95
2025-04-13,regular,Sparta Prague,Mlada Boleslav,2,0,1.25,5.96,9.97
2025-04-13,regular,Slovacko,Sigma Olomouc,2,2,3.18,3.33,2.20
2025-04-13,regular,Ceske Budejovice,Teplice,1,1,3.91,3.52,1.89
2025-04-13,regular,Jablonec,FK Pardubice,1,0,1.35,4.90,8.16
2025-04-12,regular,Dukla Prague,Ostrava,1,2,4.60,3.82,1.69
2025-04-12,regular,Karvina,Slavia Prague,0,4,8.81,5.40,1.30
2025-04-09,regular,Slovacko,Hradec Kralove,1,5,3.34,3.07,2.26
2025-04-06,regular,Plzen,Slovacko,2,0,1.19,6.52,13.55
2025-04-06,regular,Mlada Boleslav,Dukla Prague,0,1,1.67,3.98,4.73
2025-04-06,regular,Teplice,Jablonec,0,1,2.88,3.21,2.47
2025-04-05,regular,Slavia Prague,Hradec Kralove,2,1,1.26,5.35,12.54
2025-04-05,regular,Liberec,Ceske Budejovice,2,0,1.24,6.01,11.35
