date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-23,regular,Odense,Esbjerg,4,2,1.25,6.48,8.42
2025-05-23,regular,Fredericia,Kolding IF,2,0,2.18,3.42,3.09
2025-05-23,regular,Hvidovre IF,Horsens,1,1,2.30,3.74,2.70
2025-05-22,regular,B.93,Roskilde,0,2,2.48,3.96,2.37
2025-05-22,regular,Hillerod,Vendsyssel,3,1,1.43,4.79,5.97
2025-05-22,regular,Hobro,Koge,2,1,2.00,3.59,3.40
2025-05-17,regular,Horsens,Fredericia,0,3,2.89,3.68,2.19
2025-05-17,regular,Kolding IF,Odense,1,1,2.56,3.55,2.49
2025-05-16,regular,Koge,B.93,2,1,2.05,3.77,3.11
2025-05-16,regular,Roskilde,Hillerod,4,2,3.26,3.84,1.97
2025-05-16,regular,Vendsyssel,Hobro,2,0,1.79,3.68,4.16
2025-05-15,regular,Esbjerg,Hvidovre IF,2,0,2.48,3.61,2.54
2025-05-10,regular,Kolding IF,Esbjerg,2,1,1.77,4.02,3.98
2025-05-10,regular,Vendsyssel,Koge,0,1,1.85,3.59,4.03
2025-05-09,regular,Roskilde,Hobro,1,1,2.15,3.77,3.01
2025-05-09,regular,Fredericia,Hvidovre IF,5,1,1.80,3.61,4.30
2025-05-09,regular,Horsens,Odense,2,2,3.07,3.68,2.14
2025-05-08,regular,Hillerod,B.93,5,2,1.44,4.90,5.87
2025-05-04,regular,Koge,Roskilde,4,3,2.06,3.59,3.31
2025-05-03,regular,Esbjerg,Horsens,0,1,2.92,4.00,2.12
2025-05-03,regular,Odense,Fredericia,1,1,2.19,3.44,3.16
2025-05-03,regular,Hvidovre IF,Kolding IF,0,1,2.75,3.37,2.47
2025-05-02,regular,B.93,Vendsyssel,2,2,2.78,3.75,2.26
2025-05-02,regular,Hobro,Hillerod,0,0,3.27,3.49,2.11
2025-04-27,regular,Fredericia,Esbjerg,1,1,1.71,4.10,4.26
2025-04-26,regular,Roskilde,Vendsyssel,2,1,3.53,3.53,2.00
2025-04-26,regular,Odense,Hvidovre IF,1,1,1.50,4.28,5.92
2025-04-25,regular,B.93,Hobro,5,0,3.07,3.57,2.18
2025-04-25,regular,Hillerod,Koge,3,0,1.67,3.94,4.62
2025-04-25,regular,Horsens,Kolding IF,2,3,2.52,3.43,2.65
2025-04-22,regular,Esbjerg,Fredericia,0,2,3.54,3.77,1.94
2025-04-21,regular,Kolding IF,Horsens,2,0,2.21,3.38,3.18
2025-04-21,regular,Koge,Hobro,0,2,2.88,3.45,2.34
2025-04-21,regular,Hvidovre IF,Odense,2,1,4.24,3.60,1.82
2025-04-20,regular,Vendsyssel,B.93,3,1,1.90,3.72,3.69
2025-04-20,regular,Hillerod,Roskilde,5,2,1.65,3.83,5.09
2025-04-18,regular,Horsens,Esbjerg,3,2,1.65,4.24,4.49
2025-04-17,regular,B.93,Hillerod,1,0,5.06,4.01,1.62
2025-04-17,regular,Roskilde,Koge,1,1,2.46,3.46,2.70
2025-04-17,regular,Odense,Kolding IF,4,3,1.83,3.50,4.34
2025-04-16,regular,Hobro,Vendsyssel,3,1,1.92,3.62,3.75
2025-04-16,regular,Hvidovre IF,Fredericia,0,0,2.98,3.24,2.38
2025-04-13,regular,Koge,Hillerod,0,2,4.31,3.57,1.79
2025-04-12,regular,Vendsyssel,Roskilde,0,0,1.82,3.72,4.00
2025-04-11,regular,Esbjerg,Odense,0,6,3.94,3.80,1.82
2025-04-11,regular,Kolding IF,Hvidovre IF,1,3,1.85,3.36,4.33
