date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-01,play_off,Randers FC,Silkeborg,1,3,2.38,3.37,2.96
2025-05-25,regular,Aarhus,Brondby,2,3,3.54,3.83,1.93
2025-05-25,regular,FC Copenhagen,Nordsjaelland,3,0,1.44,4.99,6.21
2025-05-25,regular,Midtjylland,Randers FC,3,2,1.64,4.38,4.66
2025-05-24,regular,Lyngby,Aalborg,3,1,1.95,3.89,3.49
2025-05-24,regular,Silkeborg,Viborg,1,2,2.56,3.87,2.44
2025-05-24,regular,Vejle,Sonderjyske,2,3,2.16,3.77,3.02
2025-05-19,regular,Brondby,Midtjylland,1,2,2.14,3.85,3.02
2025-05-18,regular,Randers FC,FC Copenhagen,0,4,3.54,3.50,2.04
2025-05-18,regular,Sonderjyske,Lyngby,5,1,2.74,3.45,2.49
2025-05-18,regular,Aalborg,Silkeborg,2,3,2.88,3.77,2.25
2025-05-18,regular,Viborg,Vejle,0,1,1.70,4.14,4.49
2025-05-16,regular,Nordsjaelland,Aarhus,2,0,1.89,3.86,3.68
2025-05-12,regular,Vejle,Lyngby,2,0,1.98,3.53,3.76
2025-05-11,regular,FC Copenhagen,Midtjylland,1,1,2.03,3.57,3.53
2025-05-11,regular,Viborg,Aalborg,3,1,1.92,3.80,3.68
2025-05-11,regular,Aarhus,Randers FC,1,3,2.54,3.28,2.81
2025-05-11,regular,Nordsjaelland,Brondby,2,2,3.40,3.87,1.99
2025-05-11,regular,Silkeborg,Sonderjyske,1,0,1.73,4.03,4.44
2025-05-05,regular,Sonderjyske,Aalborg,2,2,2.47,3.36,2.85
2025-05-04,regular,Midtjylland,Aarhus,3,1,1.82,3.95,3.98
2025-05-04,regular,Brondby,FC Copenhagen,0,3,2.45,3.40,2.86
2025-05-04,regular,Lyngby,Viborg,0,0,2.65,3.44,2.59
2025-05-04,regular,Silkeborg,Vejle,1,1,1.82,3.79,4.21
2025-05-02,regular,Randers FC,Nordsjaelland,3,2,2.51,3.57,2.64
2025-04-28,regular,Aalborg,Vejle,0,1,2.29,3.53,3.01
2025-04-27,regular,Midtjylland,Nordsjaelland,5,0,2.15,4.06,2.90
2025-04-27,regular,Aarhus,FC Copenhagen,1,3,3.48,3.52,2.08
2025-04-27,regular,Lyngby,Silkeborg,2,0,3.23,3.48,2.20
2025-04-27,regular,Sonderjyske,Viborg,2,2,2.87,3.71,2.30
2025-04-25,regular,Randers FC,Brondby,0,0,3.51,3.52,2.07
2025-04-22,regular,Nordsjaelland,Midtjylland,3,2,2.33,3.77,2.79
2025-04-21,regular,FC Copenhagen,Aarhus,3,1,1.86,3.54,4.30
2025-04-21,regular,Brondby,Randers FC,4,3,1.81,3.82,4.22
2025-04-21,regular,Viborg,Lyngby,1,1,1.84,3.72,4.10
2025-04-21,regular,Vejle,Silkeborg,0,4,3.29,3.71,2.08
2025-04-20,regular,Aalborg,Sonderjyske,2,3,2.38,3.29,3.05
2025-04-18,regular,Brondby,Nordsjaelland,0,0,1.96,3.88,3.48
2025-04-17,regular,Midtjylland,FC Copenhagen,4,2,2.82,3.28,2.54
2025-04-17,regular,Randers FC,Aarhus,3,1,2.98,3.27,2.42
2025-04-17,regular,Lyngby,Sonderjyske,0,2,2.23,3.36,3.26
2025-04-17,regular,Vejle,Viborg,3,3,3.10,3.68,2.18
2025-04-16,regular,Silkeborg,Aalborg,4,0,1.72,4.00,4.47
2025-04-14,regular,Sonderjyske,Vejle,1,0,2.43,3.41,2.86
2025-04-13,regular,Nordsjaelland,Randers FC,5,2,1.95,3.73,3.56
2025-04-13,regular,Aarhus,Midtjylland,1,1,2.23,3.32,3.27
2025-04-13,regular,FC Copenhagen,Brondby,1,2,2.05,3.33,3.75
2025-04-13,regular,Viborg,Silkeborg,2,1,2.32,3.59,2.90
2025-04-11,regular,Aalborg,Lyngby,2,2,2.42,3.09,3.14
2025-04-07,regular,Brondby,Aarhus,2,1,2.21,3.39,3.24
2025-04-06,regular,Nordsjaelland,FC Copenhagen,0,1,3.24,3.51,2.17
2025-04-06,regular,Vejle,Aalborg,1,1,2.26,3.54,3.05
2025-04-06,regular,Silkeborg,Lyngby,2,1,1.69,3.90,4.86
2025-04-06,regular,Viborg,Sonderjyske,2,1,1.58,4.03,5.78
2025-04-04,regular,Randers FC,Midtjylland,2,1,3.48,3.77,2.00
2025-03-31,regular,FC Copenhagen,Randers FC,1,0,1.70,3.88,4.84
2025-03-30,regular,Midtjylland,Brondby,0,2,2.24,3.64,2.99
2025-03-30,regular,Aarhus,Nordsjaelland,2,0,2.00,3.58,3.64
2025-03-30,regular,Lyngby,Vejle,1,2,2.36,3.21,3.13
2025-03-30,regular,Sonderjyske,Silkeborg,2,1,3.71,3.61,1.96
2025-03-28,regular,Aalborg,Viborg,0,4,2.70,3.45,2.54
2025-03-16,regular,Sonderjyske,Aalborg,0,3,2.41,3.52,2.84
2025-03-16,regular,Vejle,Aarhus,3,2,5.48,3.99,1.61
2025-03-16,regular,Brondby,Silkeborg,2,2,1.65,4.04,5.00
2025-03-16,regular,Viborg,FC Copenhagen,3,2,4.55,3.63,1.79
2025-03-16,regular,Lyngby,Nordsjaelland,1,0,4.12,3.80,1.82
2025-03-16,regular,Midtjylland,Randers FC,4,2,1.85,3.69,4.15
2025-03-10,regular,Randers FC,Brondby,4,2,3.28,3.32,2.24
2025-03-09,regular,FC Copenhagen,Sonderjyske,1,1,1.31,5.64,9.07
2025-03-09,regular,Aarhus,Viborg,1,1,1.58,3.97,5.98
2025-03-09,regular,Aalborg,Midtjylland,1,4,4.60,4.04,1.69
2025-03-09,regular,Silkeborg,Lyngby,0,1,1.66,3.90,5.05
2025-03-07,regular,Nordsjaelland,Vejle,3,1,1.41,4.78,7.18
2025-03-03,regular,Brondby,Lyngby,1,1,1.31,5.41,9.43
2025-03-02,regular,Aalborg,FC Copenhagen,0,0,7.35,4.87,1.41
2025-03-02,regular,Midtjylland,Nordsjaelland,2,1,2.13,3.51,3.33
2025-03-02,regular,Sonderjyske,Silkeborg,1,3,3.55,3.68,2.01
2025-03-02,regular,Viborg,Vejle,3,1,1.83,3.76,4.16
2025-02-28,regular,Randers FC,Aarhus,1,1,3.27,3.08,2.37
2025-02-26,regular,Aalborg,Nordsjaelland,1,2,4.11,4.12,1.76
2025-02-24,regular,Viborg,Silkeborg,1,4,2.04,3.72,3.39
2025-02-23,regular,FC Copenhagen,Midtjylland,1,0,1.98,3.61,3.70
2025-02-23,regular,Vejle,Brondby,2,2,5.48,4.29,1.57
2025-02-23,regular,Aarhus,Aalborg,4,0,1.52,4.20,6.24
2025-02-23,regular,Nordsjaelland,Sonderjyske,3,2,1.49,4.49,6.15
2025-02-21,regular,Lyngby,Randers FC,0,0,4.08,3.53,1.91
2025-02-17,regular,Randers FC,FC Copenhagen,1,2,3.09,3.30,2.34
2025-02-16,regular,Midtjylland,Lyngby,1,0,1.40,4.80,7.72
2025-02-16,regular,Sonderjyske,Aarhus,1,4,5.12,3.86,1.67
2025-02-16,regular,Silkeborg,Vejle,0,1,1.71,3.75,5.00
2025-02-14,regular,Brondby,Viborg,4,1,1.52,4.48,5.77
2024-12-02,regular,FC Copenhagen,Nordsjaelland,3,1,2.10,3.50,3.43
