date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-12-14,play_off,Ind. del Valle,LDU Quito,1,0,1.87,3.57,4.04
2024-12-07,play_off,LDU Quito,Ind. del Valle,3,0,2.60,2.97,2.94
2024-12-01,regular,Barcelona SC,Mushuc Runa,2,2,1.49,4.48,5.82
2024-12-01,regular,LDU Quito,Dep. Cuenca,5,0,1.28,5.37,10.80
2024-12-01,regular,EL Nacional,Tecnico U.,2,1,4.23,3.62,1.81
2024-12-01,regular,Orense,Ind. del Valle,0,0,3.91,3.59,1.88
2024-11-30,regular,Imbabura,Aucas,1,2,1.79,3.95,4.03
2024-11-30,regular,Delfin,Cumbaya,6,4,2.04,3.47,3.60
2024-11-30,regular,Libertad,Emelec,2,1,1.56,3.99,5.71
2024-11-30,regular,Macara,U. Catolica,1,2,3.58,3.72,1.95
2024-11-24,regular,Ind. del Valle,Macara,7,0,1.22,6.10,12.34
2024-11-24,regular,U. Catolica,LDU Quito,2,4,2.40,3.36,2.87
2024-11-24,regular,Aucas,Delfin,2,0,1.51,4.29,5.81
2024-11-24,regular,Mushuc Runa,EL Nacional,2,2,1.65,3.87,4.71
2024-11-23,regular,Tecnico U.,Barcelona SC,2,2,2.41,3.29,2.89
2024-11-23,regular,Cumbaya,Orense,2,2,2.80,3.03,2.66
2024-11-23,regular,Dep. Cuenca,Libertad,1,1,1.95,3.35,3.97
2024-11-23,regular,Emelec,Imbabura,2,2,1.88,3.34,4.27
2024-11-11,regular,Imbabura,Dep. Cuenca,0,2,2.62,3.50,2.52
2024-11-10,regular,Barcelona SC,Cumbaya,8,1,1.24,5.66,11.81
2024-11-10,regular,Orense,Tecnico U.,0,2,2.14,3.21,3.49
2024-11-10,regular,EL Nacional,Libertad,1,4,2.16,3.40,3.28
2024-11-09,regular,LDU Quito,Ind. del Valle,2,1,2.74,3.28,2.56
2024-11-09,regular,Macara,Emelec,1,1,2.22,3.07,3.50
2024-11-09,regular,U. Catolica,Aucas,3,2,1.55,4.28,5.40
2024-11-08,regular,Delfin,Mushuc Runa,4,2,2.22,3.40,3.15
2024-11-04,regular,Tecnico U.,U. Catolica,2,0,3.76,3.35,2.00
2024-11-03,regular,Emelec,LDU Quito,0,1,3.16,2.94,2.48
2024-11-03,regular,Ind. del Valle,EL Nacional,2,0,1.16,7.12,17.26
2024-11-03,regular,Mushuc Runa,Macara,2,1,2.09,3.10,3.87
2024-11-02,regular,Aucas,Barcelona SC,1,1,2.72,3.26,2.58
2024-11-02,regular,Libertad,Imbabura,3,1,2.11,3.29,3.52
2024-11-02,regular,Cumbaya,Dep. Cuenca,1,0,3.73,3.38,2.00
2024-11-01,regular,Orense,Delfin,0,0,1.73,3.36,5.39
2024-10-28,regular,Imbabura,Tecnico U.,0,6,2.56,3.10,2.88
2024-10-27,regular,Barcelona SC,Delfin,4,0,1.50,3.94,6.88
2024-10-27,regular,EL Nacional,Orense,0,1,2.05,3.08,4.03
2024-10-27,regular,Macara,Cumbaya,1,1,1.52,3.90,6.76
2024-10-26,regular,LDU Quito,Mushuc Runa,1,1,1.45,4.38,6.90
2024-10-26,regular,U. Catolica,Emelec,2,0,1.55,3.86,6.32
2024-10-26,regular,Libertad,Aucas,1,1,2.77,3.42,2.45
2024-10-25,regular,Dep. Cuenca,Ind. del Valle,0,2,5.03,3.62,1.70
2024-10-21,regular,Barcelona SC,Emelec,2,1,1.97,3.08,4.34
2024-10-20,regular,Delfin,EL Nacional,1,1,1.91,3.48,3.90
2024-10-20,regular,Aucas,Macara,3,1,2.14,3.05,3.80
2024-10-20,regular,Ind. del Valle,Imbabura,3,1,1.27,5.34,10.97
2024-10-19,regular,Tecnico U.,LDU Quito,1,2,3.40,3.33,2.13
2024-10-19,regular,Mushuc Runa,Dep. Cuenca,1,1,1.93,3.47,3.88
2024-10-19,regular,Orense,Libertad,1,0,1.57,3.56,6.81
2024-10-18,regular,Cumbaya,U. Catolica,1,1,9.56,4.86,1.32
2024-10-07,regular,Macara,Delfin,0,2,1.96,3.16,4.16
2024-10-07,regular,Emelec,Aucas,0,0,1.86,3.43,4.29
2024-10-06,regular,LDU Quito,Orense,2,0,1.34,4.57,9.77
2024-10-06,regular,U. Catolica,Imbabura,2,1,1.37,4.82,8.08
2024-10-06,regular,EL Nacional,Barcelona SC,3,0,2.78,3.13,2.62
2024-10-05,regular,Dep. Cuenca,Tecnico U.,1,1,2.39,3.19,3.05
2024-10-05,regular,Mushuc Runa,Ind. del Valle,1,1,4.51,3.68,1.76
2024-10-05,regular,Libertad,Cumbaya,2,1,1.60,3.69,5.67
2024-09-30,regular,Tecnico U.,Mushuc Runa,2,2,2.07,3.32,3.60
2024-09-30,regular,Barcelona SC,Libertad,0,0,1.36,4.57,8.77
2024-09-29,regular,Delfin,LDU Quito,3,2,3.75,3.15,2.11
2024-09-29,regular,Aucas,Dep. Cuenca,1,4,1.79,3.48,4.61
2024-09-29,regular,Cumbaya,Emelec,1,0,5.02,3.44,1.74
2024-09-28,regular,Ind. del Valle,U. Catolica,5,2,1.88,3.44,4.13
2024-09-28,regular,Imbabura,EL Nacional,1,0,2.49,3.09,2.96
2024-09-28,regular,Orense,Macara,1,0,1.80,3.37,4.75
2024-09-24,regular,U. Catolica,Delfin,2,1,1.33,4.89,9.30
2024-09-23,regular,Emelec,Tecnico U.,3,1,1.98,3.23,4.06
2024-09-22,regular,Mushuc Runa,Orense,3,0,1.94,3.32,4.13
2024-09-22,regular,Macara,Imbabura,2,0,1.99,3.42,3.73
2024-09-22,regular,Dep. Cuenca,Barcelona SC,1,0,2.77,3.30,2.50
2024-09-22,regular,LDU Quito,EL Nacional,1,1,1.49,4.31,6.21
2024-09-21,regular,Cumbaya,Aucas,0,3,4.47,3.61,1.79
2024-09-21,regular,Libertad,Ind. del Valle,1,1,7.77,4.70,1.38
2024-09-17,regular,Tecnico U.,Libertad,3,0,1.55,3.99,6.07
2024-09-16,regular,Barcelona SC,Macara,2,1,1.44,4.19,7.74
2024-09-15,regular,Aucas,Mushuc Runa,1,2,2.05,3.31,3.66
2024-09-15,regular,EL Nacional,Cumbaya,2,1,1.58,3.83,5.87
2024-09-15,regular,Ind. del Valle,Emelec,2,1,1.31,4.58,11.67
2024-09-15,regular,Imbabura,LDU Quito,4,0,5.56,3.93,1.58
2024-09-14,regular,Delfin,Dep. Cuenca,0,0,2.19,3.30,3.32
2024-09-14,regular,Orense,U. Catolica,2,2,2.89,3.21,2.47
2024-09-03,regular,Cumbaya,Imbabura,1,2,3.00,3.01,2.47
2024-09-02,regular,Emelec,Orense,2,1,2.50,2.96,3.06
2024-09-01,regular,Aucas,Ind. del Valle,0,2,4.50,3.54,1.77
2024-09-01,regular,Macara,Tecnico U.,0,0,2.49,3.12,2.87
2024-09-01,regular,LDU Quito,Barcelona SC,3,0,1.72,3.41,5.32
2024-08-31,regular,Libertad,Delfin,2,0,2.49,3.11,2.90
2024-08-31,regular,Dep. Cuenca,EL Nacional,1,2,2.30,3.17,3.20
2024-08-31,regular,U. Catolica,Mushuc Runa,5,1,1.44,4.44,6.82
2024-08-27,regular,Imbabura,Orense,0,1,2.61,3.04,2.83
2024-08-26,regular,Barcelona SC,U. Catolica,1,0,2.08,3.27,3.53
2024-08-25,regular,LDU Quito,Libertad,3,0,1.28,5.66,8.86
2024-08-25,regular,Ind. del Valle,Tecnico U.,1,0,1.28,5.15,10.09
2024-08-25,regular,Delfin,Emelec,0,1,2.42,3.09,3.00
2024-08-24,regular,EL Nacional,Aucas,0,0,2.47,3.26,2.80
2024-08-24,regular,Mushuc Runa,Cumbaya,0,0,1.40,4.59,7.22
2024-08-24,regular,Macara,Dep. Cuenca,3,1,2.19,3.05,3.50
2024-08-20,regular,Tecnico U.,Delfin,0,1,1.78,3.30,4.84
2024-08-19,regular,Emelec,EL Nacional,0,1,1.82,3.47,4.28
2024-08-18,regular,Dep. Cuenca,U. Catolica,1,2,3.11,3.43,2.19
2024-08-18,regular,Imbabura,Mushuc Runa,2,3,2.57,3.42,2.56
2024-08-18,regular,Orense,Barcelona SC,3,2,3.49,3.19,2.11
2024-08-18,regular,Aucas,LDU Quito,0,1,2.94,3.23,2.37
2024-08-17,regular,Cumbaya,Ind. del Valle,1,3,10.08,5.30,1.28
2024-08-17,regular,Libertad,Macara,0,1,2.68,3.04,2.72
2024-08-13,regular,Tecnico U.,Aucas,2,0,2.15,3.14,3.48
2024-08-12,regular,Mushuc Runa,Emelec,3,0,2.00,3.41,3.65
2024-08-11,regular,Delfin,Imbabura,1,1,1.74,3.62,4.52
2024-08-11,regular,EL Nacional,Macara,1,3,1.96,3.37,3.75
2024-08-11,regular,Barcelona SC,Ind. del Valle,3,2,2.37,3.17,3.00
2024-08-10,regular,LDU Quito,Cumbaya,2,1,1.19,6.30,13.73
2024-08-10,regular,U. Catolica,Libertad,1,2,1.23,5.69,12.23
2024-08-10,regular,Dep. Cuenca,Orense,1,2,1.95,3.23,4.01
2024-08-06,regular,Cumbaya,Tecnico U.,1,2,3.48,3.01,2.25
2024-08-05,regular,Emelec,Dep. Cuenca,0,1,2.07,3.14,3.72
2024-08-04,regular,Macara,LDU Quito,0,4,3.83,3.34,1.98
2024-08-04,regular,EL Nacional,U. Catolica,0,2,3.91,3.32,1.97
2024-08-04,regular,Imbabura,Barcelona SC,1,3,3.52,3.41,2.04
2024-08-04,regular,Ind. del Valle,Delfin,1,2,1.20,6.24,12.67
2024-08-03,regular,Libertad,Mushuc Runa,2,2,2.96,3.45,2.27
2024-08-03,regular,Orense,Aucas,4,0,2.02,3.24,3.77
2024-06-03,regular,Mushuc Runa,Barcelona SC,1,0,5.20,4.16,1.58
2024-06-03,regular,Dep. Cuenca,LDU Quito,2,2,3.14,3.30,2.23
2024-06-03,regular,Ind. del Valle,Orense,1,0,1.14,7.25,17.70
2024-06-02,regular,U. Catolica,Macara,3,0,1.60,3.74,5.59
2024-06-02,regular,Emelec,Libertad,0,0,1.38,4.72,7.20
2024-06-01,regular,Cumbaya,Delfin,1,0,4.61,3.52,1.76
2024-06-01,regular,Aucas,Imbabura,2,2,1.56,4.07,5.47
2024-06-01,regular,Tecnico U.,EL Nacional,1,2,2.73,2.99,2.73
2024-05-28,regular,Libertad,Dep. Cuenca,0,0,3.18,3.56,2.10
2024-05-27,regular,Orense,Cumbaya,1,0,1.47,3.90,7.33
2024-05-26,regular,EL Nacional,Mushuc Runa,1,0,1.66,3.85,4.78
2024-05-26,regular,Delfin,Aucas,2,0,3.68,3.37,1.99
2024-05-26,regular,Barcelona SC,Tecnico U.,3,0,1.31,4.53,12.16
2024-05-26,regular,Macara,Ind. del Valle,0,1,5.18,3.82,1.62
2024-05-26,regular,LDU Quito,U. Catolica,2,1,2.12,3.43,3.25
2024-05-25,regular,Imbabura,Emelec,1,2,3.14,3.20,2.27
2024-05-23,regular,Barcelona SC,LDU Quito,2,0,2.19,3.13,3.40
2024-05-22,regular,Mushuc Runa,U. Catolica,2,1,3.44,3.37,2.07
2024-05-21,regular,Tecnico U.,Orense,1,0,2.04,3.08,3.94
2024-05-20,regular,Cumbaya,Barcelona SC,0,1,4.43,3.55,1.78
2024-05-19,regular,Aucas,U. Catolica,2,2,2.80,3.32,2.44
2024-05-19,regular,Mushuc Runa,Delfin,5,0,2.13,3.15,3.55
2024-05-19,regular,Ind. del Valle,LDU Quito,1,1,2.19,3.18,3.36
2024-05-18,regular,Emelec,Macara,0,1,1.50,3.96,6.62
2024-05-18,regular,Libertad,EL Nacional,0,2,2.85,3.17,2.50
2024-05-18,regular,Dep. Cuenca,Imbabura,5,2,1.65,3.73,5.23
2024-05-14,regular,U. Catolica,Tecnico U.,3,2,1.49,3.98,6.65
2024-05-13,regular,Barcelona SC,Aucas,1,1,1.72,3.78,4.33
2024-05-12,regular,Delfin,Orense,0,1,2.53,2.93,3.02
2024-05-12,regular,EL Nacional,Ind. del Valle,1,2,2.91,3.17,2.53
2024-05-12,regular,LDU Quito,Emelec,2,2,1.58,3.83,5.63
2024-05-11,regular,Macara,Mushuc Runa,0,0,2.07,3.28,3.63
2024-05-11,regular,Imbabura,Libertad,4,2,2.18,3.25,3.25
2024-05-11,regular,Dep. Cuenca,Cumbaya,2,1,1.51,3.98,6.24
2024-05-07,regular,Tecnico U.,Imbabura,1,1,1.74,3.51,4.65
2024-05-06,regular,Emelec,U. Catolica,2,1,2.37,3.05,3.06
2024-05-05,regular,Ind. del Valle,Dep. Cuenca,1,0,1.33,5.26,7.67
2024-05-05,regular,Aucas,Libertad,2,0,1.39,4.58,7.35
2024-05-05,regular,Delfin,Barcelona SC,1,3,3.65,3.32,1.99
2024-05-04,regular,Mushuc Runa,LDU Quito,0,1,4.28,3.85,1.72
2024-05-04,regular,Cumbaya,Macara,1,0,3.93,3.06,2.03
2024-05-04,regular,Orense,EL Nacional,0,1,1.95,3.17,4.11
2024-05-02,regular,U. Catolica,Barcelona SC,0,1,1.74,3.78,4.25
2024-05-01,regular,Libertad,LDU Quito,2,3,5.74,3.96,1.54
2024-04-30,regular,EL Nacional,Delfin,1,0,1.77,3.55,4.33
2024-04-29,regular,Emelec,Barcelona SC,1,1,2.67,3.09,2.66
2024-04-28,regular,Macara,Aucas,0,2,2.39,3.23,2.91
2024-04-28,regular,Imbabura,Ind. del Valle,0,1,6.48,4.15,1.47
2024-04-28,regular,LDU Quito,Tecnico U.,1,0,1.46,4.14,6.70
2024-04-27,regular,Libertad,Orense,1,1,2.51,2.87,3.08
2024-04-27,regular,U. Catolica,Cumbaya,2,1,1.24,6.18,9.63
2024-04-27,regular,Dep. Cuenca,Mushuc Runa,5,0,2.20,3.33,3.13
2024-04-20,regular,Aucas,Emelec,3,1,1.84,3.36,4.32
2024-04-20,regular,Orense,LDU Quito,1,0,3.34,3.13,2.21
2024-04-19,regular,Delfin,Macara,1,1,2.28,3.01,3.35
2024-04-19,regular,Barcelona SC,EL Nacional,1,0,1.43,4.45,6.93
2024-04-19,regular,Ind. del Valle,Mushuc Runa,2,1,1.40,4.95,6.39
2024-04-18,regular,Imbabura,U. Catolica,2,2,5.06,4.05,1.58
2024-04-18,regular,Tecnico U.,Dep. Cuenca,2,1,2.40,3.09,3.03
2024-04-18,regular,Cumbaya,Libertad,0,0,2.59,2.87,3.03
2024-04-16,regular,LDU Quito,Delfin,2,1,1.35,4.87,7.97
2024-04-15,regular,Libertad,Barcelona SC,0,3,3.79,3.45,1.92
2024-04-14,regular,EL Nacional,Imbabura,2,0,1.72,3.81,4.40
2024-04-14,regular,U. Catolica,Ind. del Valle,2,2,2.73,3.10,2.61
2024-04-14,regular,Emelec,Cumbaya,2,0,1.23,5.60,11.37
2024-04-13,regular,Macara,Orense,0,0,1.58,3.73,5.72
2024-04-13,regular,Mushuc Runa,Tecnico U.,1,2,2.30,3.10,3.17
2024-04-13,regular,Dep. Cuenca,Aucas,3,3,3.08,3.15,2.32
2024-04-09,regular,Imbabura,Macara,0,1,3.06,3.12,2.36
2024-04-08,regular,Tecnico U.,Emelec,1,1,2.83,2.90,2.72
2024-04-07,regular,Delfin,U. Catolica,0,2,4.67,3.67,1.72
2024-04-07,regular,Ind. del Valle,Libertad,3,0,1.30,5.24,8.71
2024-04-07,regular,Barcelona SC,Dep. Cuenca,4,0,1.48,4.17,6.37
2024-04-06,regular,EL Nacional,LDU Quito,1,2,3.39,3.66,1.99
2024-04-06,regular,Aucas,Cumbaya,3,0,1.40,4.70,6.94
