date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-31,regular,Zamalek,Pharco,2,0,1.67,3.50,5.34
2025-05-29,regular,Al Ittihad,Enppi,1,1,2.32,2.54,4.05
2025-05-29,regular,El Gaish,Modern Sport,1,1,3.36,2.38,2.78
2025-05-29,regular,Ghazl El Mahallah,El Ismaily,1,1,1.95,3.11,4.20
2025-05-29,regular,ZED,Smouha,0,0,3.80,3.05,2.08
2025-05-28,regular,Al Ahly,Pharco,6,0,1.16,6.85,15.24
2025-05-28,regular,Al Masry,Haras El Hodood,2,0,1.33,4.93,8.53
2025-05-28,regular,Ceramica Cleopatra,Pyramids,1,5,2.95,3.19,2.40
2025-05-28,regular,Petrojet,National Bank Egypt,0,0,3.00,3.46,2.23
2025-05-25,regular,Modern Sport,Al Ittihad,1,0,2.64,2.45,3.50
2025-05-25,regular,El Gaish,Ghazl El Mahallah,1,1,2.59,2.72,3.17
2025-05-25,regular,El Ismaily,El Gouna,3,0,2.69,2.80,2.88
2025-05-25,regular,Enppi,ZED,1,1,4.10,2.86,2.08
2025-05-24,regular,National Bank Egypt,Al Masry,0,1,2.50,3.07,2.90
2025-05-24,regular,Ceramica Cleopatra,Haras El Hodood,2,0,1.27,5.26,10.83
2025-05-24,regular,Petrojet,Zamalek,1,3,4.02,3.34,1.92
2025-05-18,regular,Pharco,Haras El Hodood,0,0,2.20,2.97,3.57
2025-05-17,regular,Al Ahly,National Bank Egypt,2,1,1.55,3.79,6.21
2025-05-17,regular,Al Masry,Ceramica Cleopatra,0,4,2.42,3.13,2.98
2025-05-17,regular,Petrojet,Pyramids,0,2,6.93,4.70,1.41
2025-05-16,regular,Smouha,Al Ittihad,0,0,2.80,2.32,3.51
2025-05-16,regular,El Gaish,Enppi,1,1,3.52,2.67,2.44
2025-05-16,regular,Ghazl El Mahallah,El Gouna,0,4,2.18,2.67,4.18
2025-05-16,regular,El Ismaily,Modern Sport,1,2,3.31,2.62,2.59
2025-05-13,regular,Haras El Hodood,National Bank Egypt,1,1,5.98,3.77,1.57
2025-05-13,regular,Zamalek,Pyramids,0,1,2.84,3.12,2.53
2025-05-13,regular,Ceramica Cleopatra,Al Ahly,0,1,5.68,3.99,1.56
2025-05-13,regular,Pharco,Al Masry,1,1,4.84,3.13,1.86
2025-05-11,regular,El Gouna,El Gaish,0,1,3.47,2.47,2.70
2025-05-11,regular,ZED,Modern Sport,2,2,2.86,2.78,2.79
2025-05-11,regular,Smouha,Enppi,0,1,2.87,2.51,3.15
2025-05-10,regular,Al Ittihad,Ghazl El Mahallah,0,0,2.54,2.57,3.57
2025-05-09,regular,National Bank Egypt,Pyramids,4,2,4.26,3.71,1.79
2025-05-09,regular,Pharco,Petrojet,2,2,2.64,3.01,2.82
2025-05-09,regular,Ceramica Cleopatra,Zamalek,2,2,3.22,3.12,2.30
2025-05-08,regular,Al Ahly,Al Masry,4,2,1.44,4.18,7.38
2025-05-07,regular,El Ismaily,Enppi,0,1,3.39,2.45,2.78
2025-05-07,regular,El Gouna,Modern Sport,0,1,3.44,2.55,2.64
2025-05-06,regular,ZED,Al Ittihad,0,0,2.62,2.60,3.36
2025-05-06,regular,Smouha,El Gaish,0,0,2.59,2.46,3.65
2025-05-05,regular,National Bank Egypt,Zamalek,2,2,3.73,3.12,2.10
2025-05-05,regular,Petrojet,Ceramica Cleopatra,0,2,3.21,3.34,2.20
2025-05-04,regular,Al Ahly,Haras El Hodood,5,0,1.21,6.04,13.62
2025-05-04,regular,Pharco,Pyramids,3,2,6.82,3.98,1.50
2025-05-03,regular,Modern Sport,Ghazl El Mahallah,2,1,2.47,2.68,3.49
2025-05-03,regular,Enppi,El Gouna,0,1,2.20,2.72,3.97
2025-05-02,regular,ZED,El Gaish,0,0,3.03,2.65,2.79
2025-05-02,regular,Smouha,El Ismaily,1,1,2.61,2.65,3.27
2025-05-01,regular,Al Masry,Zamalek,0,0,3.06,2.84,2.58
2025-05-01,regular,Ceramica Cleopatra,National Bank Egypt,2,4,2.37,3.17,3.05
2025-04-30,regular,Petrojet,Al Ahly,2,3,7.95,4.35,1.41
2025-04-30,regular,Haras El Hodood,Pyramids,1,2,8.05,3.94,1.45
2025-04-29,regular,Enppi,Ghazl El Mahallah,1,0,2.48,2.59,3.72
2025-04-28,regular,El Gaish,Al Ittihad,1,2,2.91,2.31,3.47
2025-04-28,regular,El Ismaily,ZED,0,2,3.43,2.57,2.60
2025-04-28,regular,El Gouna,Smouha,1,1,2.49,2.57,3.67
2025-04-13,regular,Haras El Hodood,Zamalek,0,2,7.40,3.80,1.48
2025-04-13,regular,Al Masry,Petrojet,4,0,2.18,2.99,3.68
2025-04-12,regular,Pyramids,Al Ahly,1,1,3.47,2.93,2.28
2025-04-12,regular,Pharco,Ceramica Cleopatra,0,2,4.30,3.05,1.97
2025-04-11,regular,Ghazl El Mahallah,Smouha,1,0,2.39,2.77,3.51
2025-04-11,regular,ZED,El Gouna,1,2,2.13,2.87,4.02
2025-04-10,regular,El Ismaily,Al Ittihad,0,0,3.09,2.37,3.05
2025-04-10,regular,Enppi,Modern Sport,2,1,3.96,2.55,2.33
2025-03-13,regular,El Gaish,El Ismaily,0,1,2.22,2.85,3.79
2025-03-12,regular,Pyramids,Al Masry,0,0,1.85,3.23,4.62
2025-03-12,regular,Pharco,National Bank Egypt,2,1,3.49,2.82,2.36
2025-03-12,regular,Ghazl El Mahallah,ZED,0,3,2.94,2.84,2.68
2025-03-11,regular,Zamalek,Al Ahly,,,4.81,3.26,1.81
2025-03-11,regular,Haras El Hodood,Petrojet,1,2,3.36,2.82,2.42
2025-03-11,regular,El Gouna,Al Ittihad,2,0,3.15,2.43,2.96
2025-03-11,regular,Modern Sport,Smouha,2,0,2.51,2.71,3.39
2025-03-05,regular,Al Ahly,El Gaish,2,0,1.39,4.47,8.00
2025-03-05,regular,Pyramids,Ceramica Cleopatra,2,1,1.66,3.72,5.07
2025-03-05,regular,Petrojet,Ghazl El Mahallah,2,1,2.31,2.90,3.43
2025-03-04,regular,Al Ittihad,Smouha,0,1,3.50,2.73,2.37
2025-03-04,regular,ZED,El Ismaily,2,2,1.64,3.43,5.78
2025-03-04,regular,Enppi,Zamalek,0,3,4.84,3.03,1.86
2025-03-03,regular,Al Masry,Modern Sport,4,2,2.22,2.74,3.86
2025-03-03,regular,Pharco,El Gouna,0,0,2.30,2.51,4.17
2025-03-03,regular,National Bank Egypt,Haras El Hodood,2,1,2.04,2.90,4.20
2025-02-28,regular,Al Ittihad,Pyramids,1,3,5.63,3.49,1.64
2025-02-28,regular,Ceramica Cleopatra,Petrojet,4,1,1.90,3.13,4.37
2025-02-28,regular,Ghazl El Mahallah,Enppi,3,0,2.31,2.63,3.84
2025-02-27,regular,Zamalek,ZED,1,1,2.29,2.91,3.41
2025-02-27,regular,Smouha,Al Masry,0,3,3.19,2.78,2.49
2025-02-27,regular,El Gaish,National Bank Egypt,2,2,2.36,2.62,3.73
2025-02-26,regular,El Ismaily,Pharco,0,2,2.97,2.50,2.96
2025-02-26,regular,Haras El Hodood,Al Ahly,0,1,8.47,3.96,1.42
2025-02-26,regular,Modern Sport,El Gouna,2,3,2.19,2.66,4.12
2025-02-23,regular,Pyramids,El Gaish,2,1,1.55,3.56,6.78
2025-02-23,regular,ZED,Ghazl El Mahallah,2,0,2.17,2.73,4.05
2025-02-22,regular,Al Ahly,Zamalek,1,1,1.75,3.39,4.78
2025-02-22,regular,Al Masry,El Ismaily,0,0,1.86,2.92,5.23
2025-02-22,regular,El Gouna,Ceramica Cleopatra,2,0,5.68,3.02,1.78
2025-02-21,regular,National Bank Egypt,Al Ittihad,3,2,2.16,2.82,3.91
2025-02-21,regular,Petrojet,Haras El Hodood,2,2,2.09,2.91,4.00
2025-02-21,regular,Enppi,Smouha,1,0,3.40,2.64,2.52
2025-02-21,regular,Pharco,Modern Sport,0,0,2.56,2.65,3.27
