date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-17,regular,Crystal Palace,Manchester City,1,0,4.16,3.82,1.86
2025-04-27,regular,Nottingham,Manchester City,0,2,5.05,3.98,1.69
2025-04-26,regular,Crystal Palace,Aston Villa,3,0,3.37,3.42,2.21
2025-03-30,regular,Bournemouth,Manchester City,1,2,3.27,3.74,2.12
2025-03-30,regular,Preston,Aston Villa,0,3,9.06,5.00,1.36
2025-03-29,regular,Brighton,Nottingham,0,1,1.83,3.80,4.32
2025-03-29,regular,Fulham,Crystal Palace,0,3,2.43,3.25,3.10
2025-03-03,regular,Nottingham,Ipswich,2,1,1.54,4.26,6.35
2025-03-02,regular,Manchester Utd,Fulham,1,2,2.26,3.42,3.27
2025-03-02,regular,Newcastle,Brighton,1,2,2.18,3.60,3.29
2025-03-01,regular,Manchester City,Plymouth,3,1,1.06,13.86,28.24
2025-03-01,regular,Bournemouth,Wolves,2,1,1.72,4.28,4.41
2025-03-01,regular,Preston,Burnley,3,0,3.12,3.17,2.47
2025-03-01,regular,Crystal Palace,Millwall,3,1,1.29,5.46,11.55
2025-02-28,regular,Aston Villa,Cardiff,2,0,1.13,9.04,20.68
2025-02-11,regular,Exeter,Nottingham,2,3,7.54,4.88,1.41
2025-02-10,regular,Doncaster,Crystal Palace,0,2,9.32,5.34,1.33
2025-02-09,regular,Aston Villa,Tottenham,2,1,1.70,4.49,4.36
2025-02-09,regular,Plymouth,Liverpool,1,0,13.95,7.64,1.20
2025-02-09,regular,Blackburn,Wolves,0,2,5.14,3.95,1.67
2025-02-08,regular,Brighton,Chelsea,2,1,2.98,3.68,2.30
2025-02-08,regular,Birmingham,Newcastle,2,3,4.27,3.79,1.84
2025-02-08,regular,Everton,Bournemouth,0,2,2.87,3.31,2.58
2025-02-08,regular,Southampton,Burnley,0,1,1.96,3.57,3.98
2025-02-08,regular,Stoke,Cardiff,3,4,2.17,3.47,3.34
2025-02-08,regular,Coventry,Ipswich,1,4,2.61,3.34,2.75
2025-02-08,regular,Wigan,Fulham,1,2,8.29,4.68,1.41
2025-02-08,regular,Preston,Wycombe,1,0,2.06,3.20,3.98
2025-02-08,regular,Leeds,Millwall,0,2,1.56,3.97,6.39
2025-02-08,regular,Leyton Orient,Manchester City,1,2,14.09,7.80,1.18
2025-02-07,regular,Manchester Utd,Leicester,2,1,1.30,6.06,8.98
2025-01-14,regular,Preston,Charlton,2,1,2.13,3.16,3.65
2025-01-14,regular,Leyton Orient,Derby,2,1,2.70,3.28,2.59
2025-01-14,regular,Mansfield,Wigan,0,2,2.22,3.17,3.45
2025-01-13,regular,Millwall,Dag & Red,3,0,1.27,5.71,10.03
2025-01-12,regular,Southampton,Swansea,3,0,1.62,4.33,4.93
2025-01-12,regular,Arsenal,Manchester Utd,1,2,1.64,4.12,5.28
2025-01-12,regular,Ipswich,Bristol Rovers,3,0,1.30,5.63,8.89
2025-01-12,regular,Newcastle,Bromley,3,1,1.11,9.68,19.41
2025-01-12,regular,Crystal Palace,Stockport County,1,0,1.33,6.17,6.90
2025-01-12,regular,Tamworth,Tottenham,0,3,26.93,16.13,1.05
2025-01-12,regular,Hull,Doncaster,1,2,1.88,3.81,3.93
2025-01-11,regular,Coventry,Sheffield Wed,2,1,2.02,3.62,3.55
2025-01-11,regular,Leeds,Harrogate,1,0,1.10,10.06,19.85
2025-01-11,regular,Manchester City,Salford,8,0,1.06,14.59,23.88
2025-01-11,regular,Bournemouth,West Brom,5,1,1.48,4.49,6.36
2025-01-11,regular,Norwich,Brighton,0,4,6.55,4.42,1.48
2025-01-11,regular,Reading,Burnley,1,3,5.08,4.00,1.63
2025-01-11,regular,Chelsea,Morecambe,5,0,1.02,20.15,40.47
2025-01-11,regular,Nottingham,Luton,2,0,1.50,4.45,6.53
2025-01-11,regular,Brentford,Plymouth,0,1,1.24,6.56,10.67
2025-01-11,regular,Exeter,Oxford Utd,3,1,2.75,3.32,2.56
2025-01-11,regular,Sunderland,Stoke,1,2,1.91,3.70,3.81
2025-01-11,regular,Leicester,QPR,6,2,1.48,4.54,6.02
2025-01-11,regular,Liverpool,Accrington,4,0,1.02,21.23,42.46
2025-01-11,regular,Birmingham,Lincoln,2,1,1.77,3.76,4.57
2025-01-11,regular,Middlesbrough,Blackburn,0,1,2.04,3.66,3.51
2025-01-11,regular,Bristol City,Wolves,1,2,3.32,3.50,2.15
2025-01-10,regular,Aston Villa,West Ham,2,1,1.70,4.36,4.40
2025-01-10,regular,Wycombe,Portsmouth,2,0,2.17,3.48,3.29
2025-01-09,regular,Everton,Peterborough,2,0,1.25,6.12,11.30
2025-01-09,regular,Fulham,Watford,4,1,1.25,6.38,9.67
2025-01-09,regular,Sheffield Utd,Cardiff,0,1,2.00,3.54,3.82
2024-12-01,regular,Solihull Moors,Bromley,1,2,2.93,3.59,2.29
2024-12-01,regular,Burton,Tamworth,1,2,1.58,4.16,5.37
2024-12-01,regular,Reading,Harborough,5,3,1.23,6.31,12.10
2024-12-01,regular,Blackpool,Birmingham,1,2,3.20,3.53,2.17
2024-12-01,regular,Kettering,Doncaster,1,2,8.74,5.61,1.31
2024-11-30,regular,AFC Wimbledon,Dag & Red,1,2,1.59,3.96,5.71
2024-11-30,regular,Accrington,Swindon,3,2,2.07,3.52,3.44
2024-11-30,regular,Barnsley,Bristol Rovers,0,1,1.38,4.99,7.53
2024-11-30,regular,Stockport County,Brackley Town,3,1,1.17,7.17,14.74
2024-11-30,regular,Morecambe,Bradford City,1,0,3.84,3.59,1.94
2024-11-30,regular,Cambridge Utd,Wigan,1,2,2.95,3.30,2.42
2024-11-30,regular,Walsall,Charlton,0,4,2.39,3.37,2.93
