date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-25,play_off,Charlton,Leyton Orient,1,0,2.19,3.09,3.50
2025-05-15,play_off,Charlton,Wycombe,1,0,2.29,3.10,3.34
2025-05-14,play_off,Stockport County,Leyton Orient,1,2,1.95,3.35,3.97
2025-05-11,play_off,Wycombe,Charlton,0,0,2.35,2.93,3.39
2025-05-10,play_off,Leyton Orient,Stockport County,2,2,2.67,3.02,2.83
2025-05-03,regular,Reading,Barnsley,2,4,1.64,4.07,4.80
2025-05-03,regular,Cambridge Utd,Birmingham,1,2,5.97,4.40,1.49
2025-05-03,regular,Blackpool,Bristol Rovers,4,1,1.51,4.33,5.79
2025-05-03,regular,Bolton,Stevenage,1,1,2.05,3.58,3.40
2025-05-03,regular,Charlton,Burton,3,1,1.42,4.43,7.27
2025-05-03,regular,Shrewsbury,Crawley,1,2,2.70,3.59,2.40
2025-05-03,regular,Mansfield,Exeter,3,0,1.79,3.80,4.12
2025-05-03,regular,Huddersfield,Leyton Orient,1,4,3.89,3.83,1.83
2025-05-03,regular,Lincoln,Wrexham,0,2,2.65,3.28,2.60
2025-05-03,regular,Northampton,Wigan,1,1,2.39,3.22,2.97
2025-05-03,regular,Rotherham,Peterborough,2,1,1.75,4.17,4.00
2025-05-03,regular,Wycombe,Stockport County,1,3,2.53,3.14,2.84
2025-04-30,regular,Blackpool,Birmingham,0,2,3.83,3.75,1.87
2025-04-30,regular,Mansfield,Peterborough,4,2,1.96,3.91,3.39
2025-04-29,regular,Burton,Wigan,1,1,2.34,2.98,3.33
2025-04-27,regular,Birmingham,Mansfield,4,0,1.33,5.02,8.66
2025-04-27,regular,Stevenage,Rotherham,1,1,2.24,3.29,3.23
2025-04-26,regular,Wrexham,Charlton,3,0,2.40,2.98,3.23
2025-04-26,regular,Barnsley,Shrewsbury,1,2,1.47,4.29,6.61
2025-04-26,regular,Wigan,Blackpool,1,1,2.91,3.26,2.44
2025-04-26,regular,Peterborough,Bolton,1,1,2.61,3.74,2.43
2025-04-26,regular,Burton,Cambridge Utd,2,1,1.90,3.39,4.15
2025-04-26,regular,Crawley,Northampton,3,0,2.10,3.41,3.45
2025-04-26,regular,Exeter,Huddersfield,3,1,3.16,3.41,2.21
2025-04-26,regular,Stockport County,Lincoln,3,2,1.86,3.35,4.45
2025-04-26,regular,Bristol Rovers,Reading,0,2,2.88,3.47,2.33
