date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-26,play_off,AFC Wimbledon,Walsall,1,0,2.73,2.84,2.89
2025-05-17,play_off,AFC Wimbledon,Notts County,1,0,2.33,3.10,3.15
2025-05-16,play_off,Walsall,Chesterfield,2,1,2.55,3.35,2.67
2025-05-11,play_off,Chesterfield,Walsall,0,2,2.13,3.19,3.53
2025-05-10,play_off,Notts County,AFC Wimbledon,0,1,2.23,3.07,3.47
2025-05-03,regular,Accrington,Chesterfield,0,1,6.48,4.37,1.46
2025-05-03,regular,Grimsby,AFC Wimbledon,0,1,2.64,2.97,2.84
2025-05-03,regular,Colchester,Barrow,0,0,1.88,3.33,4.30
2025-05-03,regular,Bradford City,Fleetwood,1,0,1.38,4.37,8.49
2025-05-03,regular,Bromley,Cheltenham,3,0,2.14,3.79,2.99
2025-05-03,regular,Carlisle,Salford,2,2,4.70,4.07,1.64
2025-05-03,regular,Crewe,Walsall,0,1,5.95,4.22,1.50
2025-05-03,regular,Notts County,Doncaster,1,2,2.77,3.64,2.32
2025-05-03,regular,Port Vale,Gillingham,0,1,1.42,4.29,7.58
2025-05-03,regular,Morecambe,Harrogate,1,2,2.73,3.52,2.40
2025-05-03,regular,Swindon,MK Dons,0,0,1.77,3.84,4.16
2025-05-03,regular,Newport,Tranmere,1,4,4.25,3.73,1.78
2025-04-26,regular,Walsall,Accrington,0,1,1.61,3.69,5.67
2025-04-26,regular,Barrow,Bromley,3,3,2.14,3.56,3.15
2025-04-26,regular,Cheltenham,Carlisle,3,2,2.65,3.56,2.45
2025-04-26,regular,Chesterfield,Morecambe,4,1,1.31,5.26,8.72
2025-04-26,regular,Salford,Colchester,4,1,2.13,3.32,3.39
2025-04-26,regular,Tranmere,Crewe,2,0,1.84,3.59,4.08
2025-04-26,regular,Fleetwood,Newport,2,0,1.54,4.21,5.53
2025-04-26,regular,Gillingham,Swindon,1,1,2.82,3.35,2.42
2025-04-26,regular,MK Dons,Grimsby,0,0,3.13,3.55,2.15
2025-04-26,regular,Harrogate,Notts County,1,3,4.67,3.99,1.67
2025-04-26,regular,AFC Wimbledon,Port Vale,0,2,2.52,3.06,2.94
2025-04-26,regular,Doncaster,Bradford City,2,1,2.18,3.37,3.21
2025-04-21,regular,Accrington,Carlisle,1,1,2.32,3.31,3.02
2025-04-21,regular,Gillingham,AFC Wimbledon,1,0,3.44,3.11,2.21
2025-04-21,regular,Barrow,Tranmere,0,0,2.56,3.12,2.82
2025-04-21,regular,Chesterfield,Bradford City,3,3,2.77,3.31,2.49
2025-04-21,regular,Swindon,Bromley,0,1,1.81,3.79,3.99
2025-04-21,regular,Notts County,Cheltenham,1,2,1.49,4.43,5.91
2025-04-21,regular,Doncaster,Colchester,3,0,1.85,3.43,4.28
2025-04-21,regular,Crewe,MK Dons,0,1,2.09,3.34,3.48
2025-04-21,regular,Harrogate,Fleetwood,3,1,2.38,3.24,2.97
2025-04-21,regular,Port Vale,Grimsby,2,2,2.04,3.17,3.83
2025-04-21,regular,Morecambe,Salford,1,3,3.76,3.59,1.92
2025-04-21,regular,Newport,Walsall,0,0,5.59,3.87,1.59
2025-04-18,regular,Salford,Accrington,1,2,1.82,3.58,4.25
