date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-01,play_off,Oldham,Southend,3,2,2.64,3.23,2.61
2025-05-21,play_off,Forest Green,Southend,2,3,2.52,3.34,2.66
2025-05-20,play_off,York City,Oldham,0,3,1.97,3.43,3.69
2025-05-15,play_off,Rochdale,Southend,3,4,2.37,3.26,2.94
2025-05-14,play_off,Oldham,FC Halifax,4,0,1.90,3.39,4.06
2025-05-05,regular,AFC Fylde,Barnet,0,3,6.22,5.09,1.40
2025-05-05,regular,Aldershot,Yeovil,2,1,2.21,3.24,3.23
2025-05-05,regular,Altrincham,Tamworth,1,1,2.24,3.79,2.77
2025-05-05,regular,Maidenhead,Boston Utd,3,0,1.61,3.96,5.13
2025-05-05,regular,Braintree,Rochdale,2,0,2.48,3.45,2.65
2025-05-05,regular,Solihull Moors,Dag & Red,1,1,4.81,3.81,1.66
2025-05-05,regular,Eastleigh,York City,0,2,3.60,3.81,1.88
2025-05-05,regular,Oldham,Ebbsfleet,2,0,1.30,5.00,9.50
2025-05-05,regular,Hartlepool,Forest Green,1,1,2.98,3.36,2.29
2025-05-05,regular,Gateshead,Southend,0,0,3.01,3.63,2.17
2025-05-05,regular,Wealdstone,FC Halifax,3,1,1.61,3.94,5.06
2025-05-05,regular,Sutton,Woking,1,1,1.94,3.71,3.52
2025-04-29,regular,Solihull Moors,Rochdale,0,1,3.02,3.28,2.27
2025-04-26,regular,Southend,Wealdstone,3,0,1.58,4.00,5.27
2025-04-26,regular,Tamworth,AFC Fylde,4,3,1.54,4.28,5.33
2025-04-26,regular,Barnet,Aldershot,4,0,1.24,5.75,11.30
2025-04-26,regular,Dag & Red,Altrincham,6,1,2.75,3.50,2.38
2025-04-26,regular,Boston Utd,Gateshead,2,1,2.33,3.46,2.85
2025-04-26,regular,FC Halifax,Braintree,1,0,2.10,3.12,3.67
2025-04-26,regular,Ebbsfleet,Maidenhead,0,2,5.38,4.27,1.53
2025-04-26,regular,Forest Green,Oldham,1,0,2.29,3.33,3.01
2025-04-26,regular,Rochdale,Hartlepool,5,1,1.66,3.70,5.08
2025-04-26,regular,York City,Solihull Moors,2,0,1.52,4.32,5.54
2025-04-26,regular,Yeovil,Sutton,1,2,2.47,2.97,3.05
2025-04-26,regular,Woking,Eastleigh,2,2,2.18,3.32,3.24
2025-04-21,regular,Rochdale,AFC Fylde,0,0,1.35,5.01,7.49
2025-04-21,regular,FC Halifax,Altrincham,0,3,2.69,3.23,2.59
2025-04-21,regular,Sutton,Barnet,1,3,6.29,4.37,1.46
2025-04-21,regular,Solihull Moors,Boston Utd,3,2,2.55,3.07,2.86
2025-04-21,regular,Braintree,Dag & Red,0,0,2.26,3.37,3.04
2025-04-21,regular,Eastleigh,Yeovil,1,0,2.14,3.46,3.17
2025-04-21,regular,Ebbsfleet,Southend,0,4,5.65,3.99,1.55
2025-04-21,regular,Forest Green,Tamworth,3,0,1.86,3.60,3.85
2025-04-21,regular,Hartlepool,Gateshead,3,2,2.37,3.70,2.64
2025-04-21,regular,Wealdstone,Maidenhead,1,1,2.30,3.55,2.82
2025-04-21,regular,York City,Oldham,1,1,1.66,3.85,4.78
2025-04-21,regular,Woking,Aldershot,3,0,2.22,3.10,3.35
2025-04-18,regular,Barnet,Eastleigh,1,1,1.24,5.75,10.80
2025-04-18,regular,AFC Fylde,FC Halifax,0,1,3.12,3.25,2.27
2025-04-18,regular,Aldershot,Sutton,1,1,2.18,3.48,3.09
2025-04-18,regular,Altrincham,Rochdale,1,2,2.63,3.29,2.60
2025-04-18,regular,Boston Utd,Wealdstone,2,0,1.96,3.29,3.97
2025-04-18,regular,Dag & Red,Ebbsfleet,1,0,1.61,4.01,4.99
2025-04-18,regular,Oldham,Hartlepool,2,1,2.16,3.40,3.20
2025-04-18,regular,Maidenhead,Woking,2,2,1.92,3.44,3.86
2025-04-18,regular,Southend,Braintree,0,0,1.81,3.51,4.26
2025-04-18,regular,Yeovil,Forest Green,1,1,3.14,3.16,2.31
2025-04-18,regular,Tamworth,Solihull Moors,1,2,1.79,3.69,4.11
2025-04-18,regular,Gateshead,York City,1,3,2.96,3.48,2.24
2025-04-12,regular,Forest Green,Gateshead,2,3,2.03,3.47,3.45
2025-04-12,regular,Woking,AFC Fylde,1,0,1.74,3.79,4.33
2025-04-12,regular,York City,Aldershot,7,2,1.55,4.16,5.28
2025-04-12,regular,Boston Utd,Altrincham,1,0,2.53,3.53,2.52
2025-04-12,regular,Tamworth,Braintree,4,2,2.05,3.62,3.27
2025-04-12,regular,Dag & Red,Hartlepool,1,1,3.06,3.54,2.16
2025-04-12,regular,Rochdale,Eastleigh,4,0,1.68,3.85,4.62
2025-04-12,regular,Ebbsfleet,Sutton,4,1,3.76,3.88,1.83
2025-04-12,regular,FC Halifax,Maidenhead,0,2,2.23,3.18,3.25
2025-04-12,regular,Yeovil,Oldham,2,1,3.47,3.09,2.17
2025-04-12,regular,Southend,Solihull Moors,0,1,1.56,4.04,5.53
2025-04-12,regular,Barnet,Wealdstone,1,1,1.30,5.19,8.92
2025-04-08,regular,Aldershot,Boston Utd,1,2,2.67,3.36,2.51
2025-04-08,regular,Oldham,Woking,1,2,1.81,3.33,4.56
2025-04-08,regular,Sutton,Rochdale,1,0,2.89,3.39,2.33
2025-04-05,regular,Eastleigh,FC Halifax,1,1,2.57,3.03,2.86
2025-04-05,regular,Altrincham,Yeovil,2,1,1.98,3.56,3.50
