date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-01,play_off,Willem II,Telstar,1,3,2.23,3.25,3.36
2025-05-29,play_off,Telstar,Willem II,2,2,2.43,3.24,3.00
2025-05-25,play_off,AZ Alkmaar,Twente,3,2,1.66,4.10,5.03
2025-05-24,play_off,Willem II,Dordrecht,4,2,1.95,3.64,3.73
2025-05-23,play_off,Telstar,Den Bosch,2,1,1.68,3.91,4.88
2025-05-22,play_off,Twente,Nijmegen,3,2,1.76,3.88,4.54
2025-05-22,play_off,AZ Alkmaar,Heerenveen,4,1,1.32,5.60,9.24
2025-05-21,play_off,Dordrecht,Willem II,2,1,2.15,3.35,3.38
2025-05-20,play_off,Den Bosch,Telstar,0,0,3.19,3.31,2.29
2025-05-18,regular,Ajax,Twente,2,0,1.45,5.19,6.11
2025-05-18,regular,AZ Alkmaar,Almere City,1,1,1.23,6.85,11.19
2025-05-18,regular,Heerenveen,Feyenoord,2,0,3.26,4.01,2.03
2025-05-18,regular,Waalwijk,G.A. Eagles,5,3,2.53,3.94,2.49
2025-05-18,regular,Zwolle,Groningen,2,0,2.06,3.65,3.48
2025-05-18,regular,Heracles,Nijmegen,1,2,2.32,3.54,2.97
2025-05-18,regular,NAC Breda,Willem II,1,1,1.74,3.84,4.79
2025-05-18,regular,Sparta Rotterdam,PSV,1,3,8.73,6.22,1.29
2025-05-18,regular,Sittard,Utrecht,0,0,3.21,3.57,2.18
2025-05-17,play_off,Dordrecht,De Graafschap,2,0,2.23,3.64,2.94
2025-05-17,play_off,Den Haag,Telstar,0,1,1.62,4.13,4.84
2025-05-16,play_off,Cambuur,Den Bosch,1,1,1.49,4.61,5.73
2025-05-14,regular,Groningen,Ajax,2,2,5.69,4.09,1.60
2025-05-14,regular,Almere City,Sittard,1,1,1.84,3.77,4.21
2025-05-14,regular,Twente,AZ Alkmaar,2,3,2.65,3.32,2.72
2025-05-14,regular,Feyenoord,Waalwijk,2,0,1.18,8.29,13.31
2025-05-14,regular,G.A. Eagles,Heerenveen,1,0,2.38,3.75,2.77
2025-05-14,regular,PSV,Heracles,4,1,1.07,12.85,24.30
2025-05-14,regular,Nijmegen,NAC Breda,3,0,1.43,4.81,7.07
2025-05-14,regular,Utrecht,Sparta Rotterdam,1,1,1.83,3.78,4.28
2025-05-14,regular,Willem II,Zwolle,1,2,2.91,3.41,2.44
2025-05-13,play_off,De Graafschap,Dordrecht,0,0,1.80,4.00,3.89
2025-05-13,play_off,Telstar,Den Haag,2,0,2.69,3.42,2.47
2025-05-12,play_off,Den Bosch,Cambuur,1,0,3.12,3.50,2.20
2025-05-11,regular,Ajax,Nijmegen,0,3,1.22,6.76,12.29
2025-05-11,regular,AZ Alkmaar,Groningen,3,0,1.77,3.76,4.65
2025-05-11,regular,Feyenoord,PSV,2,3,3.07,3.93,2.15
