date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-11-30,regular,Tallinna Kalev,Viimsi JK,1,0,1.35,4.66,7.17
2024-11-24,regular,Viimsi JK,Tallinna Kalev,1,1,6.88,4.59,1.37
2024-11-09,regular,Flora,Tallinna Kalev,5,1,1.24,6.00,10.28
2024-11-09,regular,Kalju,Parnu JK Vaprus,2,1,1.23,6.22,10.67
2024-11-09,regular,Narva,Kuressaare,0,2,2.11,3.76,3.05
2024-11-09,regular,Paide,Levadia,3,0,2.29,3.28,3.07
2024-11-09,regular,Nomme Utd,Tammeka,1,2,4.36,4.15,1.67
2024-11-03,regular,Parnu JK Vaprus,Tallinna Kalev,2,0,2.47,3.35,2.75
2024-11-03,regular,Levadia,Flora,4,2,2.46,3.46,2.69
2024-11-03,regular,Tammeka,Narva,3,3,2.41,3.62,2.59
2024-11-03,regular,Nomme Utd,Paide,0,4,14.92,7.60,1.14
2024-11-02,regular,Kuressaare,Kalju,1,2,5.72,4.67,1.47
2024-10-27,regular,Kalju,Levadia,0,4,3.36,3.51,2.04
2024-10-27,regular,Narva,Parnu JK Vaprus,1,1,2.26,3.56,2.92
2024-10-26,regular,Tallinna Kalev,Nomme Utd,1,0,1.55,4.59,4.93
2024-10-26,regular,Paide,Tammeka,2,0,1.48,4.31,6.31
2024-10-26,regular,Flora,Kuressaare,3,0,1.25,5.89,10.02
2024-10-23,regular,Flora,Kalju,3,2,2.22,3.49,2.96
2024-10-23,regular,Tallinna Kalev,Narva,0,1,2.95,3.53,2.24
2024-10-23,regular,Parnu JK Vaprus,Paide,0,1,6.23,5.08,1.41
2024-10-22,regular,Tammeka,Kuressaare,2,1,1.69,3.83,4.65
2024-10-22,regular,Levadia,Nomme Utd,1,1,1.20,7.04,10.93
2024-10-20,regular,Paide,Flora,2,1,2.03,3.68,3.30
2024-10-20,regular,Kalju,Narva,2,2,1.54,4.48,5.05
2024-10-19,regular,Tammeka,Levadia,0,3,7.59,5.05,1.35
2024-10-19,regular,Nomme Utd,Parnu JK Vaprus,0,2,4.78,3.98,1.64
2024-10-19,regular,Kuressaare,Tallinna Kalev,2,1,2.45,3.51,2.67
2024-10-06,regular,Parnu JK Vaprus,Kuressaare,3,1,2.13,3.53,3.13
2024-10-06,regular,Paide,Kalju,1,1,2.26,3.73,2.91
2024-10-05,regular,Tallinna Kalev,Tammeka,1,2,3.12,3.91,2.04
2024-10-05,regular,Narva,Levadia,0,2,7.13,4.69,1.40
2024-10-05,regular,Nomme Utd,Flora,0,4,10.99,6.65,1.21
2024-10-02,regular,Levadia,Narva,0,0,,,
2024-09-29,regular,Tammeka,Kalju,2,3,4.13,3.89,1.75
2024-09-29,regular,Narva,Paide,0,3,3.99,4.14,1.73
