date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-11-02,play_off,SJK,Haka,2,2,1.63,4.22,4.69
2024-10-30,play_off,Haka,SJK,1,2,3.41,3.61,2.06
2024-10-27,regular,Lahti,Jaro,1,0,1.98,3.66,3.57
2024-10-26,play_off,Haka,Gnistan,4,3,2.36,3.40,2.91
2024-10-23,regular,Jaro,Lahti,2,0,2.39,2.93,3.46
2024-10-23,play_off,VPS,Gnistan,0,1,1.98,3.57,3.67
2024-10-23,play_off,Haka,Inter Turku,2,1,3.40,3.54,2.08
2024-10-19,regular,Haka,VPS,2,3,2.31,3.97,2.70
2024-10-19,regular,KuPS,HJK,1,0,1.57,4.58,5.12
2024-10-19,regular,Ilves,SJK,4,0,1.57,4.56,5.01
2024-10-19,regular,AC Oulu,Mariehamn,1,2,3.05,3.47,2.27
2024-10-19,regular,Lahti,Ekenas,0,0,1.41,5.28,6.44
2024-10-19,regular,Inter Turku,Gnistan,3,2,2.01,3.77,3.49
2024-10-06,regular,HJK,Haka,0,1,1.53,4.72,5.16
2024-10-06,regular,Mariehamn,Inter Turku,0,1,2.64,3.43,2.57
2024-10-05,regular,SJK,KuPS,0,1,2.68,3.67,2.42
2024-10-05,regular,Ekenas,AC Oulu,1,1,3.21,3.68,2.12
2024-10-05,regular,Gnistan,Lahti,2,2,1.72,4.02,4.39
2024-10-04,regular,VPS,Ilves,0,2,4.36,4.03,1.72
2024-09-30,regular,Inter Turku,Lahti,3,1,1.60,4.23,5.19
2024-09-29,regular,KuPS,Haka,2,0,1.35,4.96,8.41
2024-09-28,regular,HJK,Ilves,0,1,2.48,3.55,2.65
2024-09-28,regular,Mariehamn,Ekenas,3,0,1.67,4.10,4.76
2024-09-28,regular,SJK,VPS,1,4,1.56,4.74,4.96
2024-09-27,regular,Gnistan,AC Oulu,1,0,1.83,3.85,3.92
2024-09-24,regular,Ilves,KuPS,1,0,2.20,3.60,3.10
2024-09-24,regular,AC Oulu,Inter Turku,1,0,3.13,3.43,2.25
2024-09-22,regular,Ekenas,Gnistan,3,1,5.16,4.46,1.57
2024-09-20,regular,VPS,HJK,1,1,4.26,4.00,1.77
2024-09-20,regular,Haka,SJK,0,3,3.54,4.09,1.90
2024-09-19,regular,Lahti,Mariehamn,2,1,2.46,3.37,2.86
2024-09-15,regular,Gnistan,Mariehamn,2,1,1.71,4.07,4.38
2024-09-14,regular,KuPS,VPS,3,1,1.40,5.01,7.18
2024-09-14,regular,Ilves,Haka,3,2,1.62,4.38,4.71
