date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-29,play_off,Reims,Metz,1,3,2.58,3.19,2.91
2025-05-21,play_off,Metz,Reims,1,1,2.21,3.32,3.47
2025-05-17,regular,Lyon,Angers,2,0,1.18,8.11,14.31
2025-05-17,regular,PSG,Auxerre,3,1,1.13,9.60,18.44
2025-05-17,regular,Nice,Brest,6,0,1.51,4.62,5.95
2025-05-17,regular,Strasbourg,Le Havre,2,3,1.53,4.89,5.43
2025-05-17,regular,Lens,Monaco,4,0,2.71,3.82,2.46
2025-05-17,regular,Lille,Reims,2,1,1.38,4.96,8.69
2025-05-17,regular,Marseille,Rennes,4,2,1.61,4.43,5.11
2025-05-17,regular,Nantes,Montpellier,3,0,1.56,4.21,6.11
2025-05-17,regular,St Etienne,Toulouse,2,3,2.31,3.77,2.89
2025-05-17,play_off,Metz,Dunkerque,1,0,1.94,3.46,3.99
2025-05-14,play_off,Dunkerque,Guingamp,1,0,2.36,3.24,3.09
2025-05-10,regular,Angers,Strasbourg,2,1,4.37,3.74,1.82
2025-05-10,regular,Auxerre,Nantes,1,1,2.82,3.32,2.60
2025-05-10,regular,Brest,Lille,2,0,4.82,4.04,1.71
2025-05-10,regular,Le Havre,Marseille,1,3,6.09,4.53,1.52
2025-05-10,regular,Toulouse,Lens,1,1,2.26,3.53,3.20
2025-05-10,regular,Monaco,Lyon,2,0,1.84,4.29,3.81
2025-05-10,regular,Montpellier,PSG,1,4,6.64,5.52,1.41
2025-05-10,regular,Rennes,Nice,2,0,3.19,3.79,2.15
2025-05-10,regular,Reims,St Etienne,0,2,2.13,3.60,3.40
2025-05-04,regular,Lille,Marseille,1,1,2.41,3.39,3.05
2025-05-04,regular,Auxerre,Le Havre,1,2,2.44,3.52,2.90
2025-05-04,regular,Brest,Montpellier,1,0,1.36,5.38,8.30
2025-05-04,regular,Lyon,Lens,1,2,1.46,5.11,6.25
2025-05-04,regular,Nantes,Angers,0,1,1.97,3.40,4.24
2025-05-03,regular,St Etienne,Monaco,1,3,6.01,5.14,1.46
2025-05-03,regular,Toulouse,Rennes,2,1,2.18,3.55,3.37
2025-05-03,regular,Strasbourg,PSG,2,1,2.38,3.82,2.79
2025-05-02,regular,Nice,Reims,1,0,1.39,5.12,7.90
2025-04-27,regular,Marseille,Brest,4,1,1.37,5.29,7.89
2025-04-27,regular,Lens,Auxerre,0,4,1.58,4.28,5.59
2025-04-27,regular,Montpellier,Reims,0,0,4.22,3.71,1.86
2025-04-27,regular,Nantes,Toulouse,0,0,2.89,3.17,2.65
2025-04-27,regular,Angers,Lille,0,2,7.49,4.40,1.46
2025-04-26,regular,Lyon,Rennes,4,1,1.65,4.41,4.87
2025-04-26,regular,Le Havre,Monaco,1,1,7.72,5.21,1.38
2025-04-26,regular,Strasbourg,St Etienne,3,1,1.55,4.62,5.53
2025-04-25,regular,PSG,Nice,1,3,1.54,4.73,5.61
2025-04-22,regular,Nantes,PSG,1,1,7.19,5.42,1.39
2025-04-20,regular,St Etienne,Lyon,2,1,4.90,4.41,1.64
2025-04-20,regular,Nice,Angers,2,1,1.40,4.90,8.08
2025-04-20,regular,Brest,Lens,1,3,2.49,3.32,2.96
2025-04-20,regular,Reims,Toulouse,1,0,3.64,3.50,2.10
2025-04-20,regular,Lille,Auxerre,3,1,1.35,5.23,9.08
2025-04-19,regular,Marseille,Montpellier,5,1,1.15,8.72,15.50
2025-04-19,regular,Monaco,Strasbourg,0,0,1.51,4.71,5.89
2025-04-19,regular,PSG,Le Havre,2,1,1.18,8.61,13.63
2025-04-18,regular,Rennes,Nantes,2,1,1.82,3.66,4.62
2025-05-17,regular,St Etienne,Auxerre,0,1,1.87,3.66,4.22
2025-05-17,regular,Montpellier,Le Havre,0,2,2.53,3.36,2.87
2025-05-17,regular,Reims,Strasbourg,0,1,3.53,3.56,2.11
2025-05-17,regular,Lens,St Etienne,1,0,1.60,4.18,5.54
2025-04-05,regular,Lyon,Lille,2,1,2.28,3.53,3.14
2025-04-05,regular,Brest,Monaco,2,1,4.46,3.80,1.81
2025-04-05,regular,PSG,Angers,1,0,1.13,9.07,18.88
2025-04-04,regular,Nice,Nantes,1,2,1.50,4.33,6.76
2025-03-30,regular,Lille,Lens,1,0,1.99,3.41,4.06
2025-03-30,regular,Angers,Rennes,0,3,3.91,3.37,2.03
2025-03-30,regular,Auxerre,Montpellier,1,0,1.81,3.84,4.35
2025-03-30,regular,Le Havre,Nantes,3,2,3.04,3.23,2.47
2025-03-30,regular,Toulouse,Brest,2,4,2.04,3.40,3.87
2025-03-29,regular,Monaco,Nice,2,1,1.86,3.89,4.04
2025-03-29,regular,St Etienne,PSG,1,6,11.36,7.04,1.23
2025-03-29,regular,Reims,Marseille,3,1,5.30,3.93,1.66
2025-03-28,regular,Strasbourg,Lyon,4,2,2.71,3.63,2.53
2025-03-16,regular,PSG,Marseille,3,1,1.35,5.52,8.14
