date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-25,regular,Clermont,Boulogne,1,2,1.91,3.52,4.02
2025-05-20,regular,Boulogne,Clermont,1,3,2.31,3.13,3.34
2025-05-16,regular,Aubagne,Valenciennes,0,3,2.15,3.41,3.11
2025-05-16,regular,Boulogne,Chateauroux,1,1,1.63,4.35,4.27
2025-05-16,regular,Bourg en Bresse,Dijon,2,1,2.91,3.17,2.39
2025-05-16,regular,Paris 13 Atl.,Concarneau,2,1,1.57,3.78,5.58
2025-05-16,regular,Le Mans,Versailles,2,0,1.34,4.85,7.91
2025-05-16,regular,Nancy,Rouen,1,1,1.23,5.59,10.86
2025-05-16,regular,Orleans,Nimes,3,0,1.44,4.59,5.94
2025-05-16,regular,Quevilly Rouen,Sochaux,1,0,2.15,3.27,3.24
2025-05-09,regular,Nimes,Aubagne,2,4,1.72,3.74,4.33
2025-05-09,regular,Dijon,Boulogne,0,3,1.91,3.36,3.98
2025-05-09,regular,Sochaux,Bourg en Bresse,0,1,2.03,3.09,3.81
2025-05-09,regular,Chateauroux,Orleans,2,0,2.46,3.39,2.66
2025-05-09,regular,Concarneau,Le Mans,5,2,5.12,3.69,1.63
2025-05-09,regular,Valenciennes,Nancy,3,4,2.98,3.15,2.36
2025-05-09,regular,Rouen,Paris 13 Atl.,2,2,2.81,3.12,2.51
2025-05-09,regular,Villefranche,Quevilly Rouen,0,1,2.71,2.45,3.20
2025-05-02,regular,Aubagne,Orleans,1,0,2.75,3.30,2.44
2025-05-02,regular,Boulogne,Sochaux,2,3,1.88,3.34,4.18
2025-05-02,regular,Bourg en Bresse,Villefranche,0,0,2.49,2.96,3.02
2025-05-02,regular,Chateauroux,Dijon,3,3,3.62,3.45,1.98
2025-05-02,regular,Le Mans,Rouen,2,2,1.46,4.10,6.88
2025-05-02,regular,Nancy,Nimes,1,0,1.51,3.91,6.26
2025-05-02,regular,Paris 13 Atl.,Valenciennes,1,1,1.98,3.11,4.08
2025-05-02,regular,Quevilly Rouen,Versailles,1,3,2.75,2.67,3.00
2025-04-25,regular,Aubagne,Chateauroux,6,2,2.46,3.29,2.78
2025-04-25,regular,Villefranche,Boulogne,1,1,3.08,2.99,2.43
2025-04-25,regular,Versailles,Bourg en Bresse,3,0,1.94,3.14,4.22
2025-04-25,regular,Concarneau,Quevilly Rouen,5,1,2.39,3.07,3.11
2025-04-25,regular,Sochaux,Dijon,1,2,2.66,3.00,2.76
2025-04-25,regular,Valenciennes,Le Mans,0,1,3.36,3.03,2.26
2025-04-25,regular,Orleans,Nancy,1,5,3.24,3.17,2.23
2025-04-25,regular,Nimes,Paris 13 Atl.,0,0,2.26,3.05,3.34
2025-04-18,regular,Nancy,Aubagne,2,0,1.48,3.97,6.75
2025-04-18,regular,Boulogne,Versailles,1,0,2.02,3.18,3.76
2025-04-18,regular,Bourg en Bresse,Concarneau,0,0,2.18,3.12,3.42
2025-04-18,regular,Chateauroux,Sochaux,1,0,2.71,3.21,2.57
2025-04-18,regular,Dijon,Villefranche,2,0,1.91,3.28,4.12
2025-04-18,regular,Le Mans,Nimes,4,0,1.66,3.52,5.41
2025-04-18,regular,Paris 13 Atl.,Orleans,0,1,2.85,2.94,2.63
2025-04-18,regular,Quevilly Rouen,Rouen,2,1,2.88,2.85,2.68
2025-04-12,regular,Rouen,Bourg en Bresse,2,1,2.24,3.01,3.40
2025-04-11,regular,Aubagne,Paris 13 Atl.,1,1,2.84,3.02,2.56
2025-04-11,regular,Concarneau,Boulogne,1,1,2.60,3.12,2.72
2025-04-11,regular,Nancy,Chateauroux,1,0,1.39,4.47,7.46
2025-04-11,regular,Versailles,Dijon,2,3,2.56,2.95,2.90
2025-04-11,regular,Orleans,Le Mans,1,2,2.91,2.96,2.54
2025-04-11,regular,Valenciennes,Quevilly Rouen,0,0,2.03,3.09,3.87
2025-04-11,regular,Villefranche,Sochaux,0,1,2.85,2.81,2.74
