date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-27,regular,Braunschweig,Saarbrucken,2,2,2.05,3.63,3.40
2025-05-23,regular,Saarbrucken,Braunschweig,0,2,2.29,3.42,3.03
2025-05-17,regular,Wehen,Alemannia Aachen,2,1,2.34,3.52,2.78
2025-05-17,regular,Arminia Bielefeld,Mannheim,1,0,1.45,4.59,6.06
2025-05-17,regular,Munich 1860,Aue,1,1,1.55,4.42,5.06
2025-05-17,regular,Saarbrucken,Dortmund II,2,1,1.47,4.83,5.46
2025-05-17,regular,SG Dynamo Dresden,Unterhaching,3,0,1.23,6.52,9.98
2025-05-17,regular,Cottbus,Ingolstadt,1,4,1.51,4.80,5.03
2025-05-17,regular,Sandhausen,Viktoria Koln,0,4,2.80,3.64,2.28
2025-05-17,regular,Hannover II,Hansa Rostock,2,1,4.05,4.11,1.73
2025-05-17,regular,Stuttgart II,RW Essen,1,1,2.20,3.51,3.03
2025-05-17,regular,VfL Osnabruck,Verl,0,3,2.35,3.71,2.66
2025-05-11,regular,Viktoria Koln,Hannover II,2,0,1.51,4.48,5.44
2025-05-11,regular,RW Essen,VfL Osnabruck,3,1,2.21,3.54,2.99
2025-05-11,regular,Unterhaching,Arminia Bielefeld,1,2,7.15,4.80,1.39
2025-05-10,regular,Ingolstadt,Wehen,2,3,2.17,3.89,2.90
2025-05-10,regular,Alemannia Aachen,Saarbrucken,4,2,3.08,3.40,2.23
2025-05-10,regular,Aue,Sandhausen,2,3,2.08,3.61,3.28
2025-05-10,regular,Mannheim,SG Dynamo Dresden,1,0,2.95,3.33,2.37
2025-05-10,regular,Hansa Rostock,Cottbus,1,3,1.76,3.88,4.14
2025-05-10,regular,Verl,Munich 1860,2,2,2.02,3.77,3.29
2025-05-09,regular,Dortmund II,Stuttgart II,0,1,2.41,3.48,2.77
2025-05-07,regular,Unterhaching,Hansa Rostock,0,2,6.12,4.45,1.47
2025-05-04,regular,Hannover II,Unterhaching,0,0,1.77,3.93,4.02
2025-05-04,regular,Aue,Ingolstadt,1,0,2.23,3.55,2.97
2025-05-04,regular,Cottbus,Mannheim,2,4,2.19,3.48,3.07
2025-05-03,regular,Arminia Bielefeld,SG Dynamo Dresden,1,1,1.96,3.62,3.58
2025-05-03,regular,Stuttgart II,Alemannia Aachen,2,1,2.73,3.33,2.50
2025-05-03,regular,Wehen,Dortmund II,4,2,2.33,3.53,2.83
2025-05-03,regular,Sandhausen,Hansa Rostock,0,3,3.35,3.56,2.05
2025-05-03,regular,Munich 1860,RW Essen,1,3,2.16,3.48,3.16
2025-05-03,regular,Saarbrucken,Verl,4,3,2.04,3.45,3.46
2025-05-02,regular,VfL Osnabruck,Viktoria Koln,2,0,2.11,3.48,3.26
2025-04-27,regular,Mannheim,Stuttgart II,0,0,2.07,3.51,3.34
2025-04-27,regular,Alemannia Aachen,VfL Osnabruck,1,0,2.31,3.07,3.24
2025-04-27,regular,Ingolstadt,Arminia Bielefeld,0,3,3.28,3.74,2.02
2025-04-26,regular,Verl,Aue,5,1,1.86,3.64,3.91
2025-04-26,regular,Dortmund II,Hannover II,0,4,1.92,3.93,3.43
2025-04-26,regular,SG Dynamo Dresden,Sandhausen,2,1,1.39,4.85,6.90
2025-04-26,regular,Unterhaching,Cottbus,1,1,4.15,4.03,1.73
2025-04-26,regular,Viktoria Koln,Wehen,2,0,2.20,3.44,3.12
2025-04-26,regular,RW Essen,Saarbrucken,0,3,2.48,3.46,2.67
2025-04-25,regular,Hansa Rostock,Munich 1860,1,0,2.18,3.29,3.30
2025-04-20,regular,Aue,Dortmund II,2,1,2.54,3.09,2.88
2025-04-20,regular,Hannover II,Mannheim,1,1,2.86,3.56,2.31
2025-04-20,regular,Saarbrucken,SG Dynamo Dresden,1,4,2.30,3.36,3.05
2025-04-19,regular,VfL Osnabruck,Ingolstadt,1,0,2.12,3.56,3.23
2025-04-19,regular,Stuttgart II,Verl,1,1,2.63,3.48,2.52
2025-04-19,regular,Munich 1860,Alemannia Aachen,2,1,2.29,3.07,3.32
2025-04-19,regular,Sandhausen,RW Essen,0,2,2.87,3.45,2.34
2025-04-19,regular,Arminia Bielefeld,Hansa Rostock,4,0,1.89,3.65,3.85
2025-04-19,regular,Cottbus,Viktoria Koln,1,0,2.14,3.62,3.14
2025-04-19,regular,Wehen,Unterhaching,3,0,1.64,3.99,4.90
2025-04-13,regular,Viktoria Koln,Arminia Bielefeld,0,2,3.21,3.43,2.14
2025-04-13,regular,Dortmund II,Cottbus,4,1,2.68,3.51,2.42
2025-04-13,regular,Mannheim,Munich 1860,0,3,2.31,3.30,2.98
2025-04-12,regular,Alemannia Aachen,Sandhausen,2,1,1.92,3.51,3.74
2025-04-12,regular,RW Essen,Aue,4,2,1.83,3.58,4.08
2025-04-12,regular,SG Dynamo Dresden,VfL Osnabruck,0,1,1.87,3.90,3.51
2025-04-12,regular,Ingolstadt,Hannover II,3,3,1.63,4.20,4.58
2025-04-12,regular,Hansa Rostock,Verl,4,0,2.21,3.27,3.20
2025-04-12,regular,Unterhaching,Stuttgart II,2,2,2.80,3.64,2.28
2025-04-11,regular,Wehen,Saarbrucken,1,1,3.13,3.24,2.26
2025-04-09,regular,Verl,Dortmund II,0,1,1.77,3.72,4.19
2025-04-09,regular,SG Dynamo Dresden,Ingolstadt,2,2,1.73,4.02,4.05
2025-04-09,regular,Cottbus,RW Essen,0,1,2.12,3.49,3.19
2025-04-09,regular,VfL Osnabruck,Hansa Rostock,0,1,2.13,3.36,3.27
2025-04-09,regular,Munich 1860,Sandhausen,2,0,2.21,3.56,2.95
2025-04-08,regular,Hannover II,Alemannia Aachen,1,1,3.06,3.48,2.18
2025-04-08,regular,Arminia Bielefeld,Wehen,4,2,1.64,3.84,4.87
2025-04-08,regular,Saarbrucken,Aue,2,0,1.71,3.72,4.49
2025-04-08,regular,Stuttgart II,Viktoria Koln,1,2,2.44,3.50,2.65
2025-04-08,regular,Mannheim,Unterhaching,0,2,1.50,4.31,5.66
2025-04-06,regular,RW Essen,Hansa Rostock,2,1,2.29,3.28,3.05
2025-04-06,regular,Sandhausen,Verl,1,3,2.90,3.39,2.31
2025-04-06,regular,Dortmund II,Ingolstadt,3,3,2.90,3.43,2.30
2025-04-05,regular,Alemannia Aachen,Arminia Bielefeld,0,1,2.73,3.21,2.54
2025-04-05,regular,Aue,Stuttgart II,2,1,2.21,3.34,3.15
2025-04-05,regular,Munich 1860,Cottbus,5,1,2.53,3.40,2.63
2025-04-05,regular,Viktoria Koln,Unterhaching,3,1,1.72,3.81,4.44
2025-04-05,regular,Wehen,Mannheim,2,2,2.71,3.20,2.57
2025-04-05,regular,Saarbrucken,VfL Osnabruck,1,1,2.11,3.48,3.25
2025-04-04,regular,Hannover II,SG Dynamo Dresden,2,3,4.25,4.33,1.66
2025-03-30,regular,Stuttgart II,Sandhausen,2,1,2.41,3.51,2.69
2025-03-30,regular,SG Dynamo Dresden,Wehen,2,0,1.69,3.83,4.62
2025-03-30,regular,Ingolstadt,Viktoria Koln,3,1,2.11,3.50,3.24
2025-03-29,regular,Arminia Bielefeld,Hannover II,2,2,1.42,4.69,6.51
2025-03-29,regular,Unterhaching,Alemannia Aachen,0,2,3.52,3.37,2.04
2025-03-29,regular,Cottbus,Aue,1,0,1.82,3.76,3.94
2025-03-29,regular,Mannheim,Dortmund II,0,0,1.86,3.69,3.84
2025-03-29,regular,Hansa Rostock,Saarbrucken,0,0,2.10,3.27,3.50
2025-03-29,regular,VfL Osnabruck,Munich 1860,1,0,2.14,3.38,3.26
2025-03-28,regular,Verl,RW Essen,3,0,2.22,3.43,3.05
2025-03-16,regular,Alemannia Aachen,Hansa Rostock,2,1,2.30,3.04,3.32
2025-03-16,regular,Aue,Mannheim,0,1,2.63,3.40,2.55
2025-03-16,regular,Sandhausen,Cottbus,0,1,2.86,3.75,2.22
2025-03-15,regular,Munich 1860,Unterhaching,2,1,1.79,3.78,4.08
2025-03-15,regular,VfL Osnabruck,Arminia Bielefeld,0,1,3.24,3.41,2.16
2025-03-15,regular,RW Essen,SG Dynamo Dresden,1,1,3.02,3.28,2.33
2025-03-15,regular,Verl,Ingolstadt,1,4,2.13,3.39,3.34
2025-03-15,regular,Dortmund II,Viktoria Koln,1,1,2.31,3.54,2.88
2025-03-15,regular,Hannover II,Wehen,3,2,2.88,3.47,2.33
2025-03-14,regular,Saarbrucken,Stuttgart II,0,2,1.66,3.85,4.95
2025-03-12,regular,Hansa Rostock,Aue,4,1,2.03,3.23,3.83
2025-03-12,regular,SG Dynamo Dresden,Dortmund II,0,0,1.45,4.77,5.84
2025-03-12,regular,Viktoria Koln,RW Essen,1,0,2.70,3.26,2.59
2025-03-12,regular,Mannheim,Sandhausen,3,2,2.04,3.55,3.42
2025-03-12,regular,Wehen,Munich 1860,0,0,2.32,3.30,3.01
2025-03-11,regular,Ingolstadt,Alemannia Aachen,0,3,2.41,3.25,2.90
2025-03-11,regular,Arminia Bielefeld,Saarbrucken,3,1,2.17,3.29,3.32
2025-03-11,regular,Cottbus,Hannover II,2,2,1.47,4.70,5.78
2025-03-11,regular,Unterhaching,Verl,1,2,3.04,3.46,2.23
2025-03-11,regular,Stuttgart II,VfL Osnabruck,1,2,2.99,3.45,2.25
2025-03-09,regular,RW Essen,Mannheim,1,0,2.17,3.42,3.22
2025-03-09,regular,Aue,Viktoria Koln,2,1,2.14,3.48,3.17
2025-03-09,regular,Munich 1860,Dortmund II,1,0,2.04,3.65,3.32
2025-03-08,regular,Verl,Arminia Bielefeld,2,1,3.06,3.29,2.31
2025-03-08,regular,Alemannia Aachen,SG Dynamo Dresden,0,1,2.99,3.30,2.34
2025-03-08,regular,Saarbrucken,Cottbus,2,1,2.12,3.45,3.35
2025-03-08,regular,Stuttgart II,Hannover II,2,1,1.87,3.81,3.74
2025-03-08,regular,Hansa Rostock,Ingolstadt,2,0,2.20,3.43,3.13
2025-03-08,regular,Sandhausen,Unterhaching,2,2,1.84,3.77,3.92
2025-03-07,regular,VfL Osnabruck,Wehen,0,1,1.97,3.45,3.77
2025-03-02,regular,Arminia Bielefeld,Stuttgart II,4,1,1.69,3.75,4.80
2025-03-02,regular,Mannheim,Alemannia Aachen,2,1,2.05,3.26,3.62
2025-03-01,regular,SG Dynamo Dresden,Verl,3,0,1.86,3.84,3.68
2025-03-01,regular,Wehen,Aue,0,2,2.22,3.38,3.09
2025-03-01,regular,Dortmund II,RW Essen,0,1,2.83,3.55,2.31
2025-03-01,regular,Cottbus,VfL Osnabruck,1,2,2.20,3.41,3.12
2025-03-01,regular,Hannover II,Munich 1860,1,3,2.96,3.58,2.22
2025-03-01,regular,Ingolstadt,Sandhausen,2,1,1.99,3.62,3.43
2025-02-28,regular,Viktoria Koln,Saarbrucken,1,2,3.42,3.27,2.14
2025-02-23,regular,Sandhausen,Wehen,0,1,2.47,3.40,2.71
2025-02-23,regular,VfL Osnabruck,Mannheim,1,1,2.14,3.40,3.23
2025-02-23,regular,Stuttgart II,Cottbus,2,0,2.91,3.60,2.22
2025-02-22,regular,Saarbrucken,Hannover II,4,1,1.42,4.57,6.81
2025-02-22,regular,Alemannia Aachen,Dortmund II,2,2,2.12,3.33,3.34
2025-02-22,regular,Aue,Unterhaching,1,0,1.74,3.76,4.31
2025-02-22,regular,Hansa Rostock,SG Dynamo Dresden,1,0,2.60,3.41,2.55
2025-02-22,regular,Verl,Viktoria Koln,1,1,2.12,3.25,3.48
2025-02-22,regular,RW Essen,Ingolstadt,2,0,2.32,3.49,2.84
2025-02-21,regular,Munich 1860,Arminia Bielefeld,0,3,3.14,3.33,2.21
2025-02-16,regular,SG Dynamo Dresden,Munich 1860,5,2,1.59,4.34,4.77
2025-02-16,regular,Cottbus,Verl,1,0,2.25,3.62,2.88
