date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-24,regular,Arminia Bielefeld,Stuttgart,2,4,7.71,5.07,1.39
2025-04-02,regular,Stuttgart,RB Leipzig,3,1,1.98,3.83,3.64
2025-04-01,regular,Arminia Bielefeld,Bayer Leverkusen,2,1,11.03,6.19,1.26
2025-02-26,regular,RB Leipzig,Wolfsburg,1,0,1.94,3.93,3.65
2025-02-25,regular,Arminia Bielefeld,Werder Bremen,2,1,4.18,3.63,1.89
2025-02-05,regular,Bayer Leverkusen,FC Koln,3,2,1.25,6.59,10.81
2025-02-04,regular,Stuttgart,Augsburg,1,0,1.58,4.39,5.50
2024-12-04,regular,Karlsruher SC,Augsburg,2,3,3.20,3.47,2.26
2024-12-04,regular,RB Leipzig,Eintracht Frankfurt,3,0,2.40,3.70,2.78
2024-12-04,regular,FC Koln,Hertha Berlin,2,1,1.76,3.93,4.43
2024-12-04,regular,Wolfsburg,Hoffenheim,3,0,1.83,3.75,4.24
2024-12-03,regular,Bayern Munich,Bayer Leverkusen,0,1,1.48,4.56,6.61
2024-12-03,regular,Werder Bremen,Darmstadt,1,0,1.52,4.34,6.18
2024-12-03,regular,Arminia Bielefeld,Freiburg,3,1,4.59,3.70,1.79
2024-12-03,regular,Regensburg,Stuttgart,0,3,8.36,4.86,1.39
2024-10-30,regular,Arminia Bielefeld,Union Berlin,2,0,5.05,3.70,1.71
2024-10-30,regular,Mainz,Bayern Munich,0,4,12.21,6.93,1.21
2024-10-30,regular,SG Dynamo Dresden,Darmstadt,2,3,2.62,3.51,2.62
2024-10-30,regular,Hoffenheim,Nurnberg,2,1,1.45,4.90,6.36
2024-10-30,regular,Eintracht Frankfurt,B. Monchengladbach,2,1,1.81,4.28,3.92
2024-10-30,regular,Freiburg,Hamburger SV,2,1,1.57,4.46,5.29
2024-10-30,regular,Hertha Berlin,Heidenheim,2,1,1.96,3.77,3.64
2024-10-30,regular,Paderborn,Werder Bremen,0,1,2.72,3.79,2.40
2024-10-29,regular,FC Koln,Holstein Kiel,3,0,1.76,4.11,4.19
2024-10-29,regular,Wolfsburg,Dortmund,1,0,3.27,3.83,2.07
2024-10-29,regular,Regensburg,Greuther Furth,1,0,3.27,3.75,2.09
2024-10-29,regular,Stuttgart,Kaiserslautern,2,1,1.43,5.11,6.33
2024-10-29,regular,Augsburg,Schalke,3,0,1.37,5.14,7.95
2024-10-29,regular,Bayer Leverkusen,Elversberg,3,0,1.17,8.41,12.87
2024-10-29,regular,Offenbach,Karlsruher SC,0,2,3.83,4.03,1.86
2024-10-29,regular,RB Leipzig,St. Pauli,4,2,1.67,3.79,5.28
2024-08-28,regular,Jena,Bayer Leverkusen,0,1,31.65,16.61,1.04
2024-08-27,regular,Preussen Munster,Stuttgart,0,5,9.89,6.90,1.24
2024-08-19,regular,Braunschweig,Eintracht Frankfurt,1,4,5.55,4.63,1.52
2024-08-19,regular,Cottbus,Werder Bremen,1,3,9.34,6.17,1.28
2024-08-19,regular,Offenbach,Magdeburg,2,1,3.76,3.94,1.87
2024-08-19,regular,TuS Koblenz,Wolfsburg,0,1,33.14,14.68,1.03
2024-08-18,regular,SG Dynamo Dresden,Dusseldorf,2,0,3.00,3.55,2.28
2024-08-18,regular,Meppen,Hamburger SV,1,7,10.03,6.21,1.25
2024-08-18,regular,Lotte,Karlsruher SC,0,5,8.19,5.76,1.31
2024-08-18,regular,Sandhausen,FC Koln,2,3,4.23,4.19,1.73
2024-08-18,regular,Regensburg,Bochum,1,0,3.80,3.90,1.88
2024-08-18,regular,Bremer,Paderborn,0,4,21.81,10.71,1.09
2024-08-18,regular,Teutonia Ottensen,Darmstadt,1,3,19.35,10.09,1.10
2024-08-18,regular,Hildesheim,Elversberg,0,7,20.49,10.29,1.09
2024-08-18,regular,Hansa Rostock,Hertha Berlin,1,5,3.68,3.87,1.92
2024-08-18,regular,Viktoria Berlin,Augsburg,1,4,10.95,6.75,1.22
2024-08-18,regular,Saarbrucken,Nurnberg,1,2,2.34,3.56,2.91
2024-08-17,regular,Alemannia Aachen,Holstein Kiel,2,3,4.39,3.88,1.75
2024-08-17,regular,Arminia Bielefeld,Hannover,2,0,3.34,3.64,2.08
2024-08-17,regular,Phonix Lubeck,Dortmund,1,4,36.75,17.61,1.02
2024-08-17,regular,Aalen,Schalke,0,2,19.30,8.85,1.12
2024-08-17,regular,Villingen,Heidenheim,0,4,18.12,8.43,1.14
2024-08-17,regular,VfL Osnabruck,Freiburg,0,4,5.25,4.56,1.56
2024-08-17,regular,Greifswald,Union Berlin,0,1,13.97,7.45,1.18
2024-08-17,regular,Ingolstadt,Kaiserslautern,1,2,3.29,3.72,2.08
2024-08-17,regular,RW Essen,RB Leipzig,1,4,15.03,7.49,1.17
2024-08-17,regular,Aue,B. Monchengladbach,1,3,7.31,4.88,1.40
2024-08-17,regular,Schott Mainz,Greuther Furth,0,2,33.08,13.36,1.05
2024-08-16,regular,Ulm,Bayern Munich,0,4,21.33,10.24,1.10
2024-08-16,regular,Hallescher,St. Pauli,2,3,8.58,5.26,1.34
2024-08-16,regular,Wurzburger Kickers,Hoffenheim,2,3,6.39,5.75,1.38
2024-08-16,regular,Wehen,Mainz,1,3,7.07,4.98,1.40
