date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-11,regular,AEL Larissa,Kifisia,1,0,2.12,2.96,3.59
2025-05-04,regular,PAE Chania,Asteras Tripolis B,2,2,,,
2025-05-04,regular,Panargiakos,Panachaiki,,,1.55,3.49,5.75
2025-05-04,regular,Kifisia,Ilioupoli,2,0,1.04,11.00,27.67
2025-05-04,regular,Kalamata,PAE Egaleo,4,1,1.09,7.66,22.15
2025-05-03,regular,Diagoras,Kavala,2,2,2.50,2.67,3.17
2025-05-03,regular,Niki Volos,PAOK B,1,1,2.11,2.93,3.63
2025-05-03,regular,Kampaniakos,Giannina,2,2,3.34,3.59,1.94
2025-05-03,regular,Iraklis 1908,Makedonikos,2,1,1.20,5.85,10.71
2025-04-28,regular,PAOK B,Diagoras,0,0,2.46,2.54,3.49
2025-04-27,regular,Kavala,Ethnikos Neou,1,0,1.19,5.16,19.21
2025-04-27,regular,Makedonikos,AEL Larissa,0,3,7.84,4.82,1.32
2025-04-27,regular,Giannina,Iraklis 1908,0,3,3.00,3.44,2.13
2025-04-26,regular,Panachaiki,AEK Athens FC B,1,0,4.50,3.32,1.76
2025-04-26,regular,Asteras Tripolis B,Panargiakos,3,2,1.84,3.17,4.34
2025-04-26,regular,Ilioupoli,Kalamata,1,3,16.58,5.48,1.17
2025-04-26,regular,PAE Egaleo,Panionios,0,4,5.91,3.72,1.55
2025-04-13,regular,AEK Athens FC B,Asteras Tripolis B,0,2,1.83,3.27,4.26
2025-04-13,regular,Panargiakos,PAE Chania,1,0,2.64,3.26,2.45
2025-04-13,regular,Panionios,Ilioupoli,2,0,1.54,3.65,5.60
2025-04-13,regular,Kalamata,Kifisia,0,1,2.10,2.88,3.79
2025-04-12,regular,AEL Larissa,Giannina,5,0,1.27,5.00,9.83
2025-04-12,regular,Iraklis 1908,Kampaniakos,3,0,1.28,5.14,8.64
2025-04-12,regular,Diagoras,Niki Volos,3,0,1.34,4.53,7.75
2025-04-12,regular,Ethnikos Neou,PAOK B,0,2,10.00,5.40,1.23
2025-04-06,regular,Niki Volos,Ethnikos Neou,1,0,1.17,5.50,19.20
2025-04-06,regular,PAOK B,Kavala,0,0,1.90,3.04,4.41
2025-04-06,regular,Kampaniakos,AEL Larissa,1,2,22.71,7.65,1.09
2025-04-06,regular,Giannina,Makedonikos,2,0,1.62,3.63,5.16
2025-04-05,regular,Ilioupoli,PAE Egaleo,1,0,1.94,3.18,3.85
2025-04-05,regular,Kifisia,Panionios,0,0,1.35,4.77,7.82
2025-04-05,regular,PAE Chania,AEK Athens FC B,0,1,1.97,3.47,3.51
2025-04-05,regular,Panachaiki,Asteras Tripolis B,1,0,2.02,3.07,3.79
2025-04-02,regular,PAOK B,Niki Volos,1,1,1.91,3.09,4.18
2025-03-30,regular,AEK Athens FC B,Panargiakos,2,2,1.86,3.21,4.25
2025-03-30,regular,Panachaiki,PAE Chania,2,2,2.90,3.15,2.38
2025-03-30,regular,Panionios,Kalamata,1,2,6.64,3.63,1.52
2025-03-30,regular,PAE Egaleo,Kifisia,0,1,11.86,4.67,1.28
2025-03-29,regular,AEL Larissa,Iraklis 1908,1,1,1.65,3.58,5.01
2025-03-29,regular,Makedonikos,Kampaniakos,1,1,2.14,3.54,2.93
2025-03-29,regular,Ethnikos Neou,Diagoras,0,1,4.30,2.94,1.97
2025-03-29,regular,Kavala,Niki Volos,0,0,3.42,2.40,2.61
2025-03-23,regular,Kavala,Diagoras,2,1,2.10,2.70,4.18
2025-03-23,regular,Giannina,Kampaniakos,4,1,1.32,5.11,7.27
2025-03-23,regular,Makedonikos,Iraklis 1908,1,2,5.83,3.86,1.52
2025-03-22,regular,Ilioupoli,Kifisia,0,3,9.19,4.96,1.29
2025-03-22,regular,PAE Egaleo,Kalamata,0,1,11.50,7.54,1.16
2025-03-22,regular,Asteras Tripolis B,PAE Chania,1,2,3.59,3.13,2.06
2025-03-22,regular,Panachaiki,Panargiakos,1,0,1.67,3.24,5.75
2025-03-16,regular,Panargiakos,Asteras Tripolis B,1,0,2.38,2.81,3.16
2025-03-16,regular,AEK Athens FC B,Panachaiki,1,1,2.15,2.98,3.48
2025-03-16,regular,Kalamata,Ilioupoli,2,0,1.15,6.29,17.94
2025-03-16,regular,Panionios,PAE Egaleo,2,1,1.25,4.88,12.86
