date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-22,regular,Athens Kallithea,Lamia,3,0,1.41,4.62,6.83
2025-05-22,regular,Levadiakos,Volos,3,2,1.54,4.21,5.33
2025-05-22,regular,Panetolikos,Panserraikos,1,0,1.47,4.23,6.45
2025-05-18,regular,Volos,Athens Kallithea,0,2,1.78,3.65,4.18
2025-05-18,regular,Lamia,Panetolikos,1,3,2.42,3.00,3.06
2025-05-18,regular,Panserraikos,Levadiakos,0,1,3.12,3.36,2.21
2025-05-14,regular,Athens Kallithea,Panserraikos,1,1,2.02,3.64,3.33
2025-05-14,regular,Volos,Lamia,3,0,1.14,7.33,17.86
2025-05-14,regular,Levadiakos,Panetolikos,1,2,1.58,3.67,6.03
2025-05-11,regular,PAOK,AEK Athens,1,0,2.05,3.44,3.49
2025-05-11,regular,Panathinaikos,Olympiacos Piraeus,0,1,2.99,3.29,2.34
2025-05-10,regular,Panetolikos,Volos,0,3,6.30,4.22,1.49
2025-05-10,regular,Atromitos,OFI Crete,0,0,1.79,3.75,4.14
2025-05-10,regular,Aris,Asteras Tripolis,4,2,1.64,3.76,5.28
2025-05-10,regular,Levadiakos,Athens Kallithea,4,1,2.53,3.04,2.93
2025-05-10,regular,Lamia,Panserraikos,2,1,5.14,3.71,1.65
2025-05-05,regular,Lamia,Levadiakos,2,3,6.31,3.80,1.56
2025-05-05,regular,Athens Kallithea,Panetolikos,0,0,1.81,3.22,5.01
2025-05-05,regular,Panserraikos,Volos,3,0,1.22,5.86,12.20
2025-05-04,regular,AEK Athens,Panathinaikos,1,2,1.90,3.55,3.94
2025-05-04,regular,Olympiacos Piraeus,PAOK,4,2,2.26,3.56,2.92
2025-05-03,regular,OFI Crete,Aris,1,1,3.87,3.68,1.86
2025-05-03,regular,Asteras Tripolis,Atromitos,1,4,1.89,3.35,4.18
2025-04-28,regular,Volos,Panserraikos,3,0,1.38,4.31,8.90
2025-04-28,regular,Panetolikos,Athens Kallithea,0,1,2.64,3.05,2.80
2025-04-28,regular,Levadiakos,Lamia,0,0,1.30,4.97,10.05
2025-04-27,regular,AEK Athens,Olympiacos Piraeus,0,2,2.35,3.17,3.13
2025-04-27,regular,PAOK,Panathinaikos,2,1,1.98,3.42,3.76
2025-04-26,regular,Atromitos,Aris,1,1,3.54,3.21,2.14
2025-04-26,regular,OFI Crete,Asteras Tripolis,0,2,2.75,3.31,2.51
2025-04-23,regular,Athens Kallithea,Levadiakos,0,3,2.57,3.09,2.89
2025-04-23,regular,Lamia,Volos,1,3,8.48,4.17,1.42
2025-04-23,regular,Panserraikos,Panetolikos,1,1,2.36,3.05,3.18
2025-04-13,regular,Olympiacos Piraeus,AEK Athens,1,0,1.96,3.34,3.93
2025-04-13,regular,Aris,Atromitos,1,0,1.66,3.62,5.25
2025-04-13,regular,Panathinaikos,PAOK,3,1,2.21,3.20,3.35
2025-04-13,regular,Asteras Tripolis,OFI Crete,2,1,1.82,3.43,4.36
2025-04-12,regular,Volos,Levadiakos,1,0,1.88,3.26,4.34
2025-04-12,regular,Panserraikos,Athens Kallithea,3,1,2.71,3.08,2.66
2025-04-12,regular,Panetolikos,Lamia,1,0,1.75,3.28,5.27
2025-04-07,regular,Atromitos,Asteras Tripolis,0,1,1.93,3.15,4.39
2025-04-06,regular,Panathinaikos,AEK Athens,3,1,3.09,3.07,2.46
2025-04-06,regular,PAOK,Olympiacos Piraeus,2,1,2.69,2.99,2.82
2025-04-06,regular,Volos,Panetolikos,0,0,1.89,3.16,4.62
2025-04-05,regular,Lamia,Athens Kallithea,0,2,3.74,3.15,2.09
2025-04-05,regular,Aris,OFI Crete,2,0,1.41,4.43,7.82
2025-04-05,regular,Levadiakos,Panserraikos,3,0,1.71,3.58,5.01
2025-03-30,regular,Olympiacos Piraeus,Panathinaikos,4,2,1.66,3.65,5.56
2025-03-30,regular,AEK Athens,PAOK,2,3,1.86,3.47,4.39
2025-03-30,regular,Panserraikos,Lamia,1,1,1.74,3.44,5.09
