date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-12,play_off,Mohun Bagan,Bengaluru FC,2,1,1.72,3.57,4.58
2025-04-07,play_off,Mohun Bagan,Jamshedpur,2,0,1.34,5.40,7.29
2025-04-06,play_off,Goa,Bengaluru FC,2,1,1.81,3.67,4.06
2025-04-03,play_off,Jamshedpur,Mohun Bagan,2,1,3.76,3.94,1.81
2025-04-02,play_off,Bengaluru FC,Goa,2,0,2.43,3.11,2.93
2025-03-30,play_off,North East Utd,Jamshedpur,0,2,1.81,3.76,3.77
2025-03-29,play_off,Bengaluru FC,Mumbai City,5,0,2.51,3.22,2.72
2025-03-12,regular,Hyderabad,Kerala Blasters,1,1,3.49,3.78,1.92
2025-03-11,regular,Bengaluru FC,Mumbai City,0,2,4.45,3.22,1.86
2025-03-10,regular,Mohammedan,Punjab,2,2,4.26,3.89,1.72
2025-03-09,regular,Chennaiyin,Jamshedpur,5,2,3.08,3.69,2.08
2025-03-08,regular,Mohun Bagan,Goa,2,0,1.92,3.48,3.78
2025-03-08,regular,North East Utd,East Bengal,4,0,1.22,6.62,9.60
2025-03-07,regular,Kerala Blasters,Mumbai City,1,0,3.55,3.37,2.02
2025-03-06,regular,Hyderabad,Punjab,1,3,3.32,3.51,2.07
2025-03-05,regular,Jamshedpur,Odisha FC,2,3,1.79,4.07,3.75
2025-03-04,regular,Goa,Mohammedan,2,0,1.48,4.24,5.91
2025-03-03,regular,Chennaiyin,North East Utd,0,3,3.06,3.47,2.17
2025-03-02,regular,East Bengal,Bengaluru FC,1,1,2.12,3.47,3.14
2025-03-01,regular,Kerala Blasters,Jamshedpur,1,1,1.95,3.74,3.35
2025-03-01,regular,Mumbai City,Mohun Bagan,2,2,2.33,3.27,2.91
2025-02-28,regular,Odisha FC,Mohammedan,0,0,1.78,3.54,4.30
2025-02-27,regular,Punjab,Goa,0,1,3.12,3.51,2.12
2025-02-26,regular,East Bengal,Hyderabad,2,0,1.54,4.18,5.24
2025-02-25,regular,Bengaluru FC,Chennaiyin,1,0,1.96,3.48,3.60
2025-02-23,regular,Mohun Bagan,Odisha FC,1,0,1.43,4.63,6.16
2025-02-22,regular,Goa,Kerala Blasters,2,0,1.97,3.57,3.45
2025-02-22,regular,Punjab,East Bengal,1,3,2.23,3.47,2.95
2025-02-21,regular,North East Utd,Bengaluru FC,0,2,2.26,3.54,2.84
2025-02-20,regular,Mohammedan,Jamshedpur,0,2,3.45,3.46,2.01
2025-02-19,regular,Hyderabad,Mumbai City,0,0,4.81,3.89,1.63
2025-02-16,regular,Mohammedan,East Bengal,1,3,3.27,3.37,2.12
2025-02-15,regular,Kerala Blasters,Mohun Bagan,0,3,3.04,3.35,2.24
2025-02-15,regular,Chennaiyin,Punjab,2,1,2.58,3.44,2.52
2025-02-14,regular,Odisha FC,Hyderabad,3,1,1.62,4.22,4.51
2025-02-13,regular,Jamshedpur,North East Utd,0,2,3.07,3.66,2.09
2025-02-12,regular,Mumbai City,Goa,1,3,2.31,3.47,2.84
2025-02-10,regular,Odisha FC,Punjab,1,1,2.63,3.53,2.42
2025-02-09,regular,Bengaluru FC,Jamshedpur,3,0,1.88,3.76,3.55
2025-02-08,regular,East Bengal,Chennaiyin,0,3,1.93,3.58,3.63
2025-02-08,regular,Hyderabad,Mohammedan,3,1,2.12,3.37,3.24
2025-02-07,regular,North East Utd,Mumbai City,0,2,2.34,3.35,2.84
2025-02-06,regular,Goa,Odisha FC,2,1,1.80,3.82,3.85
2025-02-05,regular,Mohun Bagan,Punjab,3,0,1.60,3.89,5.15
2025-02-03,regular,Odisha FC,North East Utd,2,2,2.53,3.56,2.49
2025-02-02,regular,Jamshedpur,Goa,3,1,2.96,3.48,2.23
2025-02-01,regular,Mohammedan,Mohun Bagan,0,4,5.73,3.93,1.54
2025-02-01,regular,Punjab,Bengaluru FC,3,2,2.74,3.38,2.39
2025-01-31,regular,Mumbai City,East Bengal,0,0,1.64,3.94,4.78
2025-01-30,regular,Chennaiyin,Kerala Blasters,1,3,2.54,3.41,2.60
2025-01-29,regular,North East Utd,Hyderabad,4,1,1.59,4.04,5.08
2025-01-28,regular,Punjab,Jamshedpur,1,2,1.85,3.41,4.09
2025-01-27,regular,Mohun Bagan,Bengaluru FC,1,0,1.58,3.95,5.17
2025-01-26,regular,Mumbai City,Mohammedan,3,0,1.45,4.28,6.39
2025-01-25,regular,Goa,Chennaiyin,2,0,2.11,3.41,3.20
2025-01-24,regular,East Bengal,Kerala Blasters,2,1,2.82,3.29,2.39
2025-01-23,regular,Hyderabad,Jamshedpur,3,2,3.01,3.37,2.23
2025-01-22,regular,Bengaluru FC,Odisha FC,2,3,1.94,3.59,3.59
2025-01-21,regular,Chennaiyin,Mohun Bagan,0,0,3.91,3.56,1.85
2025-01-19,regular,Goa,East Bengal,1,0,1.63,3.97,4.53
2025-01-18,regular,Kerala Blasters,North East Utd,0,0,1.87,3.71,3.58
2025-01-18,regular,Hyderabad,Bengaluru FC,1,1,4.14,3.65,1.75
2025-01-17,regular,Jamshedpur,Mohun Bagan,1,1,4.81,4.03,1.60
2025-01-16,regular,Punjab,Mumbai City,1,1,3.63,2.97,2.11
2025-01-15,regular,Mohammedan,Chennaiyin,2,2,3.26,3.07,2.21
2025-01-14,regular,North East Utd,Goa,1,1,2.28,3.47,2.79
2025-01-13,regular,Kerala Blasters,Odisha FC,3,2,1.82,4.04,3.49
2025-01-12,regular,Mumbai City,Jamshedpur,0,3,1.52,4.25,5.21
2025-01-11,regular,Mohun Bagan,East Bengal,1,0,1.57,4.04,4.97
2025-01-11,regular,Bengaluru FC,Mohammedan,0,1,1.57,4.04,4.91
2025-01-10,regular,North East Utd,Punjab,1,1,1.78,3.58,4.19
2025-01-09,regular,Chennaiyin,Odisha FC,2,2,2.10,3.61,3.01
2025-01-08,regular,Goa,Hyderabad,1,1,1.40,4.61,6.82
2025-01-06,regular,East Bengal,Mumbai City,2,3,3.02,3.47,2.18
2025-01-05,regular,Punjab,Kerala Blasters,0,1,4.68,4.00,1.64
2025-01-04,regular,Jamshedpur,Bengaluru FC,2,1,3.27,3.57,2.05
2025-01-04,regular,Odisha FC,Goa,2,4,2.86,3.30,2.37
2025-01-03,regular,North East Utd,Mohammedan,0,0,1.30,5.44,8.27
2025-01-02,regular,Mohun Bagan,Hyderabad,3,0,1.35,4.84,8.21
2024-12-30,regular,Mumbai City,North East Utd,0,3,1.81,3.72,3.97
2024-12-29,regular,Jamshedpur,Kerala Blasters,1,0,3.20,3.77,2.04
2024-12-28,regular,Chennaiyin,Bengaluru FC,2,4,2.61,3.55,2.44
2024-12-28,regular,Hyderabad,East Bengal,1,1,2.89,3.73,2.20
2024-12-27,regular,Mohammedan,Odisha FC,0,0,3.39,3.61,2.02
2024-12-26,regular,Punjab,Mohun Bagan,1,3,4.86,4.08,1.62
2024-12-23,regular,Hyderabad,North East Utd,2,5,3.01,3.62,2.18
2024-12-22,regular,Kerala Blasters,Mohammedan,3,0,1.49,4.30,5.99
2024-12-21,regular,East Bengal,Jamshedpur,1,0,2.18,3.74,2.92
2024-12-21,regular,Mumbai City,Chennaiyin,1,0,1.55,4.30,5.25
2024-12-20,regular,Goa,Mohun Bagan,2,1,2.80,3.30,2.45
2024-12-17,regular,East Bengal,Punjab,4,2,2.71,3.19,2.61
2024-12-15,regular,Mohammedan,Mumbai City,0,1,5.02,3.78,1.64
2024-12-14,regular,Mohun Bagan,Kerala Blasters,3,2,1.66,3.84,4.93
2024-12-14,regular,Bengaluru FC,Goa,2,2,2.61,3.27,2.63
2024-12-13,regular,Jamshedpur,Punjab,2,1,2.58,3.36,2.59
2024-12-12,regular,East Bengal,Odisha FC,1,2,2.14,3.64,3.05
2024-12-11,regular,Chennaiyin,Hyderabad,1,0,1.63,3.94,5.01
2024-12-08,regular,North East Utd,Mohun Bagan,0,2,3.30,3.66,2.05
2024-12-07,regular,Bengaluru FC,Kerala Blasters,4,2,2.36,3.33,2.91
2024-12-07,regular,Chennaiyin,East Bengal,0,2,2.13,3.70,3.07
2024-12-06,regular,Punjab,Mohammedan,2,0,1.68,3.93,4.49
2024-12-05,regular,Odisha FC,Mumbai City,0,0,2.77,3.44,2.40
2024-12-04,regular,Hyderabad,Goa,0,2,4.77,4.16,1.59
2024-12-02,regular,Jamshedpur,Mohammedan,3,1,2.17,3.62,2.98
2024-12-01,regular,Odisha FC,Bengaluru FC,4,2,2.27,3.64,2.80
2024-11-30,regular,Mohun Bagan,Chennaiyin,1,0,1.79,3.78,4.10
2024-11-30,regular,Mumbai City,Hyderabad,1,0,1.32,5.16,8.46
2024-11-29,regular,East Bengal,North East Utd,1,0,2.61,3.39,2.56
2024-11-28,regular,Kerala Blasters,Goa,0,1,2.25,3.45,2.97
2024-11-27,regular,Mohammedan,Bengaluru FC,1,2,3.02,3.40,2.27
2024-11-26,regular,Mumbai City,Punjab,0,3,1.71,3.51,5.02
2024-11-25,regular,Hyderabad,Odisha FC,0,6,3.05,3.79,2.09
2024-11-24,regular,Kerala Blasters,Chennaiyin,3,0,2.47,3.25,2.77
2024-11-23,regular,Mohun Bagan,Jamshedpur,3,0,1.37,5.05,6.69
2024-11-23,regular,Punjab,North East Utd,1,2,2.38,3.40,2.80
2024-11-10,regular,Odisha FC,Mohun Bagan,1,1,3.29,3.49,2.08
2024-11-09,regular,East Bengal,Mohammedan,0,0,1.77,3.86,4.08
2024-11-09,regular,Chennaiyin,Mumbai City,1,1,2.81,3.48,2.32
2024-11-08,regular,Bengaluru FC,North East Utd,2,2,2.12,3.47,3.21
2024-11-07,regular,Kerala Blasters,Hyderabad,1,2,1.52,4.11,5.76
2024-11-06,regular,Goa,Punjab,2,1,1.96,3.52,3.63
2024-11-04,regular,Jamshedpur,Chennaiyin,1,5,3.10,3.91,2.03
2024-11-03,regular,Mumbai City,Kerala Blasters,4,2,1.72,3.84,4.45
2024-11-03,regular,North East Utd,Odisha FC,3,2,2.02,3.75,3.29
2024-11-02,regular,Goa,Bengaluru FC,3,0,2.27,3.42,3.02
2024-10-31,regular,Punjab,Chennaiyin,3,2,2.30,3.22,3.13
2024-10-30,regular,Hyderabad,Mohun Bagan,0,2,6.21,4.31,1.48
2024-10-27,regular,Mumbai City,Odisha FC,1,1,1.73,4.03,4.05
2024-10-26,regular,Mohammedan,Hyderabad,0,4,1.96,3.48,3.62
2024-10-26,regular,North East Utd,Jamshedpur,5,0,2.00,3.94,3.18
2024-10-25,regular,Kerala Blasters,Bengaluru FC,1,3,2.61,3.13,2.72
2024-10-24,regular,Chennaiyin,Goa,2,2,2.59,3.64,2.41
2024-10-22,regular,Odisha FC,East Bengal,2,1,1.85,3.76,3.77
2024-10-21,regular,Jamshedpur,Hyderabad,2,1,1.53,4.19,5.64
2024-10-20,regular,Mohammedan,Kerala Blasters,1,2,3.24,3.65,2.04
2024-10-19,regular,East Bengal,Mohun Bagan,0,2,3.74,3.50,1.95
2024-10-19,regular,Goa,Mumbai City,1,2,2.72,3.37,2.50
2024-10-18,regular,Bengaluru FC,Punjab,1,0,2.25,3.33,3.13
2024-10-17,regular,North East Utd,Chennaiyin,2,3,2.61,3.53,2.44
2024-10-05,regular,Mohun Bagan,Mohammedan,3,0,1.85,3.80,3.74
2024-10-05,regular,Jamshedpur,East Bengal,2,0,2.37,3.51,2.77
2024-10-04,regular,Goa,North East Utd,3,3,1.86,3.70,3.86
2024-10-03,regular,Odisha FC,Kerala Blasters,2,2,1.94,3.50,3.73
2024-10-02,regular,Mumbai City,Bengaluru FC,0,0,1.78,3.86,4.06
2024-10-01,regular,Hyderabad,Chennaiyin,0,0,5.89,4.44,1.49
2024-09-29,regular,North East Utd,Kerala Blasters,1,1,2.12,3.66,3.06
2024-09-28,regular,Bengaluru FC,Mohun Bagan,3,0,2.66,3.40,2.49
2024-09-28,regular,Odisha FC,Jamshedpur,2,1,2.14,3.69,3.02
2024-09-27,regular,East Bengal,Goa,2,3,2.63,3.58,2.43
2024-09-26,regular,Chennaiyin,Mohammedan,0,1,1.74,3.89,4.21
2024-09-25,regular,Punjab,Hyderabad,2,0,1.37,4.81,7.27
2024-09-23,regular,Mohun Bagan,North East Utd,3,2,1.58,4.13,5.06
2024-09-22,regular,Kerala Blasters,East Bengal,2,1,2.37,3.46,2.79
2024-09-21,regular,Mohammedan,Goa,1,1,4.06,3.56,1.83
2024-09-21,regular,Jamshedpur,Mumbai City,3,2,4.12,3.80,1.77
2024-09-20,regular,Punjab,Odisha FC,2,1,3.03,3.33,2.25
2024-09-19,regular,Bengaluru FC,Hyderabad,3,0,1.31,5.02,9.65
2024-09-17,regular,Goa,Jamshedpur,1,2,1.69,3.92,4.50
2024-09-16,regular,Mohammedan,North East Utd,0,1,2.93,3.42,2.28
2024-09-15,regular,Kerala Blasters,Punjab,1,2,2.07,3.41,3.36
2024-09-14,regular,Bengaluru FC,East Bengal,1,0,2.02,3.75,3.28
2024-09-14,regular,Odisha FC,Chennaiyin,2,3,1.80,3.72,4.00
2024-09-13,regular,Mohun Bagan,Mumbai City,2,2,2.45,3.28,2.79
