date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-11-16,regular,Bray,Drogheda,1,3,5.24,3.74,1.65
2024-11-01,regular,Bohemians,Galway,1,1,2.31,3.18,3.11
2024-11-01,regular,Derry City,Shelbourne,0,1,2.18,3.10,3.47
2024-11-01,regular,Drogheda,Dundalk,0,0,1.87,3.71,3.79
2024-11-01,regular,Shamrock Rovers,Waterford,2,1,1.19,6.56,12.94
2024-11-01,regular,Sligo Rovers,St. Patricks,0,2,4.97,4.19,1.58
2024-10-27,regular,Dundalk,Shamrock Rovers,0,1,10.38,5.97,1.25
2024-10-25,regular,Waterford,Bohemians,1,1,2.73,3.29,2.53
2024-10-25,regular,St. Patricks,Derry City,1,0,2.37,3.19,3.04
2024-10-25,regular,Shelbourne,Drogheda,2,1,1.46,4.34,6.72
2024-10-25,regular,Galway,Sligo Rovers,2,2,1.54,3.96,6.09
2024-10-19,regular,Sligo Rovers,Bohemians,0,2,2.77,3.33,2.45
2024-10-18,regular,Dundalk,Derry City,0,2,4.90,3.83,1.65
2024-10-18,regular,Drogheda,Shamrock Rovers,0,1,4.48,3.82,1.70
2024-10-18,regular,St. Patricks,Galway,2,1,1.98,3.40,3.73
2024-10-18,regular,Shelbourne,Waterford,3,1,1.67,3.59,5.10
2024-10-14,regular,Bohemians,St. Patricks,1,3,2.78,3.43,2.39
2024-10-14,regular,Derry City,Sligo Rovers,1,1,1.34,4.79,8.41
2024-10-11,regular,Derry City,Bohemians,1,1,1.63,3.78,5.37
2024-10-11,regular,Waterford,Drogheda,0,0,2.55,3.33,2.68
2024-10-06,regular,Shamrock Rovers,Shelbourne,2,0,1.52,4.08,6.25
2024-10-04,regular,Galway,Dundalk,1,1,1.33,4.76,9.06
2024-09-30,regular,Shelbourne,St. Patricks,2,3,2.85,3.12,2.50
2024-09-27,regular,Shamrock Rovers,St. Patricks,0,3,1.64,3.98,4.76
2024-09-27,regular,Dundalk,Bohemians,0,2,3.00,3.57,2.19
2024-09-27,regular,Drogheda,Derry City,2,1,3.82,3.41,1.96
2024-09-27,regular,Waterford,Galway,1,2,3.37,3.18,2.19
2024-09-27,regular,Shelbourne,Sligo Rovers,0,0,1.70,3.65,4.87
2024-09-23,regular,Shamrock Rovers,Bohemians,1,0,1.50,4.16,6.24
2024-09-23,regular,Drogheda,Galway,0,0,2.93,3.47,2.28
2024-09-21,regular,Sligo Rovers,Dundalk,2,1,2.06,3.56,3.38
2024-09-20,regular,Bohemians,Drogheda,0,1,1.84,3.63,3.97
2024-09-20,regular,Derry City,Shamrock Rovers,1,1,2.27,3.28,3.12
2024-09-20,regular,Galway,Shelbourne,1,0,2.15,3.12,3.59
2024-09-20,regular,St. Patricks,Waterford,3,0,1.58,4.08,5.24
2024-09-16,regular,Galway,Shamrock Rovers,1,2,2.98,3.12,2.42
2024-09-13,regular,Waterford,Dundalk,2,1,1.94,3.49,3.79
2024-09-13,regular,Shamrock Rovers,Sligo Rovers,4,0,1.29,5.28,9.50
2024-09-06,regular,Bohemians,Shelbourne,1,1,2.44,3.12,2.98
2024-09-05,regular,Dundalk,St. Patricks,1,2,3.80,3.35,1.98
2024-09-01,regular,St. Patricks,Drogheda,4,1,1.81,3.62,4.19
2024-09-01,regular,Bohemians,Shamrock Rovers,2,1,3.34,3.44,2.10
2024-08-31,regular,Sligo Rovers,Waterford,2,0,2.73,3.29,2.53
2024-08-30,regular,Galway,Derry City,1,0,3.17,2.98,2.41
2024-08-30,regular,Dundalk,Shelbourne,0,1,4.27,3.06,1.98
2024-08-25,regular,Shamrock Rovers,Galway,1,1,1.91,3.33,4.09
2024-08-23,regular,Shelbourne,Bohemians,1,1,2.14,3.11,3.56
2024-08-23,regular,Waterford,Derry City,0,1,4.59,3.58,1.75
2024-08-23,regular,Drogheda,Sligo Rovers,7,0,2.26,3.28,3.14
2024-08-11,regular,Shamrock Rovers,Drogheda,1,1,1.33,5.29,8.14
