date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-22,play_off,Salernitana,Sampdoria,,,2.16,3.35,3.46
2025-06-15,play_off,Sampdoria,Salernitana,2,0,2.31,2.91,3.63
2025-06-01,play_off,Spezia,Cremonese,2,3,2.49,3.25,2.95
2025-05-29,play_off,Cremonese,Spezia,0,0,2.06,3.28,3.95
2025-05-26,play_off,Frosinone,Salernitana,,,,,
2025-05-25,play_off,Spezia,Catanzaro,2,1,1.87,3.59,4.23
2025-05-25,play_off,Cremonese,Juve Stabia,3,0,1.56,4.02,6.01
2025-05-21,play_off,Catanzaro,Spezia,0,2,3.58,3.10,2.23
2025-05-21,play_off,Juve Stabia,Cremonese,2,1,3.35,3.16,2.30
2025-05-17,play_off,Juve Stabia,Palermo,1,0,2.86,3.06,2.66
2025-05-17,play_off,Catanzaro,Cesena,1,0,2.20,3.08,3.68
2025-05-13,regular,Sudtirol,Bari,0,0,3.19,3.42,2.22
2025-05-13,regular,Brescia,Reggiana,2,1,1.46,4.28,7.52
2025-05-13,regular,Palermo,Carrarese,1,1,1.45,4.71,6.40
2025-05-13,regular,Mantova,Catanzaro,0,0,2.01,3.28,3.95
2025-05-13,regular,Modena,Cesena,0,1,3.36,3.05,2.31
2025-05-13,regular,Cittadella,Salernitana,0,2,3.37,3.10,2.30
2025-05-13,regular,Spezia,Cosenza,3,1,1.29,5.66,9.79
2025-05-13,regular,Pisa,Cremonese,2,1,2.26,3.45,3.09
2025-05-13,regular,Sassuolo,Frosinone,0,1,3.43,3.39,2.11
2025-05-13,regular,Juve Stabia,Sampdoria,0,0,3.11,3.03,2.49
2025-05-09,regular,Cittadella,Bari,3,1,2.89,3.09,2.55
2025-05-09,regular,Modena,Brescia,2,2,2.26,3.04,3.45
2025-05-09,regular,Mantova,Carrarese,2,1,2.06,3.15,3.89
2025-05-09,regular,Sassuolo,Catanzaro,0,2,2.00,3.43,3.72
2025-05-09,regular,Cosenza,Cesena,0,1,4.02,3.31,1.96
2025-05-09,regular,Spezia,Cremonese,2,3,2.50,3.14,2.95
2025-05-09,regular,Palermo,Frosinone,2,0,1.92,3.29,4.18
2025-05-09,regular,Juve Stabia,Reggiana,1,2,2.35,2.72,3.69
2025-05-09,regular,Pisa,Sudtirol,3,3,2.33,2.97,3.42
2025-05-09,regular,Sampdoria,Salernitana,1,0,2.39,3.10,3.12
2025-05-04,regular,Cremonese,Sassuolo,1,1,2.15,3.29,3.46
2025-05-04,regular,Bari,Pisa,1,0,3.23,2.67,2.63
2025-05-04,regular,Brescia,Juve Stabia,0,0,2.27,2.88,3.69
2025-05-04,regular,Carrarese,Modena,2,1,2.46,2.82,3.34
2025-05-04,regular,Catanzaro,Sampdoria,2,2,2.61,3.05,2.83
2025-05-04,regular,Cesena,Palermo,2,1,2.81,3.01,2.69
2025-05-04,regular,Frosinone,Cittadella,1,1,1.83,3.26,4.81
2025-05-04,regular,Sudtirol,Cosenza,2,1,1.71,3.65,5.01
2025-05-04,regular,Salernitana,Mantova,2,0,1.92,3.38,4.08
2025-05-04,regular,Reggiana,Spezia,2,1,3.47,3.05,2.28
2025-05-01,regular,Sassuolo,Carrarese,2,0,1.82,3.62,4.33
2025-05-01,regular,Cittadella,Brescia,0,1,3.16,2.95,2.52
2025-05-01,regular,Cosenza,Bari,1,0,3.71,3.31,2.07
2025-05-01,regular,Mantova,Cesena,3,0,2.45,3.28,2.94
2025-05-01,regular,Sampdoria,Cremonese,0,0,3.48,3.38,2.13
2025-05-01,regular,Pisa,Frosinone,1,0,1.65,3.46,6.09
2025-05-01,regular,Modena,Reggiana,2,3,2.02,3.19,4.06
2025-05-01,regular,Palermo,Sudtirol,1,2,1.62,3.78,5.77
2025-05-01,regular,Spezia,Salernitana,2,0,1.75,3.36,5.33
