date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-29,regular,Antwerp,Charleroi,1,2,2.30,3.46,3.06
2025-05-25,regular,Genk,Anderlecht,2,1,1.99,3.63,3.65
2025-05-25,regular,Club Brugge KV,Antwerp,1,1,1.17,8.33,13.66
2025-05-25,regular,Royale Union SG,Gent,3,1,1.10,10.50,23.74
2025-05-24,regular,Charleroi,Leuven,2,1,1.59,4.27,5.31
2025-05-24,regular,Dender,KV Mechelen,2,2,2.98,3.91,2.16
2025-05-24,regular,Westerlo,St. Liege,0,0,1.76,4.02,4.26
2025-05-23,regular,Cercle Brugge KSV,Patro Eisden,3,1,1.46,4.62,6.21
2025-05-18,regular,Patro Eisden,Cercle Brugge KSV,1,5,3.04,3.34,2.32
2025-05-18,regular,Gent,Genk,1,4,3.29,3.96,1.99
2025-05-18,regular,KV Mechelen,Charleroi,1,1,2.18,3.70,3.07
2025-05-18,regular,Anderlecht,Club Brugge KV,1,3,4.77,3.93,1.70
2025-05-17,regular,Antwerp,Royale Union SG,0,4,5.48,3.92,1.63
2025-05-17,regular,St. Liege,Dender,0,0,2.12,3.52,3.42
2025-05-16,regular,Leuven,Westerlo,0,2,2.56,3.72,2.54
2025-05-11,regular,Dender,Leuven,5,0,2.42,3.55,2.83
2025-05-11,regular,Genk,Club Brugge KV,0,2,3.73,3.82,1.94
2025-05-11,regular,Patro Eisden,Sporting Lokeren,1,1,2.07,3.46,3.34
2025-05-11,regular,Gent,Antwerp,0,3,2.73,3.66,2.46
2025-05-10,regular,Anderlecht,Royale Union SG,0,1,3.72,3.31,2.10
2025-05-10,regular,KV Mechelen,St. Liege,0,0,1.54,4.47,5.70
2025-05-10,regular,Beerschot VA,Cercle Brugge KSV,4,2,5.41,4.46,1.55
2025-05-10,regular,Kortrijk,St. Truiden,2,2,3.28,3.66,2.11
2025-05-09,regular,Charleroi,Westerlo,4,3,1.67,4.31,4.67
2025-05-04,regular,St. Truiden,Beerschot VA,2,1,1.39,5.24,7.11
2025-05-04,regular,St. Liege,Charleroi,0,1,4.17,3.47,1.93
2025-05-03,regular,Royale Union SG,Genk,1,0,1.77,3.68,4.71
2025-05-03,regular,Leuven,KV Mechelen,1,2,2.69,3.55,2.56
2025-05-03,regular,Sporting Lokeren,Patro Eisden,1,2,2.58,3.20,2.69
2025-05-03,regular,Cercle Brugge KSV,Kortrijk,0,2,1.83,3.57,4.50
2025-05-02,regular,Westerlo,Dender,4,2,1.72,4.20,4.47
2025-05-01,regular,Club Brugge KV,Gent,4,1,1.22,7.15,11.22
2025-05-01,regular,Antwerp,Anderlecht,1,3,2.17,3.57,3.31
2025-04-27,regular,Beveren,Patro Eisden,1,2,2.07,3.40,3.39
2025-04-27,regular,RWDM Brussels,Sporting Lokeren,3,2,1.58,4.05,5.23
2025-04-27,regular,Royale Union SG,Club Brugge KV,0,0,2.68,3.06,2.88
2025-04-27,regular,Genk,Antwerp,0,1,1.52,4.70,5.77
2025-04-27,regular,Gent,Anderlecht,0,1,3.28,3.33,2.28
2025-04-26,regular,Cercle Brugge KSV,St. Truiden,3,1,2.34,3.32,3.12
2025-04-26,regular,Charleroi,Dender,4,1,1.58,4.21,5.69
2025-04-26,regular,Westerlo,KV Mechelen,2,2,2.45,3.67,2.74
2025-04-26,regular,Leuven,St. Liege,1,1,2.20,3.33,3.46
2025-04-25,regular,Beerschot VA,Kortrijk,2,0,3.92,3.62,1.88
2025-04-24,regular,Patro Eisden,Beveren,3,2,2.26,3.26,3.09
2025-04-24,regular,Sporting Lokeren,RWDM Brussels,2,0,3.20,3.28,2.24
2025-04-24,regular,Club Brugge KV,Royale Union SG,0,1,1.96,3.46,4.08
2025-04-23,regular,Anderlecht,Gent,5,0,1.89,3.54,4.25
2025-04-23,regular,Antwerp,Genk,1,1,3.13,3.65,2.22
2025-04-22,regular,KV Mechelen,Westerlo,2,3,1.84,4.11,3.91
2025-04-22,regular,St. Liege,Leuven,0,1,2.33,3.20,3.31
