date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-01,regular,Vizela,AFS,2,2,1.80,3.73,4.38
2025-06-01,regular,Pacos Ferreira,Os Belenenses,2,0,1.88,3.41,4.09
2025-05-24,regular,AFS,Vizela,3,0,2.64,3.19,2.76
2025-05-24,regular,Os Belenenses,Pacos Ferreira,2,1,2.88,2.95,2.60
2025-05-17,regular,Academico Viseu,Pacos Ferreira,0,1,3.06,3.38,2.21
2025-05-17,regular,Felgueiras,Oliveirense,2,1,1.88,3.80,3.56
2025-05-17,regular,FC Porto B,Benfica B,1,4,2.70,3.43,2.44
2025-05-16,regular,Alverca,Portimonense,2,1,1.22,6.14,10.43
2025-05-16,regular,Leiria,Tondela,0,2,4.52,3.74,1.70
2025-05-16,regular,Maritimo,Vizela,1,2,4.26,3.81,1.73
2025-05-15,regular,Mafra,Torreense,2,0,5.28,4.23,1.53
2025-05-15,regular,Penafiel,Chaves,0,0,3.11,3.44,2.16
2025-05-14,regular,Leixoes,Feirense,2,0,2.20,3.25,3.23
2025-05-11,regular,Benfica B,Penafiel,1,1,1.50,4.19,5.97
2025-05-11,regular,Portimonense,FC Porto B,0,3,3.32,3.14,2.21
2025-05-11,regular,Vizela,Academico Viseu,1,1,1.38,4.89,7.30
2025-05-11,regular,Tondela,Alverca,1,2,2.20,3.33,3.23
2025-05-11,regular,Torreense,Leixoes,3,2,1.63,3.78,5.22
2025-05-10,regular,Chaves,Leiria,0,2,2.25,3.41,3.07
2025-05-10,regular,Oliveirense,Maritimo,1,1,2.28,3.39,3.04
2025-05-10,regular,Pacos Ferreira,Felgueiras,1,2,2.19,3.40,3.23
2025-05-09,regular,Feirense,Mafra,2,1,1.58,3.81,5.86
2025-05-05,regular,Penafiel,Torreense,0,1,3.72,3.46,1.99
2025-05-04,regular,Tondela,Chaves,2,1,2.07,3.21,3.77
2025-05-04,regular,Maritimo,Feirense,1,1,2.19,3.21,3.39
