date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-01,regular,Vizela,AFS,2,2,1.80,3.73,4.38
2025-05-24,regular,AFS,Vizela,3,0,2.64,3.19,2.76
2025-05-17,regular,AFS,Moreirense,0,3,1.92,3.42,4.30
2025-05-17,regular,Arouca,Boavista,4,1,2.00,3.66,3.65
2025-05-17,regular,Braga,Benfica,1,1,5.55,4.54,1.54
2025-05-17,regular,Estoril,Estrela,4,0,2.64,3.34,2.71
2025-05-17,regular,FC Porto,Nacional,3,0,1.31,5.72,9.08
2025-05-17,regular,SC Farense,Santa Clara,1,2,2.73,3.17,2.75
2025-05-17,regular,Sporting CP,Vitoria Guimaraes,2,0,1.30,5.67,9.82
2025-05-16,regular,Famalicao,Casa Pia,2,1,1.88,3.58,4.21
2025-05-16,regular,Rio Ave,Gil Vicente,1,1,2.79,3.33,2.57
2025-05-11,regular,Boavista,FC Porto,1,2,8.08,4.56,1.42
2025-05-11,regular,Moreirense,Estoril,2,2,2.62,3.25,2.80
2025-05-11,regular,Vitoria Guimaraes,SC Farense,1,2,1.52,4.18,6.71
2025-05-11,regular,Estrela,AFS,0,1,2.32,3.17,3.34
2025-05-10,regular,Gil Vicente,Arouca,1,1,2.24,3.31,3.36
2025-05-10,regular,Casa Pia,Braga,2,1,6.61,4.27,1.51
2025-05-10,regular,Benfica,Sporting CP,1,1,2.20,3.44,3.37
2025-05-10,regular,Santa Clara,Famalicao,2,1,1.92,3.35,4.45
2025-05-10,regular,Nacional,Rio Ave,3,3,2.02,3.77,3.48
2025-05-05,regular,AFS,Boavista,1,2,2.41,3.23,3.12
2025-05-05,regular,Rio Ave,Estrela,2,0,2.43,3.28,3.05
2025-05-04,regular,Sporting CP,Gil Vicente,2,1,1.14,8.47,22.33
2025-05-04,regular,Arouca,Casa Pia,0,0,2.08,3.42,3.70
2025-05-03,regular,Estoril,Benfica,1,2,12.58,7.79,1.19
2025-05-03,regular,Braga,Santa Clara,1,1,1.78,3.55,4.90
2025-05-03,regular,SC Farense,Famalicao,2,1,2.88,3.21,2.58
2025-05-03,regular,Nacional,Vitoria Guimaraes,1,2,4.06,3.60,1.90
2025-05-02,regular,FC Porto,Moreirense,3,1,1.33,5.37,9.49
2025-04-29,regular,Casa Pia,Estoril,1,3,2.56,3.05,3.07
2025-04-27,regular,Boavista,Sporting CP,0,5,18.03,8.49,1.14
2025-04-27,regular,Benfica,AFS,6,0,1.08,12.51,25.77
2025-04-27,regular,Vitoria Guimaraes,Rio Ave,3,0,1.46,4.46,7.20
2025-04-27,regular,Moreirense,Nacional,1,1,2.69,3.10,2.86
2025-04-26,regular,Estrela,FC Porto,2,0,6.54,3.89,1.57
2025-04-26,regular,Gil Vicente,SC Farense,1,0,2.53,3.01,3.14
2025-04-26,regular,Santa Clara,Arouca,2,0,1.92,3.18,4.79
2025-04-25,regular,Famalicao,Braga,1,1,3.75,3.40,2.06
2025-04-19,regular,Vitoria Guimaraes,Benfica,0,3,6.00,4.37,1.53
2025-04-19,regular,Arouca,Estrela,1,0,2.03,3.25,4.08
2025-04-19,regular,Estoril,Braga,0,2,4.92,3.72,1.74
2025-04-19,regular,AFS,Casa Pia,1,1,2.99,3.21,2.51
2025-04-19,regular,Nacional,Gil Vicente,0,3,2.51,3.14,3.05
2025-04-18,regular,Sporting CP,Moreirense,3,1,1.15,7.57,21.23
2025-04-18,regular,FC Porto,Famalicao,2,1,1.53,4.34,6.09
2025-04-18,regular,SC Farense,Boavista,0,1,1.78,3.56,4.93
2025-04-18,regular,Rio Ave,Santa Clara,1,1,3.99,3.23,2.06
2025-04-13,regular,Moreirense,Rio Ave,0,2,2.23,3.19,3.52
2025-04-13,regular,Braga,AFS,4,1,1.44,4.36,7.91
2025-04-13,regular,Benfica,Arouca,2,2,1.11,9.67,22.21
2025-04-13,regular,Estrela,SC Farense,0,1,2.62,3.10,2.91
2025-04-12,regular,Casa Pia,FC Porto,0,1,5.85,3.80,1.63
2025-04-12,regular,Santa Clara,Sporting CP,0,1,7.04,3.82,1.55
2025-04-12,regular,Boavista,Nacional,0,1,3.14,3.20,2.41
2025-04-12,regular,Famalicao,Estoril,3,0,1.98,3.46,3.92
2025-04-11,regular,Gil Vicente,Vitoria Guimaraes,0,1,3.78,3.19,2.13
2025-04-07,regular,Sporting CP,Braga,1,1,1.41,4.71,7.88
2025-04-07,regular,Rio Ave,Boavista,0,2,2.00,3.42,3.95
2025-04-07,regular,SC Farense,Casa Pia,0,0,2.39,3.16,3.19
2025-04-06,regular,FC Porto,Benfica,1,4,3.43,3.37,2.19
2025-04-06,regular,Nacional,Estrela,0,1,2.09,3.30,3.79
2025-04-06,regular,Gil Vicente,Moreirense,0,1,2.45,2.98,3.30
2025-04-05,regular,Vitoria Guimaraes,Santa Clara,2,0,1.97,3.15,4.60
2025-04-05,regular,Arouca,Famalicao,1,2,2.80,3.14,2.70
2025-04-04,regular,AFS,Estoril,0,3,3.22,3.22,2.35
2025-04-02,regular,Benfica,SC Farense,3,2,1.15,8.43,17.01
2025-04-01,regular,Boavista,Gil Vicente,1,3,3.19,3.13,2.43
