date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-26,play_off,Toluca,Club America,2,0,2.95,3.09,2.53
2025-05-23,play_off,Club America,Toluca,0,0,1.81,3.68,4.40
2025-05-19,play_off,Club America,Cruz Azul,2,1,1.90,3.46,4.13
2025-05-18,play_off,Toluca,Tigres UANL,3,0,1.87,3.52,4.24
2025-05-16,play_off,Cruz Azul,Club America,1,0,2.56,3.02,3.01
2025-05-15,play_off,Tigres UANL,Toluca,1,1,1.98,3.25,4.18
2025-05-12,play_off,Tigres UANL,Necaxa,2,2,1.82,3.68,4.34
2025-05-12,play_off,Cruz Azul,Club Leon,2,1,1.77,3.75,4.55
2025-05-11,play_off,Club America,Pachuca,2,0,1.80,3.64,4.50
2025-05-11,play_off,Toluca,Monterrey,2,1,1.55,4.32,5.70
2025-05-09,play_off,Club Leon,Cruz Azul,2,3,3.56,3.24,2.17
2025-05-09,play_off,Necaxa,Tigres UANL,0,0,2.67,3.13,2.81
2025-05-08,play_off,Pachuca,Club America,0,0,3.09,3.23,2.39
2025-05-08,play_off,Monterrey,Toluca,3,2,2.19,3.33,3.41
2025-05-05,play_off,Monterrey,UNAM Pumas,2,0,1.79,3.52,4.84
2025-04-28,play_off,Monterrey,Pachuca,1,2,1.91,3.58,3.99
2025-04-28,play_off,Juarez,UNAM Pumas,1,2,2.84,3.02,2.70
2025-04-21,regular,Juarez,Queretaro,0,2,1.60,4.09,5.33
2025-04-21,regular,Club Leon,Monterrey,0,2,2.40,3.43,2.88
2025-04-21,regular,Atl. San Luis,Pachuca,2,1,3.93,4.28,1.76
2025-04-21,regular,Santos Laguna,Club Tijuana,0,4,2.59,3.67,2.51
2025-04-20,regular,Atlas,Guadalajara Chivas,1,1,3.94,3.37,1.98
2025-04-20,regular,Tigres UANL,UNAM Pumas,2,1,1.92,3.42,4.15
2025-04-20,regular,Toluca,Cruz Azul,2,2,1.99,3.59,3.68
2025-04-20,regular,Club America,Mazatlan FC,5,0,1.24,6.26,10.92
2025-04-19,regular,Puebla,Necaxa,0,1,4.14,3.56,1.89
2025-04-17,regular,UNAM Pumas,Santos Laguna,2,0,1.33,5.28,8.63
2025-04-17,regular,Mazatlan FC,Club Tijuana,0,2,2.01,3.68,3.50
2025-04-17,regular,Atl. San Luis,Toluca,0,1,4.86,4.11,1.65
2025-04-17,regular,Queretaro,Atlas,1,2,3.34,3.26,2.23
2025-04-17,regular,Monterrey,Club America,1,0,2.88,3.27,2.49
2025-04-16,regular,Cruz Azul,Club Leon,2,1,1.79,3.78,4.30
2025-04-16,regular,Juarez,Necaxa,2,2,2.39,3.49,2.87
2025-04-16,regular,Guadalajara Chivas,Puebla,1,0,1.49,4.24,6.81
2025-04-16,regular,Pachuca,Tigres UANL,0,0,2.06,3.31,3.74
2025-04-14,regular,Santos Laguna,Queretaro,1,2,2.05,3.55,3.44
2025-04-13,regular,Club America,Cruz Azul,0,0,2.41,3.34,2.91
2025-04-13,regular,Atlas,Toluca,2,3,3.44,3.75,1.99
2025-04-13,regular,Tigres UANL,Monterrey,2,1,2.43,3.35,2.86
2025-04-13,regular,Club Leon,Puebla,1,0,1.54,4.15,5.79
2025-04-13,regular,UNAM Pumas,Juarez,0,0,1.84,3.59,4.14
2025-04-12,regular,Mazatlan FC,Guadalajara Chivas,1,1,3.17,3.15,2.35
2025-04-12,regular,Necaxa,Pachuca,3,5,2.54,3.52,2.63
2025-04-11,regular,Club Tijuana,Atl. San Luis,2,1,1.83,4.42,3.51
2025-04-07,regular,Toluca,Santos Laguna,2,1,1.16,8.28,14.69
2025-04-06,regular,Cruz Azul,UNAM Pumas,3,2,1.78,3.53,4.72
2025-04-06,regular,Monterrey,Guadalajara Chivas,3,1,1.95,3.47,3.94
2025-04-06,regular,Atl. San Luis,Mazatlan FC,2,1,2.09,3.50,3.43
2025-04-06,regular,Atlas,Juarez,1,1,2.21,3.37,3.23
2025-04-06,regular,Pachuca,Club America,1,0,2.62,3.44,2.60
2025-04-05,regular,Puebla,Tigres UANL,0,0,3.20,3.18,2.33
2025-04-05,regular,Club Tijuana,Necaxa,1,2,2.31,3.99,2.69
2025-04-05,regular,Queretaro,Club Leon,1,1,3.89,3.55,1.93
2025-03-31,regular,Club Leon,UNAM Pumas,1,2,2.13,3.42,3.31
2025-03-31,regular,Santos Laguna,Atl. San Luis,2,3,2.43,3.64,2.72
2025-03-30,regular,Monterrey,Club Tijuana,1,2,1.36,5.50,6.98
2025-03-30,regular,Guadalajara Chivas,Cruz Azul,0,1,3.03,3.22,2.37
2025-03-30,regular,Club America,Tigres UANL,3,0,1.73,3.57,4.90
