date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-31,regular,Hassania Agadir,Raja Beni Mellal,1,0,1.62,3.22,6.28
2025-05-30,regular,Jeunesse Sportive Soualem,Dcheira,0,3,1.97,3.22,3.71
2025-05-25,regular,Raja Beni Mellal,Hassania Agadir,0,0,3.52,3.04,2.15
2025-05-24,regular,Dcheira,Jeunesse Sportive Soualem,1,2,2.25,3.12,3.05
2025-05-12,regular,Chabab Mohammedia,Raja Casablanca,0,6,13.14,6.76,1.16
2025-05-11,regular,Maghreb Fez,Berkane,1,3,3.84,2.85,2.12
2025-05-11,regular,COD Meknes,FUS Rabat,0,3,8.52,4.11,1.38
2025-05-11,regular,Difaa El Jadidi,IR Tanger,2,1,2.26,3.19,3.06
2025-05-11,regular,Hassania Agadir,FAR Rabat,0,3,10.46,4.61,1.30
2025-05-11,regular,Moghreb Tetouan,Jeunesse Sportive Soualem,0,3,1.61,3.50,5.68
2025-05-11,regular,Union Touarga,Olympique de Safi,0,2,3.30,3.06,2.20
2025-05-11,regular,Wydad AC,Renaissance Zemamra,2,0,1.31,4.57,9.91
2025-05-08,regular,IR Tanger,COD Meknes,2,0,1.72,3.28,5.11
2025-05-08,regular,Raja Casablanca,Difaa El Jadidi,3,2,1.60,3.82,5.20
2025-05-08,regular,FAR Rabat,Moghreb Tetouan,2,1,1.33,4.67,8.77
2025-05-08,regular,FUS Rabat,Hassania Agadir,2,1,1.30,4.94,9.80
2025-05-08,regular,Jeunesse Sportive Soualem,Wydad AC,0,2,6.95,4.07,1.45
2025-05-08,regular,Olympique de Safi,Maghreb Fez,2,2,2.31,2.85,3.33
2025-05-08,regular,Renaissance Zemamra,Union Touarga,3,0,2.43,2.86,3.16
2025-05-07,regular,Berkane,Chabab Mohammedia,1,0,1.07,9.57,22.22
2025-05-04,regular,COD Meknes,Berkane,0,4,2.96,2.91,2.49
2025-05-04,regular,Chabab Mohammedia,IR Tanger,1,2,30.39,10.08,1.06
2025-05-04,regular,Difaa El Jadidi,FUS Rabat,0,5,2.81,2.91,2.61
2025-05-04,regular,Hassania Agadir,Olympique de Safi,2,3,2.02,3.04,3.88
2025-05-04,regular,Maghreb Fez,Jeunesse Sportive Soualem,2,0,1.85,3.18,4.40
2025-05-04,regular,Moghreb Tetouan,Renaissance Zemamra,3,0,2.05,3.22,3.52
2025-05-04,regular,Union Touarga,Raja Casablanca,0,0,2.87,3.00,2.50
2025-05-03,regular,Wydad AC,FAR Rabat,2,1,2.13,2.79,3.96
2025-05-01,regular,Berkane,Difaa El Jadidi,1,1,1.82,3.27,4.52
2025-04-23,regular,Chabab Mohammedia,COD Meknes,1,2,8.69,4.82,1.31
2025-04-23,regular,FAR Rabat,Jeunesse Sportive Soualem,2,0,1.31,4.72,9.52
2025-04-23,regular,FUS Rabat,Moghreb Tetouan,2,2,1.46,3.80,7.71
2025-04-23,regular,Raja Casablanca,Hassania Agadir,1,0,1.69,3.50,4.86
2025-04-23,regular,IR Tanger,Union Touarga,0,1,2.49,3.03,2.84
2025-04-23,regular,Renaissance Zemamra,Maghreb Fez,1,1,2.15,2.95,3.64
2025-04-23,regular,Olympique de Safi,Wydad AC,1,1,4.23,3.10,1.92
2025-04-14,regular,Moghreb Tetouan,IR Tanger,2,1,3.21,3.00,2.28
2025-04-13,regular,Union Touarga,FAR Rabat,0,1,4.39,3.12,1.87
2025-04-13,regular,Hassania Agadir,Berkane,2,0,2.79,2.80,2.78
2025-04-12,regular,Wydad AC,Raja Casablanca,1,1,1.78,3.20,4.83
2025-04-12,regular,Maghreb Fez,FUS Rabat,1,0,3.51,2.95,2.18
2025-04-11,regular,Jeunesse Sportive Soualem,Renaissance Zemamra,0,1,3.62,3.09,2.10
2025-04-11,regular,COD Meknes,Olympique de Safi,1,0,2.65,2.87,2.78
2025-03-17,regular,Chabab Mohammedia,Hassania Agadir,0,4,14.98,5.71,1.19
2025-03-17,regular,Difaa El Jadidi,COD Meknes,2,1,1.88,3.12,4.25
2025-03-17,regular,Raja Casablanca,Moghreb Tetouan,1,1,1.39,3.94,8.67
2025-03-16,regular,Berkane,Union Touarga,1,1,1.39,3.81,10.50
2025-03-16,regular,FUS Rabat,Jeunesse Sportive Soualem,4,2,1.26,4.87,11.35
2025-03-16,regular,IR Tanger,Wydad AC,1,1,4.66,3.09,1.85
2025-03-15,regular,Olympique de Safi,Renaissance Zemamra,2,0,2.39,2.82,3.20
2025-03-15,regular,FAR Rabat,Maghreb Fez,3,1,1.59,3.46,5.97
2025-03-11,regular,COD Meknes,Raja Casablanca,1,2,3.37,2.91,2.26
2025-03-11,regular,Hassania Agadir,Difaa El Jadidi,1,1,2.85,2.82,2.65
2025-03-10,regular,Moghreb Tetouan,Berkane,0,2,9.93,3.40,1.46
2025-03-10,regular,Wydad AC,FUS Rabat,2,2,2.08,2.73,4.29
2025-03-09,regular,Renaissance Zemamra,FAR Rabat,1,2,3.02,2.87,2.47
2025-03-09,regular,Maghreb Fez,IR Tanger,1,1,2.19,2.79,3.70
2025-03-08,regular,Union Touarga,Chabab Mohammedia,2,1,1.25,5.22,11.11
2025-03-08,regular,Jeunesse Sportive Soualem,Olympique de Safi,0,1,3.36,2.75,2.38
2025-03-01,regular,Berkane,Wydad AC,0,0,2.24,2.81,3.55
2025-02-28,regular,Olympique de Safi,FAR Rabat,1,1,3.18,2.65,2.57
2025-02-28,regular,FUS Rabat,Renaissance Zemamra,3,0,1.97,3.04,4.02
2025-02-28,regular,Raja Casablanca,Maghreb Fez,0,0,1.87,3.18,4.25
2025-02-28,regular,Difaa El Jadidi,Union Touarga,1,0,2.17,2.91,3.54
2025-02-27,regular,COD Meknes,Hassania Agadir,1,0,2.14,3.07,3.38
2025-02-27,regular,Chabab Mohammedia,Moghreb Tetouan,0,2,4.52,3.19,1.81
2025-02-27,regular,IR Tanger,Jeunesse Sportive Soualem,1,0,1.67,3.52,4.87
2025-02-23,regular,Union Touarga,Hassania Agadir,2,1,2.01,2.98,3.93
2025-02-23,regular,FAR Rabat,Raja Casablanca,0,0,1.85,3.16,4.39
2025-02-23,regular,Renaissance Zemamra,IR Tanger,2,0,1.87,3.11,4.32
2025-02-22,regular,Olympique de Safi,FUS Rabat,0,0,4.29,3.00,1.93
2025-02-22,regular,Moghreb Tetouan,Difaa El Jadidi,1,3,3.02,2.86,2.45
2025-02-22,regular,Wydad AC,COD Meknes,0,0,1.27,4.93,10.33
2025-02-21,regular,Maghreb Fez,Chabab Mohammedia,1,0,1.25,5.15,11.03
2025-02-21,regular,Jeunesse Sportive Soualem,Berkane,0,4,6.29,3.55,1.55
2025-02-16,regular,Berkane,Renaissance Zemamra,1,0,1.64,3.34,5.68
2025-02-16,regular,Chabab Mohammedia,Wydad AC,1,5,17.23,6.96,1.14
2025-02-16,regular,Difaa El Jadidi,Maghreb Fez,1,1,2.40,2.86,3.14
2025-02-15,regular,Raja Casablanca,Jeunesse Sportive Soualem,2,0,1.46,4.01,6.54
2025-02-15,regular,FUS Rabat,FAR Rabat,2,1,2.49,2.80,3.06
2025-02-15,regular,IR Tanger,Olympique de Safi,4,2,2.05,2.96,3.81
2025-02-14,regular,COD Meknes,Union Touarga,0,0,2.41,2.93,3.01
2025-02-14,regular,Hassania Agadir,Moghreb Tetouan,1,1,1.73,3.18,5.14
2025-02-09,regular,Wydad AC,Hassania Agadir,2,0,1.36,4.34,8.10
2025-02-09,regular,FUS Rabat,Berkane,0,1,3.03,2.75,2.56
2025-02-09,regular,Renaissance Zemamra,Raja Casablanca,1,2,2.63,2.96,2.69
2025-02-08,regular,Olympique de Safi,Difaa El Jadidi,0,0,2.10,2.96,3.73
2025-02-08,regular,FAR Rabat,IR Tanger,3,2,1.49,3.93,6.33
2025-02-08,regular,Maghreb Fez,COD Meknes,1,3,1.91,3.05,4.21
2025-02-07,regular,Jeunesse Sportive Soualem,Chabab Mohammedia,1,1,1.39,4.26,7.36
2025-02-07,regular,Moghreb Tetouan,Union Touarga,1,1,3.03,2.91,2.42
2025-01-30,regular,Berkane,FAR Rabat,2,0,2.25,2.89,3.33
2025-01-30,regular,Raja Casablanca,Olympique de Safi,1,1,1.85,3.24,4.28
2025-01-26,regular,FUS Rabat,Raja Casablanca,2,1,2.14,2.81,3.88
2025-01-26,regular,FAR Rabat,Difaa El Jadidi,1,0,1.51,3.84,6.06
2025-01-26,regular,IR Tanger,Berkane,1,3,4.69,2.86,1.91
2025-01-23,regular,Berkane,Olympique de Safi,2,2,1.50,3.62,6.65
2025-01-23,regular,Raja Casablanca,IR Tanger,1,1,1.71,3.42,4.66
2025-01-23,regular,COD Meknes,FAR Rabat,2,2,4.69,3.66,1.64
2025-01-19,regular,Difaa El Jadidi,Wydad AC,0,2,3.97,2.91,1.98
2025-01-19,regular,Hassania Agadir,Maghreb Fez,2,2,2.75,2.81,2.60
2025-01-18,regular,Union Touarga,Jeunesse Sportive Soualem,3,1,1.82,3.16,4.30
2025-01-18,regular,Chabab Mohammedia,Renaissance Zemamra,0,1,7.08,4.06,1.39
2025-01-18,regular,IR Tanger,FUS Rabat,1,0,3.44,2.99,2.10
2025-01-17,regular,COD Meknes,Moghreb Tetouan,1,0,1.95,2.95,3.98
2025-01-12,regular,Wydad AC,Union Touarga,2,1,1.54,3.49,5.92
2025-01-12,regular,Maghreb Fez,Moghreb Tetouan,2,1,1.72,3.22,4.82
2025-01-12,regular,Renaissance Zemamra,Hassania Agadir,2,0,1.86,2.94,4.44
2025-01-11,regular,Olympique de Safi,Chabab Mohammedia,2,1,1.21,5.46,12.52
2025-01-11,regular,Jeunesse Sportive Soualem,COD Meknes,1,1,2.06,2.94,3.69
2025-01-05,regular,Difaa El Jadidi,Renaissance Zemamra,0,3,2.23,2.65,3.77
2025-01-05,regular,Union Touarga,Maghreb Fez,0,3,2.38,2.77,3.24
2025-01-04,regular,Moghreb Tetouan,Wydad AC,1,2,5.70,3.62,1.57
2025-01-04,regular,Hassania Agadir,Jeunesse Sportive Soualem,3,1,2.19,3.07,3.26
2025-01-03,regular,Chabab Mohammedia,FUS Rabat,0,2,11.40,4.88,1.26
2024-12-29,regular,Berkane,Raja Casablanca,2,0,1.81,2.99,4.94
2024-12-29,regular,FAR Rabat,Chabab Mohammedia,2,0,1.07,8.98,23.83
2024-12-29,regular,Jeunesse Sportive Soualem,Difaa El Jadidi,2,0,3.23,2.99,2.24
2024-12-29,regular,Olympique de Safi,Moghreb Tetouan,1,0,1.60,3.31,6.25
2024-12-28,regular,Wydad AC,Maghreb Fez,1,4,1.54,3.44,6.84
2024-12-28,regular,FUS Rabat,Union Touarga,2,0,1.83,3.06,4.68
2024-12-28,regular,Renaissance Zemamra,COD Meknes,3,2,1.86,3.36,3.95
2024-12-28,regular,IR Tanger,Hassania Agadir,1,0,2.29,2.94,3.23
2024-12-25,regular,Difaa El Jadidi,Raja Casablanca,2,0,3.46,3.00,2.20
2024-12-25,regular,Moghreb Tetouan,FAR Rabat,1,2,5.46,3.65,1.61
2024-12-25,regular,Chabab Mohammedia,Berkane,0,2,13.51,5.81,1.20
2024-12-23,regular,FUS Rabat,COD Meknes,5,1,1.58,3.39,6.51
2024-12-23,regular,Renaissance Zemamra,Wydad AC,0,0,4.32,2.93,1.95
2024-12-22,regular,FAR Rabat,Hassania Agadir,2,1,1.35,4.28,9.09
2024-12-22,regular,Berkane,Maghreb Fez,2,0,1.49,3.71,7.03
2024-12-22,regular,Raja Casablanca,Chabab Mohammedia,3,0,1.16,7.04,14.63
2024-12-22,regular,Olympique de Safi,Union Touarga,2,1,2.39,2.68,3.47
2024-12-21,regular,IR Tanger,Difaa El Jadidi,1,1,2.57,3.02,2.70
2024-12-21,regular,Jeunesse Sportive Soualem,Moghreb Tetouan,2,0,1.94,3.20,3.90
2024-12-19,regular,Raja Casablanca,Union Touarga,2,1,1.76,3.20,4.90
2024-12-19,regular,FAR Rabat,Wydad AC,2,2,2.27,2.95,3.28
2024-12-19,regular,Berkane,COD Meknes,3,0,1.33,4.27,10.18
2024-12-15,regular,Maghreb Fez,Olympique de Safi,0,1,2.49,2.63,3.32
