date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-01,play_off,Willem II,Telstar,1,3,2.23,3.25,3.36
2025-05-29,play_off,Telstar,Willem II,2,2,2.44,3.23,2.99
2025-05-24,play_off,Willem II,Dordrecht,4,2,1.95,3.68,3.72
2025-05-23,play_off,Telstar,Den Bosch,2,1,1.68,3.93,4.88
2025-05-21,play_off,Dordrecht,Willem II,2,1,2.14,3.34,3.39
2025-05-20,play_off,Den Bosch,Telstar,0,0,3.18,3.33,2.28
2025-05-17,play_off,Dordrecht,De Graafschap,2,0,2.24,3.64,2.93
2025-05-17,play_off,Den Haag,Telstar,0,1,1.62,4.18,4.83
2025-05-16,play_off,Cambuur,Den Bosch,1,1,1.48,4.68,5.76
2025-05-13,play_off,De Graafschap,Dordrecht,0,0,1.80,4.01,3.86
2025-05-13,play_off,Telstar,Den Haag,2,0,2.70,3.42,2.47
2025-05-12,play_off,Den Bosch,Cambuur,1,0,3.11,3.50,2.21
2025-05-09,regular,Cambuur,Maastricht,1,0,1.26,5.89,9.57
2025-05-09,regular,Helmond,De Graafschap,1,4,2.91,4.00,2.12
2025-05-09,regular,Vitesse,Den Bosch,3,1,1.60,4.59,4.49
2025-05-09,regular,Venlo,Den Haag,2,7,2.95,3.85,2.14
2025-05-09,regular,Dordrecht,FC Volendam,4,1,2.01,4.01,3.12
2025-05-09,regular,Roda,Eindhoven FC,0,1,1.76,4.03,3.99
2025-05-09,regular,Jong AZ,Excelsior,2,1,3.89,4.32,1.74
2025-05-09,regular,Telstar,FC Emmen,3,0,1.71,4.15,4.15
2025-05-09,regular,Jong Ajax,Oss,0,0,1.75,4.13,3.92
2025-05-09,regular,Jong PSV,Jong Utrecht,3,1,1.66,4.62,4.10
2025-05-02,regular,Den Haag,Cambuur,3,4,2.03,3.64,3.36
2025-05-02,regular,De Graafschap,Telstar,2,1,2.35,3.68,2.72
2025-05-02,regular,Den Bosch,Helmond,1,0,1.95,3.64,3.58
