date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-11-03,regular,Alianza Lima,Cusco,1,2,1.13,8.78,16.33
2024-11-03,regular,FBC Melgar,Deportivo Garcilaso,1,1,1.19,6.28,14.42
2024-11-03,regular,Los Chankas,U. de Deportes,0,0,6.90,4.26,1.47
2024-11-03,regular,Sporting Cristal,Comerciantes Unidos,3,0,1.07,10.65,27.26
2024-11-02,regular,Carlos Mannucci,Alianza Atl.,2,2,1.47,4.46,6.19
2024-11-02,regular,Grau,Cesar Vallejo,3,1,2.25,3.64,2.79
2024-11-02,regular,Cajamarca,Sport Huancayo,1,1,1.50,4.23,6.07
2024-11-01,regular,AD Tarma,Sport Boys,1,0,1.29,5.23,9.54
2024-11-01,regular,Cienciano,Union Comercio,7,0,1.01,25.25,49.25
2024-10-29,regular,Cusco,Grau,0,1,2.07,3.07,3.96
2024-10-28,regular,Comerciantes Unidos,AD Tarma,0,0,3.15,3.48,2.19
2024-10-28,regular,Alianza Atl.,Los Chankas,1,0,1.52,4.02,6.43
2024-10-28,regular,U. de Deportes,Cienciano,3,1,1.18,6.70,13.82
2024-10-27,regular,Sport Huancayo,FBC Melgar,2,4,4.58,4.05,1.67
2024-10-27,regular,Sport Boys,Cajamarca,1,1,2.55,3.14,2.87
2024-10-27,regular,Union Comercio,Sporting Cristal,0,12,18.47,8.94,1.10
2024-10-27,regular,Cesar Vallejo,Carlos Mannucci,0,2,2.23,3.22,3.25
2024-10-27,regular,Deportivo Garcilaso,Alianza Lima,1,2,4.25,3.27,1.91
2024-10-24,regular,Comerciantes Unidos,Sport Boys,0,0,2.51,2.59,3.54
2024-10-24,regular,Sporting Cristal,U. de Deportes,2,1,3.14,2.91,2.49
2024-10-24,regular,Carlos Mannucci,Cusco,4,1,2.36,3.73,2.65
2024-10-24,regular,Cienciano,Alianza Atl.,3,0,1.60,3.44,6.64
2024-10-23,regular,AD Tarma,Union Comercio,2,0,1.08,10.70,22.47
2024-10-23,regular,Alianza Lima,Sport Huancayo,2,1,1.15,6.89,19.30
2024-10-23,regular,FBC Melgar,Cajamarca,1,0,1.16,7.23,16.13
2024-10-22,regular,Los Chankas,Cesar Vallejo,2,1,1.66,3.70,5.33
2024-10-22,regular,Grau,Deportivo Garcilaso,2,2,1.55,3.81,6.32
2024-10-20,regular,U. de Deportes,AD Tarma,2,1,1.24,5.18,13.70
2024-10-19,regular,Alianza Atl.,Sporting Cristal,1,0,3.92,3.41,1.96
2024-10-19,regular,Deportivo Garcilaso,Carlos Mannucci,1,0,1.39,4.70,7.59
2024-10-19,regular,Cesar Vallejo,Cienciano,2,2,1.70,3.42,5.51
2024-10-18,regular,Cajamarca,Alianza Lima,0,1,5.85,3.23,1.72
2024-10-18,regular,Sport Boys,FBC Melgar,0,2,4.12,3.12,1.98
2024-10-18,regular,Sport Huancayo,Grau,1,3,2.25,2.91,3.60
2024-10-17,regular,Cusco,Los Chankas,2,1,1.45,4.59,6.33
2024-10-17,regular,Union Comercio,Comerciantes Unidos,3,2,2.35,3.15,3.11
2024-09-30,regular,Grau,Cajamarca,4,0,1.40,4.21,8.25
2024-09-29,regular,Comerciantes Unidos,U. de Deportes,0,2,6.12,4.09,1.51
2024-09-29,regular,Carlos Mannucci,Sport Huancayo,1,2,1.79,3.47,4.47
2024-09-29,regular,Los Chankas,Deportivo Garcilaso,1,0,2.15,3.20,3.41
2024-09-29,regular,Sporting Cristal,Cesar Vallejo,4,1,1.36,4.65,8.39
2024-09-29,regular,Alianza Lima,FBC Melgar,1,1,1.64,3.31,6.57
2024-09-29,regular,Cienciano,Cusco,1,2,2.97,3.13,2.41
2024-09-28,regular,AD Tarma,Alianza Atl.,0,1,1.52,3.91,6.30
2024-09-27,regular,Union Comercio,Sport Boys,0,2,2.94,3.03,2.49
2024-09-24,regular,Cajamarca,Carlos Mannucci,2,0,1.80,3.47,4.42
2024-09-24,regular,FBC Melgar,Grau,0,0,1.33,4.64,9.67
2024-09-24,regular,Sport Huancayo,Los Chankas,3,1,1.85,3.48,4.08
2024-09-23,regular,Alianza Atl.,Comerciantes Unidos,1,0,1.37,4.52,8.12
2024-09-23,regular,Cesar Vallejo,AD Tarma,0,0,1.99,3.27,3.86
2024-09-23,regular,U. de Deportes,Union Comercio,1,0,1.11,8.10,20.00
2024-09-22,regular,Cusco,Sporting Cristal,1,1,2.10,3.36,3.35
2024-09-22,regular,Sport Boys,Alianza Lima,0,3,7.89,4.03,1.43
2024-09-22,regular,Deportivo Garcilaso,Cienciano,1,0,2.41,3.17,2.92
2024-09-20,regular,Carlos Mannucci,FBC Melgar,1,1,5.37,3.81,1.60
2024-09-19,regular,Los Chankas,Cajamarca,1,1,1.66,3.68,5.11
2024-09-19,regular,Union Comercio,Alianza Atl.,1,2,2.89,3.06,2.50
2024-09-19,regular,U. de Deportes,Sport Boys,3,0,1.28,5.19,11.02
2024-09-19,regular,Cienciano,Sport Huancayo,3,1,1.66,3.61,5.17
2024-09-18,regular,Comerciantes Unidos,Cesar Vallejo,2,0,2.84,3.03,2.59
2024-09-18,regular,Grau,Alianza Lima,1,0,3.34,2.85,2.35
2024-09-17,regular,AD Tarma,Cusco,1,2,2.02,3.43,3.53
2024-09-17,regular,Sporting Cristal,Deportivo Garcilaso,1,0,1.31,5.45,8.35
2024-09-15,regular,FBC Melgar,Los Chankas,2,0,1.24,5.80,10.97
2024-09-15,regular,Alianza Atl.,U. de Deportes,0,3,4.33,2.98,1.98
2024-09-15,regular,Alianza Lima,Carlos Mannucci,1,0,1.14,7.52,15.73
2024-09-14,regular,Sport Huancayo,Sporting Cristal,1,2,2.68,3.32,2.52
2024-09-14,regular,Sport Boys,Grau,0,0,2.58,3.03,2.82
2024-09-14,regular,Cusco,Comerciantes Unidos,2,1,1.23,5.92,12.07
2024-09-14,regular,Cesar Vallejo,Union Comercio,1,0,1.35,4.60,8.90
2024-09-13,regular,Deportivo Garcilaso,AD Tarma,1,0,1.86,3.48,4.04
2024-09-13,regular,Cajamarca,Cienciano,1,2,2.08,3.13,3.66
2024-09-07,regular,FBC Melgar,Comerciantes Unidos,3,0,1.11,8.06,22.08
2024-09-01,regular,Union Comercio,Grau,1,2,3.11,3.18,2.26
2024-08-27,regular,Carlos Mannucci,Grau,1,1,3.02,3.06,2.40
2024-08-26,regular,Union Comercio,Cusco,3,3,2.68,3.17,2.60
2024-08-26,regular,Cienciano,FBC Melgar,3,1,3.76,3.22,2.02
2024-08-25,regular,Comerciantes Unidos,Deportivo Garcilaso,2,1,3.11,3.28,2.24
2024-08-25,regular,AD Tarma,Sport Huancayo,2,1,1.66,3.77,4.93
2024-08-25,regular,Sporting Cristal,Cajamarca,4,0,1.32,5.02,8.81
2024-08-25,regular,U. de Deportes,Cesar Vallejo,1,0,1.30,4.87,10.37
2024-08-24,regular,Los Chankas,Alianza Lima,0,1,2.88,3.32,2.34
2024-08-24,regular,Alianza Atl.,Sport Boys,2,0,1.70,3.41,5.26
2024-08-22,regular,FBC Melgar,Sporting Cristal,2,0,1.65,3.92,4.75
2024-08-21,regular,Deportivo Garcilaso,Union Comercio,3,1,1.31,5.15,9.32
2024-08-21,regular,Grau,Los Chankas,1,1,1.55,3.91,5.74
2024-08-21,regular,Sport Boys,Carlos Mannucci,2,6,1.69,3.76,4.59
2024-08-21,regular,Alianza Lima,Cienciano,3,0,1.25,5.19,12.14
2024-08-21,regular,Cusco,U. de Deportes,1,1,2.45,3.12,2.88
2024-08-20,regular,Sport Huancayo,Comerciantes Unidos,2,2,1.43,4.47,6.68
2024-08-20,regular,Cajamarca,AD Tarma,1,1,2.35,3.19,3.02
2024-08-19,regular,Cesar Vallejo,Alianza Atl.,0,0,1.98,3.37,3.78
2024-08-18,regular,Los Chankas,Carlos Mannucci,1,1,1.42,4.38,6.93
2024-08-18,regular,Sporting Cristal,Alianza Lima,0,0,2.40,3.27,2.86
2024-08-17,regular,Cienciano,Grau,1,0,1.97,3.29,3.86
2024-08-17,regular,Union Comercio,Sport Huancayo,0,1,1.96,3.39,3.82
2024-08-17,regular,U. de Deportes,Deportivo Garcilaso,3,1,1.25,5.61,10.78
2024-08-16,regular,Cesar Vallejo,Sport Boys,2,2,1.98,3.24,3.94
2024-08-16,regular,AD Tarma,FBC Melgar,1,1,2.61,3.19,2.69
2024-08-15,regular,Comerciantes Unidos,Cajamarca,1,1,3.33,3.10,2.23
2024-08-15,regular,Alianza Atl.,Cusco,1,1,1.88,3.11,4.56
2024-08-12,regular,Cusco,Cesar Vallejo,2,1,1.55,3.84,5.71
2024-08-11,regular,Sport Huancayo,U. de Deportes,1,1,3.25,3.23,2.18
2024-08-11,regular,Carlos Mannucci,Cienciano,1,2,2.08,3.16,3.61
2024-08-11,regular,Grau,Sporting Cristal,1,1,2.38,3.39,2.77
2024-08-11,regular,Alianza Lima,AD Tarma,0,0,1.37,4.53,7.95
2024-08-10,regular,Deportivo Garcilaso,Alianza Atl.,0,1,1.58,3.88,5.36
2024-08-10,regular,Sport Boys,Los Chankas,2,1,1.75,3.56,4.50
2024-08-09,regular,Cajamarca,Union Comercio,3,1,1.64,3.70,5.07
2024-08-06,regular,Cusco,Sport Boys,3,1,1.50,3.92,6.78
2024-08-05,regular,Alianza Atl.,Sport Huancayo,1,1,1.49,4.17,6.20
2024-08-05,regular,U. de Deportes,Cajamarca,1,0,1.08,10.00,24.17
2024-08-04,regular,AD Tarma,Grau,1,2,1.49,4.11,6.76
2024-08-04,regular,Union Comercio,FBC Melgar,2,1,4.50,3.63,1.76
2024-08-04,regular,Sporting Cristal,Carlos Mannucci,4,0,1.21,6.42,11.22
2024-08-04,regular,Cesar Vallejo,Deportivo Garcilaso,0,2,1.65,3.72,5.18
2024-08-04,regular,Cienciano,Los Chankas,0,0,2.06,3.33,3.51
2024-08-03,regular,Comerciantes Unidos,Alianza Lima,1,3,6.03,3.77,1.56
2024-08-01,regular,Cajamarca,Alianza Atl.,1,1,2.02,3.20,3.88
2024-08-01,regular,FBC Melgar,U. de Deportes,1,0,1.95,3.12,4.25
2024-08-01,regular,Carlos Mannucci,AD Tarma,3,2,3.32,3.02,2.29
2024-07-31,regular,Los Chankas,Sporting Cristal,3,3,2.44,3.54,2.67
2024-07-31,regular,Grau,Comerciantes Unidos,3,0,1.31,4.90,9.65
2024-07-31,regular,Alianza Lima,Union Comercio,1,0,1.14,6.96,19.30
2024-07-30,regular,Sport Huancayo,Cesar Vallejo,1,0,1.88,3.41,4.08
2024-07-30,regular,Sport Boys,Cienciano,2,0,1.75,3.43,4.83
2024-07-29,regular,Deportivo Garcilaso,Cusco,0,2,2.50,3.27,2.78
2024-07-27,regular,AD Tarma,Los Chankas,2,1,1.51,4.20,5.68
2024-07-27,regular,Sporting Cristal,Cienciano,5,1,1.35,5.05,7.68
2024-07-27,regular,U. de Deportes,Alianza Lima,2,1,2.07,2.90,4.13
2024-07-27,regular,Deportivo Garcilaso,Sport Boys,2,0,1.50,4.22,5.87
2024-07-26,regular,Comerciantes Unidos,Carlos Mannucci,2,1,1.97,3.36,3.78
2024-07-26,regular,Cesar Vallejo,Cajamarca,2,0,1.61,3.77,5.37
2024-07-25,regular,Cusco,Sport Huancayo,3,0,1.63,3.90,4.92
2024-07-25,regular,Alianza Atl.,FBC Melgar,3,1,3.51,2.95,2.22
2024-07-22,regular,Cienciano,AD Tarma,0,1,2.22,3.24,3.17
2024-07-21,regular,Sporting Cristal,Sport Boys,4,0,1.46,4.39,6.23
2024-07-21,regular,Carlos Mannucci,Union Comercio,0,0,1.91,3.40,3.90
2024-07-21,regular,Grau,U. de Deportes,1,1,3.60,3.25,2.03
2024-07-21,regular,Alianza Lima,Alianza Atl.,2,0,1.21,5.67,13.72
2024-07-20,regular,FBC Melgar,Cesar Vallejo,5,2,1.23,5.94,11.05
2024-07-20,regular,Los Chankas,Comerciantes Unidos,2,0,1.49,4.15,6.24
2024-07-19,regular,Sport Huancayo,Deportivo Garcilaso,1,0,2.58,3.30,2.62
2024-07-19,regular,Cajamarca,Cusco,2,1,2.49,3.54,2.56
2024-07-14,regular,Cusco,FBC Melgar,0,3,3.02,2.97,2.50
2024-07-14,regular,Sport Boys,Sport Huancayo,2,1,1.82,3.18,4.87
2024-07-14,regular,Alianza Atl.,Grau,0,0,2.79,2.93,2.72
2024-07-14,regular,U. de Deportes,Carlos Mannucci,6,0,1.16,7.20,14.44
2024-07-13,regular,Cesar Vallejo,Alianza Lima,2,3,3.67,3.06,2.11
2024-07-13,regular,Comerciantes Unidos,Cienciano,1,2,2.90,3.14,2.43
2024-07-13,regular,Deportivo Garcilaso,Cajamarca,1,0,1.58,4.07,5.25
2024-07-12,regular,AD Tarma,Sporting Cristal,3,1,2.22,3.17,3.24
2024-07-12,regular,Union Comercio,Los Chankas,1,2,2.09,3.38,3.36
2024-05-27,regular,Union Comercio,Cienciano,1,1,2.50,3.21,2.80
2024-05-26,regular,Sport Boys,AD Tarma,1,0,2.77,3.27,2.47
2024-05-26,regular,Alianza Atl.,Carlos Mannucci,0,0,1.67,3.59,5.19
2024-05-25,regular,Comerciantes Unidos,Sporting Cristal,0,1,5.64,4.48,1.50
2024-05-25,regular,Deportivo Garcilaso,FBC Melgar,1,3,3.12,3.32,2.23
2024-05-25,regular,U. de Deportes,Los Chankas,4,0,1.08,9.94,22.91
2024-05-25,regular,Sport Huancayo,Cajamarca,1,1,1.66,3.97,4.56
2024-05-25,regular,Cesar Vallejo,Grau,2,1,2.18,3.07,3.51
2024-05-25,regular,Cusco,Alianza Lima,3,0,2.62,3.11,2.73
2024-05-21,regular,Cienciano,U. de Deportes,0,0,3.42,3.35,2.08
2024-05-20,regular,Cajamarca,Sport Boys,2,4,1.65,3.56,5.46
2024-05-20,regular,Alianza Lima,Deportivo Garcilaso,3,2,1.24,5.44,12.41
2024-05-20,regular,Carlos Mannucci,Cesar Vallejo,0,0,3.68,3.27,2.04
2024-05-19,regular,Los Chankas,Alianza Atl.,2,0,1.54,3.87,5.97
2024-05-19,regular,AD Tarma,Comerciantes Unidos,2,0,1.27,5.42,9.89
2024-05-19,regular,FBC Melgar,Sport Huancayo,4,1,1.27,5.51,9.95
2024-05-18,regular,Sporting Cristal,Union Comercio,5,1,1.18,6.67,12.80
2024-05-17,regular,Grau,Cusco,4,0,1.68,3.65,4.97
2024-05-13,regular,Alianza Atl.,Cienciano,0,1,1.88,3.42,3.95
2024-05-13,regular,U. de Deportes,Sporting Cristal,4,1,1.95,3.42,3.83
2024-05-12,regular,Deportivo Garcilaso,Grau,0,0,1.71,3.56,4.74
2024-05-12,regular,Cajamarca,FBC Melgar,2,6,3.53,3.13,2.13
2024-05-12,regular,Cesar Vallejo,Los Chankas,1,1,1.74,3.70,4.39
2024-05-12,regular,Sport Huancayo,Alianza Lima,0,2,2.18,3.24,3.29
2024-05-11,regular,Cusco,Carlos Mannucci,3,0,1.38,4.38,8.23
2024-05-11,regular,Sport Boys,Comerciantes Unidos,1,1,1.60,3.84,5.80
2024-05-10,regular,Union Comercio,AD Tarma,2,2,3.26,3.26,2.20
2024-05-06,regular,Grau,Sport Huancayo,0,0,1.51,4.13,5.93
2024-05-05,regular,FBC Melgar,Sport Boys,2,1,1.21,6.00,12.43
2024-05-05,regular,Sporting Cristal,Alianza Atl.,2,1,1.19,6.97,12.28
2024-05-04,regular,Carlos Mannucci,Deportivo Garcilaso,1,1,2.44,3.10,2.85
2024-05-04,regular,Comerciantes Unidos,Union Comercio,3,1,2.10,3.31,3.34
2024-05-04,regular,Los Chankas,Cusco,2,0,2.22,3.13,3.23
2024-05-04,regular,Alianza Lima,Cajamarca,1,0,1.23,5.68,11.84
2024-05-04,regular,Cienciano,Cesar Vallejo,1,1,1.60,3.90,5.09
2024-05-03,regular,AD Tarma,U. de Deportes,2,0,2.36,3.34,2.84
2024-04-30,regular,Cesar Vallejo,Sporting Cristal,2,1,3.71,3.53,1.94
2024-04-29,regular,U. de Deportes,Comerciantes Unidos,6,0,1.18,6.46,13.89
2024-04-29,regular,Deportivo Garcilaso,Los Chankas,1,1,1.72,3.71,4.41
2024-04-29,regular,FBC Melgar,Alianza Lima,1,0,1.78,3.48,4.46
2024-04-28,regular,Alianza Atl.,AD Tarma,1,2,2.56,2.95,2.90
2024-04-28,regular,Cusco,Cienciano,2,0,2.48,3.18,2.78
2024-04-27,regular,Cajamarca,Grau,3,2,2.16,3.15,3.49
2024-04-27,regular,Sport Boys,Union Comercio,0,0,1.68,3.46,5.22
2024-04-26,regular,Sport Huancayo,Carlos Mannucci,1,0,1.59,3.77,5.61
