date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-24,regular,Zaglebie,Cracovia,1,2,2.70,3.42,2.51
2025-05-24,regular,Lechia Gdansk,GKS Katowice,2,3,1.95,3.86,3.47
2025-05-24,regular,Gornik Zabrze,Korona Kielce,1,1,1.88,3.77,3.81
2025-05-24,regular,Jagiellonia,Pogon Szczecin,1,1,2.08,3.69,3.26
2025-05-24,regular,Lech Poznan,Piast Gliwice,1,0,1.34,5.17,8.18
2025-05-24,regular,Legia,Stal Mielec,2,2,1.36,5.31,7.25
2025-05-24,regular,Radomiak Radom,Motor Lublin,2,3,1.94,3.52,3.79
2025-05-24,regular,Puszcza,Slask Wroclaw,1,1,3.24,3.86,2.02
2025-05-24,regular,Rakow,Widzew Lodz,2,1,1.28,5.54,10.48
2025-05-19,regular,Widzew Lodz,Puszcza,2,0,1.42,4.69,6.86
2025-05-18,regular,GKS Katowice,Lech Poznan,2,2,5.32,4.07,1.59
2025-05-18,regular,Cracovia,Legia,3,1,2.78,3.50,2.39
2025-05-18,regular,Motor Lublin,Zaglebie,1,0,1.94,3.55,3.78
2025-05-17,regular,Korona Kielce,Rakow,1,1,7.32,4.47,1.42
2025-05-17,regular,Piast Gliwice,Gornik Zabrze,2,0,2.07,3.37,3.55
2025-05-17,regular,Pogon Szczecin,Lechia Gdansk,3,3,1.47,4.50,6.28
2025-05-16,regular,Slask Wroclaw,Jagiellonia,1,1,4.01,4.01,1.79
2025-05-16,regular,Stal Mielec,Radomiak Radom,2,2,2.54,3.29,2.77
2025-05-15,regular,Widzew Lodz,Legia,0,2,3.81,3.52,1.94
2025-05-14,regular,Pogon Szczecin,Motor Lublin,3,0,1.38,4.97,7.33
2025-05-12,regular,Puszcza,Stal Mielec,2,3,2.57,3.34,2.72
2025-05-11,regular,Legia,Lech Poznan,0,1,2.00,3.79,3.36
2025-05-11,regular,GKS Katowice,Cracovia,2,1,2.23,3.41,3.18
2025-05-11,regular,Lechia Gdansk,Korona Kielce,3,2,2.01,3.40,3.73
2025-05-10,regular,Rakow,Jagiellonia,1,2,1.66,3.88,5.12
2025-05-10,regular,Zaglebie,Widzew Lodz,2,1,2.13,3.36,3.47
2025-05-10,regular,Radomiak Radom,Pogon Szczecin,2,0,3.03,3.56,2.25
2025-05-09,regular,Gornik Zabrze,Slask Wroclaw,2,0,2.48,3.68,2.60
2025-05-09,regular,Motor Lublin,Piast Gliwice,1,4,2.64,3.24,2.70
2025-05-05,regular,Korona Kielce,GKS Katowice,2,1,2.12,3.49,3.34
2025-05-04,regular,Jagiellonia,Gornik Zabrze,1,1,1.59,4.14,5.26
2025-05-04,regular,Cracovia,Lechia Gdansk,0,2,2.58,3.54,2.57
2025-05-04,regular,Piast Gliwice,Radomiak Radom,0,0,2.36,2.97,3.34
2025-05-03,regular,Lech Poznan,Puszcza,8,1,1.30,5.53,9.31
2025-05-03,regular,Slask Wroclaw,Zaglebie,3,1,1.96,3.73,3.57
2025-05-03,regular,Stal Mielec,Rakow,0,2,4.61,3.80,1.73
2025-04-28,regular,Zaglebie,Stal Mielec,2,2,2.07,3.41,3.57
2025-04-27,regular,Radomiak Radom,Lech Poznan,2,2,3.57,3.56,2.03
2025-04-27,regular,Gornik Zabrze,Widzew Lodz,0,0,2.01,3.42,3.75
2025-04-27,regular,Korona Kielce,Jagiellonia,3,1,3.37,3.40,2.15
2025-04-26,regular,GKS Katowice,Legia,1,3,3.18,3.71,2.10
2025-04-26,regular,Motor Lublin,Cracovia,0,1,2.15,3.56,3.22
2025-04-26,regular,Lechia Gdansk,Piast Gliwice,3,1,2.29,3.27,3.21
2025-04-25,regular,Rakow,Slask Wroclaw,3,0,1.57,3.99,5.90
2025-04-25,regular,Puszcza,Pogon Szczecin,4,5,4.67,3.98,1.69
2025-04-22,regular,Stal Mielec,Gornik Zabrze,0,0,2.69,3.44,2.52
2025-04-21,regular,Lech Poznan,Cracovia,2,1,1.47,4.62,6.03
2025-04-21,regular,Legia,Lechia Gdansk,2,1,1.59,4.31,5.16
2025-04-21,regular,Jagiellonia,Zaglebie,1,3,1.68,3.90,4.85
2025-04-21,regular,Puszcza,Radomiak Radom,2,2,2.89,3.34,2.43
2025-04-19,regular,Pogon Szczecin,Rakow,1,0,3.06,3.20,2.39
2025-04-19,regular,Widzew Lodz,Motor Lublin,1,2,2.05,3.56,3.38
2025-04-19,regular,Slask Wroclaw,GKS Katowice,0,2,2.01,3.66,3.42
2025-04-19,regular,Piast Gliwice,Korona Kielce,1,1,1.91,3.39,4.06
2025-04-14,regular,Lechia Gdansk,Stal Mielec,3,2,2.12,3.41,3.36
2025-04-13,regular,Legia,Jagiellonia,0,1,2.05,3.57,3.39
2025-04-13,regular,Motor Lublin,Lech Poznan,1,2,3.93,3.73,1.84
2025-04-13,regular,Piast Gliwice,Pogon Szczecin,2,1,2.99,3.12,2.44
2025-04-12,regular,Rakow,Radomiak Radom,2,1,1.42,4.40,7.63
2025-04-12,regular,Cracovia,Slask Wroclaw,2,4,2.15,3.48,3.20
2025-04-12,regular,GKS Katowice,Puszcza,3,1,1.83,3.70,4.02
2025-04-11,regular,Korona Kielce,Widzew Lodz,2,1,2.23,3.26,3.23
2025-04-11,regular,Zaglebie,Gornik Zabrze,2,1,2.44,3.30,2.85
2025-04-07,regular,Puszcza,Rakow,1,1,7.75,4.41,1.42
2025-04-06,regular,Pogon Szczecin,GKS Katowice,4,0,1.56,4.19,5.60
2025-04-06,regular,Gornik Zabrze,Legia,1,2,3.12,3.52,2.20
2025-04-06,regular,Jagiellonia,Piast Gliwice,1,1,2.05,3.15,4.01
2025-04-05,regular,Lech Poznan,Korona Kielce,2,0,1.66,3.82,5.26
2025-04-05,regular,Slask Wroclaw,Motor Lublin,1,1,1.69,3.92,4.80
2025-04-05,regular,Radomiak Radom,Zaglebie,0,1,2.08,3.42,3.56
2025-04-04,regular,Widzew Lodz,Lechia Gdansk,2,0,1.95,3.56,3.76
2025-04-04,regular,Stal Mielec,Cracovia,1,1,2.55,3.41,2.69
2025-03-31,regular,Zaglebie,Rakow,0,2,4.33,3.39,1.88
2025-03-30,regular,GKS Katowice,Gornik Zabrze,2,1,2.22,3.46,3.17
2025-03-30,regular,Motor Lublin,Stal Mielec,4,1,2.10,3.51,3.37
2025-03-30,regular,Korona Kielce,Radomiak Radom,1,3,2.39,3.15,3.12
2025-03-29,regular,Slask Wroclaw,Lech Poznan,3,1,3.69,3.46,2.01
2025-03-29,regular,Lechia Gdansk,Jagiellonia,1,0,3.11,3.48,2.23
2025-03-29,regular,Cracovia,Puszcza,3,1,1.71,3.77,4.84
2025-03-28,regular,Legia,Pogon Szczecin,0,0,1.83,3.80,4.07
2025-03-28,regular,Piast Gliwice,Widzew Lodz,0,2,1.90,3.40,4.26
2025-03-16,regular,Jagiellonia,Lech Poznan,2,1,2.66,3.43,2.55
2025-03-16,regular,Rakow,Legia,3,2,2.00,3.37,3.84
2025-03-16,regular,Zaglebie,Korona Kielce,1,1,1.96,3.48,3.89
2025-03-16,regular,Puszcza,Piast Gliwice,2,1,3.65,3.12,2.16
2025-03-15,regular,Widzew Lodz,GKS Katowice,1,0,2.47,3.36,2.83
2025-03-15,regular,Gornik Zabrze,Motor Lublin,4,0,1.95,3.67,3.68
2025-03-15,regular,Stal Mielec,Slask Wroclaw,1,4,2.32,3.31,3.09
2025-03-14,regular,Pogon Szczecin,Cracovia,5,2,1.81,3.67,4.38
2025-03-14,regular,Radomiak Radom,Lechia Gdansk,2,1,1.99,3.52,3.71
2025-03-10,regular,Motor Lublin,Legia,3,3,3.63,3.76,1.94
2025-03-09,regular,Widzew Lodz,Jagiellonia,0,1,3.14,3.44,2.23
2025-03-09,regular,Lechia Gdansk,Gornik Zabrze,1,2,2.42,3.47,2.79
2025-03-09,regular,GKS Katowice,Zaglebie,1,0,1.94,3.70,3.71
2025-03-08,regular,Lech Poznan,Stal Mielec,3,1,1.53,4.14,6.16
2025-03-08,regular,Piast Gliwice,Rakow,0,3,3.34,2.86,2.45
2025-03-08,regular,Cracovia,Radomiak Radom,1,2,2.04,3.39,3.72
2025-03-07,regular,Slask Wroclaw,Pogon Szczecin,1,1,3.32,3.19,2.27
2025-03-07,regular,Korona Kielce,Puszcza,2,1,1.89,3.37,4.32
2025-03-03,regular,Rakow,Lechia Gdansk,3,1,1.42,4.49,7.47
2025-03-02,regular,Jagiellonia,GKS Katowice,1,0,1.84,3.87,3.89
2025-03-02,regular,Legia,Slask Wroclaw,3,1,1.52,4.21,5.95
2025-03-02,regular,Puszcza,Motor Lublin,0,1,2.54,3.26,2.79
2025-03-01,regular,Zaglebie,Piast Gliwice,0,1,2.84,2.96,2.71
2025-03-01,regular,Pogon Szczecin,Lech Poznan,0,3,2.36,3.14,3.16
2025-03-01,regular,Stal Mielec,Korona Kielce,0,1,2.26,3.08,3.42
2025-02-28,regular,Gornik Zabrze,Cracovia,0,1,2.24,3.25,3.27
2025-02-28,regular,Radomiak Radom,Widzew Lodz,1,1,1.95,3.42,3.93
2025-02-24,regular,Motor Lublin,GKS Katowice,3,2,2.56,3.40,2.67
2025-02-23,regular,Lech Poznan,Zaglebie,3,1,1.52,4.38,5.61
