date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-28,regular,Umm-Salal,Al Markhiya,2,1,1.76,3.66,4.48
2025-04-18,regular,Al-Sadd,Al Ahli Doha,5,0,1.14,8.23,13.93
2025-04-18,regular,Umm-Salal,Al Arabi,2,0,4.09,4.21,1.68
2025-04-18,regular,Al Khor,Al-Duhail,0,1,8.29,5.80,1.29
2025-04-18,regular,Al-Gharafa,Al-Shahaniya,1,2,1.69,4.52,3.82
2025-04-18,regular,Al Rayyan,Qatar SC,2,0,1.19,7.05,10.51
2025-04-18,regular,Shamal,Al Wakra,1,0,2.09,3.85,3.01
2025-04-11,regular,Al Ahli Doha,Umm-Salal,0,1,1.83,3.93,3.68
2025-04-11,regular,Al-Duhail,Al Arabi,1,0,1.29,5.75,7.97
2025-04-11,regular,Al Wakra,Al-Gharafa,1,1,3.87,3.87,1.80
2025-04-11,regular,Al-Sadd,Al Khor,3,0,1.15,7.81,13.14
2025-04-11,regular,Shamal,Al Rayyan,3,5,2.82,3.80,2.21
2025-04-11,regular,Al-Shahaniya,Qatar SC,1,1,2.49,3.63,2.54
2025-04-05,regular,Al Rayyan,Al-Sadd,1,2,4.39,4.22,1.65
2025-04-05,regular,Al-Duhail,Shamal,0,4,1.34,5.15,7.37
2025-04-05,regular,Qatar SC,Al Khor,0,1,2.26,3.73,2.77
2025-04-04,regular,Al Arabi,Al-Gharafa,1,3,5.62,4.66,1.46
2025-04-04,regular,Al-Shahaniya,Al Ahli Doha,2,3,3.84,3.86,1.81
2025-04-04,regular,Umm-Salal,Al Wakra,0,1,3.48,3.77,1.92
2025-03-29,regular,Al Ahli Doha,Al Rayyan,1,0,5.09,4.36,1.54
2025-03-29,regular,Qatar SC,Al Arabi,0,0,2.93,3.77,2.14
2025-03-29,regular,Al-Gharafa,Al-Duhail,0,2,3.81,3.88,1.80
2025-03-29,regular,Al-Sadd,Al Wakra,3,0,1.35,5.47,6.81
2025-03-28,regular,Al Khor,Umm-Salal,3,0,2.65,3.56,2.41
2025-03-28,regular,Shamal,Al-Shahaniya,3,0,1.74,3.74,4.32
2025-03-08,regular,Al-Duhail,Al Ahli Doha,4,2,1.44,4.81,5.88
2025-03-08,regular,Al Arabi,Shamal,1,0,2.30,3.82,2.67
2025-03-08,regular,Al Wakra,Qatar SC,1,1,1.81,3.86,3.84
2025-03-07,regular,Umm-Salal,Al-Gharafa,0,1,4.87,4.54,1.54
2025-03-07,regular,Al Rayyan,Al Khor,5,1,1.41,4.68,6.68
2025-03-07,regular,Al-Shahaniya,Al-Sadd,0,5,7.60,5.36,1.33
2025-02-28,regular,Al Ahli Doha,Shamal,1,1,2.36,3.49,2.75
2025-02-28,regular,Al-Duhail,Al-Shahaniya,2,1,1.27,5.68,8.81
2025-02-28,regular,Qatar SC,Umm-Salal,2,2,2.42,3.46,2.63
2025-02-27,regular,Al Rayyan,Al Arabi,2,1,1.75,4.14,3.82
2025-02-27,regular,Al-Gharafa,Al-Sadd,0,4,2.77,3.74,2.23
2025-02-27,regular,Al Khor,Al Wakra,1,3,3.41,3.42,2.06
2025-02-23,regular,Al Wakra,Al Rayyan,0,4,3.39,3.66,1.98
2025-02-23,regular,Al Arabi,Al Ahli Doha,4,2,2.26,3.69,2.78
2025-02-23,regular,Al-Shahaniya,Umm-Salal,3,2,2.12,3.67,3.03
2025-02-22,regular,Al-Sadd,Al-Duhail,2,0,2.57,3.67,2.43
2025-02-22,regular,Al-Gharafa,Qatar SC,4,2,1.54,4.34,5.02
2025-02-22,regular,Shamal,Al Khor,2,0,1.84,3.90,3.61
2025-02-08,regular,Al Khor,Al Arabi,3,4,3.71,3.89,1.83
2025-02-08,regular,Al-Shahaniya,Al Rayyan,2,1,4.60,4.47,1.58
2025-02-08,regular,Shamal,Al-Gharafa,1,2,2.86,3.91,2.15
2025-02-07,regular,Al-Duhail,Al Wakra,2,0,1.49,4.63,5.43
2025-02-07,regular,Umm-Salal,Al-Sadd,0,1,8.25,6.18,1.27
2025-02-07,regular,Al Ahli Doha,Qatar SC,0,3,1.70,3.94,4.34
2025-01-31,regular,Al Wakra,Al-Shahaniya,0,1,1.88,3.91,3.56
2025-01-31,regular,Umm-Salal,Al-Duhail,1,2,7.06,5.59,1.34
2025-01-30,regular,Al Arabi,Al-Sadd,1,3,5.07,4.82,1.50
2025-01-30,regular,Qatar SC,Shamal,2,1,3.53,3.91,1.88
2025-01-29,regular,Al Khor,Al Ahli Doha,0,1,5.10,4.04,1.57
2025-01-29,regular,Al Rayyan,Al-Gharafa,2,2,2.30,3.79,2.63
2025-01-24,regular,Al Wakra,Al Arabi,4,3,2.43,3.68,2.55
2025-01-24,regular,Shamal,Umm-Salal,4,0,1.72,4.19,4.09
2025-01-23,regular,Al Rayyan,Al-Duhail,0,0,3.75,4.12,1.76
