date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-26,regular,Al Riyadh,Al Ahli SC,0,1,6.54,5.17,1.38
2025-05-26,regular,Al Ettifaq,Al Wehda,2,1,2.63,3.54,2.48
2025-05-26,regular,Al Fateh,Al Nassr,3,2,7.95,6.43,1.27
2025-05-26,regular,Al Fayha,Al Shabab,0,2,2.86,3.65,2.24
2025-05-26,regular,Al Hilal,Al Qadsiah,2,0,1.36,5.34,7.06
2025-05-26,regular,Al Ittihad,Damac,1,0,1.21,7.01,10.48
2025-05-26,regular,Al Khaleej,Al Okhdood,2,3,3.12,3.74,2.09
2025-05-26,regular,Al Raed,Al Kholood,1,2,3.76,3.79,1.86
2025-05-26,regular,Al Orubah,Al Taawon,3,2,3.53,3.97,1.87
2025-05-22,regular,Al Ahli SC,Al Ettifaq,1,3,1.28,5.77,9.25
2025-05-22,regular,Damac,Al Fateh,0,1,4.12,4.10,1.72
2025-05-22,regular,Al Okhdood,Al Raed,1,0,1.68,3.91,4.61
2025-05-21,regular,Al Wehda,Al Hilal,1,1,7.74,6.16,1.29
2025-05-21,regular,Al Kholood,Al Fayha,2,0,2.20,3.34,3.16
2025-05-21,regular,Al Nassr,Al Khaleej,2,0,1.12,9.92,14.52
2025-05-20,regular,Al Shabab,Al Ittihad,2,3,1.88,4.23,3.37
2025-05-20,regular,Al Taawon,Al Riyadh,3,2,1.98,3.73,3.41
2025-05-20,regular,Al Qadsiah,Al Orubah,3,1,1.22,6.61,10.02
2025-05-17,regular,Al Ahli SC,Al Kholood,4,1,1.36,5.35,6.79
2025-05-17,regular,Al Fayha,Al Okhdood,2,0,2.25,3.17,3.26
2025-05-17,regular,Al Ettifaq,Damac,0,0,2.00,3.40,3.67
2025-05-16,regular,Al Nassr,Al Taawon,1,1,1.22,6.98,10.27
2025-05-16,regular,Al Orubah,Al Khaleej,1,2,2.23,3.53,2.99
2025-05-16,regular,Al Fateh,Al Hilal,3,4,5.42,5.36,1.45
2025-05-15,regular,Al Raed,Al Ittihad,1,3,7.66,5.39,1.33
2025-05-15,regular,Al Riyadh,Al Shabab,1,3,4.14,4.24,1.68
2025-05-15,regular,Al Qadsiah,Al Wehda,3,1,1.30,5.33,8.99
2025-05-12,regular,Al Okhdood,Al Nassr,0,9,5.14,4.35,1.57
2025-05-12,regular,Al Hilal,Al Orubah,4,0,1.12,10.22,14.04
2025-05-11,regular,Al Ittihad,Al Fayha,3,0,1.43,4.82,6.46
2025-05-11,regular,Al Taawon,Al Qadsiah,0,1,4.93,4.42,1.58
2025-05-11,regular,Damac,Al Raed,1,0,1.79,3.76,4.30
2025-05-11,regular,Al Shabab,Al Ahli SC,3,1,3.09,3.71,2.13
2025-05-10,regular,Al Khaleej,Al Riyadh,1,2,2.25,3.58,2.99
2025-05-10,regular,Al Wehda,Al Fateh,1,0,3.19,3.85,2.07
2025-05-10,regular,Al Kholood,Al Ettifaq,1,0,2.17,3.76,3.01
2025-05-07,regular,Al Nassr,Al Ittihad,2,3,1.98,3.74,3.52
2025-05-07,regular,Al Ahli SC,Al Taawon,2,0,1.43,4.80,6.51
2025-05-07,regular,Al Raed,Al Hilal,3,5,12.26,7.71,1.18
2025-05-02,regular,Al Qadsiah,Al Kholood,4,1,1.32,5.52,8.33
2025-05-02,regular,Al Fayha,Damac,2,1,1.96,3.26,4.16
2025-05-02,regular,Al Ettifaq,Al Khaleej,2,1,1.88,3.86,3.77
2025-05-01,regular,Al Fateh,Al Shabab,3,1,2.51,4.01,2.42
2025-05-01,regular,Al Okhdood,Al Wehda,1,2,1.92,3.55,3.95
2025-05-01,regular,Al Riyadh,Al Orubah,2,4,2.00,3.47,3.71
2025-04-24,regular,Al Taawon,Al Raed,4,3,1.87,3.64,4.03
2025-04-24,regular,Al Orubah,Al Fayha,2,2,3.51,3.34,2.11
2025-04-23,regular,Al Khaleej,Al Qadsiah,1,1,5.18,4.22,1.59
2025-04-23,regular,Al Kholood,Al Okhdood,0,1,2.57,3.32,2.72
2025-04-23,regular,Al Riyadh,Al Fateh,2,2,3.25,3.66,2.10
2025-04-22,regular,Al Wehda,Al Ahli SC,2,3,9.38,6.64,1.24
2025-04-22,regular,Damac,Al Nassr,2,3,7.19,4.89,1.40
2025-04-21,regular,Al Ittihad,Al Ettifaq,3,2,1.47,4.99,5.67
2025-04-21,regular,Al Hilal,Al Shabab,2,2,1.40,5.56,6.06
2025-04-19,regular,Al Taawon,Al Wehda,0,2,2.38,3.44,2.89
2025-04-19,regular,Al Orubah,Al Raed,0,4,2.69,3.35,2.58
2025-04-18,regular,Al Qadsiah,Al Nassr,2,1,3.14,3.59,2.17
2025-04-18,regular,Al Ahli SC,Al Fayha,5,0,1.28,5.63,10.05
2025-04-18,regular,Al Kholood,Damac,1,3,2.01,3.36,3.77
2025-04-17,regular,Al Fateh,Al Ittihad,2,0,3.79,4.20,1.80
2025-04-17,regular,Al Hilal,Al Khaleej,3,0,1.18,7.76,12.31
2025-04-17,regular,Al Shabab,Al Okhdood,0,0,1.62,4.13,5.02
2025-04-17,regular,Al Ettifaq,Al Riyadh,1,0,1.91,3.48,4.06
2025-04-12,regular,Al Nassr,Al Riyadh,2,1,1.20,7.36,10.65
2025-04-12,regular,Al Fayha,Al Qadsiah,2,1,5.56,3.76,1.63
2025-04-12,regular,Al Khaleej,Al Fateh,1,5,2.83,3.48,2.39
2025-04-11,regular,Al Ettifaq,Al Hilal,1,1,6.61,5.27,1.39
2025-04-11,regular,Al Raed,Al Ahli SC,0,2,8.16,5.73,1.31
2025-04-11,regular,Al Okhdood,Al Taawon,1,1,1.79,3.68,4.37
2025-04-10,regular,Al Ittihad,Al Orubah,2,0,1.24,6.92,8.96
2025-04-10,regular,Damac,Al Wehda,0,1,2.11,3.48,3.27
2025-04-10,regular,Al Shabab,Al Kholood,2,0,1.51,4.61,5.26
2025-04-06,regular,Al Wehda,Al Shabab,1,3,4.99,4.35,1.59
2025-04-06,regular,Al Raed,Al Khaleej,1,2,2.81,3.52,2.37
2025-04-06,regular,Al Fayha,Al Fateh,1,1,3.01,3.40,2.30
2025-04-05,regular,Al Ahli SC,Al Ittihad,2,2,1.93,3.89,3.49
2025-04-05,regular,Al Riyadh,Damac,0,0,2.37,3.30,2.89
2025-04-05,regular,Al Qadsiah,Al Ettifaq,1,1,1.46,4.32,6.93
2025-04-04,regular,Al Hilal,Al Nassr,1,3,1.98,4.05,3.22
2025-04-04,regular,Al Orubah,Al Okhdood,0,1,3.01,3.36,2.31
2025-04-04,regular,Al Kholood,Al Taawon,0,2,2.35,3.49,2.86
2025-03-15,regular,Al Okhdood,Al Ahli SC,2,1,6.09,4.60,1.46
2025-03-15,regular,Al Ettifaq,Al Fayha,0,2,2.16,3.23,3.46
2025-03-15,regular,Al Taawon,Al Hilal,0,2,9.00,5.28,1.31
2025-03-14,regular,Al Khaleej,Al Wehda,0,2,1.87,3.76,3.83
2025-03-14,regular,Al Nassr,Al Kholood,3,1,1.27,6.41,8.33
2025-03-14,regular,Damac,Al Qadsiah,1,0,6.13,4.33,1.49
2025-03-13,regular,Al Fateh,Al Raed,3,1,1.52,4.21,6.04
2025-03-13,regular,Al Ittihad,Al Riyadh,2,1,1.33,5.56,7.58
2025-03-13,regular,Al Shabab,Al Orubah,6,0,1.18,7.39,11.64
2025-03-08,regular,Al Orubah,Al Ettifaq,1,2,3.47,3.23,2.15
2025-03-08,regular,Al Riyadh,Al Okhdood,1,0,2.78,3.10,2.62
2025-03-08,regular,Al Taawon,Damac,3,0,2.13,3.32,3.44
2025-03-07,regular,Al Ahli SC,Al Khaleej,2,2,1.24,6.32,9.91
2025-03-07,regular,Al Fayha,Al Hilal,0,2,7.05,4.72,1.41
2025-03-07,regular,Al Nassr,Al Shabab,2,2,1.67,4.38,4.21
2025-03-06,regular,Al Wehda,Al Raed,3,1,2.59,3.26,2.70
2025-03-06,regular,Al Kholood,Al Fateh,2,1,2.89,3.66,2.25
2025-03-06,regular,Al Qadsiah,Al Ittihad,1,1,2.28,3.69,2.83
2025-03-02,regular,Al Raed,Al Ettifaq,1,1,2.90,3.31,2.40
2025-03-02,regular,Al Ittihad,Al Okhdood,1,1,1.22,6.56,11.23
2025-03-02,regular,Al Qadsiah,Al Riyadh,1,0,1.35,4.73,9.09
2025-03-01,regular,Al Fateh,Al Taawon,1,2,1.91,3.79,3.64
2025-03-01,regular,Al Fayha,Al Wehda,0,0,1.81,3.50,4.45
2025-03-01,regular,Al Kholood,Al Khaleej,2,1,2.37,3.38,2.92
2025-02-28,regular,Al Hilal,Al Ahli SC,2,3,1.79,4.07,3.84
2025-02-28,regular,Al Orubah,Al Nassr,,,9.32,6.08,1.26
2025-02-28,regular,Al Shabab,Damac,2,0,1.48,4.58,5.95
2025-02-26,regular,Al Khaleej,Al Ittihad,1,1,6.48,4.70,1.43
2025-02-26,regular,Al Riyadh,Al Fayha,0,0,2.59,2.90,3.03
2025-02-26,regular,Al Ettifaq,Al Taawon,1,0,2.22,3.36,3.18
2025-02-25,regular,Al Ahli SC,Al Qadsiah,4,1,2.30,3.46,2.95
2025-02-25,regular,Al Wehda,Al Nassr,0,2,7.05,5.72,1.34
2025-02-25,regular,Al Hilal,Al Kholood,5,1,1.13,9.34,14.38
2025-02-25,regular,Al Raed,Al Shabab,1,2,5.04,4.19,1.59
2025-02-24,regular,Damac,Al Orubah,1,2,1.71,3.43,5.38
2025-02-24,regular,Al Okhdood,Al Fateh,1,3,3.02,3.37,2.30
2025-02-22,regular,Al Ittihad,Al Hilal,4,1,3.01,3.97,2.09
2025-02-22,regular,Al Taawon,Al Shabab,2,2,4.99,4.13,1.61
2025-02-22,regular,Al Kholood,Al Wehda,1,0,1.97,3.55,3.70
2025-02-21,regular,Al Nassr,Al Ettifaq,2,3,1.31,5.62,8.20
2025-02-21,regular,Al Qadsiah,Al Okhdood,2,0,1.51,4.01,6.66
2025-02-21,regular,Damac,Al Ahli SC,0,2,5.38,4.22,1.56
2025-02-20,regular,Al Riyadh,Al Raed,1,3,1.89,3.45,4.13
