date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-26,regular,Ross County,Livingston,2,4,2.67,3.13,2.78
2025-05-22,regular,Livingston,Ross County,1,1,1.89,3.47,4.23
2025-05-17,regular,Airdrieonians,Cove Rangers,0,0,1.61,4.04,4.83
2025-05-16,regular,Livingston,Partick Thistle,2,0,1.74,3.62,4.72
2025-05-14,regular,Cove Rangers,Airdrieonians,1,2,3.05,3.54,2.16
2025-05-13,regular,Partick Thistle,Livingston,0,2,3.49,3.26,2.10
2025-05-10,regular,Airdrieonians,Stenhousemuir,2,1,1.52,4.24,5.72
2025-05-10,regular,Cove Rangers,Queen of South,2,1,2.35,3.24,3.05
2025-05-09,regular,Ayr,Partick Thistle,0,2,1.99,3.54,3.60
2025-05-06,regular,Stenhousemuir,Airdrieonians,1,3,3.85,3.60,1.86
2025-05-06,regular,Queen of South,Cove Rangers,0,0,2.26,3.29,3.03
2025-05-06,regular,Partick Thistle,Ayr,0,1,2.72,3.31,2.57
2025-05-02,regular,Airdrieonians,Ayr,0,1,3.54,3.77,1.92
2025-05-02,regular,Morton,Dunfermline,2,0,2.74,3.17,2.60
2025-05-02,regular,Falkirk,Hamilton,3,1,1.16,7.44,14.02
2025-05-02,regular,Livingston,Partick Thistle,0,1,1.55,4.09,5.60
2025-05-02,regular,Queen's Park,Raith,1,5,8.93,5.46,1.30
2025-04-26,regular,Dunfermline,Airdrieonians,0,0,1.96,3.45,3.81
2025-04-26,regular,Ayr,Queen's Park,2,2,1.49,4.31,6.11
2025-04-26,regular,Hamilton,Livingston,0,3,5.57,4.06,1.56
2025-04-26,regular,Raith,Morton,1,1,1.55,3.68,6.85
2025-04-25,regular,Partick Thistle,Falkirk,2,1,4.53,3.65,1.75
2025-04-19,regular,Airdrieonians,Morton,0,1,1.88,3.63,3.76
2025-04-19,regular,Dunfermline,Partick Thistle,0,0,2.43,3.05,3.02
2025-04-19,regular,Falkirk,Raith,1,3,1.48,3.84,7.25
2025-04-19,regular,Hamilton,Queen's Park,0,0,1.74,3.73,4.40
2025-04-18,regular,Livingston,Ayr,5,0,2.15,3.19,3.52
2025-04-12,regular,Raith,Airdrieonians,1,1,2.04,3.06,4.05
2025-04-12,regular,Queen's Park,Dunfermline,0,1,3.82,3.27,2.01
2025-04-12,regular,Partick Thistle,Hamilton,1,2,1.90,3.51,3.92
2025-04-12,regular,Morton,Livingston,1,2,4.36,3.49,1.82
2025-04-11,regular,Ayr,Falkirk,1,1,3.94,3.25,1.99
2025-04-05,regular,Airdrieonians,Partick Thistle,2,1,3.11,3.39,2.23
2025-04-05,regular,Raith,Ayr,1,0,2.74,2.92,2.78
2025-04-05,regular,Dunfermline,Hamilton,0,1,1.91,3.51,3.89
2025-04-05,regular,Falkirk,Morton,5,0,1.28,5.23,10.11
2025-04-05,regular,Livingston,Queen's Park,3,0,1.22,5.79,13.30
2025-04-02,regular,Queen's Park,Airdrieonians,0,5,2.34,3.66,2.74
2025-04-02,regular,Dunfermline,Livingston,1,0,3.67,3.21,2.07
2025-03-29,regular,Ayr,Dunfermline,3,0,1.87,3.26,4.48
2025-03-29,regular,Hamilton,Raith,0,3,2.63,3.00,2.87
2025-03-29,regular,Morton,Partick Thistle,0,1,2.94,2.91,2.64
2025-03-25,regular,Livingston,Falkirk,1,0,3.09,3.06,2.43
2025-03-25,regular,Morton,Raith,3,3,2.75,2.84,2.88
2025-03-22,regular,Falkirk,Airdrieonians,2,0,1.20,6.50,11.87
2025-03-22,regular,Ayr,Hamilton,1,1,1.62,3.82,5.29
2025-03-22,regular,Morton,Queen's Park,2,1,2.37,3.07,3.16
2025-03-21,regular,Partick Thistle,Raith,0,0,2.24,3.01,3.49
2025-03-15,regular,Airdrieonians,Livingston,3,3,4.85,3.81,1.68
2025-03-15,regular,Hamilton,Morton,0,2,2.22,3.33,3.16
2025-03-15,regular,Partick Thistle,Ayr,2,0,3.10,3.35,2.24
2025-03-15,regular,Queen's Park,Falkirk,0,4,5.59,4.32,1.52
2025-03-14,regular,Raith,Dunfermline,2,0,2.18,2.95,3.74
2025-03-11,regular,Queen's Park,Partick Thistle,0,2,2.68,3.31,2.55
2025-03-08,regular,Airdrieonians,Hamilton,2,1,2.66,3.36,2.50
2025-03-08,regular,Morton,Ayr,2,1,4.05,3.19,1.97
2025-03-08,regular,Falkirk,Dunfermline,1,0,1.37,4.57,8.54
2025-03-05,regular,Livingston,Raith,0,0,1.61,3.64,5.89
2025-03-04,regular,Airdrieonians,Falkirk,0,3,6.27,4.16,1.48
2025-03-04,regular,Queen's Park,Ayr,2,3,3.42,3.35,2.08
