date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-26,regular,Ross County,Livingston,2,4,2.67,3.13,2.78
2025-05-22,regular,Livingston,Ross County,1,1,1.89,3.47,4.23
2025-05-18,regular,St Johnstone,Dundee FC,0,2,3.43,3.65,2.06
2025-05-18,regular,Kilmarnock,Hearts,0,1,2.40,3.41,2.88
2025-05-18,regular,Ross County,Motherwell,1,1,1.83,3.76,4.12
2025-05-17,regular,Dundee Utd,Aberdeen,2,1,2.59,3.53,2.61
2025-05-17,regular,Celtic,St. Mirren,1,1,1.23,6.93,10.75
2025-05-17,regular,Hibernian,Rangers,2,2,3.42,4.09,1.92
2025-05-16,regular,Livingston,Partick Thistle,2,0,1.74,3.62,4.72
2025-05-14,regular,Aberdeen,Celtic,1,5,3.52,3.68,1.99
2025-05-14,regular,Rangers,Dundee Utd,3,1,1.27,6.05,9.93
2025-05-14,regular,St. Mirren,Hibernian,2,2,2.59,3.31,2.75
2025-05-14,regular,Dundee FC,Ross County,1,1,1.94,3.64,3.81
2025-05-14,regular,Hearts,St Johnstone,2,1,1.65,3.71,5.67
2025-05-14,regular,Motherwell,Kilmarnock,3,0,2.70,3.15,2.76
2025-05-13,regular,Partick Thistle,Livingston,0,2,3.49,3.26,2.10
2025-05-11,regular,Rangers,Aberdeen,4,0,1.47,4.63,6.25
2025-05-10,regular,Celtic,Hibernian,3,1,1.30,5.79,8.96
2025-05-10,regular,Dundee Utd,St. Mirren,0,2,2.38,3.41,2.94
2025-05-10,regular,Kilmarnock,Dundee FC,3,2,1.91,3.59,4.04
2025-05-10,regular,Hearts,Motherwell,3,0,1.61,4.08,5.32
2025-05-10,regular,St Johnstone,Ross County,2,1,2.00,3.41,3.85
2025-05-09,regular,Ayr,Partick Thistle,0,2,1.99,3.54,3.60
2025-05-06,regular,Partick Thistle,Ayr,0,1,2.72,3.31,2.57
2025-05-04,regular,Rangers,Celtic,1,1,2.89,3.81,2.24
2025-05-03,regular,St. Mirren,Aberdeen,1,0,2.40,3.37,2.95
2025-05-03,regular,Hibernian,Dundee Utd,3,1,1.68,3.94,4.89
2025-05-03,regular,Dundee FC,Motherwell,1,2,2.03,3.47,3.66
2025-05-03,regular,Ross County,Hearts,1,3,4.13,3.54,1.89
2025-05-03,regular,St Johnstone,Kilmarnock,0,2,3.00,3.31,2.41
2025-04-26,regular,Aberdeen,Hibernian,1,0,2.42,3.41,2.88
2025-04-26,regular,St. Mirren,Rangers,2,2,3.89,3.98,1.83
2025-04-26,regular,Hearts,Dundee FC,0,1,1.54,4.23,5.97
2025-04-26,regular,Kilmarnock,Ross County,2,0,1.80,3.40,4.92
2025-04-26,regular,Motherwell,St Johnstone,3,2,2.05,3.35,3.77
2025-04-26,regular,Dundee Utd,Celtic,0,5,8.81,5.28,1.33
2025-04-13,regular,Hibernian,Dundee FC,4,0,1.49,4.53,6.00
2025-04-13,regular,Aberdeen,Rangers,2,2,2.47,3.67,2.64
2025-04-12,regular,Dundee Utd,St Johnstone,1,0,1.85,3.51,4.27
2025-04-12,regular,Motherwell,Hearts,0,0,4.26,3.71,1.81
2025-04-12,regular,St. Mirren,Ross County,3,2,1.55,3.97,6.19
2025-04-12,regular,Celtic,Kilmarnock,5,1,1.18,6.92,14.39
2025-04-06,regular,Hearts,Dundee Utd,0,1,1.73,3.77,4.73
2025-04-06,regular,St Johnstone,Celtic,1,0,18.29,7.31,1.16
2025-04-05,regular,Ross County,Aberdeen,0,1,3.73,3.50,1.98
2025-04-05,regular,Dundee FC,St. Mirren,2,0,2.73,3.36,2.55
2025-04-05,regular,Rangers,Hibernian,0,2,1.49,4.56,6.04
2025-04-05,regular,Kilmarnock,Motherwell,2,0,1.77,3.63,4.60
2025-03-30,regular,Ross County,Dundee Utd,0,1,3.02,3.21,2.44
2025-03-29,regular,Dundee FC,Rangers,3,4,7.03,5.50,1.36
2025-03-29,regular,Aberdeen,Motherwell,4,1,1.69,3.74,5.09
2025-03-29,regular,Celtic,Hearts,3,0,1.21,6.88,11.41
2025-03-29,regular,Hibernian,St Johnstone,3,0,1.63,3.81,5.58
2025-03-29,regular,St. Mirren,Kilmarnock,5,1,2.34,3.24,3.14
2025-03-16,regular,Dundee Utd,Dundee FC,2,4,1.83,3.72,4.14
2025-03-16,regular,Celtic,Rangers,2,3,1.64,4.10,4.94
2025-03-15,regular,St Johnstone,Aberdeen,0,0,2.96,3.26,2.44
2025-03-15,regular,Hearts,Ross County,2,0,1.45,4.41,7.30
2025-03-15,regular,Kilmarnock,Hibernian,1,1,2.42,3.27,3.01
2025-03-15,regular,Motherwell,St. Mirren,2,2,2.86,3.04,2.67
